Hotel_Name,Descriptions
Monhotel Lounge SPA,[]
Milestone Hotel Kensington,[]
Belfast,[]
Hotel Le 10 BIS,[]
Le Marcel,['bar was free']
La Villa Haussmann,[]
Novotel Paris 14 Porte d Orl ans,[]
H tel des Academies et des Arts,[]
Drawing Hotel,['bar was outstanding']
Hotel The Peninsula Paris,[]
Hotel Dupond Smith,[]
La Villa Royale,['bar great']
The Abbey Court Notting Hill,['bar well equipped']
Hotel Le petit Paris,[]
Royal Saint Honore,[]
Le Pavillon de la Reine Spa,[]
H tel La Comtesse by Elegancia,[]
Hotel La Villa Saint Germain Des Pr s,[]
H tel Recamier,[]
BoB Hotel by Elegancia,[]
Hotel Oscar,[]
Novotel Paris 17,[]
Eiffel Trocad ro,[]
H tel Le Walt,[]
H tel de La Tamise Esprit de France,['bar was open']
Renaissance Paris Vendome Hotel,[]
Suites H tel Helzear Montparnasse,[]
Hotel le Lapin Blanc,[]
H tel R de Paris Boutique Hotel,[]
Trinit Haussmann,[]
A La Villa Madame,[]
H tel Barri re Le Fouquet s,[]
Hotel Villa Lafayette Paris IX,[]
Park Hyatt Paris Vendome,[]
Renaissance Paris Le Parc Trocadero Hotel,[]
Victoires Opera,[]
Hotel Le Placide Saint Germain Des Pr s,['good mini bar useful']
H tel Bel Ami,['bar was excellent']
Hotel Eiffel Blomet,['clean honestly bar outstanding']
H tel Le Bellechasse Saint Germain,['bar overall']
H tel Arvor Saint Georges,[]
Le Littr ,[]
H tel Waldorf Trocad ro,['silent bar good']
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,['nice wine bar with dj']
Vincci Mae,"['rooftop bar and free', 'bar good', 'nice rooftop bar with stunning']"
Jumeirah Carlton Tower,['bar staff slow']
Palais Coburg Residenz,[]
Hotel Crivi s,[]
Four Seasons Hotel London at Park Lane,[]
Hotel Park Villa,[]
The Lanesborough,['bar pleasant helpful']
Hotel G tico,[]
Holiday Inn Vienna City,[]
Arthotel ANA Westbahn,[]
Hotel Sunflower,[]
Sheraton Grand London Park Lane,[]
InterContinental Amstel Amsterdam,[]
Hyatt Regency Amsterdam,['mini bar was less']
Hotel Sanpi Milano,['good breakfast bar open']
Grand Hotel et de Milan,['bar staff exceptional']
Petit Palais Hotel De Charme,[]
Hotel Mercure Milano Solari,[]
Palazzo Segreti,[]
Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,[]
Best Western Hotel Major,[]
Best Western Antares Hotel Concorde,[]
Hotel Arkadenhof,[]
