Hotel_Name,Descriptions
Monhotel Lounge SPA,[]
Covent Garden Hotel,"['luxurious bathroom the gorgeous', 'linen large bathroom with big', 'bathroom excellent']"
Windsor Opera,"['good size bathroom is big', 'good bathroom was good']"
Hotel Astor Saint Honor ,[]
Mercure Paris Porte d Orleans,[]
The Henrietta Hotel,['excellent bathroom and helpful']
The Goring,[]
Ritz Paris,[]
Hotel Les Rives de Notre Dame,['bathroom was big']
Best Western Op ra Batignolles,[]
Bulgari Hotel London,[]
Best Western Paris Gare Saint Lazare,"['bathroom really nice', 'good bathroom comfortable', 'bathroom was compact']"
Splendide Royal Paris,['bathroom exceptional']
Hotel The Peninsula Paris,['bathroom were spacious']
H tel Les Dames du Panth on,['nice bathroom with large']
Molitor Paris MGallery by Sofitel,[]
Hotel Louis 2,"['parisian the bathroom nice', 'airy bathroom good', 'spotless bathroom a real', 'small bathroom smaller', 'furnished nice bathroom and nuxe']"
Mercure Paris Gare Montparnasse,[]
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,['bathroom extremely comfortable']
Hotel Chavanel,[]
H tel Champs lys es Plaza,"['bathroom was brilliant', 'bathroom with balcony']"
H tel Le Royal Monceau Raffles Paris,[]
Le Grand H tel de Normandie,['bathroom plenty large']
H tel de La Tamise Esprit de France,[]
41,['large bathroom great']
45 Park Lane Dorchester Collection,[]
H tel Barri re Le Fouquet s,[]
Hotel Villa Lafayette Paris IX,[]
Mercure Paris 15 Porte de Versailles,[]
Boutique H tel Konfidentiel,[]
Goralska R sidences H tel Paris Bastille,['bathroom was problematic']
The Beaumont Hotel,['bathroom marvellous complimentary']
Ibis Styles Paris Gare Saint Lazare,[]
Hilton Barcelona,['nice bathroom totally impersonal']
Sansi Pedralbes,[]
Cotton House Hotel Autograph Collection,['great bathroom really big']
COMO The Halkin,['nice marble bathroom very quiet']
Hotel J ger,[]
Hilton Garden Inn Vienna South,[]
The Level at Melia Barcelona Sky,[]
Best Western Premier Hotel Dante,[]
Sofitel Vienna Stephansdom,[]
InterContinental Amstel Amsterdam,[]
The Wittmore Adults Only,"['great bathroom awesome', 'furnished and bathroom was fabulous']"
Courtyard by Marriott Vienna Schoenbrunn,[]
Simm s Hotel,['bathroom comfortable']
Hotel Tocq,[]
UNA Hotel Mediterraneo,['bathroom good']
Bulgari Hotel Milano,[]
Holiday Inn Milan Garibaldi Station,[]
Best Western Hotel Astoria,[]
Hotel Arkadenhof,['nice big bathroom good']
Strandhotel Alte Donau,['nice bathroom spacious']
