Hotel_Name,Descriptions
Kube Hotel Ice Bar,"['spacious bed very comfortable', 'modern spacious bed extremely comfortable']"
Covent Garden Hotel,"['comfortable bed luxurious', 'bed and seating', 'bed fantastic', 'spacious comfortable bed and great']"
Atala Champs Elys es,[]
H tel Le Marianne,['bed was super']
La Villa Maillot,"['comfortable bed nespresso', 'nice bed and comfortable', 'bed was super', 'comfortable bed and clean', 'bed was extra']"
Ritz Paris,['bed was fantastic']
Mill sime H tel,"['comfortable bed and small', 'comfortable bed and great', 'decent bed suitable', 'supercomfortable bed quiet', 'shower comfy bed excellent', 'bed was big', 'spacious the bed very comfortable']"
Drawing Hotel,[]
Splendide Royal Paris,[]
Le Narcisse Blanc Spa,[]
Boundary Rooms Suites,[]
Hotel Dupond Smith,[]
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,[]
Hotel Chavanel,[]
XO Hotel,[]
Mandarin Oriental Paris,['comfortable bed nice']
Prince de Galles a Luxury Collection hotel Paris,['comfortable bed friendly']
H tel Amastan Paris,"['beautiful and bed was comfortable', 'comfortable bed friendly']"
H tel Champs lys es Plaza,"['helpful bed was large', 'comfortable the bed was big', 'bed was large', 'comfortable bed huge', 'bed the spacious', 'bed a little', 'bed the old']"
Renaissance Paris Republique Hotel Spa,['good bed nice']
45 Park Lane Dorchester Collection,['comfortable bed great']
Hotel Villa Lafayette Paris IX,"['tidy bed was super', 'large comfy bed great breakfast']"
Renaissance Paris Le Parc Trocadero Hotel,['great bed nice']
Hotel VIU Milan,"['bed was super', 'bathrobes bed very comfortable']"
Hotel Malte Astotel,['bed was good']
Mercure Paris Bastille Saint Antoine,['bed was comfortable']
Mandarin Oriental Hyde Park London,"['bed super', 'bed great']"
Arioso,[]
Hotel Daniel Paris,[]
Room Mate Gerard,"['good bed separate', 'bed was comfortable']"
Palazzo Parigi Hotel Grand Spa Milano,"['comfortable bed very clean', 'comfortable bed elegant']"
Mercure Vienna First,"['bed was nice', 'decent bed good']"
Am Spiegeln,[]
The Level at Melia Barcelona Sky,[]
Hotel Advance,['bed comfortable']
MiHotel,[]
Style Hotel,"['bed was v', 'bed is confortable']"
Hotel Magna Pars Small Luxury Hotels of the World,['comfortable bed pleasant']
Bulgari Hotel Milano,[]
