Hotel_Name,Descriptions
Mercure Paris Arc de Triomphe Etoile,['good breakfast free']
Rocco Forte Brown s Hotel,['breakfast is excellent']
H tel Le Royal Monceau Raffles Paris,[]
The Curtain,['great breakfast expensive']
Mercure Paris Champs Elys es,['breakfast was ok']
Hotel Sezz Paris,['breakfast was average']
Hotel Eiffel Blomet,[]
H tel Original Paris,[]
Villa Alessandra,['ok breakfast was modest']
Room Mate Gerard,['breakfast is great']
ABaC Restaurant Hotel Barcelona GL Monumento,"['breakfast very good', 'breakfast gourmet']"
