Hotel_Name,Descriptions
Kube Hotel Ice Bar,[]
One Aldwych,[]
InterContinental London Park Lane,[]
Milestone Hotel Kensington,[]
Select Hotel,[]
Hotel Scribe Paris Opera by Sofitel,[]
H tel Juliana Paris,[]
Knightsbridge Hotel,[]
The London EDITION,"['building rooms good', 'building is old', 'impressive building great']"
Hotel Le 10 BIS,[]
The Ampersand Hotel,[]
Crowne Plaza Paris R publique,[]
H tel de Jos phine BONAPARTE,[]
Hotel des Tuileries Relais du Silence,[]
The Victoria,[]
Staybridge Suites London Vauxhall,[]
Hilton Paris Opera,['building great']
Hotel Astor Saint Honor ,[]
H tel Le Marianne,[]
Ashburn Hotel,[]
Best Western Premier Marais Grands Boulevards,[]
Waldorf Madeleine,[]
H tel Square Louvois,[]
Le 123 S bastopol Astotel,[]
1K Hotel,[]
H tel Westminster,[]
L H tel,[]
La Villa Haussmann,[]
Hotel Mercure La Sorbonne Saint Germain des Pr s,[]
H tel Duc De St Simon,[]
Hotel Indigo London Tower Hill,[]
Charlotte Street Hotel,[]
COQ Hotel Paris,['beautiful old building with high']
Legend Saint Germain by Elegancia,[]
Hotel Xenia Autograph Collection,[]
H tel de Banville,['beautiful historic building with little']
Pullman Paris Montparnasse,[]
Best Western Premier Op ra Opal,[]
The Hoxton Holborn,['building friendly']
H tel Ad le Jules,[]
Montagu Place Hotel,"['beautiful building honestly i', 'building very friendly']"
Hotel Design Secret de Paris,[]
Okko Hotels Paris Porte De Versailles,[]
Villa Opera Drouot,['building was full']
Hotel Louis 2,[]
Simply Rooms Suites,[]
Hotel Le petit Paris,[]
Hotel Parc Saint Severin Esprit de France,[]
Le Meurice,['building great']
Sansi Diputacio,[]
Phileas Hotel,[]
H tel Beauchamps,[]
The Zetter Townhouse Marylebone,[]
Forest Hill Paris la Villette,[]
San Domenico House,['nice traditional building very cosy']
Hotel Atmospheres,[]
Hotel Duminy Vendome,[]
Hotel Square,[]
H tel Bourgogne Montana by MH,['beautiful historic building next']
Hotel Montalembert,[]
Holiday Inn Paris Op ra Grands Boulevards,[]
Majestic Hotel Spa,[]
H tel du Minist re,[]
Royal Hotel Champs Elys es,[]
H tel Gustave,[]
H tel Champs lys es Plaza,[]
Dukes Hotel,[]
H tel Saint Marc,[]
H tel L Echiquier Op ra Paris MGallery by Sofitel,['attractive building superb extensive']
Grange Buckingham Hotel,['building is old']
Grand H tel Du Palais Royal,[]
Claridge s,['building is gorgeous']
Villa Panth on,[]
Trinit Haussmann,[]
H tel Saint Paul Rive Gauche,[]
H tel de Varenne,[]
Canary Riverside Plaza Hotel,[]
H tel Pont Royal,[]
Holiday Inn London Whitechapel,['building is clean']
Best Western Plus Elys e Secret,[]
Le Cinq Codet,[]
Le Pradey,[]
Sanderson A Morgans Hotel,[]
The Arch London,['building is old']
Hotel du Collectionneur Arc de Triomphe,[]
The Westbourne Hyde Park,[]
Oceania Paris Porte De Versailles,[]
Fifty Four Boutique Hotel,['old building with friendly']
Hotel Monge,['building in short']
citizenM London Shoreditch,['new building cool']
H tel Balzac,[]
Hotel Eug ne en Ville,[]
Mercure Paris Bastille Saint Antoine,[]
H tel Lancaster Paris Champs Elys es,['building few']
Hotel Les Bains Paris,['building great']
Hotel Monceau Wagram,[]
Grange Wellington Hotel,"['beautiful building easy', 'beautiful building large', 'building was old', 'grand building with huge', 'nice old building with new', 'building and common']"
Holiday Inn Paris Gare Montparnasse,[]
H tel Thoumieux,[]
Ten Manchester Street Hotel,['building next']
Mercure Paris Gobelins Place d Italie,[]
The Laslett,"['classic building fresh tasteful', 'historical building appreciated healthy', 'beautiful building and great']"
The Zetter Hotel,['whole building very nice']
Adria Boutique Hotel,['building good']
Hotel De Vigny,[]
H tel Le Relais Saint Germain,[]
Hotel Villa Saxe Eiffel,[]
H tel Waldorf Trocad ro,[]
Park Hyatt Vienna,[]
Pillows Anna van den Vondel Amsterdam,[]
Wilson Boutique Hotel,[]
Crowne Plaza Barcelona Fira Center,[]
Vienna Sporthotel,[]
Hotel Sans Souci Wien,['fine building with clean']
The Connaught,['building site attentive']
Gran Hotel La Florida,"['building is beautiful', 'great building very trad']"
IH Hotels Milano Puccini,[]
Palazzo Parigi Hotel Grand Spa Milano,[]
Hotel Lloyd,['building is old']
Boscolo Milano Autograph Collection,[]
Enterprise Hotel Design Boutique,[]
HCC St Moritz,['nice building short']
Primero Primera,['beautiful building in non']
H10 Art Gallery 4 Sup,"['excellent building was clean', 'building great']"
Best Western PLUS Epping Forest,['building itself wasn']
Novotel Amsterdam City,['building and more']
Hotel Johann Strauss,[]
FourSide Hotel Suites Vienna,[]
Hotel J ger,[]
Hotel Mercure Wien City,['building free']
Hotel G tico,[]
Cordial Theaterhotel Wien,[]
Hotel Imperial A Luxury Collection Hotel,"['beautiful historical building extremely professional', 'classic building big']"
Grand Hotel Wien,['building with excellent']
Hotel Ambassador,['building is beautiful']
Der Wilhelmshof,[]
Ofelias Hotel 4 Sup,[]
The Level at Melia Barcelona Sky,[]
Alma Barcelona GL,[]
IntercityHotel Wien,[]
Catalonia Barcelona 505,[]
Abba Sants,[]
Hotel Grums Barcelona,[]
Monument Hotel,[]
Mandarin Oriental Barcelona,[]
Hotel Palais Strudlhof,['building excellent']
Claris Hotel Spa GL,[]
H10 Casa Mimosa 4 Sup,[]
Arthotel ANA Westbahn,[]
Hotel Mozart,[]
Starhotels Anderson,['eco green building fantastic']
Hotel DO Pla a Reial G L ,['beautiful building with lovely']
Olivia Plaza Hotel,[]
Hotel Seven One Seven,['building is beautiful']
InterContinental Amstel Amsterdam,[]
The Wittmore Adults Only,[]
Roger de Ll ria,[]
Hotel Omm,['great building fantastic']
Hotel Lam e,[]
Courtyard by Marriott Vienna Schoenbrunn,[]
Palais Hansen Kempinski Vienna,"['building very pricey', 'nice building great', 'building excellent', 'restored building very comfortable']"
Derag Livinghotel Kaiser Franz Joseph Vienna,['same building good']
Grange Holborn Hotel,[]
DO CO Hotel Vienna,[]
NH Amsterdam Zuid,[]
TownHouse 33,[]
Hotel Bristol,[]
Hotel Marconi,['poor building is old']
Nu Hotel,[]
Mercure Milano Regency,[]
Sina De La Ville,[]
UNA Hotel Mediterraneo,[]
Barcelona Hotel Colonial,[]
Hotel Boutique Duomo,[]
Hotel Manin,['great building great']
Crowne Plaza Milan City,[]
Petit Palais Hotel De Charme,[]
Mokinba Hotels Montebianco,['building metro']
Atahotel Contessa Jolanda,[]
LHP Hotel Napoleon,[]
Colombia,[]
Senato Hotel Milano,['old building very good']
Hotel Spadari Al Duomo,['building work next']
NH Milano Touring,[]
ADI Doria Grand Hotel,[]
Starhotels Tourist,[]
Grand Visconti Palace,"['nice building good', 'large lovely building nice']"
Best Western Antares Hotel Concorde,[]
Atahotel Linea Uno,[]
Hotel Vilamar ,[]
Mercure Hotel Raphael Wien,[]
