Hotel_Name,Descriptions
K K Hotel George,[]
One Aldwych,[]
Hotel Trianon Rive Gauche,[]
Select Hotel,[]
Gardette Park Hotel,[]
Hotel L Antoine,['dinner was delicious']
Knightsbridge Hotel,[]
The Nadler Soho,['dinner lunch mary']
Crowne Plaza Paris R publique,['dinner on saturday']
Crowne Plaza London Kensington,[]
Hilton Paris Opera,['dinner great comfortable']
Shepherd s Bush Boutique Hotel,[]
Holiday Inn Paris Gare de Lyon Bastille,[]
H tel Regina Op ra Grands Boulevards,[]
11 Cadogan Gardens,[]
The Wellesley Knightsbridge a Luxury Collection Hotel London,[]
H tel Diva Opera,[]
H tel Duo,[]
Best Western Premier Marais Grands Boulevards,[]
Batty Langley s,[]
Best Western Mornington Hotel Hyde Park,['dinner friendly']
H tel Square Louvois,[]
Le Pavillon des Lettres,[]
Hilton London Hyde Park,[]
L H tel,[]
London Marriott Hotel Marble Arch,['dinner pool fitness']
Saint Georges Hotel,[]
Sofitel Paris Arc De Triomphe,['dinner expensive']
Hotel Mercure La Sorbonne Saint Germain des Pr s,[]
Hotel Op ra Richepanse,[]
La Villa Maillot,[]
H tel Madison by MH,[]
Mercure London Paddington Hotel,[]
The Goring,['touch dinner was excellent']
The Pelham Starhotels Collezione,[]
The Montague On The Gardens,['dinner were first']
Ritz Paris,[]
Sofitel Paris Le Faubourg,[]
H tel des Academies et des Arts,[]
Le Marquis Eiffel,[]
Au Manoir Saint Germain,[]
Nolinski Paris,[]
Paris Marriott Opera Ambassador Hotel,[]
H tel Hor,[]
H tel Raphael,[]
Paris Marriott Rive Gauche Hotel,[]
Novotel Paris Centre Gare Montparnasse,[]
Novotel London Greenwich,[]
The Park City Grand Plaza Kensington Hotel,[]
Franklin Roosevelt,[]
The Rockwell,[]
The LaLit London,[]
Hotel The Peninsula Paris,[]
Grand Hotel Saint Michel,[]
Boundary Rooms Suites,[]
Molitor Paris MGallery by Sofitel,[]
First Hotel Paris Tour Eiffel,[]
Montagu Place Hotel,[]
Hotel Design Secret de Paris,[]
Okko Hotels Paris Porte De Versailles,[]
Old Ship Inn Hackney,[]
The Drayton Court Hotel,['dinner quiet']
The Colonnade,[]
H tel Le M,['dinner best']
The Hari London,[]
Banke H tel,['excellent dinner was excellent']
Golden Tulip Bercy Gare de Lyon 209,[]
The Kings Head Hotel,[]
H tel Etoile Saint Honor by Happyculture,[]
Conrad London St James,[]
Hotel Parc Saint Severin Esprit de France,[]
Le Meurice,[]
Goodenough Club,[]
The Nadler Kensington,[]
Caesar Hotel,[]
Hotel Xanadu,[]
Bentley London,[]
Mercure Paris Arc de Triomphe Etoile,[]
The One Barcelona GL,[]
Le Pavillon de la Reine Spa,[]
Bloomsbury Palace Hotel,[]
Hotel du Petit Moulin,[]
Hotel Atmospheres,[]
H tel La Comtesse by Elegancia,[]
Hotel La Villa Saint Germain Des Pr s,[]
Grand Pigalle Hotel,[]
Morgan Mees,[]
Relais Saint Jacques,[]
Relais Christine,[]
Les Matins de Paris Spa,[]
Le Saint Hotel Paris,['dinner the charming']
Holiday Inn London Camden Lock,[]
BoB Hotel by Elegancia,['dinner le']
Comfort Inn Suites Kings Cross St Pancras,[]
The Marble Arch London,[]
Castille Paris Starhotels Collezione,[]
Timhotel Op ra Grands Magasins,['dinner nor provide']
Great St Helen Hotel,[]
H tel Saint Marc,[]
United Lodge Hotel and Apartments,[]
Nottingham Place Hotel,['dinner oxford']
Hotel Claridge Paris,[]
Edouard 7 Paris Op ra,[]
K K H tel Cayr Saint Germain des Pr s,['dinner a little']
Fielding Hotel,[]
Le A,['dinner and overall']
Grand H tel Du Palais Royal,[]
Best Western Aulivia Op ra,[]
Renaissance Paris Vendome Hotel,[]
Hotel Park Lane Paris,[]
Little Palace Hotel,['dinner was great']
H tel De Sers Champs Elys es Paris,[]
Grange Strathmore Hotel,[]
Le Mathurin Hotel Spa,[]
Millennium Hotel London Mayfair,[]
H tel de Varenne,[]
A La Villa Madame,[]
Novotel London Blackfriars,[]
The Marylebone Hotel,[]
The Whitechapel,[]
H tel Th r se,[]
Best Western Premier Trocadero La Tour,[]
Le Relais M dicis,[]
Park Hyatt Paris Vendome,[]
Best Western Plus Elys e Secret,[]
H tel Mansart Esprit de France,[]
La Maison Favart,[]
The Arch London,[]
Residence Henri IV,[]
The Westbourne Hyde Park,[]
Hotel Le Mareuil,[]
The Lodge Hotel Putney,[]
Shaftesbury Hyde Park International,[]
H tel Powers,['dinner quick']
H tel Du Jeu De Paume,[]
The Sumner Hotel,['dinner at le']
Renaissance Paris Le Parc Trocadero Hotel,[]
Hotel Monge,[]
Hazlitt s,[]
Amarante Beau Manoir,[]
H tel Regent s Garden,[]
Rydges Kensington Hotel,['dinner was excellent']
Club Quarters Hotel Lincoln s Inn Fields,[]
Best Western Plus 61 Paris Nation Hotel,[]
Hotel Saint Dominique,['dinner was great']
Mercure Tour Eiffel Grenelle,[]
Best Western Hotel Montmartre Sacr Coeur,"['romantic dinner at le', 'dinner close']"
Mandarin Oriental Hyde Park London,['dinner great']
Grange Rochester Hotel,[]
St James Hotel Club Mayfair,[]
Apex London Wall Hotel,[]
Hotel de Nell,['dinner because popular']
H tel Baume,[]
Hotel West End,[]
Hotel Ares Eiffel,[]
Hotel Monceau Wagram,[]
Novotel London Excel,[]
H tel Exquis by Elegancia,[]
Radisson Blu Champs Elys es Paris,[]
H tel Thoumieux,[]
Ten Manchester Street Hotel,[]
The Laslett,[]
Novotel Paris Les Halles,[]
Chambiges Elys es,[]
H tel Le Bellechasse Saint Germain,[]
The Cavendish London,[]
La Clef Tour Eiffel,[]
The Zetter Hotel,['great late dinner great']
Hotel OFF Paris Seine,[]
Snob Hotel by Elegancia,[]
H tel Le Relais Saint Germain,['dinner friendly']
Best Western Le Jardin de Cluny,[]
Relais H tel du Vieux Paris,[]
Thistle Hyde Park,[]
Hotel Spa La Belle Juliette,[]
Mercure Paris Opera Louvre,['dinner options other']
La Villa des Ternes,[]
H tel Monna Lisa Champs Elys es,[]
Sir Albert Hotel,['dinner reservations local']
Maison Borella,[]
