Hotel_Name,Descriptions
Hotel Arena,"['location as many', 'good location comfortable', 'great good location free', 's location is pretty', 'location is good', 'location was superb', 'location is perfect', 'modern and location was great', 'great location was good', 'location was great', 'location my spacious', 'location is great', 'nice location super helpful', 'good location some nice', 'great location old', 'location helpful', 'good location good', 'location very good', 'location was perfect', 'location was ok', 'amazing location is adorable', 'great location lovely helpful', 'location generally distant', 'location was good', 'great location in nice', 'location is beautiful']"
K K Hotel George,"['excellent hotel location is amazing', 'great location friendly', 'good location beautiful', 'location easy', 'good location and reasonable', 'convenient location great', 'location near earls', 'good location comfortable', 'great location excellent friendly', 'location for central', 'perfect location in south', 'brilliant location hotel comfortable', 'nice location is great', 'location and great', 'quite location great', 'excellent location helpful', 'location excellent', 'location is good', 'location was excellent', 'good location parking available', 'perfect location great', 'fantastic location very clean', 'superior buffet location is great', 'great location few', 'excellent location good', 'location good', 'comfortable location is brilliant', 'location is perfect', 'helpful the location was great', 'good location in london', 'location very convenient', 'location so easy', 'location was great', 'great location friendly helpful', 'excellent location near major', 'quiet location very nice', 'location fantastic', 'location great', 'good location quiet', 'good location in earls', 'good location and private', 'location comparatively quiet', 'good location nice quiet', 'location is great', 'great location great', 'great location good', 'location is excellent', 'perfect location excellent', 'location friendly', 'excellent location quiet', 'clean the location was quiet', 'excellent location near earl', 'location full', 'convenient location for earl', 'location new', 'great location very clean', 'excellent location with london', 'good location and great', 'quiet location nice', 'good location good', 'great location for earls', 'location just first', 'location was perfect', 'buffet hotel location great', 'great location very polite', 'location was fantastic', 'location is superb', 'good location nice friendly', 'comfy location is nice', 'good location near earls', 'great location easy', 'location cleanliness friendly', 'location was good', 'good location friendly']"
Apex Temple Court Hotel,"['good location helpful', 'excellent location a lovely', 'excellent location for theatre', 'modern location was fantastic', 'location and overall', 'helpful staff location comfort quiet', 'location were great', 'excellent location for west', 'location great', 'location is ideal', 'comfortable great location great', 'excellent location great', 'ok location good', 'brilliant location between west', 'brilliant location comfortable huge', 'beautiful and location extremely convenient', 'quiet location for central', 'quiet location great', 'peaceful location lovely outdoor', 'location was perfect', 'attractive location on fleet', 'great location central', 'excellent location and super', 'great location quiet comfortable', 'great location with easy', 'great location rooms fantastic', 'great location comfortable', 'good location comfortable', 'location nice', 'perfect location with stylish', 'great location quiet', 'location the friendly', 'excellent location near soho', 'location is good', 'location was excellent', 'quiet location is unusual', 'wonderful location for theatre', 'immaculate excellent location good', 'location perfect friendly', 'quiet location wonderful', 'excellent location super helpful', 'confortable location is good', 'location very convenient', 'excellent location modern clean', 'location and fabulous', 'great location great', 'fantastic location and complimentary', 'great location very good', 'great location courteous', 'great location very comfortable', 'location is unbeatable', 'fantastic location phenomenal', 'good location yet quiet', 'good location and decent', 'location is quiet', 'great location excellent', 'great location friendly', 'perfect location perfect', 'location is exquisite', 'excellent location good', 'great location lovely clean', 'good location lovely housekeeping', 'location fleet street', 'location was ideal', 'excellent location was central', 'clean brilliant location very pleasant', 'great location clean', 'excellent location for london', 'great location great friendly', 'excellent location and good', 'great location large', 'great location very central', 'fantastic and location was excellent', 'attentive the location was brilliant', 'location and friendly', 'good location great', 'great location for major', 'great location for nye', 'location was ok', 'fantastic location both central', 'great location quiet helpful', 'location was good', 'location incredible', 'location lovely modern', 'good location friendly', 'great location modern interior', 'excellent location and excellent', 'friendly staff location not excellent', 'nice quiet location very helpful', 'great location large comfortable', 'location was great', 'location is amazing', 'wonderful location very central', 'helpful staff location in easy', 'location is great', 'great location good', 'location is excellent', 'welcome perfect location beautiful', 'perfect location clean modern', 'location so central', 'great location very clean', 'excellent location beautiful', 'great location comfortable clean', 'excellent location nice', 'location excellent clean', 'location luxurious', 'good location very helpful']"
The Park Grand London Paddington,"['good location helpful', 'quiet pleasant location a few', 'quiet location good', 'location is convenient', 'great location very helpful', 'convenient location very clean', 'location very clean', 'great location with friendly', 'central location beautiful boutique', 'perfect location friendly', 'good location modern', 'location great', 'attentive the location was fabulous', 'excellent location with friendly', 'comfortable location was good', 'comfortable ideal location for central', 'location was wonderful', 'location was brilliant', 'location small', 'location ok', 'location very polite', 'location was perfect', 'location and good', 'perfect location helpful', 'available the location was good', 'location and nice', 'great good location and friendly', 'helpful location was quiet', 'awful location is awful', 'great location comfortable', 'great location was great', 'location clean', 'excellent location and friendly', 'helpful the location was good', 'location is good', 'location was excellent', 'excellent quiet location great', 'location is ok', 'location good', 'good location excellent', 'great location spacious', 'great location in paddington', 'great location with small', 'location very good', 'great location nice helpful', 'excellent location easy', 'location free', 'great location easy', 'good location and nice', 'helpful the location is convenient', 'great location friendly', 'location and modern', 'location is super', 'good location easy', 'good location with easy', 'excellent location friendly', 'efficient great location fabulous', 'nice location great indian', 'location was difficult', 'location was ideal', 'clean good location friendy', 'location very friendly', 'good location but nice', 'location and friendly', 'good location great', 'comfy the location was brilliant', 'good location and friendly', 'excellent location very professional', 'touch decent location quiet', 'good location nice', 'location was fantastic', 'location was good', 'good location friendly', 'location polite', 'excellent location good comfortable', 'good location able', 'excellent location and comfortable', 'great location very convenient', 'location polite good', 'good location and easy', 'lovely location was great', 'location good lebanese', 'location was nice', 'location is perfect', 'location was great', 'good location very friendly', 'good location quiet', 'delicious and location was great', 'location friendly', 'location is great', 'great location good', 'location is excellent', 'comfortable and location was perfect', 'location is safe', 'good location good', 'other rooms location was fabulous', 'location was central', 'location is satisfactory', 'great location near paddington', 'helpful location is central', 'great central location and excellent', 'location is nice']"
Monhotel Lounge SPA,"['good location really good', 'good location helpful', 'location is excellent', 'good location comfortable', 'location was brilliant', 'location was great', 'location was excellent']"
The Principal London,"['good location helpful', 'excellent location superb historic', 'location is fantastic', 'good service location is right', 'great central location for oxford', 'ideal location central', 'convenient location for central', 'location and overall', 'perfect location iconic', 'location very comfortable', 'perfect location friendly', 'great location friendly helpful', 'fantastic location very comfortable', 'location great', 'location is ideal', 'excellent location with friendly', 'good location traditional', 'friendly the location was perfect', 'location very easy', 'nice and location was great', 'excellent location great', 'location exceptional', 'location was wonderful', 'fantastic location beautiful', 'location and grand', 'excellent location v friendly', 'central location clean friendly', 'location was perfect', 'great location friendly tempus', 'wonderful location and grand', 'location was fabulous', 'good the location was great', 'location and outside', 'location spacious', 'good location very pleasant', 'pleasant lovely location nice comfy', 'great location quiet', 'location the friendly', 'great location is perfect', 'central location beautiful victorian', 'location is good', 'location was excellent', 'location is ok', 'good location clean', 'helpful the location extremely convenient', 'location were excellent', 'location good', 'attentive location is good', 'location was terrific', 'great location and central', 'great location for british', 'great location great', 'perfect location less', 'good location and beautiful', 'location short', 'good the location was excellent', 'great location spacious', 'gorgeous location and clean', 'great location amazing', 'friendly location very central', 'central location friendly impersonal', 'great location nice', 'excellent the location is brilliant', 'location hysterical', 'location very good', 'location is unbeatable', 'nice location friendly', 'location is superb', 'perfect location extremely friendly', 'location our favorite', 'great location easy', 'location and general', 'location impressive', 'location and spacious', 'great location friendly', 'good location in central', 'great location lovely friendly', 'big location was excellent', 'good location grand old', 'location was super', 'great location and excellent', 'comfortable good location with easy', 'excellent location very clean', 'location excellent', 'upgrade location is brilliant', 'amazing location is great', 'location quiet', 'great location very grand', 'location lovely', 'location was ideal', 'location right next', 'good location great little', 'friendly the location was good', 'location has great', 'great location staff friendly', 'great location and beautiful', 'location very friendly', 'excellent location and good', 'fantastic location and great', 'location clean nice', 'great location efficient', 'location excellent excellent', 'great location and friendly', 'good location was good', 'fantastic location very helpful', 'great location beautiful old', 'brilliant location comfortable', 'location was good', 'good good location and great', 'marvelous the location is perfect', 'superb location very friendly', 'great location beautiful', 'location perfect great', 'location fine', 'professional location was great', 'great location clean comfortable', 'great the location is perfect', 'excellent location clean', 'location central', 'location was fine', 'excellent location and nice', 'single room location excellent', 'great location very friendly', 'handy location nice', 'convenient location friendly', 'location very grand', 'good location very stunning', 'location is perfect', 'good location for central', 'location was great', 'good location clean good', 'same location for less', 'location is great', 'fantastic location good', 'great location good', 'location is excellent', 'good location very easy', 'perfect location comfortable', 'helpful location excellent beautiful', 'great location was sentral', 'good location grand victorian', 'good location good', 'super location friendly', 'good location big', 'ideal location with friendly', 'friendly fab location very convenient']"
Park Plaza County Hall London,"['great location lovely views', 'good location helpful', 'location is fabulous', 'location comfort easy', 'location is fantastic', 'location staff good', 'good location a short', 'good location and quiet', 'great location and easy', 'great location clean friendly', 'friendly location was perfect', 'helpful great location beautiful', 'great location with close', 'location but due', 'great location friendly helpful', 'location is excerlent', 'superb location is great', 'great location fresh modern', 'location great', 'location is ideal', 'great location and good', 'excellent location great', 'ok location is excellent', 'location and quiet', 'excellent location rooms spacious', 'excellent location very friendly', 'great location and luxurious', 'reasonable location was good', 'location is top', 'excellent and location very convenient', 'helpful the location was perfect', 'location is pefect', 'comfortable good location and pleasant', 'location was perfect', 'location and nice', 'excellent central location easy', 'great location friendly competent', 'excellent location friendly helpful', 'good location and big', 'great location comfortable', 'comfortable room location great', 'good location very warmful', 'location is phenomenal', 'nice restaurant location is great', 'clean the location was great', 'location is good', 'location was excellent', 'great location fabulous', 'good location quite modern', 'location good', 'fantastic location very accommodating', 'brilliant location lovely', 'good location very clean', 'good location with excellent', 'great location and great', 'great location nice big', 'location was terrific', 'great quality location very good', 'location was phenomenal', 'great location great', 'helpful location to main', 'fantastic location friendly', 'super location just few', 'great location spacious', 'central location handy', 'good location pleasant', 'location helpful', 'great location nice', 'perfect location nice', 'fantastic location is brilliant', 'location is unbeatable', 'location was helpful', 'comfy the location was great', 'location is superb', 'location and nearby', 'location is brilliant', 'great location friendly', 'excellent location and fantastic', 'great location and comfortable', 'central location separate', 'excellent location very clean', 'location excellent', 'excellent location and knowledgable', 'perfect location with great', 'comfortable location is excellent', 'location quiet', 'excellent location friendly', 'great location and super', 'location is awesome', 'better location not great', 'location was ideal', 'location right next', 'great location very nice', 'good location kept clean', 'location beside london', 'working day location is great', 'excellent central location help full', 'central location friendly', 'good location for tubes', 'good location with good', 'location very friendly', 'nice location overlooking london', 'london location was great', 'location and friendly', 'superior room location was great', 'location for big', 'great location and friendly', 'good location and friendly', 'much location spacious', 'good location spectacular', 'location was fantastic', 'good location nice', 'location to several', 'fantastic location very helpful', 'comfortable the location was perfect', 'excellent location and helpful', 'location was good', 'perfect location a few', 'good location friendly', 'great location in central', 'location is cool', 'location suite upgrade', 'location and great', 'great location modern', 'location were wonderful', 'excellent and location is excellent', 'great location and helpful', 'location room small', 'good location and easy', 'friendly location is fantastic', 'great location very friendly', 'location and excellent', 'location was key', 'location is perfect', 'excellent location very quiet', 'location was great', 'good location very friendly', 'location perfect', 'great location able', 'good location v friendly', 'good and location is excellent', 'location cordial', 'good location was perfect', 'location friendly', 'location is great', 'great location very handy', 'great location good', 'location is excellent', 'fantastic location and excellent', 'fantastic location nice modern', 'nice location good', 'location was close', 'great location very clean', 'upgraded room location was great', 'great location with lovely', 'location the best', 'good location good', 'excellent location with many', 'location was central', 'convenient location helpful', 'clean location was good', 'good location and small']"
One Aldwych,"['excellent location nice', 'great location friendly', 'excellent location really good', 'location is excellent', 'location was perfect', 'excellent location for central', 'best location for covent', 'location and overall', 'location is perfect', 'fantastic location brilliant', 'location is fantastic', 'fantastic location comfortable', 'good location very helpful', 'great location for west', 'location great', 'great location and lovely', 'excellent location good']"
Splendid Etoile,"['great location friendly', 'comfortable location most', 'good location easy', 'friendly location is superb', 'welcome drink location overall', 'location is perfect', 'location was great', 'great location very nice', 'fab location great helpful', 'location is amazing', 'excellent location great', 'location is great', 'location friendly', 'location is excellent', 'location and friendly', 'good location great', 'good location good', 'location was perfect', 'location was exillant', 'excellent location easy', 'location and clean']"
Hotel Trianon Rive Gauche,"['great location comfortable', 'friendly staff location is perfect', 'excellent location and comfortable', 'great location comfortable small', 'good location and comfortable', 'overall convenient location for public', 'excellent breakfast location is perfect', 'brilliant location with easy', 'location is good', 'location was excellent', 'location is exceptional', 'great location very friendly', 'excellent location friendly', 'location is wonderful', 'location was superb', 'practical location for paris', 'location is perfect', 'location was awesome', 'location was great', 'excellent location extremely close', 'location very quiet', 'location is great', 'good location safe', 'great location good', 'location is excellent', 'great location great', 'nice location small', 'great location very clean', 'friendly location super early', 'excellent location nice', 'location best', 'quiet location comfortable', 'great location easy', 'great location attractive', 'great location excellent']"
