Hotel_Name,Descriptions
Hotel Arena,['lunch were awful']
K K Hotel George,['lunch was delicious']
The Principal London,[]
One Aldwych,[]
Novotel Suites Paris Nord 18 me,[]
Knightsbridge Hotel,[]
The London EDITION,['fixed lunch menu excellent']
The Cranley Hotel,[]
The Nadler Soho,['lunch mary']
The Nadler Victoria,[]
Novotel London Tower Bridge,[]
H tel Keppler,[]
The Victoria,[]
Thistle Kensington Gardens,[]
Park Plaza Sherlock Holmes London,[]
Shepherd s Bush Boutique Hotel,[]
H tel Regina Op ra Grands Boulevards,[]
H tel Duo,[]
Novotel London Waterloo,[]
Le Relais Madeleine,[]
Best Western Mornington Hotel Hyde Park,[]
Arbor City,[]
Le Grey Hotel,[]
Ambassadors Bloomsbury,[]
1K Hotel,[]
H tel Westminster,[]
The Chamberlain,[]
London Marriott Hotel Marble Arch,[]
Sofitel Paris Arc De Triomphe,[]
Best Western Premier Louvre Saint Honor ,[]
Charlotte Street Hotel,[]
The Goring,[]
Sofitel Paris Le Faubourg,[]
Best Western Premier Le Swann,[]
Hotel Lumen Paris Louvre,[]
The Leonard Hotel,[]
Au Manoir Saint Germain,[]
Best Western S vres Montparnasse,[]
Hotel Indigo London Paddington,[]
Park Avenue Baker Street,[]
The Rockwell,[]
Radisson Blu Edwardian Sussex,[]
H tel Les Dames du Panth on,[]
Best Western Ducs de Bourgogne,['fab lunch menu']
Villa Montparnasse,[]
Old Ship Inn Hackney,[]
The Colonnade,['pleasant lunch menu great']
H tel Le M,[]
Radisson Blu Edwardian Mercer Street,[]
Twenty Nevern Square Hotel,[]
Mercure Paris Terminus Nord,[]
The Kings Head Hotel,['lunch delicious']
H tel Brighton Esprit de France,[]
Best Western Seraphine Kensington Olympia,[]
Le Meurice,[]
Bentley London,[]
Forest Hill Paris la Villette,[]
Bloomsbury Palace Hotel,[]
Morgan Mees,[]
Holiday Inn London Mayfair,[]
Hyatt Regency Paris Etoile,['lunch were perfect']
Relais Christine,[]
H tel Bourgogne Montana by MH,[]
Henley House Hotel,[]
Radisson Blu Edwardian Hampshire,[]
Blakes Hotel,['lunch delish']
Rafayel Hotel Spa,[]
The Chesterfield Mayfair,['lunch expensive']
Mercure Paris Porte De Versailles Expo,[]
H tel Saint Marc,[]
Dorset Square Hotel,['lunch high']
Edouard 7 Paris Op ra,[]
Buddha Bar Hotel Paris,[]
Holiday Inn Paris Notre Dame,[]
Little Palace Hotel,[]
Andaz London Liverpool Street,['lunch was great']
H tel de Lille,[]
Claridge s,[]
H tel R de Paris Boutique Hotel,[]
Grange Tower Bridge Hotel,[]
St Martins Lane A Morgans Original,[]
The Premier Notting Hill,[]
Best Western Premier Trocadero La Tour,[]
Mercure Paris Op ra Faubourg Montmartre,[]
Villa Beaumarchais,[]
Holiday Inn Paris Gare de l Est,['lunch very happy']
Shaftesbury Hyde Park International,[]
The Montcalm At Brewery London City,"['lunch facilities great', 'lunch very good']"
H tel Powers,[]
Novotel London City South,['lunch the next']
Hotel Eug ne en Ville,[]
Le Relais Montmartre,[]
Sofitel London St James,[]
Rydges Kensington Hotel,['lunch continental']
Hotel Saint Dominique,[]
Grange Rochester Hotel,[]
Seraphine Kensington Gardens Hotel,[]
Club Quarters Hotel Gracechurch,[]
H tel Baume,[]
Novotel London Excel,[]
H tel Exquis by Elegancia,[]
Shaftesbury Metropolis London Hyde Park,[]
The Cavendish London,['lunch bit tired']
La Clef Tour Eiffel,[]
Novotel Paris Centre Bercy,['lunch really good']
Snob Hotel by Elegancia,['long french lunch with great']
Adria Boutique Hotel,[]
Sydney House Chelsea,[]
Radisson Blu Edwardian Bloomsbury Street,['lunch very good']
Victoire Germain,[]
Holiday Inn Paris Saint Germain des Pr s,[]
DoubleTree by Hilton London West End,[]
Radisson Blu Edwardian Kenilworth,[]
Park Hyatt Vienna,[]
Hotel Mailberger Hof,[]
Catalonia Catedral,[]
Pullman Barcelona Skipper,[]
Tryp Barcelona Apolo Hotel,[]
Crowne Plaza Barcelona Fira Center,[]
Gran Hotel Torre Catalunya,[]
Melia Barcelona Sarri ,[]
Col n Hotel Barcelona,[]
The Capital,['lunch was fantastic']
Megaro Hotel,[]
Hotel De Hallen,[]
Hotel Regina,[]
Thistle Holborn The Kingsley,[]
Amba Hotel Marble Arch,[]
Hotel Villa Emilia,['enjoyable lunch in trendy']
TWO Hotel Barcelona by Axel 4 Sup Adults Only,['hungry till lunch nice']
Senator Barcelona Spa Hotel,[]
Ayre Hotel Caspe,[]
Doubletree By Hilton London Greenwich,[]
U232 Hotel,[]
Pestana Arena Barcelona,[]
