Hotel_Name,Descriptions
Monhotel Lounge SPA,[]
Haymarket Hotel,[]
Shangri La Hotel Paris,[]
The Nadler Soho,[]
The Ampersand Hotel,[]
The Nadler Victoria,[]
Maison Souquet,[]
Le Senat,[]
Hotel des Tuileries Relais du Silence,[]
W London Leicester Square,[]
The Kensington Hotel,['park and good']
11 Cadogan Gardens,[]
Op ra Marigny,[]
H tel Le Marianne,[]
Hotel Eden,[]
Ashburn Hotel,['park kensington high']
Le Relais Madeleine,[]
La Tremoille Paris,[]
H tel Duc De St Simon,[]
London Marriott Hotel Park Lane,['park few']
Windermere Hotel,[]
The Bloomsbury Hotel,[]
Hotel Indigo London Paddington,[]
Hotel Xenia Autograph Collection,[]
Villa Eugenie,[]
Bulgari Hotel London,['park is wonderful']
Hotel Plaza Elys es,[]
Best Western Paris Gare Saint Lazare,[]
Le Narcisse Blanc Spa,[]
Hotel Design Secret de Paris,[]
Hotel Indigo Paris Opera,[]
H tel Belloy Saint Germain By Happyculture,[]
InterContinental Paris Le Grand,[]
The Abbey Court Notting Hill,['park notting hill']
L Edmond H tel,[]
London Suites,[]
Grange Beauchamp Hotel,[]
H tel Vernet,[]
The One Barcelona GL,[]
The Zetter Townhouse Marylebone,[]
Le Pavillon de la Reine Spa,[]
Morgan Mees,[]
Royal Saint Michel,[]
Relais Saint Jacques,[]
Hotel Square,[]
H tel Bourgogne Montana by MH,[]
The Westin Paris Vend me,[]
Holiday Inn Paris Op ra Grands Boulevards,[]
Le Belmont Champs Elys es,[]
BoB Hotel by Elegancia,[]
H tel du Minist re,['park several']
Prince de Galles a Luxury Collection hotel Paris,[]
ME London by Melia,[]
Best Western Maitrise Hotel Edgware Road,[]
Georgian House Hotel,['park most other']
The Chesterfield Mayfair,['park busy']
Dukes Hotel,[]
Hotel Claridge Paris,[]
Grange Buckingham Hotel,[]
Renaissance Paris Arc de Triomphe Hotel,[]
The Soho Hotel,[]
Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,[]
Grand H tel Du Palais Royal,[]
Hotel le Lapin Blanc,[]
41,[]
Le Tsuba Hotel,[]
H tel Pont Royal,[]
Best Western Le 18 Paris,[]
The Sumner Hotel,['park and oxford']
Holiday Inn London Oxford Circus,[]
H tel Balzac,[]
AC Hotel Paris Porte Maillot by Marriott,[]
Hotel VIU Milan,[]
Best Western Hotel Montmartre Sacr Coeur,[]
Mandarin Oriental Hyde Park London,[]
H tel Bel Ami,[]
Hotel de Nell,[]
Grange Blooms Hotel,['park opposite']
H tel Baume,[]
Hotel West End,[]
H tel Montmartre Mon Amour,[]
London Bridge Hotel,[]
The Beaumont Hotel,['park very quiet']
La Maison Champs Elys es,[]
Best Western Premier Faubourg 88,[]
Hotel De Vigny,[]
Radisson Blu Edwardian Kenilworth,[]
Axel Hotel Barcelona Urban Spa Adults Only,[]
ABaC Restaurant Hotel Barcelona GL Monumento,[]
Aparthotel Arai 4 Superior,[]
NH Collection Barcelona Podium,[]
The Capital,[]
The Westbury A Luxury Collection Hotel Mayfair London,[]
Hotel Sans Souci Wien,[]
Jumeirah Carlton Tower,[]
Chasse Hotel,[]
U232 Hotel,[]
Hotel Crivi s,[]
Tryp Barcelona Condal Mar Hotel,[]
City Rooms,[]
HCC St Moritz,[]
Petit Palace Museum,[]
Hotel Casa Camper,[]
COMO The Halkin,[]
Four Seasons Hotel London at Park Lane,[]
Am Spiegeln,[]
Hotel Bristol A Luxury Collection Hotel,[]
Small Luxury Hotel Altstadt Vienna,[]
Hotel Dieci,[]
Ilunion Bel Art,[]
Hotel Gran Derby Suites,[]
Room Mate Carla,[]
Holiday Inn Vienna City,[]
Boutiquehotel Das Tyrol,[]
Pakat Suites Hotel,[]
Hotel Die Port van Cleve,[]
Hotel Margot House,[]
Monument Hotel,[]
Hotel Midmost,[]
TownHouse 12,[]
Hotel Sunflower,[]
Hotel du Louvre in the Unbound Collection by Hyatt,[]
W Paris Op ra,[]
Dikker en Thijs Fenice Hotel,[]
Roger de Ll ria,[]
Catalonia Square 4 Sup,[]
Hyatt Regency Amsterdam,[]
The Ritz Carlton Vienna,[]
The Stafford London,['park a wonderful']
Hotel Capitol Milano,[]
Admiral Hotel,[]
Four Seasons Hotel Milano,[]
TH Street Duomo,[]
AC Hotel Milano a Marriott Lifestyle Hotel,[]
Sheraton Diana Majestic,[]
Strandhotel Alte Donau,[]
