Hotel_Name,Descriptions
Monhotel Lounge SPA,[]
Hotel Scribe Paris Opera by Sofitel,['restaurant is good']
Haymarket Hotel,"['restaurant was sublime', 'restaurant and enjoyed', 'restaurant were abrasive', 'great restaurant with excellent']"
Belfast,"['restaurant is opposite', 'restaurant and cafe']"
Atala Champs Elys es,[]
Holiday Inn Paris Montparnasse Pasteur,[]
Les Plumes Hotel,[]
Melia Paris Champs Elys es,[]
H tel Regina Op ra Grands Boulevards,[]
The Wellesley Knightsbridge a Luxury Collection Hotel London,[]
Le Marcel,[]
Hotel Eden,[]
Ashburn Hotel,[]
H tel Square Louvois,[]
Le Grey Hotel,[]
H tel San R gis,[]
Le 123 Elysees Astotel,[]
Maxim Op ra,[]
Hotel Odeon Saint Germain,[]
The Henrietta Hotel,[]
Hotel Mercure La Sorbonne Saint Germain des Pr s,[]
Hotel Le Six,[]
Windermere Hotel,[]
H tel Madison by MH,[]
Ritz Paris,[]
Au Manoir Saint Germain,['great restaurant and fabulous']
D clic Hotel,[]
Bulgari Hotel London,[]
Best Western Paris Gare Saint Lazare,[]
Splendide Royal Paris,[]
Le Narcisse Blanc Spa,[]
H tel Les Dames du Panth on,[]
Hotel Maison Ath n e,[]
H tel Ad le Jules,[]
First Hotel Paris Tour Eiffel,[]
Hotel Dupond Smith,[]
La Villa Royale,[]
H tel Belloy Saint Germain By Happyculture,[]
H tel Le M,[]
Mercure Paris Notre Dame Saint Germain des Pr s,[]
Mercure Paris Montparnasse Raspail,[]
Golden Tulip Bercy Gare de Lyon 209,[]
The Academy,['restaurant was friendly']
H tel F licien by Elegancia,[]
The Kings Head Hotel,[]
Hotel Le petit Paris,[]
Mercure Paris 19 Philharmonie La Villette,[]
L Edmond H tel,[]
H tel France d Antin Op ra,[]
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,[]
Royal Saint Honore,"['restaurant was empty', 'restaurant is nice']"
Holiday Inn Paris Montmartre,[]
Phileas Hotel,[]
Holiday Inn Paris Elys es,[]
XO Hotel,[]
Mercure Paris Arc de Triomphe Etoile,[]
The Zetter Townhouse Marylebone,['cozy place restaurant with wonderful']
The Levin Hotel,[]
Le Pavillon de la Reine Spa,[]
TRYP Paris Op ra,[]
Les Matins de Paris Spa,[]
Best Western Plus de Neuville Arc de Triomphe,[]
Holiday Inn Paris Op ra Grands Boulevards,[]
Le Belmont Champs Elys es,[]
Majestic Hotel Spa,[]
BoB Hotel by Elegancia,[]
Acad mie H tel Saint Germain,"['restaurant recommendations latin', 'restaurant on first']"
Plaza Tour Eiffel,[]
Best Western Allegro Nation,[]
Madeleine Plaza,['neighbourhood bar restaurant next']
Hotel Oscar,[]
Artus Hotel by MH,[]
Hotel Whistler,[]
Etoile Saint Ferdinand,[]
H tel Le Walt,[]
Hotel Claridge Paris,[]
H tel de La Tamise Esprit de France,[]
Renaissance Paris Vendome Hotel,[]
Trinit Haussmann,[]
H tel Crayon Rouge by Elegancia,[]
Hotel Le Saint Gregoire,[]
Le Mathurin Hotel Spa,['good restaurant open']
H tel Saint Paul Rive Gauche,[]
A La Villa Madame,[]
45 Park Lane Dorchester Collection,"['great restaurant best', 'restaurant very high']"
H tel Barri re Le Fouquet s,[]
Hotel Villa Lafayette Paris IX,[]
St George Hotel,[]
Pershing Hall,"['delicious restaurant and friendly', 'restaurant friendly']"
H tel Pont Royal,['amazing restaurant is great']
Le Relais M dicis,[]
Mercure Paris Op ra Faubourg Montmartre,[]
Golden Tulip Washington Opera,[]
Hotel Le Mareuil,[]
Mercure Paris Bastille Marais,[]
Renaissance Paris Le Parc Trocadero Hotel,[]
Hotel Monge,[]
Le Relais Montmartre,[]
H tel Regent s Garden,[]
Mercure Paris 15 Porte de Versailles,[]
Nell Hotel Suites,['restaurant of nell']
Hotel Saint Dominique,[]
InterContinental Paris Avenue Marceau,[]
Hotel Des Saints Peres Esprit de France,[]
H tel Jos phine by Happyculture,[]
H tel Bel Ami,[]
Seraphine Kensington Gardens Hotel,['good restaurant next']
Goralska R sidences H tel Paris Bastille,[]
Hotel West End,[]
Hotel Les Bains Paris,[]
Francois 1er,[]
Paris Marriott Champs Elysees Hotel,[]
London Bridge Hotel,[]
Mercure Paris Gobelins Place d Italie,[]
Hotel Verneuil Saint Germain,[]
Hotel Daniel Paris,[]
H tel Arvor Saint Georges,['local restaurant at short']
La Chambre du Marais,[]
Hotel De Vigny,['good the restaurant is great']
Villa Alessandra,[]
Golden Tulip Opera de Noailles,[]
Hotel Spa La Belle Juliette,[]
Mercure Paris 17 me Saint Lazare Monceau,[]
Hotel Bellevue Wien,['restaurant is great']
Sercotel Amister Art Hotel Barcelona,['restaurant exellent']
AC Hotel Irla a Marriott Lifestyle Hotel,[]
Arenas Atiram Hotels,[]
Palais Coburg Residenz,['delicious restaurant is high']
Hotel Crivi s,[]
City Rooms,[]
Primero Primera,['restaurant with great']
Hotel Johann Strauss,['restaurant with good']
Hotel Mercure Wien Westbahnhof,[]
City Hotel Deutschmeister,[]
Hotel J ger,[]
Club Hotel Cortina,[]
Hotel JL No76,"['great seafood restaurant on next', 'restaurant was delicious']"
Hotel Dieci,[]
Ilunion Bel Art,[]
Ofelias Hotel 4 Sup,[]
The Level at Melia Barcelona Sky,[]
Hotel Rekord,[]
Das Opernring Hotel,[]
Hotel Beethoven Wien,['restaurant is wonderful']
Renaissance Barcelona Hotel,[]
Hotel Mercure Milano Centro,[]
Hotel Seven One Seven,[]
Hotel Garbi Millenni,[]
Bcn Urban Hotels Gran Rosellon,[]
Hotel Advance,[]
Hotel Capitol Milano,[]
Hotel Clerici,[]
Hotel Pierre Milano,[]
Hotel Bristol,[]
Admiral Hotel,[]
Mercure Milano Regency,[]
UNA Hotel Scandinavia,[]
Hotel La Spezia Gruppo MiniHotel,[]
Ilunion Almirante,[]
Hotel Boutique Duomo,[]
Grand Hotel et de Milan,[]
Hotel Carrobbio,[]
Hotel Mercure Milano Solari,[]
Bulgari Hotel Milano,['restaurant serve ok']
Antica Locanda Dei Mercanti,[]
Palazzo Segreti,[]
Park Hyatt Milano,[]
Hotel Liberty,[]
Best Western Hotel Astoria,[]
