Hotel_Name,Descriptions
Apex Temple Court Hotel,"['great the staff was friendly', 'friendly obliging staff nice', 'staff was attentive', 'staff very polite', 'staff excellent', 'square staff were friendly', 'polite staff very good', 'staff were terrific', 'clean too staff were great', 'staff were lovely', 'clean the staff were friendly', 'staff not attentive', 'decor friendly staff good', 'entire staff had excellent', 'difficult flight staff very welcoming', 'staff spacious', 'good and staff very helpful', 'staff were rude', 'wonderful staff and good', 'excellent staff able', 'london location staff were friendly', 'staff were superb', 'helpful staff early', 'staff are happy', 'friendly staff good', 'unobtrusive staff comfortable clean', 'great staff good', 'staff and delicious', 'staff food easy', 'helpful staff willing', 'friendly staff small', 'staff were friendly', 'staff incredibly attentive', 'staff were super', 'staff very friendly', 'arrival staff were friendly', 'great staff great', 'staff were excellent', 'friendly staff very comfortable', 'clean staff very helpful', 'friendly staff very clean', 'friendly staff excellent', 'staff was marvelous', 'staff were attentive', 'great location staff very helpful', 'lovely staff and great', 'staff was delightful', 'great reception staff fantastic', 'quiet staff were great', 'friendly staff comfortable', 'helpful staff and perfect', 'lovely staff were brilliant', 'staff was more', 'atmosphere staff very helpful', 'friendly professional staff very comfortable', 'staff are friendly', 'excellent staff clean quiet', 'spacious staff very friendly', 'spotless and staff were super', 'helpful staff great', 'pleasant staff and good', 'staff are cold', 'staff really friendly', 'friendly staff big', 'staff were wonderful', 'phenomenal staff gorgeous', 'attentive staff great', 'nice staff really helpful', 'excellent staff very attentive', 'modern interior staff very helpful', 'helpful staff excellent', 'good staff and excellent', 'staff were brilliant', 'staff generally helpful', 'great bathroom staff were friendly', 'staff very helpful', 'hard staff is efficient', 'courteous staff clean', 'square reception staff were plentiful', 'extra price staff very helpful', 'excellent staff high', 'great and staff very helpful', 'friendly staff great', 'staff lovely great', 'staff were aloof', 'wonderful staff great', 'excellent staff very clean', 'staff were fantastic', 'staff attentative', 'pleasant staff good', 'ideal location staff very helpful', 'super staff very flexible', 'staff were outstanding', 'helpful staff attractive', 'helpful staff very comfortable', 'fresh the staff were helpful', 'helpful staff and good', 'main roads staff extremely friendly', 'quiet helpful staff clean comfortable', 'friendly staff quiet', 'friendly staff willing', 'london staff were friendly', 'good staff full', 'friendly staff and good', 'grim bar staff a little', 'staff were helpful', 'helpful staff central', 'drinks staff were friendly', 'spacious the staff were attentive', 'staff were professional', 'amazing staff and impeccable', 'staff very attentive', 'helpful staff lovely clean', 'comfy staff very friendly', 'helpful staff brilliant', 'great staff very comfy', 'friendly efficient staff spacious comfortable', 'friendly staff and lovely', 'staff were difficult', 'delicious the staff is friendly', 'staff was nice', 'clean lovely staff good', 'staff were polite', 'helpful staff very clean', 'quiet staff were friendly', 'friendly staff comfortable big', 'helpful staff the best', 'respectful staff good', 'staff extremely courteous', 'quiet the staff were excellent', 'helpful staff comfortable', 'early the staff were great']"
Monhotel Lounge SPA,"['staff are friendly', 'amazing staff very helpful', 'attentive staff faux', 'pro active staff very comfortable']"
The Principal London,"['exquisite the staff provided good', 'staff excellent', 'friendly staff always happy', 'staff very good', 'park staff very nice', 'helpful staff and excellent', 'excellent staff and great', 'warm professional staff willing', 'spacious staff is helpfull', 'staff are great', 'grand hotel staff very helpful', 'friendly staff good', 'tradional the staff were friendly', 'staff were good', 'great staff very helpful', 'staff super friendly', 'door staff excellent', 'london great staff great', 'hotel staff were fantastic', 'atmosphere staff overall', 'staff really polite', 'staff seemed hard', 'staff were friendly', 'central location staff very helpful', 'staff being sacked', 'friendly staff older', 'staff were grumpy', 'staff very friendly', 'friendly staff nice', 'comfortable staff very pleasant', 'staff were smart', 'staff were excellent', 'bigger room staff extremely helpful', 'friendly staff very comfortable', 'friendly staff not cheap', 'excellent location staff very friendly', 'friendly staff excellent', 'staff were attentive', 'staff provided exceptional', 'lovey staff very attentive', 'good staff comfortable easy', 'staff was delightful', 'nice knowledgeable staff clean comfortable', 'polite staff nice', 'friendly staff comfortable', 'fabulous staff very nice', 'helpful staff the great', 'staff were nice', 'great staff wonderful historic', 'great location staff very welcoming', 'good staff so helpful', 'staff friendly', 'fantastic stay staff were amazing', 'staff unpleasant', 'public transport staff are friendly', 'staff fabulous', 'staff are wonderful', 'garden staff were friendly', 'thoughtful hotel staff are polite', 'station staff very friendly', 'unbeatable the staff are friendly', 'friendly staff comtable', 'staff good', 'helpful staff room comfortable', 'average staff good great', 'staff were wonderful', 'staff were great', 'exceptional staff clean', 'beautiful and staff was helpful', 'friendly staff good sized', 'staff fantastic', 'fantastic staff were friendly', 'nice staff very good', 'friendly staff and overall', 'helpful staff excellent', 'talkative staff extremely comfortable', 'staff were brilliant', 'excellent breakfast staff very quiet', 'excellent and staff very attentive', 'staff very helpful', 'cramped staff attitude poor', 'staff not helpful', 'fine staff helpful', 'great and staff very helpful', 'friendly staff great', 'polite helpful staff comfortable', 'good location staff were friendly', 'staff helpful', 'excellent friendly staff comfortable', 'staff were fantastic', 'staff are polite', 'pleasant staff good', 'great location staff friendly', 'staff great', 'staff were curtious', 'london staff extremely friendly', 'staff were outstanding', 'friendly staff nice big', 'staff are efficient', 'staff helpful large', 'staff is fantastic', 'good staff helpful', 'staff are indifferent', 'staff rather unhelpful', 'comfortable room staff very good', 'helpful friendly staff great', 'staff is attentive', 'staff was excellent', 'friendly staff beautiful historic', 'staff were efficient', 'staff were helpful', 'staff less', 'old building staff very helpful', 'atmospheric the staff were polite', 'hotel staff happy', 'beautiful building staff extremely friendly', 'staff extremely friendly', 'overall staff are commendable', 'staff lovely', 'excellent staff very helpful', 'staff is great', 'staff and available', 'nice staff lovley', 'staff is excellent', 'staff are good', 'friendly staff perfect', 'responsive staff excellent', 'staff was nice', 'staff were polite', 'staff nice', 'fantastic staff kind helpful', 'helpful staff the excellent', 'excellent staff very happy', 'efficent staff excellent', 'staff extremely helpful', 'staff are fantastic', 'helpful staff comfortable']"
One Aldwych,"['staff are helpful', 'nice staff was helpful', 'staff very polite', 'staff excellent', 'staff very professional', 'arrive reception staff are rude', 'staff new', 'staff was outstanding', 'staff are corteous', 'staff the whole', 'staff were superb', 'staff helpful', 'staff were incredible', 'helpful staff lovely old', 'staff were fantastic', 'staff outstanding', 'friendly staff little extra', 'staff were friendly', 'staff good', 'staff were delightful', 'brilliant staff great', 'professional staff great', 'staff were excellent', 'extra comfy staff were super']"
Splendid Etoile,"['staff were sooooo', 'short stay staff very helpful', 'helpful staff nicely furnished', 'staff was friendly', 'great helpful staff breakfast expensive', 'friendly staff great', 'friendly staff welcome', 'helpful staff specially mr', 'nice all staff were helpful', 'staff is good', 'staff were extra', 'helpful staff great', 'wonderful staff very convenient', 'good and staff very friendly', 'staff were friendly', 'staff not helpful', 'beautiful and staff were super', 'staff was incredible']"
Hotel Trianon Rive Gauche,"['dame staff was nice', 'comfortable staff very friendly', 'staff very helpful', 'staff excellent', 'staff were helpful', 'overall lovely staff perfect central', 'friendly staff reletively rich', 'friendly staff always helpful', 'staff easy', 'friendly staff good', 'staff is great', 'staff was super', 'luxembourg staff was nice', 'helpful staff good', 'helpful staff beautiful', 'replenished staff totally indifferent', 'staff is friendly', 'staff were great', 'staff very friendly', 'staff is helpful', 'staff fantastic', 'staff s', 'helpful staff excellent', 'friendly staff excellent', 'great location staff was friendly', 'staff was rude']"
Pullman Paris Centre Bercy,"['staff are helpful', 'friendly staff and good', 'good breakfast staff friendly next', 'staff were ultra', 'staff was excellent', 'staff were brilliant', 'etc staff very helpful', 'excellent the staff was fantastic', 'calm rest staff was good', 'helpful friendly staff a great', 'staff eric', 'friendly staff and nice', 'staff was friendly', 'staff is amazing', 'staff very clean', 'polite multilingual staff very chic', 'staff helpful', 'trained staff with great', 'staff great', 'friendly staff spacious', 'staff spoke english', 'comfortable staff friendly complimentary', 'great staff are fantastic', 'friendly staff easy', 'staff really friendly', 'friendly staff extremely helpful', 'gentle staff delicious', 'staff were great', 'friendly staff free', 'friendly staff nice', 'english speaking staff quite good', 'helpful staff nice welcome', 'helpful staff wonderful', 'good staff fantastic']"
Gardette Park Hotel,"['fantastic friendly staff terrific', 'friendly staff always ready', 'staff was great', 'staff exceptionally helpful', 'staff was friendly', 'staff is nice', 'nice staff all necessary', 'great staff lovely clean', 'helpful staff nice', 'little hotel staff were friendly', 'staff was more', 'friendly staff very helpful', 'staff brilliant', 'friendly staff clean', 'english speaking staff free', 'helpful staff good', 'staff were friendly', 'staff was nice', 'staff good', 'nice staff easy', 'staff were wonderful', 'staff very friendly', 'staff incredibly friendly', 'friend staff a good', 'staff grumpy']"
Hotel Scribe Paris Opera by Sofitel,"['scribe staff in general', 'staff very friendly', 'staff were great', 'staff are warm', 'staff great', 'friendly staff good spacious', 'comfortable pleasant staff excellent', 'friendly staff spacious', 'friendly staff fully bilingual', 'good and staff very good', 'staff were friendly', 'staff were helpful', 'picture perfect staff was exceptional', 'amazing staff and great', 'comfortable the staff very pleasant', 'fabulous staff and incredible', 'firmer pillows staff brought more', 'comfortable bed staff very friendly']"
Haymarket Hotel,"['staff is attentive', 'helpful staff extremely comfortable', 'delightful smiling staff high', 'staff were excellent', 'helpful staff great', 'staff very helpful', 'staff esp', 'exemplary and staff exceptionally friendly', 'staff polite helpful', 'staff were attentive']"
