Hotel_Name,Descriptions
K K Hotel George,[]
Monhotel Lounge SPA,[]
One Aldwych,[]
Splendid Etoile,[]
Milestone Hotel Kensington,[]
H tel De Vend me,[]
Hotel Panache,[]
Hotel Le 10 BIS,[]
Covent Garden Hotel,[]
The Nadler Victoria,[]
Maison Souquet,[]
Hotel Tour d Auvergne Opera,[]
Bradford Elys es Astotel,[]
Crowne Plaza London Kensington,[]
Staybridge Suites London Vauxhall,[]
The Kensington Hotel,['style modern']
Staybridge Suites London Stratford,[]
Le Marcel,[]
H tel Duo,['modern style and helpful']
H tel Le Marianne,[]
The Athenaeum,[]
Park International Hotel,[]
Terrass H tel Montmartre by MH,['nice style modern']
Best Western Mornington Hotel Hyde Park,[]
Hotel La Lanterne,[]
H tel San R gis,['classic old style parisian']
Le 123 S bastopol Astotel,[]
Staunton Hotel B B,[]
L H tel,[]
Maxim Op ra,[]
Hotel Odeon Saint Germain,[]
Mercure London Bloomsbury Hotel,"['boutique hotel style attractive comfortable', 'style was nice']"
Hotel Op ra Richepanse,['lovely style with painted']
Hotel Indigo London Tower Hill,[]
Windermere Hotel,['english style good']
Mercure London Paddington Hotel,[]
Kensington House Hotel,[]
Charlotte Street Hotel,[]
Ritz Paris,[]
Best Western Premier Le Swann,[]
H tel des Academies et des Arts,[]
Le Marquis Eiffel,[]
The Ritz London,[]
Legend Saint Germain by Elegancia,[]
The Bloomsbury Hotel,[]
Hotel Indigo London Paddington,['style is modern']
Hotel de Seze,['style quiet']
Hotel Xenia Autograph Collection,['beautiful boutique style hotel wonderful']
Le 7 Eiffel Hotel,[]
Hotel La Place,[]
Drawing Hotel,[]
D clic Hotel,[]
Bulgari Hotel London,[]
Park Avenue Baker Street,['modern style good']
Franklin Roosevelt,[]
H tel Horset Op ra Best Western Premier Collection,[]
Best Western Paris Gare Saint Lazare,[]
Best Western The Boltons Hotel London Kensington,['basement style high']
H tel Les Dames du Panth on,[]
Relais Du Louvre,[]
Pullman Paris Montparnasse,[]
Royal Garden Hotel,[]
Grange White Hall Hotel,[]
Mercure Paris Gare De Lyon TGV,[]
Lyric H tel Paris,[]
Okko Hotels Paris Porte De Versailles,['excellent style of interior']
Villa Opera Drouot,[]
Hotel Louis 2,[]
InterContinental Paris Le Grand,[]
Old Ship Inn Hackney,[]
H tel Le M,[]
The Hari London,[]
NH London Kensington,[]
Mercure Paris Montparnasse Raspail,[]
Golden Tulip Bercy Gare de Lyon 209,['comfortable the style super']
Montfleuri,[]
Vice Versa,[]
H tel Etoile Saint Honor by Happyculture,[]
Hotel Le petit Paris,[]
H tel Brighton Esprit de France,[]
London Marriott Hotel West India Quay,[]
Hotel Parc Saint Severin Esprit de France,[]
Maison Albar Hotel Paris C line,[]
Goodenough Club,[]
H tel Aiglon Esprit de France,[]
Phileas Hotel,[]
Best Western Nouvel Orl ans Montparnasse,[]
The Nadler Kensington,"['style modern', 'style was simple']"
H tel Vernet,['boutique style small']
Novotel Paris Vaugirard Montparnasse,[]
Caesar Hotel,['modern style great']
Hotel Xanadu,[]
Draycott Hotel,['english style fireplace great']
The One Barcelona GL,[]
Hidden Hotel by Elegancia,['cold continental style but good']
H10 London Waterloo,['consistent style great']
San Domenico House,['italian style authentic']
Grand Pigalle Hotel,[]
Morgan Mees,"['style were great', 'modern minimalist style very comfortable', 'nice style lovely']"
Royal Saint Michel,[]
Novotel London Paddington,[]
Relais Saint Jacques,[]
Hotel Cambon,[]
Mercure Paris Montmartre Sacr Coeur,[]
H tel Bourgogne Montana by MH,[]
H tel Mathis Elys es,"['modern style nice', 'great style great']"
L Hotel Pergol se Paris,[]
H tel Mayfair Paris,[]
The Royal Park Hotel,['great style helpful']
Holiday Inn Paris Op ra Grands Boulevards,[]
DoubleTree by Hilton London Westminster,[]
Le Belmont Champs Elys es,[]
BoB Hotel by Elegancia,['style with good']
Comfort Inn Suites Kings Cross St Pancras,['nice modern style comfortable']
Acad mie H tel Saint Germain,[]
Blakes Hotel,[]
Castille Paris Starhotels Collezione,[]
Hotel Indigo London Kensington,"['style good', 'nice cool style london', 'modern style a small']"
Artus Hotel by MH,[]
H tel Amastan Paris,[]
H tel Gustave,[]
Georgian House Hotel,[]
H tel Champs lys es Plaza,['old style hotel great']
Timhotel Op ra Grands Magasins,[]
Radisson Blu Edwardian Berkshire,['old style furniture small']
Arbor Hyde Park,['style and finish']
H tel De Castiglione,[]
Dorset Square Hotel,[]
Edouard 7 Paris Op ra,[]
Renaissance Paris Arc de Triomphe Hotel,['modern style good']
Fielding Hotel,[]
DoubleTree by Hilton Hotel London Marble Arch,[]
Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,[]
Le A,[]
Maison Albar Hotel Paris Op ra Diamond,[]
Grand H tel Du Palais Royal,[]
Little Palace Hotel,"['style clean', 'new boutique style interior great']"
Andaz London Liverpool Street,['buffet style hot']
Elys es R gencia,[]
41,[]
Shaftesbury Suites London Marble Arch,[]
H tel R de Paris Boutique Hotel,[]
Villa Panth on,['parisian style really adorable']
Le Mathurin Hotel Spa,"['style is classical', 'nice style clean good']"
H tel Saint Paul Rive Gauche,[]
A La Villa Madame,['small boutique style hotel great']
The Curtain,[]
Grange Tower Bridge Hotel,[]
H tel Barri re Le Fouquet s,[]
L Empire Paris,[]
Suites H tel Helzear Champs Elys es,[]
Best Western Premier Trocadero La Tour,[]
Le Relais M dicis,[]
Park Hyatt Paris Vendome,[]
Holiday Inn Paris Gare de l Est,[]
The Westbourne Hyde Park,['style very clean']
Mercure Paris Champs Elys es,[]
The Lodge Hotel Putney,[]
Oceania Paris Porte De Versailles,[]
H tel Du Jeu De Paume,[]
The Sumner Hotel,[]
Hotel Monge,[]
Hotel Montaigne,[]
Hotel Eug ne en Ville,"['nice boutique style hotel nice', 'style nice']"
Le Relais Montmartre,[]
Amarante Beau Manoir,[]
Balmoral Champs Elys es,[]
B Montmartre,['montmartre boutique style romantic']
Sofitel London St James,[]
Baglioni Hotel London The Leading Hotels of the World,[]
Rydges Kensington Hotel,[]
Hotel Monsieur,['paris style but tasteful']
Hotel Saint Dominique,['style is unique']
H tel Jos phine by Happyculture,[]
Hotel de Nell,['style is chic']
Grange Blooms Hotel,"['fashioned boutique style with delightful', 'comfortable traditional style hotel friendly']"
Hotel West End,['bouquet style hotel small']
Arioso,[]
H tel Montmartre Mon Amour,"['style nice', 'h tel style was great']"
Hotel Cavendish,[]
Holiday Inn Paris Gare Montparnasse,[]
Derby Alma,[]
The Beaumont Hotel,[]
Novotel Paris Les Halles,[]
Chambiges Elys es,['local french style very good']
H tel Le Bellechasse Saint Germain,[]
Hotel Daniel Paris,[]
La Maison Champs Elys es,[]
H tel Arvor Saint Georges,['interior style and amazing']
The Belgrave Hotel,[]
La Chambre du Marais,[]
Novotel Paris Centre Bercy,[]
Sofitel Paris Baltimore Tour Eiffel,[]
Adria Boutique Hotel,[]
Golden Tulip Opera de Noailles,[]
Best Western Premier Op ra Li ge,[]
Relais H tel du Vieux Paris,[]
Hotel Le Sainte Beuve,['style with good']
Hotel Spa La Belle Juliette,[]
DoubleTree by Hilton London West End,[]
La Villa des Ternes,[]
Holiday Inn London Kensington Forum,[]
H tel Waldorf Trocad ro,[]
Mercure Paris 17 me Saint Lazare Monceau,[]
Park Hyatt Vienna,[]
Catalonia Port,[]
Hampshire Hotel Rembrandt Square Amsterdam,['style with adequate']
Element Amsterdam,[]
Cram,[]
H10 Marina Barcelona,['modern style comfortable']
The Gates Diagonal Barcelona,['modern style room helpful']
Vincci Mae,[]
Catalonia Atenas,['style both tasteful']
Hotel Barcelona Universal,[]
Aparthotel Arai 4 Superior,[]
NH Collection Barcelona Podium,[]
The Capital,[]
Megaro Hotel,[]
Petit Palace Boqueria Garden,['style was perfect']
Mercer House B ria BCN,['boutique style with local']
Crowne Plaza London Battersea,[]
Ohla Eixample,[]
Hotel Villa Emilia,['lovely european style continental']
TWO Hotel Barcelona by Axel 4 Sup Adults Only,['clean location style service super']
The Connaught,['style great']
Gran Hotel La Florida,[]
Zenit Borrell,[]
Grange City Hotel,[]
Best Western Hotel City,[]
Palazzo Parigi Hotel Grand Spa Milano,[]
Mokinba Hotels King,[]
Mercer Hotel Barcelona,[]
Ako Suites Hotel,[]
Eurostars Cristal Palace,['old style safe']
HCC St Moritz,['old style weak']
Medinaceli,['old spanish style big']
H10 Art Gallery 4 Sup,"['beautiful boutique style hotel great', 'style is great']"
Novotel Amsterdam City,['good style very clean']
DoubleTree By Hilton London Excel,[]
The Guesthouse Vienna,['modern hip style excellent']
Hotel Johann Strauss,[]
Hotel Well and Come,['designer style with real']
Ayre Hotel Gran V a,['buffet style multiple']
Sunotel Central,[]
Hotel Indigo Barcelona Plaza Catalunya,[]
Catalonia Passeig de Gr cia 4 Sup,[]
Grupotel Gran Via 678,[]
Pol Grace Hotel,"['style is awesome', 'interesting modern style comfortable']"
Austria Trend Hotel Bosei Wien,[]
Hotel 55,[]
The Harmonie Vienna,[]
Waldorf Astoria Amsterdam,[]
Senator Hotel Vienna,[]
Hotel Mercure Wien City,[]
Room Mate Aitana,"['modern style nice', 'modern style beautiful']"
DoubleTree by Hilton London Chelsea,[]
Hotel G tico,[]
Hotel JL No76,"['boutique style hotel great', 'contemporary style excellent']"
Aparthotel Atenea Barcelona,['style gave great']
Fleming s Selection Hotel Wien City,"['illuminated modern style comfortable', 'style friendly']"
Cordial Theaterhotel Wien,[]
Canal House,[]
The Dylan Amsterdam,[]
K K Hotel Maria Theresia,[]
Der Wilhelmshof,[]
Hotel Bagu s,[]
Hotel 1898,"['colonial style with wooden', 'style location fatastic']"
Eurostars Embassy,[]
BEST WESTERN PLUS Amedia Wien,[]
Mercure Grand Hotel Biedermeier Wien,"['style is real', 'traditional building style classic']"
Royal Ramblas,[]
Hampshire Hotel The Manor Amsterdam,[]
Ofelias Hotel 4 Sup,[]
Vincci Maritimo,[]
London Marriott Hotel County Hall,[]
Jumeirah Lowndes Hotel,[]
Catalonia Magdalenes,[]
The Mandeville Hotel,"['individual style great', 'modern style good']"
Upper Diagonal,[]
Falkensteiner Hotel Wien Margareten,[]
Hotel Corvinus,['style full']
Aparthotel Mariano Cubi Barcelona,[]
Leonardo Hotel Vienna,[]
Hotel Schild,[]
De L Europe Amsterdam,[]
Hotel Die Port van Cleve,"['old style dutch', 'special interior style very nice']"
COMO Metropolitan London,[]
Hotel Grums Barcelona,['compact hotel style clean sterile']
Hotel Am Parkring,[]
H10 Port Vell 4 Sup,[]
Monument Hotel,[]
Hotel The Serras,['modern style with perfect']
Majestic Hotel Spa Barcelona GL,[]
K K Hotel Picasso,[]
H10 Casa Mimosa 4 Sup,['spacious the style is transitional']
Hotel Midmost,[]
Hotel Sacher Wien,[]
ME Milan Il Duca,[]
Excelsior Hotel Gallia Luxury Collection Hotel,[]
TownHouse 12,[]
Starhotels Anderson,"['style spacious', 'clean modern style with great']"
Hotel DO Pla a Reial G L ,['great interior style great']
Catalonia Barcelona Plaza,"['corporate hotel style resturant', 'old style deco']"
London Marriott Maida Vale,[]
The Langham London,[]
Sofitel Vienna Stephansdom,[]
Hotel America Barcelona,[]
Le M ridien Barcelona,[]
Austria Trend Hotel Rathauspark Wien,[]
Hotel Landhaus Fuhrgassl Huber,[]
Royal Amsterdam Hotel,[]
NH Wien Belvedere,['sober retro style spacious']
Austria Trend Hotel Savoyen Vienna,['special in style but clean']
Austria Trend Hotel Doppio Wien,[]
Appartement Hotel an der Riemergasse,['old style elevator small']
Saint SHERMIN bed breakfast champagne,[]
The Wittmore Adults Only,[]
Petit Palace Barcelona,[]
Roger de Ll ria,[]
Catalonia Square 4 Sup,['fantastic buffet style breakfast great']
Bcn Urban Hotels Gran Rosellon,['style cleaness good']
Gallery Hotel,[]
Hotel Omm,['minimalist style very comfortable']
Ayre Hotel Rosell n,[]
Evenia Rossello,[]
Hotel Lam e,[]
Crowne Plaza London Docklands,[]
Arthotel ANA Prime,[]
Austria Trend Hotel Park Royal Palace Vienna,[]
Falkensteiner Hotel Wien Zentrum Schottenfeld,[]
Hotel Domizil,[]
Hotel Capricorno,['traditional style extensive continental']
Sloane Square Hotel,[]
Best Western Plus Hotel Blue Square,[]
Hilton London Canary Wharf,[]
WestCord Art Hotel Amsterdam 4 stars,[]
DO CO Hotel Vienna,[]
Hotel City Central,"['classical viennese style being elegant', 'old style but comfortable']"
Imperial Riding School Renaissance Vienna Hotel,[]
H10 Cubik 4 Sup,['style and d']
Hotel Tocq,[]
Hotel Balmoral,['continental style lovely contemporary']
Camperio House Suites Apartments,[]
TownHouse 33,['nice cosy style wonderful']
UNA Hotel Cusani,[]
Hotel Pierre Milano,[]
Hotel Milano Scala,[]
Style Hotel,[]
Mercure Milano Regency,['style nice']
Idea Hotel Milano San Siro,[]
LaGare Hotel Milano Centrale MGallery by Sofitel,"['modern style great', 'beautiful italian style modern']"
Acca Palace,[]
Ilunion Almirante,[]
Hotel Boutique Duomo,['modern style in light']
Hotel Manin,[]
Grand Hotel et de Milan,"['great old style hotel excellent', 'beautiful old style hotel fantastic']"
Hotel Mediolanum,['modern funky style hotel great']
Hotel Carrobbio,['nice style excellent']
Leonardo Hotel Milan City Center,"['typical building style good', 'old regal style italian']"
Mokinba Hotels Montebianco,[]
Hotel Mentana,[]
LHP Hotel Napoleon,[]
Bulgari Hotel Milano,[]
Colombia,[]
Sina The Gray,[]
Antica Locanda Dei Mercanti,[]
Palazzo Segreti,[]
Hotel Manzoni,['looks style is classic']
Baglioni Hotel Carlton The Leading Hotels of the World,[]
TownHouse Galleria,['style fabulous']
Starhotels Ritz,[]
Ramada Plaza Milano,[]
Park Hyatt Milano,[]
Hotel Liberty,['clean the style is great']
Best Western Antares Hotel Concorde,[]
Best Western Hotel St George,[]
Albus Hotel Amsterdam City Centre,[]
Hotel Arkadenhof,[]
NH Danube City,[]
ARCOTEL Kaiserwasser Superior,[]
Mercure Hotel Raphael Wien,['modern style hotel clean']
Austria Trend Hotel Anatol Wien,[]
Thistle Trafalgar Square The Royal Trafalgar,[]
Corinthia Hotel London,['new the style is classic']
Hotel Amadeus,[]
The Berkeley,['unique personal style excellent']
