Hotel_Name,Descriptions
One Aldwych,[]
Splendid Etoile,[]
Hotel Trianon Rive Gauche,[]
Pullman Paris Centre Bercy,[]
H tel des Ducs D Anjou,[]
Novotel London West,"['transport facilities overall', 'public transport to central']"
H tel Juliana Paris,[]
Belfast,[]
Mercure Paris Tour Eiffel Pont Mirabeau,[]
Knightsbridge Hotel,[]
Hotel Le 10 BIS,[]
Grange St Paul s Hotel,"['public transport is close', 'transport system friendly']"
The Ampersand Hotel,[]
Novotel London Tower Bridge,[]
H tel de Jos phine BONAPARTE,[]
Hotel Tour d Auvergne Opera,[]
Le Senat,['transport advice central']
Les Plumes Hotel,[]
The Victoria,['public transport to other']
Pullman London St Pancras,"['transport hubs such', 'transport friendly efficient', 'transport and central', 'transport overall']"
Ace Hotel London Shoreditch,[]
Staybridge Suites London Vauxhall,[]
Thistle Kensington Gardens,['transport excellent']
Park Plaza Sherlock Holmes London,[]
Hilton Paris Opera,[]
The Kensington Hotel,[]
My Bloomsbury,"['transport links good', 'transport nice']"
H tel Chaplain Paris Rive Gauche,[]
11 Cadogan Gardens,[]
Hotel Astor Saint Honor ,[]
Op ra Marigny,[]
H tel Duo,[]
Ashburn Hotel,[]
Marlin Waterloo,"['easy transport with bakerloo', 'public transport is fantastic']"
Park International Hotel,[]
Lansbury Heritage Hotel,[]
Terrass H tel Montmartre by MH,[]
Millennium Hotel Paris Opera,[]
Waldorf Madeleine,[]
Batty Langley s,[]
Le Grey Hotel,['easy transport good']
Le 123 Elysees Astotel,[]
Best Western Mercedes Arc de Triomphe,[]
Staunton Hotel B B,[]
1K Hotel,['public transport was excellent']
L H tel,[]
Maxim Op ra,[]
Hotel Odeon Saint Germain,[]
London Marriott Hotel Marble Arch,['public transport with many']
Hotel Op ra Richepanse,[]
H tel Duc De St Simon,[]
Best Western Premier Louvre Saint Honor ,[]
Hotel Indigo London Tower Hill,['easy transport links great']
La Villa Maillot,[]
London Marriott Hotel Kensington,[]
Kensington House Hotel,[]
The Pelham Starhotels Collezione,['public transport right']
Ritz Paris,[]
