,Hotel_Name
0,Hotel Arena
1,K K Hotel George
2,Apex Temple Court Hotel
3,The Park Grand London Paddington
4,Monhotel Lounge SPA
5,Kube Hotel Ice Bar
6,The Principal London
7,Park Plaza County Hall London
8,One Aldwych
9,Splendid Etoile
10,Hotel Trianon Rive Gauche
11,InterContinental London Park Lane
12,Novotel Suites Paris Nord 18 me
13,Grand Royale London Hyde Park
14,Milestone Hotel Kensington
15,Crowne Plaza London Kings Cross
16,Select Hotel
17,H tel De Vend me
18,Pullman Paris Centre Bercy
19,Gardette Park Hotel
20,Hotel Panache
21,H tel des Ducs D Anjou
22,Hotel Scribe Paris Opera by Sofitel
23,Novotel London West
24,Haymarket Hotel
25,Intercontinental London The O2
26,H tel Juliana Paris
27,Hotel L Antoine
28,Belfast
29,Shangri La Hotel Paris
30,Mercure Paris Tour Eiffel Pont Mirabeau
31,Knightsbridge Hotel
32,The London EDITION
33,The Cranley Hotel
34,Hotel Le 10 BIS
35,The Nadler Soho
36,Grange St Paul s Hotel
37,The Ampersand Hotel
38,Covent Garden Hotel
39,The Nadler Victoria
40,Novotel London Tower Bridge
41,Crowne Plaza Paris R publique
42,Le Metropolitan a Tribute Portfolio Hotel
43,Atala Champs Elys es
44,H tel de Jos phine BONAPARTE
45,Maison Souquet
46,Hotel Tour d Auvergne Opera
47,Le Senat
48,Windsor Opera
49,Holiday Inn Paris Montparnasse Pasteur
50,H tel Keppler
51,Les Plumes Hotel
52,Hotel des Tuileries Relais du Silence
53,Bradford Elys es Astotel
54,W London Leicester Square
55,The Victoria
56,Pullman London St Pancras
57,Crowne Plaza London Kensington
58,Doubletree by Hilton London Kensington
59,Ace Hotel London Shoreditch
60,Staybridge Suites London Vauxhall
61,The Grosvenor
62,The Park Tower Knightsbridge a Luxury Collection Hotel
63,Amp re
64,Melia Paris Champs Elys es
65,Le Parisis Paris Tour Eiffel
66,Thistle Kensington Gardens
67,Park Plaza Sherlock Holmes London
68,Hilton Paris Opera
69,The Kensington Hotel
70,Holiday Inn London Stratford City
71,Staybridge Suites London Stratford
72,Shepherd s Bush Boutique Hotel
73,My Bloomsbury
74,Holiday Inn Paris Gare de Lyon Bastille
75,H tel Chaplain Paris Rive Gauche
76,H tel Regina Op ra Grands Boulevards
77,11 Cadogan Gardens
78,The Wellesley Knightsbridge a Luxury Collection Hotel London
79,Hotel Astor Saint Honor 
80,Op ra Marigny
81,H tel Diva Opera
82,Le Marcel
83,H tel Duo
84,H tel Le Marianne
85,The Rembrandt
86,Hotel Eden
87,H tel de la Bourdonnais
88,Ashburn Hotel
89,Marlin Waterloo
90,Best Western Premier Marais Grands Boulevards
91,Novotel London Waterloo
92,The Athenaeum
93,Park International Hotel
94,Lansbury Heritage Hotel
95,Le Dokhan s a Tribute Portfolio Hotel
96,Le Relais Madeleine
97,Terrass H tel Montmartre by MH
98,Millennium Hotel Paris Opera
99,Waldorf Madeleine
100,Batty Langley s
101,Best Western Mornington Hotel Hyde Park
102,Arbor City
103,Hotel La Lanterne
104,H tel Square Louvois
105,Hotel Marignan Champs Elys es
106,Le Grey Hotel
