,Hotel_Name,Negative_Review,Positive_Review
501194,ARCOTEL Kaiserwasser Superior, I booked a suites room and a double room we asked to be connected because we have 3 children of which one disabled Of course we did not have rooms connected or the possibility to changing them At the reception they blamed the booking although I asked them in writing Because I could not leave children alone I slept with the children in the suite and the husband alone The couch is terrible It s impossible to sleep on it You can not ask for a lot of money on a suite and offer a very incomfortable sleeping couch By far the biggest Disappointment was the Breakfast which even though it was free was not good for hotel claims and the parking There was no parking for the wheelchair and in the garage the car did not fit because the maximum was 2 m At a hotel with such claims and prices I expect something else ,No Positive
501195,ARCOTEL Kaiserwasser Superior,No Negative, Great location for VIC meetings Amazing value for money Cheerful friendly staff Rooms and facilities are well designed and everything works perfectly 
501196,ARCOTEL Kaiserwasser Superior, Getting the room only at 2pm is inconvenient for those that get in early in the morning Breakfast is too expensive , Perfect place to stay for business at VIC Hotel is cheerful efficient reliable and terrific value for money 
501197,ARCOTEL Kaiserwasser Superior, Pillows are too soft and don t provide proper support Didn t offer soap bars it was all liquid attached to the walls , Afternoon treats mini souffle and coffee machine quality Buffet breakfast Staff was professional 
501198,ARCOTEL Kaiserwasser Superior,No Negative, The location is ideal for meetings at UN Then there is the bus directly to the Airport The hotel has all you need great breakfast also outside friendly and fast staff fast internet and seemingly a predominance of alpha male guests 
501199,ARCOTEL Kaiserwasser Superior, The tv and the channels are so poor selected the hotel is in front of UN so more international channel should be available but the fact was only 3 channels in English which were for news no English Channels for movies or documentary also there was one bottle of water complementary the rest of days u have to pay , Rooms are clean
501200,ARCOTEL Kaiserwasser Superior, That there was no a la carte option for breakfast in the restaurant, Staff were excellent and nothing was too much trouble location was also excellent easy access to the U train system overall perfect My family and I will no doubt stay here again if we visit Vienna
501201,ARCOTEL Kaiserwasser Superior, I could not remember of anything that would really bother me Maybe only I had a feeling that staff at the reception desk is not interested in their work and consequently lack of hospitality was in the air , In particular location since I ve had meetings at Tech Gate Vienna accesability Bus transfer from Vienna Airport stops infront of hotel clean room 
501202,ARCOTEL Kaiserwasser Superior, Reception not helpful Awfully expensive for what they offer, Space in the room Excellent complimentary coffee when I did not have to ask where it is
501203,ARCOTEL Kaiserwasser Superior,No Negative, placement is perfect easy to get by car 5 stops by subway and you are on Stefan Platz 2 stops in opposite direction and you are at Donnau Zentrum large shopping mall 
501204,ARCOTEL Kaiserwasser Superior, Expensive parking , Clean room comfortable beds Very easy to find the hotel Nice breakfast Very friendly staff Metro is two minutes from hotel and it is very easy to get to the city center very quickly Close to Danube 
501205,ARCOTEL Kaiserwasser Superior, 1 No wardrobe in a suite 2 Nowhere to hang clothes at night 3 Pillows were so soft as to be useless even six were not enough 4 Always having to log into the internet even with a four day stay 5 Having to ask for the in room breakfast menu and one morning they forgot to pick it up 6 Lack of staff at the reception desk queues of five or even ten minutes the norm 7 The doorstop conveniently placed to ensure excruciating toe stub almost every time we used the hooks that passed for the wardrobe 8 Single duvets for a double bed 9 No security at the entrance to the hotel anyone could walk in off the street with or without a reservation 10 Even worse the so called executive floor could be accessed by anyone entering the lift 11 Our fault for not checking but anyone expecting enticing streets and cafes in the vicinity of this hotel will disappointed the surrounding architecture is mostly concrete blocks almost neo Stalinist in design with the building itself fronting busy dual carriageways on two sides and a railway line nearby , Bathrooms in our suite were good Abundant breakfast one enough for two
501206,ARCOTEL Kaiserwasser Superior,No Negative, I stayed only 1 night and didn t have breakfast or test any of the facilities other than the room but the location is very practical and the hotel was great value for the money The minibar was included in the room category rate which was a nice extra 
501207,ARCOTEL Kaiserwasser Superior, We got charged for a drink from the mini bar after explicitly stating that nothing has been used from it and really nothing was used Parking in the hotel was paid 22 euros PER DAY This is simply unacceptable for a guest in your own hotel since normal parking is around 10 13 euros in the neighborhood No slippers in the room no big towels The safe in the room jammed and we couldn t get out the stuff we needed until the morning after Dinner was extremely overpriced , The staff was helpful though misleading at times 
501208,ARCOTEL Kaiserwasser Superior, The computer in the business center in German language and I needed modified my power point presentation but the program was blocked I expected to have the famous Vienna coffee in the breakfast but we had every morning terrible cold coffee they clean the drinking glasses with chemicals detergent and not to wash with water the steam and sauna room mixed they need only to make different timing for male and female and time for both so can make every body happy, Clean and tidy breakfast with different varieties Excellent location helpful staff
501209,ARCOTEL Kaiserwasser Superior, Pricey for what it is No toothbrush or razor in room Have to ask and collect by urself at from reception No iron in room but there s a communal one on floor A bit of hassle , Great location for Austria centre Airport bus drops u right outside hotel Nice breakfast and good room service options 
501210,ARCOTEL Kaiserwasser Superior, One Sauna wasn t working and also the Wii room was out of order , I had a reservation for executive room executive lounge room access The friendly stuff did upgrade me for free to superior room and let me check in 4 hours in advance without any extra fees 
501211,ARCOTEL Kaiserwasser Superior, the breakfast was not managed well A personal has a problem with cleaning tables Not enough chairs But later they solved , close to U bahn Parking in Garage 
501212,ARCOTEL Kaiserwasser Superior, When I arrived at my next destination I realized that some items had been removed from my suitcase while I was away from the hotel dispite the fact that I had the do nodt disturb sign on my door for the dudration of my 4 day stay I thought that perhaps I hadn t packed them however when I arrived home I realized that indeed the items that were brand new still in their packaging went missing Unfortunately I have learned that all items need to be locked up whenever I leave the room , Almost everything 
501213,ARCOTEL Kaiserwasser Superior, For a long stay i had to ask for new login user name and password for WIFI every 3 days No iron and ironing board in the room , Convenience of location Friendly and helpful staff 
501214,ARCOTEL Kaiserwasser Superior, Breakfast was terrible and the room was warn out , Location was great for ACV and VIC and good for getting to the town center The area itself was very boring 
501215,ARCOTEL Kaiserwasser Superior, It was a bit further out from the center Not too bad about a 15 taxi , Very nice hotel bar and the beds were clean The shower was great and had very strong pressure 
501216,ARCOTEL Kaiserwasser Superior, The wifi was down for a day and i kept getting logged out the other days but when it worked it worked good The login page for the wifi was also kind of confusing but the staff helped , The bed was really comfy and my room was clean and big It s not in the city centre but there is a subway close by that takes you there in like 10 min The breakfast was good and the staff was very helpful and friendly I was there for a conference in the Vienna Centre and for that it was an excellent location just a 5 minute walk There was a huge shopping center just 2 stops away with the subway so you dont have to go far to get stuff 
501217,ARCOTEL Kaiserwasser Superior, Wifi was not working on my phone which meant I did not have access to communication for 3 days Calling from the hotel was exorbitant and I chose not to use the facility , Staff were friendly from reception restuarant to housekeeping 
501218,ARCOTEL Kaiserwasser Superior, I expected to be able to use the Wellness and Sport facilities however during to an even they closed it exactly during the whole length of my stay with no notice I saw it suddenly in the elevator written in small and between some other advertisement regarding the event which I was not interested so I really saw the notice by chance I think they should have given some discount as the facilities were not available and people could have then chosen another place to stay , I was there for a conference at the Austria Center so it was really good location for me Also 3 minutes from the U bahn so wherever you d like to go it s easy Breakfast was also good as well as the room and bathroom were clean The hotel is going towards sustainable behaviors so that was also good 
501219,ARCOTEL Kaiserwasser Superior, Duvet was too thin One very small and one small normal towel is not what one expects in a four star hotel Rooms could do with an overhaul more plugs etc , Staff was quick to bring slippers extra duvet duvet was very thin and extra towels Bottles of water very nice their taxi driver was prompt to take us around and they aloud late check in Food from room service was excellent although very pricey 
