,Hotel_Name,Negative_Review,Positive_Review
440520,Abba Garden, Location is a little far out of the centre but can be walked Please note that the hotel is on a steep hill but the location is great to look out over Barcelona ,No Positive
440521,Abba Garden, not enough people at reception mostly because you have to put a deposit for towel at the reception Too far away from the metro No coffee tea in the room No slippers in the room if you don t have your own it will be difficult to go to the spa swimming pool No real restaurant for the moment , breakfast room people were nice Easy to go to downtown bus 
440522,Abba Garden, The hotel is a 15 minute uphill walk from the metro station If you have lots of heavy bags it would be best to get a taxi , Great sized rooms and superb selection for breakfast 
440523,Abba Garden, The receptionist was very rude and very disrespectful towards myself and my partner We enquiried a few times and the female receptionist was difficult to interact with and very threatening towards us She had charged us for facilities that was already in our room we paid for already and tried to get money out of us I felt she was taken advantage of us because we are from England and speak very little Spanish She authorised money to be taken out my account for these facilities which we had paid for on booking com once confronted at reception when we was checking out she said not to worry about the extra charges she alleged had I find this hotel a con And would stay away compket jmmmmm, The staff in the restaurant was very friendly The outside pool was a good size and opened at reasonable times 
440524,Abba Garden, The pool was clear but unfortunately it wasn t completely clean but it is situated right by trees so this is bound to happen For a four star hotel I expect a little bit more attention to certain things but it is all minor detail , Very nice welcome and they changed our room without any problems when I mentioned we d requested a double and not twin Overall it was a good welcome and a nice stay The pool was a nice temperature The room was clean and we had booked at last minute deal so it was great value for money The rooms are air conditioned and we had control over it 
440525,Abba Garden, Everything was perfect , The very obliging staff who were always willing to go the extra mile to help out with everything No requests were too small or trivial People matter at this hotel Staff totally professional in a relaxed atmosphere The shuttle was an added bonus Thank you 
440526,Abba Garden, Not much you can do about location now ha but it s a bit far out from the main part of town however very accessible and quiter just certain people certain preferences I guess , Very nice hotel with quality pool Very friendly staff and great help 
440527,Abba Garden, Restaurant Had to wait a lot for the food when it was not busy at all however they compensated us generously without us mentioning it all s forgiven , Parking was a breeze with plenty of room Rooms are clean with really comfy beds and the staff clearly goes the extra mile Speaking of which the nearest metro is 1 5km away but feels closer as you walk across a lovely park on the way All in all highly recommended 
440528,Abba Garden, Our bedsheets and cushion covers were not changed for 5 days we had to ask for it the personnel was not that polite they even took our yogurt before we ate it because the breakfast area was closing there were not informed that we had prepaid our accommodation as well as our breakfast and we had to show the e mail exchanges we had The swimming pool area as well as the restaurant area could be open especially during summer at least until 00 00am since there is nothing around to have a drink or dinner The kitchen of the restaurant was closed at 23 00pm Can understand though above issues due to a high season period b that the same people preparing the breakfast they had reception duties and c cleaning duties etc , The room is very comfortable very clean the breakfast is fabulous the swimming pool very clean the location is very nice despite the fact that it s far away from the city center there is a bus stop in 50 meters from the hotel that drives you downtown in 20 minutes or you can walk around 15 minutes through a beautiful park and get the metro Ms Amaia helped us a lot and assisted us immediately with our payments emails that needed to be printed etc The food at the restaurant was really very nice very nice sangria and cocktails 
440529,Abba Garden, The hotel is quite far from any shops The hotel takes advantage of this by charging a slightly higher price for snacks in the minibar bottled water 500 ml a kit Kat and small pringles were 3 50 euro each which is quite excessive , The hotel breakfast was good The location of the hotel was a little far out however easily commutable into central Barcelona by metro Rooms were nice 
