,Hotel_Name,Negative_Review,Positive_Review
148776,Acad mie H tel Saint Germain, Bed too big for room expensive breakfast no water placed in rooms especially during summer weather jacuzzi in bathroom is nothing special to pay extra for, Location the spacious bathrooms
148777,Acad mie H tel Saint Germain, Very cosy room As in very cosy even for luxury rooms, Fantastic location Away from tourist places but all within reasonable walking distance Or 8euro Uber ride Comfortable bed Very quiet 
148778,Acad mie H tel Saint Germain, Not a good value for over 300 Euros a night Deluxe room 103 was too small wouldn t expect this in a real 4 star hotel Still manageable if we 2 adults with a 6 year old were allowed to sleep together on the one large bed But the hotel insisted to install in the room an extra bed for the modest 69 Euro per night We used it to put our suitcases on there was no other place left Also there was an unpleasant odor on the floor I d put this hotel more in the B B category I don t think as a whole it has the capacity for more , Good location of the hotel and light in the room bathroom High ceilings 
148779,Acad mie H tel Saint Germain, The bar fridge in the room was not cold but it was a minor issue and we never bothered to tell anyone , Great location and very comfy bed Rooms are small but most rooms in Paris are Great value for money given the location
148780,Acad mie H tel Saint Germain, Would have been nice to have access to an iron to press some clothes but other than that nothing , Friendly staff helped out with everything including booking restaurant on first night taxis and airport transfers Really convenient location close to everything we wanted to see and do We booked again for the next time in Paris 
148781,Acad mie H tel Saint Germain, We were charged twice for taking water from the room or from the breakfast area We never took any of the water I am not sure what was going on here The person cleaning the rooms should check the number of bottles in the refrigerator but I guess they saw a bottle of evian on our desk bought at a convenience store and decided to charge us The front desk removed the charges after asking us about it though so that was good Otherwise great location and good place to stay ,No Positive
148782,Acad mie H tel Saint Germain, Nothing to complain about , The hotel was very central to the river Stein and the louvre In a very chic area of Paris I would highly recommend hotel to my friends and family We would definitely stay again 
148783,Acad mie H tel Saint Germain, the reception girls were too hectic one over smiling and stressed and the other one stressed and a litte irritable And they couldnt get me a taxi in 10 minutes I almost was delayed to a galla dinner they could only call one taxi company they said , the place street close to university
148784,Acad mie H tel Saint Germain,No Negative, Room 501 has a balcony the hotel s only one perfect for a sunny morning or evening St Germain is a lovely part of Paris and the hotel staff were charming Thoroughly enjoyed our stay here and would come back again 
148785,Acad mie H tel Saint Germain, The room was not spacious by any means but I did not expect a large space in an older urban hotel I loved that the room had a c because it was quite warm in Paris during our stay The staff was very friendly and made us feel welcome ,No Positive
148786,Acad mie H tel Saint Germain, TINY room and I mean TINY Barely enough space to step down from the bed NO space at all to keep suitcases open One of the reception ladies was beyond lovely and the other was kind of rude When checking out she was barking questions at me whilst taking a call to someone else even though we were being served by the other receptionist , The location was well priced for this area Nicely styled hotel 
148787,Acad mie H tel Saint Germain,No Negative, The location was great the service impeccable and the room was both very Parisian while still having modern updated bathroom features I wish I could have stayed longer 
148788,Acad mie H tel Saint Germain, The lack of a decent hairdryer for guests was a real surprise I had been travelling for 3 weeks and this was the ONLY establishment that did not provide a portable hair dryer Instead the dreadful old fashioned drying hose stuck to the bathroom wall was the ONLY option A staff member very kindly brought in her hair dryer for me to use during my 3 day stay So PLEASE TAKE NOTE purchase a couple or hairdryers for use by guests who request them it really is not good enough to only provide those ghastly old fashioned wall dryer any more , Staff were very helpful and gave us helpful advice on all our Paris queries Restaurant suggestions also very good We were able to store luggage and change clothes ready for travelling at the end of our stay 
148789,Acad mie H tel Saint Germain, I found a toenail on the floor when I checked in and the maid looked annoyed that I had asked for the floor to be cleaned again Considering the price you pay you expect it to be of a certain standard , The bed was comfortable and room had a lot of light The location was perfect and easy to walk everywhere One lady from reception was helpful and very polite I would stay here again 
148790,Acad mie H tel Saint Germain, Was a bit expensive but couldn t fault anything else , Hotel and room was beautiful Staff friendly and v helpful Location was perfect a beautiful area of Paris with lots of lovely cafes restaurants and shops 
148791,Acad mie H tel Saint Germain, More storage room Wooden floor in bedroom Description of hotel implied that there was a pool bath Jacuzzi which there was not, Comfortable bed Friendly helpful staff
148792,Acad mie H tel Saint Germain, Would have preferred a top sheet to a douve should ve asked Adults with better parenting skills 6 7 year old kids running down the hall and slamming the door at 1am is bothersome Adults smoking out of windows against the rules Staff was always quick to address the issues before there was a chance to pickup the phone , Elegant comfortable and welcoming Perfect location with engaging and friendly staff Room was quiet with a c shower separate tub and all the modern amenities Couldn t pick a better location Left out the front door of the hotel and you re straight down to the Louvre short walk Right out the front door and you re one block to the best cafes and shopping in Paris Staff deserves a special mention Truly multilingual very knowledgeable and prepared for anything 
148793,Acad mie H tel Saint Germain,No Negative, Reception staff were both professional and friendly making it very warm and homey We visited the hotel twice during our stay in France and I would recommend it to anyone wanted a wonderful boutique hotel in the Saint Germain area of Paris
148794,Acad mie H tel Saint Germain, Inevitably given its location there is a certain amount of traffic noise , The staff were exceptionally helpful and friendly and although we didn t need it we observed that they were able to converse in a good range of languages The Express breakfast at 12 euros was extremely good value the freshly squeezed orange juice was absolutely delicious and also commended by other guests 
148795,Acad mie H tel Saint Germain, Breakfast overpriced for what was served outside room 203 step not properly marked fell bruised knee ankle shoulder Witnessed an d reported to hotel staff , Charming an D friendly
148796,Acad mie H tel Saint Germain, Perhaps could have more tea and milk in the room , The room was clean and comfortable The bathroom was also clean The hotel has a lovely ambience and the staff are extremely welcoming and very helpful 
148797,Acad mie H tel Saint Germain, Towels were a bit small Everything else was excellent , Crisp White bed linen comfy firm mattresses our room was very quiet Decor was fresh and modern Reception staff were very friendly 
148798,Acad mie H tel Saint Germain,No Negative, Irene at the reception desk is the friendiest clerk in the city She was welcoming helpful and understood what we needed after an overnight flight She is the best and we will come back Thank you 
148799,Acad mie H tel Saint Germain, Very happy with all amenities, Staff were extremely friendly and helpful and even got to know our names This upmarket location of the hotel is central walking distance to all we needed including many amazing restaurants 
148800,Acad mie H tel Saint Germain, Some problem with order via booking We choose 2 different beds but when we arrived we saw 1 big bed But after one night our room number was changed two beds and we be happy , Best breakfast uau Very reach fresh orange juice coffee croissants eggs cheese etc Best place walking via Loure Musee Orsay boulevard Saint Germain Best cafe near hotel Toscano Italian and Coffee point on the University street near Saint Peres On Saint Germain a lot of to see walking you can go to the Old University Sorbonne 
