,Hotel_Name,Negative_Review,Positive_Review
25592,Ace Hotel London Shoreditch, Everything comes with a price tag There was no even complimentary water in the rooms Breakfast in Hoi Polloi was disappointing with coffee like cement and cold hollandaise on my eggs benedict Lots of style but missing substance If you like hip hotels in good neighbourhoods I d recommend the citizen M chain rather than Ace , Very comfortable bed and excellent location 
25593,Ace Hotel London Shoreditch, There was a heavy downpour I had to queue and ask for an umbrella at reception instead of a doorman offering, Effective security staff on the front door after the hotel s party finished easily distinguishing hotel guests from clubbers
25594,Ace Hotel London Shoreditch, I was woken up at 12 30am to a very loud piercing fire alarm The hotel was evacuated and had to stand in pyjamas outside for the next half hour I was asked how my stay was on departure I do understand they have to adhere to health and safety regulations however I did mention I was disappointed at being woken up so unexpectedly I did not think the staff member empathised too much and I felt it spoiled my stay as this is not a cheap hotel , I have stayed at ACE Palm Springs and loved it so thought I d check out ACE London as part of my stay in London On both arrival and departure the staff were very friendly and helpful The hotel is designed to a very high standard I booked a standard double room which was very comfortable and more importantly clean The bed linen was very good quality as was the bathroom and accessories facilities 
25595,Ace Hotel London Shoreditch, Despite being on the 6th floor the street noise was very loud and carried on throughout the night I felt that we were being sold to a lot most of the toiletries in the bathroom were for sale rather than being there to use There was also a tray of items all with a price list in the room It wasn t a cheap hotel so I felt some of these items would have been nice perks rather than added extras Also the rooftop bar has a private party when we were there so we couldn t enjoy it , The d cor of the room was great and very interesting quirky The bed was huge and very comfortable The view from the room was great and the window seat was perfect for people watching 
25596,Ace Hotel London Shoreditch, This was billed as a luxury property which was why we booked it for our birthday trip However it is all looks and no substance Price lists were to be found in bathroom by kettle etc and very little was included in the expensive price for the rooms Whoever thought the metal cups were a good look obviously didn t try to make a hot drink and then burn their hand on the metal handle no spoons just silly wooden stirrers Bin and sheets only changed every three days For a luxury hotel it offered little more than a premier inn at a fraction of the price Very disappointed not what we wanted for a special occasion , This hotel looks good and is in a good location for exploring Shoreditch Brick Lane Spitalfields 
25597,Ace Hotel London Shoreditch, Bed is low and close to the floor and the mattress sank in at the end when you sat on it But still had good nights sleep , Exec Double Room clean and fresh with natural light cool decore vibe Located close to grocery stores a variety of restaurants and a reasonable walk to Liverpool Street buses to Stansted Airport and Train Station Easy access to wifi pay for view movies per day not per movie as some hotels offer Provided travel adaptor on request and quick to address any concerns we had 
25598,Ace Hotel London Shoreditch,No Negative, The Ace Hotel is nothing short of fabulous It oozes coolness and has an awesome vibe Located in the ever so trendy Shoreditch with loads of great pubs restaurants and shops close by We loved our stay here and will definitely be back 
25599,Ace Hotel London Shoreditch,No Negative, Great rooms with quirky decor spacious comfortable Very stylish hotel with friendly staff I liked the fact that it didn t feel like a classic hotel with the lovely cafe downstairs the rooftop restaurant it was a very social atmosphere The location is perfect 10 min walk from liverpool st station and loads to do in the area 
25600,Ace Hotel London Shoreditch, I value comfort cleanliness and yes a bit of luxury over hipster cool The rooms are full of twee nonsense all of it for sale There s a pencil sharpener on the wall for some reason There are random bottles of liquor strewn about that you can purchase The minibar is in a little IKEA style wire box on a shelf My room had a giant Tumblr quote blazoned six feet high on the wall along with some sort of trendy photo collage It s all trying very hard to be cool To me it sort of felt like I was in a twenty five year old s messy apartment in Williamsburg I d prefer all of their little useless accoutrements be stuffed into a cabinet and leave the room looking a little more pristine rather than feeling like I m walking into someone else s see and be seen apartment where they re really obviously worried their Tindr date is going to judge them by the stuff they keep around The beds were on the floor for some reason which looks kinda hipster cool in a Japanese minimalism feng shui way but it s honestly not that convenient There was a vinyl record player in the room again for some reason no way to plug in any other kind of music from a phone or bluetooth and the record selection was abysmal with a few scratched off brand eighties non hits and absolutely no modern Norwegian black metal I d stay here again on work s dime for the location but if I was spending my own money I d want a bit more actual niceness and a bit less funky airbnb atmosphere for the amount I spent , The location is great right in the heart of Shoreditch walking distance to a train near a lot of fun bars and restaurants For a certain type of trendy person who values a hipster sense of cool above all else they d probably really like the style of this hotel The staff were perfectly friendly and helpful with the few questions I did have The beds and pillows were clean and comfortable 
25601,Ace Hotel London Shoreditch, I was surprised that toiletries were not complimentary It isn t the cheapest hotel to stay at and it would feel more better value for money if there were some complimentary items , Spacious for 4 people sharing Ideal for chilling out in 
25602,Ace Hotel London Shoreditch,No Negative, The hotel is different from the usual that you would expect Contemporary furnishing eclectic decor that suits the modern person s taste Staff was friendly and helpful 
25603,Ace Hotel London Shoreditch, It was very hot in London and the air conditioning kept returning to 28 degrees which I did tell the staff about just a bit hot that is all otherwise it was perfect , The staff particularly one person at the front desk were very helpful and when I told them that the heating would not turn off they waived my breakfast 
25604,Ace Hotel London Shoreditch, Not sure about the area felt a little vulnerable walking through Shoreditch at the end of the evening Plus its very irritating to be charged for a 7 bag of nuts that we didn t eat The in room snacks treats are really over the top I fully expect a premium on Mini Bar items but this was silly , Great sized family room 2 adults and 2 teenagers fitted in fine 
25605,Ace Hotel London Shoreditch, The confusion at checkout due to the mid handling by the receptionist, Apart from one particular receptionist the staff were very friendly and receptive 
25606,Ace Hotel London Shoreditch, First floors must be a bit noisy at night I was lucky to be on the 5th very quite , Very modern and clean very hip experience also due to the crowd Great place to hang out day and night becomes a nightclub 
25607,Ace Hotel London Shoreditch,No Negative, Really loved my stay in this hotel Was exactly as described and staff were just lovely especially the security staff This is a very cool hotel that perfectly encapsulates the Shoreditch vibe Would highly recommend to anyone considering staying in this area 
25608,Ace Hotel London Shoreditch, This hotel is verrrry popular so be prepared for a bumping reception area anytime you head downstairs , The bed is literally on the floor but it s sooo comfy you won t even mind The staff was amazing so thoughtful they sent up a piece of cake for my partner s birthday and happy to help us out when we had an issue with the aircon in our room 
25609,Ace Hotel London Shoreditch, This place is first a hangout club concert venue It is second a hotel Loud music until 10 pm then fire alarm evacuated hotel at 12 30 Drunk concertgoer broke glass fire box Apparently happens often according to front desk staff If you want a good nights sleep this isn t the place Oh and there are rude bouncers And everything in the room is for sale I just didn t like the place ,No Positive
25610,Ace Hotel London Shoreditch,No Negative, We had an amazing couple of stays at Ace hotel last week and both times we were served by Damien at check in The hotel is great and the staff are all fantastic and really attentive and helpful Damien was particularly helpful and remembered us from the weekend when we arrived on Friday and he upgraded us to a deluxe room which was great We asked for restaurant recommendations and on Saturday night we took his advice and had an delicious dinner at the wonderful Sagardi restaurant thank you Damien 
25611,Ace Hotel London Shoreditch,No Negative, Great place for a weekend From the moment you walk into the lobby you feel right at home If your home is a very hip and stylish place where bikes and LPs are decoratively hanging on and off walls of course The staff is very friendly attentive and helpful be it at the reception or in the bar The rooms are small but cosy and come with a decent selection of records to play on your very own record player Bonus points for the Twin Shadows album It s surprisingly quiet in the rooms considering the buzzing energy of the neighborhood in the downstairs bar at times particularly on weekend nights 
25612,Ace Hotel London Shoreditch, The hotel s restaurant is not great for parents who can t hear what you re saying when there is loud music and can t see the menu because of the dim mood lighting It was as Friday evening though The rooms are a bit disappointingly small and uninspiring they had the Deluxe Room , Booked for my parent s 45 60yr olds stay in London Ace Hotel is extremely cool and hip Food is top notch and staff are super helpful The hotel foyer is bustling with life good people watching 
25613,Ace Hotel London Shoreditch, Although still sa tylish hotel it is starting to get a bit worn down and could need a refresh I ended up on 2nd floor and was kept awake by the loud bar music downstairs Gym is tiny too crowded in the mornings I didn t have breakfast but wanted to get a cappuccino in the caf It was the milkiest non foamy cappuccino I have had in my life , Comfortable bed and nice staff
25614,Ace Hotel London Shoreditch, Needs better ventilation in bathroom as mirror steams up Other mirror in dark area with bright lights not good for make up No plugs by the bed Mini bar things super expensive Not enough bathrobes, Comfy beds great staff lovely reception area for drinks 
25615,Ace Hotel London Shoreditch, They forget to book my bike the first day so they give me two the next day Bad experience first but finally very fair , Possibility to rent a bike but you have to book one Full of Beautifull people
25616,Ace Hotel London Shoreditch, No swimming pool, Super nice reception he helped me book a ticket when my credit card not working and only have cash A small bouldering wall in gym 
25617,Ace Hotel London Shoreditch, I d wanted to stay at an Ace for awhile so my expectations were probably too high but still an enjoyable stay If you won t be spending much time in the hotel I m not sure it s worth the extra but if you are it d be a great choice , The location is great a short stroll to some of London s best bits The whole place is I hate to say it Hipster Luxe A whole bunch of fun little details Great vibe and the staff were helpful and friendly 
25618,Ace Hotel London Shoreditch, Unsure if gym use was included in the price Wish we were informed of this We could have asked though but chose not to , Visited during the heatwave 30 degrees Air con was very quiet and easy to use Shower was perfect and used 4times by each of us in 2 days Excellent to be able to have 4 people in one room too What a gem this place is Always plenty of staff friendly but not overbearing Lovely thank you 
25619,Ace Hotel London Shoreditch, I liked everything Nothing here to complain about Great experience , This is a great super cool and artsy hotel conveniently located in London s West End It has great open spaces a great restaurant food was great and they have really good healthy items too as well as a coffee and light bites cafe a great space for computer geeks to hang out and work a fun 1st level bar and a great roof top bar The rooms are spacious comfortable and decorated in a fun style All of the staff is very friendly very helpful and professional Lots of other amenities are available also Walk out the door and you have a large selection of good restaurants pubs and shops I thoroughly enjoyed my stay here in this fun and good energy space and will stay here when in London again Highly recommend it 
25620,Ace Hotel London Shoreditch, Mini bar etc In the room very expensive Possibly more tea and coffee in the room as you only get 2 of each per day and at the price of the room per night seems a bit mean , Friendly and helpful staff Very clean Good location 
25621,Ace Hotel London Shoreditch, I wasn t too hyped that I was in the wheelchair accessible room because all the amenities were oddly low And the security guard at night was rude and didn t believe I was staying there when I came back late from a bar The elevators take forever to call in the morning , The Ace Shoreditch is the best I love the vibe and the young culture There is so much to do in Shoreditch and the metro is easy to access The staff is great the beds are comfy and all the little knick knacks are so addicting The restaurant is insanely delicious the bar is always madly busy 
25622,Ace Hotel London Shoreditch,No Negative, The room was clean and modern the beds were very comfortable air conditioning was good keeping the room cool with 30 degree heat outside selling point for us was record player and selection on vinyl in our room Definitely an ace hotel 
25623,Ace Hotel London Shoreditch, The hotel offers a rooftop bar which during the afternoon was closed and then again in the evening for a private function No problem we thought there must be a bar elsewhere in the hotel to get a cold beer Yes there was a bar but it was closed , The aircon was effective on one of the warmest evening s of the year Room service was prompt
25624,Ace Hotel London Shoreditch, Dirty sofa stains all over it extremely noisy as if the windows were open resulting in little sleep very basic for the money even by London standards , Friendly and professional staff shower was amazing 
25625,Ace Hotel London Shoreditch, The noise level from the music on the ground floor the base was so loud in our room struggled to sleep till it stopped in the early hours of Saturday morning,No Positive
25626,Ace Hotel London Shoreditch, Nothing that I did not like , Just amazing staff bumped us up to a deluxe room and gave us 2 free drinks at the bar Best stay I ve had in my life 
25627,Ace Hotel London Shoreditch, Had a major issue with the air conditioning however they handled it well and fairly , Hotel was nice and hip Staff was really friendly and accomodating 
25628,Ace Hotel London Shoreditch, All good , We loved our stay we were at an event in Old Spitalfields Market so very near by Loved the record player in our room hotel and room design were great really friendly and playful staff for breakfast with our little 5 yo thanks Tracey our cool french waitress May have to be my business stay of choice from now on 
25629,Ace Hotel London Shoreditch, As I was travelling alone the restaurant felt too intimidating to go in alone that s probably just me though In the morning at checkout at 8 15 there was a huge queue so more support at reception at peak times would have been better as I was late for a conference , Was upgraded to a suite and was asked whether I wanted to wake up to sun or have a more shaded rear room which was a nice touch Staff at reception were really friendly and couldn t do enough to assist The room itself is really quirky with a large corner sofa and television and the interior d cor was similar to a really cool musician s hipster s loft complete with guitar Instagram worthy photo ops all over the place here Downstairs a DJ was playing vinyl this is just a really cool place to hang out 
25630,Ace Hotel London Shoreditch,No Negative, Booked just the one night as we were attending the Depeche Mode gig at the nearby Olympic Park Stadium Ace is just a couple of tube stops from Euston station and in a great location for famous markets short walk to Old Spitalfields Brick Lane Friendly staff and everything you ll need on hand Amazingly stocked mini bar and other snacks etc Modern eye catching design Mix up with overcharging sorted very quickly with no hassle 
25631,Ace Hotel London Shoreditch,No Negative, Ace is a great place Stayed at Ace in NYC some time ago and love the atmosphere Comparing the two the location in Shoreditch is better but equal good service and personal touch on the room design Appreciated a lot to find a guitar in my room 
25632,Ace Hotel London Shoreditch, Bed on floor Too low Staff screwed up rooms and billing Its was a mess from start to finish Room still not ready at 5 30pm Tried to overcharge for additional mystery room Reservations all messed up even though we rang every day to confirm all was good for our clients They hated it and they travel a lot , Location
25633,Ace Hotel London Shoreditch, It is an expensive place to stay like so many places in London but worth the price , Very cool place right in the middle of Shoreditch full of boutiques bars and restaurants Staff is super friendly Rooms are nice and big bed sleeps very very comfortable
25634,Ace Hotel London Shoreditch, The hotel can be recommended to 20 somethings who wants to party with other of the same age every night the ground floor is full of young hipsters either at a co working desk og chatting and drinking with friends This time there was a hen night in the lobby the rooms are loaded with alcohol Three times i have stayed at the hotel the fire alarm has gone off in the middle of the night A piercing sound Only in one other hotel has this happened to me SP34 in Copenhagen so i doubt its a rare incident We stayed in deluxe double The first room we were given had windows towards the street and was very noisy The second was peaceful but had just a narrow window out to the backyard Proper sound insulation and daylight conditions would improve a lot , An area with nice restaurants and shops Breakfast at the hotel restaurant is very nice though a bit expensive and the flowershop connected to the restaurant is amazing After staying here many times it would be good with a few fresh tunes from the string quartet in the week end though 
25635,Ace Hotel London Shoreditch,No Negative, The hotel is located right in the trendy Shoreditch precinct with many great bars restaurants and cafes only a stone throw away The hotel itself is very modern and great for people watching all the regulars coming in for a beer or bite to eat The music can be a bit loud at night in the downstairs bar but thats the sort of vibe I like 
25636,Ace Hotel London Shoreditch, The air con was broke and as the weather was warm it was incredibly uncomfortable The staff however were very helpful and we were told to use the minibar on the house as compensation We may have been able to ask for a room change but didn t actually ask as we liked the room apart from that , Brilliant location excellent service
25637,Ace Hotel London Shoreditch, there was a mess and still is with two credit cards we used we needed the invoice and we still didn t receive the full refund to the card we used first, the location is great
