,Hotel_Name,Negative_Review,Positive_Review
313645,Ako Suites Hotel, The room was not as comfortable as the booking It was very noisy at night with an open window We had room to Carrer de la Diputacio , Excellent location Very kind stuff especially in reception Very clean room and bath 
313646,Ako Suites Hotel, Bathroom and toilet area not private Please emphasise this in your description Caused unnecessary problems especially when sharing with grown up children Tea and coffee facilities should be provided in rooms, Location to Los Rambles about 15 20 min walk Air con could be better 
313647,Ako Suites Hotel, The glass bathroom in the middle of the room was awkward for friends as we booked for 4 adults we were expecting four full beds but it was a sleeping sofa for 2 quite comfortable though , Location was amazing great pool friendly staff
313648,Ako Suites Hotel, Staff was correct but asking for too much information as we paid with company card and we understand the politics of the hotel but it was a bit of a hassle Making things easier and also being a bit more sensible as we were in front of our client and it looked a bit like there was a problem when we had paid everything in advance , Hotel facilities and location were great We would recommend it as it has a great location and the rooms are decent 
313649,Ako Suites Hotel, Room a bit hot could not work out the AC controls but I was frankly exhausted form tow nights lack of sleep at another hotel so more me than the hotel , Ok we needed a quite place after the disaster hotel we had booked a few blocks away and this did us very well 
313650,Ako Suites Hotel, No kettle chopping board bread knife cloth to wipe surfaces clean dishes A toaster would have been a good addition Welcome pack would have been appreciated to incl milk sugar tea bags Loose connections re bedside lighting Shower head would not stay in position Armchair and footstool would have been nice Leather sofa slippy and wearing Needs repair Additional hangers in closet needed,No Positive
313651,Ako Suites Hotel, Nothing, Friendly staffs good location near stations n airport shuttle Shower is strong n hot Love the little kitchenette it would be perfect if they have oven 
313652,Ako Suites Hotel, I booked a hotel with swimming pool cos my son loves the water But unfortunately the small rooftop swimming pool was not heated Although we traveled beginning of May the water was too cold Didn t see anyone using the pool It would have been just perfect if the swimming pool was usable , I traveled with my husband and 3 year old It was an excellent place to stay for 3 days very comfortable clean quiet and staff at reception very helpful The suite was cleaned everyday and the staff responded to our requests promptly The location was close to the catalunya square Many bakery cafe restaurants closeby Will recommend to friends and stay again 
313653,Ako Suites Hotel, I put my properties inside the safety box which is included 2500 and 1500 Euro When I checked out I didn t check my bag based on my trust Once I arrived home I saw it is lost 800 and 100 Euro I called to the hotel but they said they cant do anything , Everything was good
313654,Ako Suites Hotel, Prefer a double bed rather than two singles side by side Would like cloths and washing up liquid to wash dishes rather than wait for the daily clean when we needed to use them , Staff were lovely and very helpful Room was very clean and spacious for Barcelona Room was bright and quiet facing the back Location was great and a 10 15 walk to Passeig de Gracia for shopping Restaurants and a supermarket all on the same block 
313655,Ako Suites Hotel, Double bed was the standard twin bed put together to be expected Pool didn t open til 10am, Great facilities Located a 10min walk to placa catalunya Area close to some great local restaurants 
313656,Ako Suites Hotel, The breakfast not included in the rate the process of ordering too much complicated same as the menu, The complimentary biscuits fruits water coffee in the reception
