,Hotel_Name,Negative_Review,Positive_Review
374699,Alma Barcelona GL, Price of breakfast we ate out instead, Really comfortable beds spacious rooms wooden shutters made room really dark at night free soft drinks at mini bar were hit with the kids 
374700,Alma Barcelona GL, This hotel tried to be modern and with design However the finger print door opening did not really work for us only 2 4 of us were able to use this technique therefore there was one time it did not work for my Mom 85 years old and she really needed to use the toilet And so i have to ask the guest relationship manager to come help us open the door and he was quite annoyed and rude Maybe he was busy with something else but we didn t expect that kind of bad attitude One lady staff at breakfast was also very rude Overall speaking I would not recommend to my friends and would not go back to this hotel , Convenient location but if compare with the bad attitude from some of the staff I would not go back to this hotel 
374701,Alma Barcelona GL, The staff forgot to replace the empty tissue which made me feel their housekeeping manage isn t that good, The staff is very friendly best breakfast I ever eat during this honeymoon very close to casa mila 
374702,Alma Barcelona GL, Furnishing in the room a bit dated No face towels and old bath towels No mirror facing the sink making it very awkward to shave brush teeth apply makeup etc Requested a small vanity mirror at least but nothing requested extra towels none delivered requested some first aid disinfectant nada all requests to the reception were ignored without any response Strange Advice is to see the room before your stay in it , Restaurants and food outstanding and exceptional at this property Lobby Lounge very comfortable with a relaxing outdoor terrace 
374703,Alma Barcelona GL, Cafe service was rather haphazard and very slow Portions were small and expensive , receptionist Chubby was friendly and most welcoming and informative Garden area was an absolute haven Quiet spacious with wonderful trees and plants Restaurant food was most delicious The veal cheek was the best meat meal I ve ever had The restaurant service was excellent 
374704,Alma Barcelona GL,No Negative, The bed was amazingly comfy very hard to get out of in the mornings The staff members particularly on reception were exceptionally helpful I travel a lot on business and would rate them among the best I ve encountered for friendliness efficiency and going the extra mile The breakfast was delicious and the garden is a delightful oasis in the midst of the city 
374705,Alma Barcelona GL, Decor very minimalistic could do with some art work on the walls , Very helpful friendly staff Large rooms comfortable beds Location ideal for visiting all the sights and shopping areas 
374706,Alma Barcelona GL, The spa facilities are a little basic the sauna and steam room are excellent but the lap pool is a bit shallow to really swim in and they could do with having more than two lounging beds , The staff were very helpful friendly and professional but in a relaxed way which was perfect Breakfast was extensive and excellent The location is central but the hotel was still quiet The bed was very comfortable 
374707,Alma Barcelona GL, Breakfast should be included in room s rate , Excellent hotel great staff Room was super clean and comfortable Amazing location almost in Paseo de Gracia Breakfast is also wonderful but should be included in room s rate 
374708,Alma Barcelona GL, The pool was too cold to use, Lovely big bed comfy pillows nice big bath seperate bigger than average shower 2 wash basins seperate toilet good easy to open and close shutters that kept the light out of the room friendly helpful staff nice sauna wet room and gym
374709,Alma Barcelona GL, there was nothing to complain about , Already at the check in very professional and help with getting a ticket for Sagrada Familia just some 15 20 min from the hotel A lovely bar area with Tapas at your fingertips Located just off Pasteig de Gracia it is well suited for your shopping experience In short an excellent place that made my stay in Barcelona even more relaxing 
374710,Alma Barcelona GL, The noise that s coming from the street that the hotel is located on , The staff and the management were the highlight of the hotel One of the best services I have ever received from a 5 star hotel 
374711,Alma Barcelona GL, loved it wish I could have stayed longer , The staff was super friendly and accommodating They were kind and well versed in English my Spanish is quite poor They offered a beverage upon check in and talked me into the fingerprint room security very James Bond and it was just oh so clever A very highly stylized modern hotel Serene 
374712,Alma Barcelona GL, Rooms and public areas too dark Need more light Not enough hooks counter space etc for personal stuff in the bathroom No door to bath and shower room , Everyone polite and helpful Very clean great location 
374713,Alma Barcelona GL, missing coffee machine although mini bar is free it would enhance the value of stay at Alma Barcelona if there is a nespresso coffee machine inside each guest room , Customs Service excellent locatio plus very comfortable bed Also the cellijg shower head is one of most comfortable shower experience among five star hotels that I have stayed 
374714,Alma Barcelona GL, Having a sink in the toilet which was in a separate room from the shower , Very chic modern hotel with great customer service Conveniently located and close to many sights 
374715,Alma Barcelona GL,No Negative, We had an excellent stay They staff were so welcoming and kind and we thoroughly enjoyed our time at the hotel including in the spa and the scrumptious breakfast 
374716,Alma Barcelona GL, The style of the hotel is very modern minimalist decor which is not my personal preference but I knew my husband would like it and he did , We really enjoyed this hotel The staff couldn t have been nicer So very helpful in every way At check in they offered a glass of cava this was a very nice touch We had a great nights sleep on those comfy beds and the breakfast was excellent perhaps a bit pricey but worth it I loved the fact that the products were all local and very delicious A huge assortment of pastries croissants meats and cheeses Bonus was the coffee tasted great The staff helped us with the purchase of our tickets to Sagrada Familia so that we could fast track They also recommended the most incredible seafood restaurant We also enjoyed the park like setting off the dining area It was very pretty 
374717,Alma Barcelona GL, The room is dark Hard to put your lipstick on straight And there s no door on the bathroom Odd if you want privacy , The restaurant is excellent Menu is small but very very good Room is large and well equipped 
374718,Alma Barcelona GL, Having breakfast inclusive as part of the hotel rate would have been nice better value for money Rooms very modern but slightly on the basic side , Amazing location minutes from Passeig de Gracia shopping centre of Barcelona and an easy 15 20 minute walk from most tourist attractions such as La Sagrada Familia extremely friendly staff very smooth check in and check out process and very modern and sleek hotel 
374719,Alma Barcelona GL, Room was a little minimalistic housekeeping not always at same level as other employees but not a real problem , Staff were awesome Highly knowledgeable about Barcelona and always willing to find things out arrange bookings or answer questions Food in the restaurant was excellent Finger print recognition key a winner 
374720,Alma Barcelona GL, 1 Had to request a kettle for the room not because we are obsessive tea drinkers but for taking Lemsips 2 Cleaners did not replenish supplies of shampoo etc 3 Food ordered from room service below par and only luke warm , Excellent location room a good size and had nearly everything we needed Good that all soft drinks in minibar were free 
374721,Alma Barcelona GL, Only thing I didn t like was that our visited had to come to an end , From the minute we were greeted at the front door until they put us in a taxi for the trip to the airport my sister in law and I were treated like queens We arrived early off a cruise ship and were offered a cup of coffee while we waited in the very comfortable bar lounge area With in half an hour our room was ready and our host came personally to get us Our bags were waiting when we entered the room Room was very comfortable especially the beds I can only hope we can return in the near future Location was perfect 
374722,Alma Barcelona GL, Some of the rooms are very small and do not have a bathtub we were given a bigger room but there were bathroom amenities missing no vanity set shower cap no electric kettle and none was available and the fingerprint lock didn t work Not a 5 star hotel more a well designed pricey 4 star , Excellent location friendly staff modern and clean decor beautiful garden in the back 
374723,Alma Barcelona GL, Breakfast is expensive There are lots of coffee shops nearby where breakfast costs a fraction of the hotel s charge , The location was excellent staff extremely professional and helpful 
374724,Alma Barcelona GL, I loved the room layout and amenities but a bit more lighting in the hallways would be appreciated I had to use the flashlight app on my phone to find the door s keyhole , We loved the look and feel of the hotel from the warm welcome at reception to the modern and well thought out design comfort of the room and the beautiful courtyard where we could sit and relax after a day of touring Also I could order a cappuccino and roll for breakfast a la carte without paying the full breakfast price of 25 Euros There are various dining options to choose from for dinner too The hotel is well located too We d be happy to stay at the Alma again and recommend it highly 
374725,Alma Barcelona GL, For dinner the main restaurant food was disappointing, Location and service outstanding Room was comfortable and quiet The garden area was peaceful Enjoyed the roof bar with the live music and great bartender and staff and view 
374726,Alma Barcelona GL, could have brought a daily paper to room , Perfect location had a room on 4th floor facing street no problems sleeping a very sound building Exceptionally helpful staff 
