,Hotel_Name,Negative_Review,Positive_Review
220893,Amarante Beau Manoir, A member of the staff tried to charge us 40 EUR per night for an extra room for our son even though we had booked a family room He did however accept our arguments and we didn t have to pay extra , Great location and luxurious interior 
220894,Amarante Beau Manoir, With the price we paid I expected a better breakfast The breakfast area was cleared 15 mins before the time the breakfast should finish This is unacceptable Also the quality of the breakfast was not so good ,No Positive
220895,Amarante Beau Manoir, No tea and coffee making facilities Rooms need an upgrade as the wallpaper looked rather tired , Location was excellent Rooms were comfortable Metro is only 2 minutes walk 
220896,Amarante Beau Manoir, The hotel advertised air conditioning our room and 3 other guest complained in the middle of the night of no air conditioning We could open the windows but the traffic and construction on the building noise caused a lack of sleep This was my first trip to Paris and the experience here makes it my last Management tried to move us to a cooler room but it was broken too Then to add to the heat we had accommodations for 3 family room and the new room only had 1 bed It had a pull out sofa but when the slip cover came off the sofa looked as if a dog chewed on it because it was ripped in several places It also looked stained We are a family that likes to camp and this room was the worst than sleeping on the ground My husband was going to sleep on the couch but it was so disgusting we all sleep sidesays across the only bed It was the worst hotel , The service we received during breakfast 
220897,Amarante Beau Manoir, Staff somewhat rude Not allowing check in until it was exact 2 pm We were there 1 hour before Not even 5 minutes to 2 pm Asking us to wait Well it takes at least 5 minutes to process check in with somebody with confirmed booking Torn lounge in room covered with a grey sheet Such was the lounge which should go to junkyard not in a so called 4 star hotel Dirty chair with stains , Location only 
220898,Amarante Beau Manoir, I couldn t figure out how the shower worked it was set up in the bath Instead I just took baths , I had breakfast outside the hotel The room was comfortable and well appointed I found the Reception staff to be very helpful A nice touch was having apples available to eat near reception 
220899,Amarante Beau Manoir, No hot water on several occasions General decor very poor Lift no working on one day room on the fifth floor Staff not friendly not helpful Pre paid for a suite 780 for 3 nights rip off Better in a traveloge, Location
220900,Amarante Beau Manoir, I was staying at this hotel 24 28 5 2017 and became badly bitten by VERMIN during my stay there I ve contacted my physician directly the same day I left the hotel and he confirmed it I ve sent the message with the pictures with the marks at my body to the hotel and the person who answered me wrote that it was somewhere else I became bitten but not at this hotel Nonsense as I ve got marks already the same day as I left the hotel and the pictures are dated I answered with the e mail twice where I asked for the contact details to the owners but still haven t got any answer Being a 4 property it is not acceptable In general the hotel has old furnitures textiles and carpets in the rooms building and hotel s cleaning crevice is not the best one as for example my room remained unclean last day I was staying at the hotel And obviously VERMIN And very poor customer care ,No Positive
220901,Amarante Beau Manoir, Getting the room you book rather than having to sort it on arrival after a long day travelling, The rooms I booked were not twin separate beds as I requested I had my 3 teenage children with me who wanted there own bed This was fixed the following day but stressful when we arrived I also requested no ground floor room as they are dark and noisy from previous experiance Again we were allocated a ground floor room but we we were moved to an alternative better grade room at the same price I have stayed many times at this hotel on business trips Its location is the no 1 factor 
220902,Amarante Beau Manoir, No tea and coffee making facilities It took 2 days for an electric kettle to become available The rooom needs updating eg wallpaper looks old , Location was excellent Room was comfortable and very clean 
220903,Amarante Beau Manoir, There was no ice , After seeing some negative reviews on TripAdvisor we were skeptical But the price through Booking com was unbeatable so we gave it a try It was perfect We had three adults for 9 nights hard to accommodate in Paris but they upgraded us to their largest suite and provided extra padding for the pull out bed and everything was very comfortable and clean The staff was extraordinarily friendly and housekeeping was attentive The Wifi worked except for a couple of hours one night The AC was perfectly adequate though the weather was not particularly hot when we were there The minibar was stocked and we enjoyed the little wine bar in the lobby sitting area which is beautifully appointed with historic touches and is very lovely and pleasant The hotel could not be better located Staying near the Place de Madeleine is a perfect choice for ease of sightseeing museums shopping dining gourmet foods and transport The Metro is nearby and a taxi stand is just steps away from the hotel The taxis in Paris by the way are terrific and very affordable Many great sights including the Madeleine church Opera Place de Concord Tuileries and Louvre are also very walkable from this location We did not sign up for the breakfast preferring to venture out to the numerous nearby cafes But we did wind up spending about the same amount as we would have if we had ordered from the hotel I would highly recommend this lovely little hotel and would definitely stay there again 
220904,Amarante Beau Manoir, We had a problem with water temperature no hot water at one point That was about the only negative, The staff were lovely to us the entire time and we loved the traditional style of the hotel 
220905,Amarante Beau Manoir, The taps of the washbasin and bathtub was broken so it was always too hot water coming from the taps Although I said it to staff 3 times they didnt fix it There was no place to hang the shower It wasn t possible to even wash my face because of very hot water There was cracks on the walls of the hotel Not renovated I don t recomment it , Location
220906,Amarante Beau Manoir, I was in a ground floor room which was noisy at night with people walking past on the street, The hotel was in a good location but was a little tired in its decor I expected a bit more for a room costing 200 per night
