,Hotel_Name,Negative_Review,Positive_Review
461157,Amsterdam Marriott Hotel, Poor service at the restaurant and confusing charging of wifi, Location was awesome Cleaning crew did a great job Front Desk staff were very friendly and helpful
461158,Amsterdam Marriott Hotel, The bikies You have to be careful They think the bikies are the king on the street not just pedestrian has to give away to them even the cars has to give away to them and also there s path way for bikies but they still ride the bikes wherever they want so annoying, The location close to everywhere I always walk from the hotel to everywhere and the map was easy to read 
461159,Amsterdam Marriott Hotel, Cleaning service only showed up once A bit expensive for what it was , Room was spacious and the bed quite comfortable Hotel has an amazing location 
461160,Amsterdam Marriott Hotel, Not a friendly reception staff Normal Queen Size bed No free wifi and breakfast included at room even i pay 350 per night Bad Water pleasure for the shower head Not reach in 5 start hotel standard , Location near to the shopping street Quick easy check out system 
461161,Amsterdam Marriott Hotel, The lifts were really annoying they weren t registering our cards that s well and caused us to miss our level quite a few times , The bed was amazing and the food was lovely The staff are very helpful and friendly 
461162,Amsterdam Marriott Hotel, you should close down this hotel thieves they are 55 Euro for one day parking they charged extra and they did not inform us in advance and booking com was not clear either , Nothing except location
461163,Amsterdam Marriott Hotel, No pool, Tim the concierge was excellent Provided fantastic restaurant recommendations Nothing was too much trouble and he remembered my name which was a lovely touch Great service 
461164,Amsterdam Marriott Hotel, Very disappointed that breakfast not included in price especially for a family as it is an additional cost on top of cost of stay Would recommend that breakfast should be included in price There is tea coffee making facilities in the room however there is an additional charge should you wish to avail of same this at least would be included in most other hotels , Beds were very comfy and room adequate for family of four Room clean staff friendly helpful Relaxed atmosphere and nice ambience in hotel 
461165,Amsterdam Marriott Hotel, Crowded like a refugee camp and dusty like a moon crater Overall it feels like a 3 surely not 5 Dull breakfast Super tiny rooms with bleak design I could understand this size provided hotel was on the Dam Square But here My conclusion is never to come back to this place irritating in every aspect , One thing on the upside you still could get a free umbrella here 
461166,Amsterdam Marriott Hotel, Wifi in the rooms included in the price would complete the package for this hotel to be rated as 5 5, The location was excellent and the staff were very friendly The rooms were very clean and a good size for a family of four 
461167,Amsterdam Marriott Hotel, The check in Too long of a wait Staff didn t follow through the requests Didn t like the room had to be changed Bathroom didn t have have a magnifying mirror lighting was bad Dirty glasses not picked up Elevator cards didn t work most of the time , Location Adequate breakfast Complimentary executive lounge by Cynthia the receptionist 
461168,Amsterdam Marriott Hotel, Construction outside Not close to city centre , Friendly staff We booked Staxi to come to airport 25 euro for 6 bags snd 4 people Very reliable and reasonable Book online 
461169,Amsterdam Marriott Hotel, Service wasn t great with two young kids we were in the family room which ended up being much smaller than it looks in the photos Staff service levels and professionalism were also not great On the plus side the location is excellent,No Positive
461170,Amsterdam Marriott Hotel, Since it was a Saturday night it was very expensive , The location was brilliant for our purposes and also very close to the Vondelpark for morning walks close to canal boat trips if you want them and very near the Rijksmuseum There are always roads and pavements being repaired in Amsterdam but this wasn t a problem Our room was overlooking the courtyard with trees and was nice and quiet 
461171,Amsterdam Marriott Hotel, Couldn t get into the room until 2 30 pm on day of arrival from USA I know they are not obligated to get us in in early but it has happened in other hotels, room comfortable clean
461172,Amsterdam Marriott Hotel, The images of my room and the pictures had nothing in common When I asked to change the room because it did not even have a bath tub I was given the same type but with a bath tub The cleaning did not happen at all When I tried to point that out all I got was Sorry for that we will pay attention to your room well thanks but I already was leaving the next day The photos of the dust and dirt are attached The sound protection is non existant I heard the snoring and slamming doors throughout the stay The breakfast is salty and very poor served at the bar I wouldn t advise eating there if you would like to keep a healthy diet All in all I ve paid 200 Euro for two nights using the group rate and 400 Euro using the Booking com that advertises it as a 5 star experience If you ask me the value for money questions well less than a 100 would do for a 2 3 star hotel located in such a nice city as Amsterdam Marriott has spoiled the whole experience from the city And I am not even saying about a separate Wi Fi access not working key card and no compliments from the 5 start hotel and by this I mean a simple still water in the room you won t get it I was though charged a 75 Euro night deposit as if there was anything worth spoiling like hairdryer that was not working after 1 minute of actual work or iron desk that was literally pouring with foam rubber when I tried to iron my top once I would not advise staying in this hotel to anyone planning to visit Amsterdam especially not for pleasure I was lucky to have business in the city otherwise I would definitely ask for my money back Indeed this still can happen dear Marriott you have my card number Next week I am staying in Marriott San Francisco God I am already horrified , Nothing
461173,Amsterdam Marriott Hotel, Suite was not value for money For 800 plus Euros a night you expect better service The beds the Cleanliness the kettle the housekeeping were way below par and you had to repeatedly call for help Not at all worth Also no previledges provided as SPG Marriott gold member The bar service was a disaster , The breakfast was good and the steakhouse was also very nice Also the staff at front lobby not front desk were very courteous and helpful and carried around genuine smiles 
461174,Amsterdam Marriott Hotel,No Negative, Extra helpful and professional staff reception concierge housekeeping outstanding Excellent breakfast in executive lounge City view from 10th floor
461175,Amsterdam Marriott Hotel, No negatives , The location was great near public transportation restaurants and the Van Gogh Museum Courteous staff and free WiFi Beds were very comfy and a nice family style table and seating that we all could sit at or place our belongings We were booked for two nights and easily were able to add a third night 
461176,Amsterdam Marriott Hotel, Not up to the standards of marriott Very expensive for the facilities provided Room was not spacious , Good breakfast very friendly and helpful staff
461177,Amsterdam Marriott Hotel, the room very expensive and small i changed to another room no balcony i go every morning outside the hotel to smoke the bar was modest old fashion i didnt like it and theere is no outdoor coffe or restaurant the hotel is very sombre not going again,No Positive
461178,Amsterdam Marriott Hotel, Breakfast area was not big enough for number of guests Over crowded and food was not restocked fast enough kept running out of food bowls Not a very extensive breakfast selection for price and standard of hotel Check out procedure was slow Had to wait for mini bar to be checked and was then charged for items that we had not consumed they did not make me pay after I explained that the items were most definitely not in the room when we arrived Fitness area very small and lacking enough cardio equipment and mats Cleaning staff came into vacuum the gym at the busiest time of the morning when gym was full of people We came by public transport because parking was ridiculously overpriced , Located close to centre of city park restaurants public transport tourist attractions and shops Good sized room with very comfortable beds Room was nice and quiet 
461179,Amsterdam Marriott Hotel, I found the front desk staff to be very abrupt and lacking interest in us as guests We were spoken to very sharply and were made to feel slightly unwelcome No chance of returning to this hotel Booking com also lead us to believe there was a swimming pool by displaying a pool icon in the amenities when there was not a pool , I liked how comfortable the beds were 
461180,Amsterdam Marriott Hotel, Room too cold reported it but no help had to report again Not enough drawers for clothes Too much water on floor after a shower shower door leaks , Location Breakfast at hotel 
461181,Amsterdam Marriott Hotel, I think the breakfast cost a little excessive for me I only have cereal and fruit for breakfast not offered a continental breakfast at lower cost Good value for my husband who has a full breakfast I think some options would be good , Loved the location so close to everything public transport and within walking distance to a lot of the sights
461182,Amsterdam Marriott Hotel, This is our third visit to this very hotel On our previous occasions there was always a jug of water ready in the lobby after a long day of cycling This wasn t there this time this merely a tiny critique , Lovely hotel with ideal location Genuinely great experience
461183,Amsterdam Marriott Hotel, Had to wait over half an hour for pre booked taxi Rideways driver to turn up at the meeting point, Clean comfortable room Good location within easy walking distance of both the old town the museum district
461184,Amsterdam Marriott Hotel, Booking com had only stated that one person was staying when there were 2 of us meaning that only one breakfast was paid for My brother had the same problem which shows the booking process was floored , Nice sheets quiet room excellent staff 
461185,Amsterdam Marriott Hotel, Shower in the bathroom badly designed one shower session drained into the outside hall , Location good restaurant food drinks very good Staff was friendly efficient 
461186,Amsterdam Marriott Hotel, Rooms were small , Perfect location close to most of the tourist attractions nice facilities Would recommend for older couples but not for young people 
461187,Amsterdam Marriott Hotel, The price of breakfast was high and paying for internet is an unnecessary expense , The staff was very professional and helpful The room was beautiful and clean The location was close to the tram So getting around was easy 
461188,Amsterdam Marriott Hotel, No complaints staff was helpful no question or concern went unanswered with my satisfaction their primary goal Clearly a service oriented staff , Staff was helpful location to activities was convenient always felt well attended to by staff Convenient breakfast to start my day and handy bar to end my day 
461189,Amsterdam Marriott Hotel, Nothing really , Crispy bacon I live in a Muslim country I can comment that the breakfast staff were absolutely on top of their game Anticipated needs 
461190,Amsterdam Marriott Hotel, I found the internet reception poor I would like to have a stronger and faster internet , The hotel was recently refurbished and everything was new and clean The staff was very friendly and the location ideal 
461191,Amsterdam Marriott Hotel, very noisy location eg building work inside hotel that we where not informed of also noisy air con had to turn off at night but could not open window at night due to traffice lights outside and tram alerts, Food good staff excellent handy for transport links
461192,Amsterdam Marriott Hotel, No milk in the rooms tea bags in the rooms I booked this through booking com nothing was mentioned regarding 5 tax we had to pay on arrival We had 2 rooms I paid 75 deposit on each room I checked out yesterday morning nothing has yet to be given back No damage on any of the rooms , Very clean beautiful hotel staff are very helpful 
461193,Amsterdam Marriott Hotel, Some rooms at second floor are under construction I think that they should close all floor because there are not clean and very noisy I scattered coffee by accident and they were not cleaned only from the floor but not near the safe Such an expencive hotel has to provide a complimentary bottle of water and free wi fi , Prefect location and nice staff 
