,Hotel_Name,Negative_Review,Positive_Review
468461,Aparthotel Adagio Vienna City, I was expecting maybe a little more for the price but i guess this is a general issue of the hotels in Vienna Room was dark and view was on the back on the inside ring of the building with view to other windows , Rooms were fine but was expecting a little more for the price Staff was friendly Position was close to city center and lot of transportation options were available Room had a big fridge and possibility to heat up food or even prepare it if that s needed 
468462,Aparthotel Adagio Vienna City, The 500 Euro fine if the smoke alarm goes off apparently very sensitive makes you actually afraid to cook which is a shame No wonder the kitchen is so immaculate it s probably never been used The mattress was quite hard But that is the trade off from it being able to fold away and for a sofa to be usable for receiving guests i assume , The room had all the facilities available to make it feel like a home away from home large fridge lots of cupboards etc It was well designed to ensure maximum use of space Extremely clean it looked like the room hadn t been used before In a great location if you want to be in the main city and see all the sights 
468463,Aparthotel Adagio Vienna City, The only downside was that it would have been nice to have had 2 pillows per person I had to ask for an extra pillow and maybe a comfortable chair to sit in as one doesn t always want to sit on the bed, Everything was fantastic the staff were very helpful the room was nice the bed comfortable The location was good 
468464,Aparthotel Adagio Vienna City, The internet was a bit slow, The location was perfect the prater park was 15min walk and there is restaurants within 5 9minutes of walk the staff were very kind 
468465,Aparthotel Adagio Vienna City, As said bed wasn t a real bed but okay Breakfast is very expensive but is optional No cleaning service included for the 4 days we stayed Rooms are quite noisy , Good location close to several city beaches and bars Room had a small kitchen and dishwasher Bathroom was super clean and comfortable Bed can be transferred into a bank and was a little hard but comfy enough 
468466,Aparthotel Adagio Vienna City, The fitness centre weight machine was difficult to use and there was 1 x 10kg free weight , Really modern hotel in the main ring of Vienna Easy to get around and see the sights
468467,Aparthotel Adagio Vienna City, The lack of natural light The single small window looked out onto a narrow courtyard light well and being on the first floor with the sky a small square far above the room was always dark and we needed electric lights on at all times , The studio apartment was well equipped spotlessly clean the beds were firm and very comfortable the bathroom roomy and efficient It was thoughtful that washing up liquid and cloths were provided and soaps in the bathroom 
468468,Aparthotel Adagio Vienna City, We found front desk staff not efficient enough for our needs , Walking distance from the center yet quiet location Right near a major tram stop Good amenities in the room 
468469,Aparthotel Adagio Vienna City, Absolutely nothing , We arrived late in the evening the reception staff were excellent The studio room was spacious had everything you could want for an extended stay Easy access either by tram metro or on foot to must see attractions Special thanks to Mr Sharma who suggested an upgrade from b sic to superior studio well worth the small extra payment to have opening windows city view Would definitely recommend this hotel to others 
468470,Aparthotel Adagio Vienna City, There was only 2 coffee sachets and nothing for the coffee machine which is expected but as we couldn t take the coffee home we didn t bother to buy any The booking said the room had city views but ours was facing an office building on the other side of the building from the river and city , It was a large room and had its own small kitchenette with a coffee maker and free wifi located close to public transport and shopping etc It was good value though and close to lots of restaurants and near the university precinct 
468471,Aparthotel Adagio Vienna City, Staff very cold and boring they called my family attention during breakfast twice for some dumb reasons , Very good location and excellent view of Danube it s also in front of public transportation and underground train 
468472,Aparthotel Adagio Vienna City, The bed was a fold up but comfortable once you got in, The location was perfect with a great view of the river and large opening windows let you immerse yourself in the beautiful Viennese summer Staff gave comprehensive location transport and supermarket details on check in without being asked
468473,Aparthotel Adagio Vienna City,No Negative, Good central location with a short walk to all the facilities the town has to offer and the underground is inexpensive and easy to use and very quick to get around
468474,Aparthotel Adagio Vienna City, Room could use a bit of paint Quite scuffed up though nevertheless clean One of my morning wake up calls did not happen , Happy that breakfast started at 630 some hotels start at 7 
468475,Aparthotel Adagio Vienna City, The room was a bit too small and cramped at times The view said we would have a garden view but instead got something different The photos of the room when we booked it didn t look the room we were getting as the photos made out we d have a much larger room but didn t , Great location approx 10min walk into the central city at a very relaxed speed Staff was very friendly and welcoming and answered all the questions we had The bathroom was very big and well maintained with a modern feel to it 
468476,Aparthotel Adagio Vienna City, On the small ap you can not open the windows Also in the Bathroom there is not a ventilator available For this reason we made an upgrade to a bigger apartment Here was very nice but unfortunately in the Toilet and also in the bathroom no ventilator available , very good location
468477,Aparthotel Adagio Vienna City, When we got to our room it was smelling very strongly of cigarettes even though it s forbidden to smoke in the whole hotel and the receptionist warned us that there are smoke detectors It is not clearly stated that the Standard Studio doesn t have open able windows and it also doesn t have a door between the room proper and the kitchen Beware The Superior Studio has both but is more expensive worth it in our opinion , Me and my wife stayed in Vienna for 5 days The room was good for our stay we actually booked the Superior Studio because we wanted windows that can be opened The small kitchen had everything you needed and the dishwasher was nice to have We didn t get any breakfast there The location is excellent in our opinion We had a Billa supermarket metro station bike stands and the Danube all within 5 minutes of walking The city center is also very close It s a bit noisy but the windows muffle the sound pretty well We tried wiring the TV to our laptop to watch some movies but we didn t have an HDMI HDMI wire and the hotel didn t help us either The TV itself was too old to know how to read an external hard drive by itself 
468478,Aparthotel Adagio Vienna City, We weren t able to open the window of our room due to fire security measures We would ve liked a little bit of fresh air in the room The mattress in our room was a little uncomfortable the springs in the middle were weakened from use , We were pleasantly surprised by the room we received We also had a little kitchen with microwave and dishwasher included It was very useful in the morning since restaurants around there opened at around 10 o clock and we left early to visit the attractions Room was nicely decorated and comfortable bathroom was large and very clean There room also had hairdryer and iron and ironing board 
468479,Aparthotel Adagio Vienna City, I found the reception staff quite unfriendly at the point of being sometimes openly rude for example while checking me in they also started checking in other clients without apologizing or explaining the interruption for a hotel in that price range this is definitely unacceptable also the carpet on our floor 4th was incredibly dirty , The location is good very central and the room was very nicely furnished 
468480,Aparthotel Adagio Vienna City, Pillow Bed were more firm than I would like but I slept very well , Very quiet Very modern Good breakfast Helpful staff 10 min walk to airport train 10 min walk to main shopping street and nightlife 
468481,Aparthotel Adagio Vienna City, Size of the room, Everything abt the hotel except size of the room it s very small staff very helpful specially arun sharma was very good and helpful
468482,Aparthotel Adagio Vienna City, The room was very small and was really like an ordinary hotel room with a kitchenette There was nowhere to sit other than one chair and the bed , The bathroom was fantastic 
468483,Aparthotel Adagio Vienna City, The frequency of the cleaning services could be improved to maybe twice a week if the daily cleaning services cannot be achieved , I loved the window view of my room The hotel staff were very friendly My bed was fluffy and adequate for me and I loved the space available in my room The whole setting was neat and homely Its also a working distance to the Stephenplatz shopping area which I loved
468484,Aparthotel Adagio Vienna City, They should care a little more of the cleanness and maintenance The wall needed to be painted , Staff was awesome Dominique really helped us a lot and he was always in a great mood Perfect location with a market just a few steps away We walked everywhere Delicious and local restaurants near by Comfy apartment
468485,Aparthotel Adagio Vienna City, I landed there on a public holiday after a 20 hr flight it would have been handy to keep at least some milk biscuits and water in the fridge I could not buy anything due to the public holiday expected to have laundry facilities in the apartment night was hot without aircon I was told that it works only when it gets further hotter street noise was excessive on opening windows no service cleaning for 3 days, excellent location firm bed friendly staff
468486,Aparthotel Adagio Vienna City, The hotel and the rooms are not clean enough On the first night we got a small dirty room with 2 separated beds and no window although we booked a better room On the next day we were transfered to a better room but still the carpet is not clean Also there is a coffee machine but no coffee or filters they expect us to buy filters and coffee and if they would have told us before we arrived we would have got this , Staff was great friendly and helpful
468487,Aparthotel Adagio Vienna City,No Negative, Nice aparments if You are looking to stay for longer and have your own kitchen Good facilities like gym and laundry machines Kitchen was a little small but it served its purpose Staff was friendly Very nice location with a chance to have great views from the window Easily accessible from metro and 2 tram lines 
468488,Aparthotel Adagio Vienna City, Rooms are not cleaned daily but housekeeping will give you fresh towels if asked , The hotel is great for an extended visit Each room has a kitchenette with dishes there is a laundry room and even a small gym It is an easy 5 minute walk to the Airport Express train as well as two U subway stops Two different light rail bus stops are immediately outside the hotel There is a grocery store nearby and plenty of restaurants 
468489,Aparthotel Adagio Vienna City, the carpet was extremely poor quality that was a real put off and urgently needs replacing everything else felt new and this felt ancient The sink was too tiny to do any washing up but we used the dishwasher The fact that they take pets put us off a bit as we had allergies but the room was fresh and clean , the room was spacious and had everything you needed the bed was fairly comfy in that it was firm and not soft The location was perfect a short walk to St Stephens the CAT a 10 min walk and the Underground a 5 min walk the food shop was opposite for supplies and a big chemist opposite which supplied me with the prescription drugs I forgot to bring In the studio appartment we could adjust the furniture eg pull the table out to eat and put up the bed to make a settee The bathroom was lovely There was a big fridge freezer for all your food a coffee maker and a good quality kettle There are two rings to cook on and there is a dishwasher with dishwasher tablets and you can ask for me The staff were so brilliant and so happy to help Nothing was too much trouble for them There was no cleaning for the room which we prefer I hate the interruption of cleaners there was a hoover which we used once and we asked for fresh towels and were readily supplied There is a washing machine and dryer and you can buy tokens and a washing capsule for 5 euros In the kitchen there was washing up liquid dishcloth scourer sponge and tea towel In the bathroom a big container of soap and shower gel 
468490,Aparthotel Adagio Vienna City, Limited control of airconditioning unable to warm room when cold Sealed windows , Helpful staff kitchenette good size bathroom cleanliness comfortable bed 
468491,Aparthotel Adagio Vienna City, Leaving, The tram stop is just in front of the hotel The kitchenette is complete for us to cook during our stay We got a room with stunning view of the Danube River 
468492,Aparthotel Adagio Vienna City, Would have liked more coffee for the coffee machine no point buying a large container for one night and some little milk sachets even to buy these for 1 or 2 would be a good option , Excellent hotel great location and friendly staff would definitely stay here again when we go to Vienna Love the kitchenette and excellent bath and shower
468493,Aparthotel Adagio Vienna City, Beds too hard Pillows like bag of rocks horrible too hard and too high although replaced with apologies and smile the next morning just after complain Air con no air to breathe and too warm Requested a window to be opened and it was for few hrs day time which made a difference , Everything else Any issue with had was sorted straight away as much as possible beds pillows air con maybe it s just us likening different things 
468494,Aparthotel Adagio Vienna City, Little parking problem if you travel with a car a bit expensive parking near hotel not possible to use the public parking for more than 2 hours , Excellent location friendly staff comfortable nice breakfast free excellent Wi fi signal 
468495,Aparthotel Adagio Vienna City, 1 They clean your room only once a week 2 The shower could have had a stronger current and the temperature kept heating up every few minutes as if someone was flushing the toilet next door , The bed was really comfortable and the room was quite big The location while not perfect was still very good and close to many public transport hubs 
468496,Aparthotel Adagio Vienna City, Shower drain clogged and windows very small Aso mattress and pillows too hard, Nice accomodation not far from the city centre Kitchen and room equipped with everything you need for a comfortable stay
468497,Aparthotel Adagio Vienna City,No Negative, From the moment we arrived we were made to feel welcome and relaxed it was a great place for a break and the location to the city centre was excellent Staff at Adagio apartments couldn t have been more helpful as well which made our stay so much simpler from the location of best sites and which tram or underground train to get 
468498,Aparthotel Adagio Vienna City, Extra plastic bags for collecting waste would be necessary, The view to the Danube canal The kindness of the staff Strategic location at the ring and walking distance from the center close to Schweden Platz and access to all means of transport of the city
468499,Aparthotel Adagio Vienna City, they rooms dont look like the pictures the windows dont open because of some policy in vienna yet this doesnt apply if you pay for an upgrade LOL really , pretty avarage
468500,Aparthotel Adagio Vienna City, nothing, we liked everything in this hotel at the time of check in we could get the room 1 earlier than standard check in time room and all facilities were very comfortable very reach and delicious breakfast very friendly staff approx 5 minutes walking to the nearest metro station and 7 8 minutes to the center 
468501,Aparthotel Adagio Vienna City,No Negative, The apartment was very good value for money everything you needed for a short break away easy to get to from airport great location walking distance to most attractions 
468502,Aparthotel Adagio Vienna City, Overall very good but could have slightly thicker pillows, Close to city centre but far enough from the busy streets breakfast good bed is super comfortable prompt staff service 
468503,Aparthotel Adagio Vienna City, Thin bed mattress sofa bed folding bed Bathroom water slow flow out Nothing like the picture I book room with view but the receptionist try to give me smaller room with small window view Must complaint to get better room actually I was staying more then 5 days Room will not be clean unless you stay more then 6 days , Bigger space then hotel room
468504,Aparthotel Adagio Vienna City, Shower was alittle blocked and slow to drain but wasn t a big issue Minor issues were that the radio didn t work and the kitchen could do with a few more utensils , Great location By the canal 5 10minute walk to Wien Mitte where you can get the CAT to the airport 10 15minute walk to Stephanplatz Lots of restaurants and cafes nearby Pharmacy and grocery shop across the street Tram stop outside the hotel Reception staff were friendly and professional Self catering studio was nicely decorated 
468505,Aparthotel Adagio Vienna City, Everything was nice , Very friendly and helpful staff Comfortable spacious clean and well designed room Good wifi connection Nice location next to the river 
468506,Aparthotel Adagio Vienna City, We stayed in a studio apartment All was well except there was no opening window The room was very dry and too hot We tried each day to adjust the air con to be more comfortable but alas We were pleased to be in fresh air when leaving each day , Location and everything really except no window 
468507,Aparthotel Adagio Vienna City, No linen change except on second last day which we then refused as a waste of time Had to ask for more toilet paper tissues and dishwasher tablets New towels weren t where they said Not sure if this was a language problem though, Location
468508,Aparthotel Adagio Vienna City,No Negative, Location city center within walking distance many of the different subway lines were also very close And for once did the description match the actual room and the rooms were in a very fine state 
468509,Aparthotel Adagio Vienna City, The fact that breakfast was not included as i m pretty sure that it was mentioned it to be included when booking the hotel through booking com The kitchen is very small , Convenient location and spacious studio 
468510,Aparthotel Adagio Vienna City, Basic kitchen goods were not enough for example cutting knife food turner tongue filters of coffee maker We must buy some of rhem , Super easy access to seeing spots around Ring Quick and kind responce of hotel staffs Nice kitchen that enable perfect cooking 
468511,Aparthotel Adagio Vienna City, Cold room the first day we had to change rooms Nobody could bring us blankets we had to go down to get them by ourselves We kept freezing the first night The new room was double the size meaning that the first room was not worth the cost but again the sevond room was not cleaned at all for 5 days , Great location some of the staff were helpful it was more like an apartment rather than a hotel 
468512,Aparthotel Adagio Vienna City, Very hard bed , Nice and clean You have small kitchen in room so you can cook some food or make hot drinks Location is good 5min from the old city center Lot s of sight seeing around 
468513,Aparthotel Adagio Vienna City, The bed was too firm for our liking , Good location on the edge of the city centre no more than 10 minutes walk from the centre and the nearest subway station 
468514,Aparthotel Adagio Vienna City, Bedroom was too hot and fridge didn t work but we should have asked about getting it fixed we didn t so the hotel didn t get the opportunity to fix this for us , The location was great great to have some gym facilities and sauna also Staff were very friendly 
468515,Aparthotel Adagio Vienna City, Staff could be friendlier, Comfortable bed pillows Good location Good View if facing outward Good and adequate facilities room and common 
468516,Aparthotel Adagio Vienna City, The room we got it was a very small hole the window look to a very ugly inner garden We asked for a better room we paid 10 Euro more and we got a very nice room on the 7th floor with nice panorama The hotel is not bad breakfast was also good but i prefer to reserve room on the 7th floor , Location is very good 
468517,Aparthotel Adagio Vienna City, The value for money Perhaps due to the Xmas high season and the average high prices in the Innerstadt but I found the price excessive for what the hotel offered Breakfast was not inlcuded and at 14 euro was far from being convenient since there are tons of places right outside where you can have a much cheaper morning meal The bed was not very comfortable and I realized on the last day that it was actually a sofa bed , The location of the hotel was ok although it is on the outer limits of the city center so plan on walking quite a lot unless you prefer subways but then you don t enjoy the city as much From the hotel to Stephansdom it takes around 15 minutes at a brisk pace so if you re going to the Rathouse for example plan on a 30 minute walk back Again the subway is very close as well as the trams that go along the Ring so that it also an option if you are tired I prefer walking so would have appreciated a location a bit closer to the center The facilities are ok very clean and the kitchen has everything we didn t use it though 
468518,Aparthotel Adagio Vienna City, The staff was unable to find multi plug since this is a city center hotel and hotel should have multi plug becuase people from all around the wolrd stay here 2 different staff were un able to find multi adaptor Also there were no toiletries in the bath room also the towels were dirty not properly cleaned , Location was good Very near to the metro Schwedenplatz City center was just 10 mints walk away Room was clean View was amazing Room had iron with iron stand 
468519,Aparthotel Adagio Vienna City, We paid for a superior room double bed and the receptionist gave us a studio room twin bed After many explanations he tried to charge us with 40euros day more for the room we booked 2 months ago Finally after 30 minutes of negociations he gave us the key of a superior room with double bed as if he made us a favor Old arrogant guy FYI the rooms don t have a sofa and a bed They only have a bed that can be done a sofa , Spacious room clean 
468520,Aparthotel Adagio Vienna City, In the had a window however it can not be opened due to equipment on the otherside as per the note on the window from hotel management The room became quickly very stuffy and uncomfortable ,No Positive
468521,Aparthotel Adagio Vienna City, The windows cannot be open on that side of the building due to fire safety reasons , Excellent location very comfy bed helpful staff good value for money 
468522,Aparthotel Adagio Vienna City, Couldn t switch off heating completely couldn t open the windows was hot in there , Clean modern confortable beds close to tram underground boats
468523,Aparthotel Adagio Vienna City, The staff is not the friendliest horrible pillow too big I could not sleep 2 nights Bring your own if you have to stay longer, Excellent location room is new and bathroom very nice
468524,Aparthotel Adagio Vienna City, The wi fi was unusable The free computer was unusable that s a major problem for travellers I purchased a SIM card to enable connectivity we were not alone in this experience You must fix this or we cannot return The sign coffee costs an additional 2 40 per cup was misleading coffee is included in the breakfast My concenious wife paid for three coffees after breakfast because she did not properly inderstand the sign Otherwise the hotel was very satisfactory , Access to purchase transport and shops
468525,Aparthotel Adagio Vienna City, Smaller than average room but cleverly furnished to make the most of the available space , Nicely appointed hotel Great location with restaurants and shops 2 minute walk Ringstrasse tram stop located right at the door so very easy to get around the city Easy walk to State Gardens and main train station swedenplatz Bonus sauna and gym room Ask for a room with a street view as courtyard not very pretty
468526,Aparthotel Adagio Vienna City, Hallway smelled of food cooking all the time no matter what time and it was always the same smell , Liked the small kitchen We had breakfast in our room Within a few minutes walk of a subway station Loved the gym 
