,Hotel_Name,Negative_Review,Positive_Review
161412,Arbor Hyde Park, Minor quibble Nespresso pods were all decaf Brand design made it difficult to identify caffeinated pods though myself and a staff member did try , Location modern design and decour nespresso machine Large comfortable room with great shower Very short walking distance to bus and Metro stops with central links Across the street from Hyde Park and very pleasant walk to Museum district 
161413,Arbor Hyde Park, The only tiny minus is that it would have been nice with a small fridge in the room , The staff was very service minded and super friendly Very nice interiors and decoration The beds were extremely comfortable The breakfast had very superior quality to normal breakfasts at other hotels We took the Heathrow Express 15 minutes to Paddington and it is around 10 minutes walk to the hotel very easy and fast way to be in the middle of the centre real fast The area is extremely quiet and nice 3 minutes from Lancaster gate station red central line and bus nr 94 to Oxford street We had a superior room with very nice view to a garden We will definitely choose Arbor for our next visit to London Free wifi and safe in the room 
161414,Arbor Hyde Park, Air con in room was either freezing or hot don t think the thermostat worked sheets on bed were poorly fitted otherwise very good, Great staff lovely rooms and a good continental breakfast
161415,Arbor Hyde Park,No Negative, Excellent location next to the Hyde Park very good connection bus tube it is even possible to walk to from the city center Surprisingly good breakfast Top class Italian caff next to the park entrance Friendly staff 
161416,Arbor Hyde Park, Front desk staff was terrible Rude and not helpful Actually they were not accommodating to a family with children at all I would not stay here again with a family If you are a couple or business traveler and stay without asking for anything in addition it would be okay The hotel really needs to work on their customer service and attitude towards their customers Both my wife and I left feeling almost guilty for staying there with children Would not stay here again considering the amount of money you spend per night , Great location Good size family room in Europe 
161417,Arbor Hyde Park, Children slept on sofa bed which wasn t so comfortable No restaurant on site , Stylish decor and great location right on bus route to Oxford Circus and Picadilly Circus The continental breakfast was excellent Double bed was big and comfortable Lovely bathroom 24 hour desk 
161418,Arbor Hyde Park, Many service require extra charge including luggage storage 20 pounds per day No frig in room In my whole week stay they also didn t change the bed sheet ,No Positive
161419,Arbor Hyde Park, Maybe we could have an electric kettle in the room , Good spacious room with air conditioning We switched over from a very horrible accommodation long story late at night Arbor staff was very helpful got us a baby cot and hot water at midnight Great service great value for money 
161420,Arbor Hyde Park,No Negative, We took the Heathrow express to Paddington and the hotel was a short walk away It was right beside Hyde Park and numerous tube stations We actually walked to Oxford Street without realising it Hotel was beautifully decorated and the staff were very willing and helpful Breakfast was a buffet or a full English for a few pounds extra If returning to London I would stay at this property again 
161421,Arbor Hyde Park,No Negative, Spacious comfortable room beautifully decorated including a couch Excellent bathroom Quiet location close to public transport Courteous staff Substantial breakfast 
