,Hotel_Name,Negative_Review,Positive_Review
470936,Art Hotel Navigli, I had a room on 3rd floor just below the breakfast restaurant The noice was so loud from chairs moving around and people walking and talking that it was impossible to sleep once the breakfast was open Furthermore we were not informed that the aircondition didnt work in our room So i had to call the reception 03 00 am in the night at which point the room was very hot After calling the reception 3 times some one finally picked up and just turned on the air condition and then hung However we still couldn t adjust the temperature meaning that we both got a cold It seemed to me that you knew that the aircon was turned off and didn t work but didn t bother to tell us Last but not least i was locked in the bathroom for 45 minutes just before leaving the hotel and going to the airport The effort from the personel to get me out wasnt exactly very impressive Had to kick the door open after the 45 minutes in order to catch my flight That resulted in a injured foot for the following days The keys were removed from the other bathroom stalls including the girls which go me thinking that this had been a problem before All this would have been okay if I was simply informed and at least compensated in some way But there was only a sorry , The location is great and the spa sauna and gym facilities were nice 
470937,Art Hotel Navigli, The view from the room I guess but really is splitting hairs We were out exploring , Big comfy bed really nice staff great location excellent breakfast buffet 
470938,Art Hotel Navigli, Shower access, Location was excellent for both local restaurants and bars and access to the Metro into the city centre Free parking in the underground garage 
470939,Art Hotel Navigli, Nothing , Rooms were extremely clean and beds very comfortable Breakfast was amazing very full buffet with something for everyone Lobby bar had fantastic happy hour with lots of delicious snacks Staff was courteous and friendly and did all they could do to make our stay enjoyable Highly recommend and would definitely stay here again 
470940,Art Hotel Navigli, Unfortunately it was very noisy from 7AM as the cleaning personal was talking in front of our room and then they started renovation a room next to our Sleeping after 9AM was impossible, Breakfast was good and it has a big variety
470941,Art Hotel Navigli, Room quite hot and you can t control own room temperature have to ask reception to turn it down which they did , Great location only a few minutes from the metro and right in the heart of the Navigli district with plenty of bars and restaurants to choose from great breakfast very comfortable beds 
470942,Art Hotel Navigli, I requested a no smoking bedroom but told there were none as all the bedrooms were available for smokers to use I refused the first room allocated as it smelled of stale smoke The second was better although when the room got hot it was noticeable If your a non smoker it is off putting Air condition was not controllable in the room hence the room temperature was 25 much too hot for the weather conditions outside 30 and unable to leave a window open because of the mosquitos I was very disappointed that was not addressed during the five days we were there and the handy man leaving a sugar sachet in the card slot to keep the air con working was not a fix of a problem It did nothing to reduce the temperature making sleeping uncomfortable and from what we saw at reception it actually appeared to be controlled centrally rather than by guests in their room , The welcome drink was a very nice touch The breakfast room bright and airy Great breakfast choice rooms and hotel in general very clean and comfortable Reception on arrival efficient and welcoming Efficient and pleasant rather than friendly I would say 
470943,Art Hotel Navigli, Nothing, The suite was spacious for a family of four Comfortable beds good air conditioning The best part was the impeccable service that we received there Very helpful staff Lovely breakfast huge selection Just around the corner is a canal with many restaurants and cafes and there is a supermarket directly opposite The duomo is within walking distance and it is a very pretty walk Good selection of teas and pod machine in room 
470944,Art Hotel Navigli, the welcome drink can just be drunk between 18 30 and 22 00 even though the bar is open till 00 00 the hotel is not in the city centre and on sundays or late at night e g the tramway just passes every 15 min the surrounding area is very crowded on friday saturday evenings but do not worry you won t hear anything inside of the hotel , nice wellness free access in the 6th floor with free tea an water super location directly at the navigli with access to restaurants and bars with tram line 2 in 15 minutes to the dome and with the metro in 15 20 min to the central station very friendly staff always wanted to help you and do not just want your money vegan and gluten free snacks at breakfast buffet choice of snacks tea and juices at the bar free of charge
470945,Art Hotel Navigli,No Negative, For a night we spent to this hotel our experience was excellent The room was clean big The hotel was very closed to a supermarket located just on the other side of the hotel street and very closed to a restaurant area Parking very easy and located on the hotel underground Breakfast with a large variety of foods 
470946,Art Hotel Navigli, 15 Euro night charge for having a dog in the room Wasn t a problem to pay the extra fee but usually other hotels in Italy offer a water bowl treats even a dog bed if they charge for pets Could be nice to offer something for the furry guests too Also be sure to bring insect spray with you if you decide to stay in Navigli Mosquitoes swarm the canal area at night , Great selection at breakfast Loved having a coffee tea station in the room The hotel was quiet especially considering the location next to bars and restaurants 
470947,Art Hotel Navigli, The picture of the Duomo which used to be the main picture on Booking com was misleading about the location Now there is a much more informative picture but the Duomo is still improperly presented among the pictures the pictures of the canal are very beautiful and properly exhibit the location s charm The reception team was very friendly but not always well informed , The location near the lively and exciting Navigli area was excellent and the hotel was still in a very quiet place The rooms were very convenient and nicely decorated The art works in all public areas contributed greatly to the cosiness and atmosphere Breakfast was simple but excellent and the welcome happy hour buffet was also great 
470948,Art Hotel Navigli, Unable to purchase snacks and beverages after bar is closed Had difficulty finding entrance on arrival with car , Very helpful reception staff Spacious clean accommodation Good breakfast Easy access to public transport 
470949,Art Hotel Navigli, Was it worth it I think generally Milan hotels are way over priced Also they wanted to charge me a full days car parking when I asked if I could park a car for 30mins in carpark , Imagine yourself walking into your artist friends house where the walls are painted rough and random arr hung on the wall but the place also feels homely and nice That s what I felt here I was expecting something older but my room was clean and felt unused Also I ve never seen a breakfast setup like theres before Anything and everything you could want for breakfast 
