,Hotel_Name,Negative_Review,Positive_Review
428900,Austria Trend Hotel Doppio Wien, Parking not enough parking spots, The room was great very nice furniture comfortable bed The bathroom was spacious and modern Everything was new and clean 
428901,Austria Trend Hotel Doppio Wien, My friend in a wheelchair could not take a shower the first day because the chair of the bathroom was unstable They provided him with a regular chair the following day , Cleanliness and Professionalism 
428902,Austria Trend Hotel Doppio Wien, Woumen on desk for check in for breakfast She s too old to work that and she lost patience I ask her if i can check what is for meal on desk and she thold me go and back Of course that i will back And she walked behind me like that i will rubbing piece of bread Hahha for 15 eur i will not blame And when i back to her she watch me very strange My suggestion is that she need to go from this position Sorry gramma , Room was very nice comfortable and clean People are very polite except one old woumen who work on desk for breakfast 
428903,Austria Trend Hotel Doppio Wien, They advertise 24 7 service however there is nobody attending the bar during breakfast hours We waited for a coffee 20 30 minutes , It had free parking which was awesome 
428904,Austria Trend Hotel Doppio Wien, Better put a signboard at the parking lot We don t know which place is for hotel , Parking Clean room Bathroom was very good Compair to price Highly recommended 
428905,Austria Trend Hotel Doppio Wien, Breakfast without warm fried egg meat like fish sausage bacon is a bit disappointing Hope they can provide them in the future, I had a ginues discount from bookings and only 55 euro for a very stylish modern facilities double bed room with large bathroom and all 5 star hotel standards It was more than triple the price I should be paying I stayed in many 5 star hotels and this one is definitely worth staying with its quality and price cost 
428906,Austria Trend Hotel Doppio Wien, The hotel was very close to the motorway and there was a lot of traffic noise at night We had to leave the window open as the air conditioning was not working , The hotel room and the free parking
428907,Austria Trend Hotel Doppio Wien, i wish there was an iron for clothes and maybe basic cosmetics like sticks for the ears prepared we had that in way chesper apartment before so i think a 4 star hotel should deliver that it makes the location way more personal and i also think that 1 bottle of water for free as a hello present is not too much too ask as the room had a decently high price already just small wishes nothing big , big clean friendly staff good location with access to trains and buses not far from the center of vienne and good bars arround 
428908,Austria Trend Hotel Doppio Wien, The location is a bit far from the center but was not a big issue for us since we traveled by car , The room was very clean and nice with all needed facilities Parking place is perfect Overally a great experience 
428909,Austria Trend Hotel Doppio Wien,No Negative, Perfect for one night if you need to get to and from Vienna International Airport easily want to spend an evening in the city Well worth paying extra for the delicious breakfast Extremely friendly staff lovely rooms easy to use app Free WiFi free parking 
428910,Austria Trend Hotel Doppio Wien, First room was defective and not set up properly problem with hot water leaky fridge and not enough towels but got the room changed quickly and without problems ,No Positive
428911,Austria Trend Hotel Doppio Wien,No Negative, We had hard time to find the hotel but room was very big nice and clean We arrive late and there was not open restaurant in the hotel and not around the hotel Ider For the price the breakfast shoul be included 
428912,Austria Trend Hotel Doppio Wien, We stayed at Doppio in Sept 2015 and it was a whole other experince Now the room was much smaller the mattresses really worn out the whole bathroom flooded when I took a shower the receptionist was really nice though she herself came and mopped the bathroom floor the room door didn t close properly the cleaning tidying up of the room missing thus no napkins toilet paper refill , Close to tram station that takes you into city center Free parking Great to get to from motorway 
428913,Austria Trend Hotel Doppio Wien, A bit expensive but in Vienna this is no surprise , Clean comfortable rooms Tram that takes you to the center in 15 minutes stops near the hotel The hotel has its own parking lot Highway is near easy to find 
428914,Austria Trend Hotel Doppio Wien, Wi fi didn t work I made a call to reception to understand what s going on they promised that they will fix the problem till the end of the day but for real wi fi didn t work at all even the next day this problem concerned only 6 and 7 floors The location is not really great There was no slippers and bathrobes , Personnel is very friendly The hotel room was really clean and good looking the bed was very comfortable There was no noise from the outside 
