,Hotel_Name,Negative_Review,Positive_Review
353945,Austria Trend Hotel Europa Wien,No Negative, The hotel is VERY well located within a 10 minute walk from the train from the airport and within walking distance of most major tourist attractions in Vienna The accomodations were excellent the breakfasts great with eggs prepared to order and much more and the staff very helpful especially Marcus who was at the desk A Great place to stay 
353946,Austria Trend Hotel Europa Wien, Elevator service for executive rooms is a nice idea but I really would prefer using the same elevator as other guests because it seemed that it was working better and faster Breakfast price could be a little lower then we would considered taking it Otherwise you could find plenty of places around to have breakfast for 18 EUR, It was my first time that I booked the executive room in this hotel chain and it was really worth it Everything from hotel location to wifi connection was perfect Staff was extremely pleasant and helpful Will consider staying there another night next time
353947,Austria Trend Hotel Europa Wien, Rooms are very old and needs renovations and it smelled like urine The room was very hot and the AC is very old and barely working I asked the respsionist several times to change the room but they said no The executive lounge is the worst lounge I ve been to in any hotel almost no food coffee machine always not working and very rude lounge staff no kettle inside the comfort room If you want to iron your clothes you have to go to the ironing room in the 5th floor, Perfect Location and room view 
353948,Austria Trend Hotel Europa Wien, BREAKFAST it s terrible always lack of evething drinks sweets snacks service is terrible too waiters are very slow they don t clean tables after guests so you can see lot s of tables with dirty plates when you are looking for a new one to have breakfast The staff in absolutely disorganized and need to have a good manager So I can say that in general my mark to the hotel is 3 from 5 It s a good 3 star hotel but not 4 , We stayed in executive rooms with excess to executive longe The room was big and nice but the lounge is absolutely useless always poor snacks and unnesessary drinks that you can have in your room Don t overpay for the stay The hotel itself is OK with perfect location close to everything 
353949,Austria Trend Hotel Europa Wien, I wasn t too impressed with the breakfast bar There were no plates for the hot section missing items weren t filled up very quickly and the sections were not organised in a natural flow so customers easily walked in each other s way in a rather narrow aisle , The room was very nice and I was impressed with the fact that a 3 star hotel has staff to bring your suitcase to the room 
353950,Austria Trend Hotel Europa Wien, Though we had a non smoking room but the smell of the cigarette smokes enter the room The bathroom has no privacy no locker nor ventilation , Magnificent location and clean hotel The breakfast buffet is awesome 
353951,Austria Trend Hotel Europa Wien, None, Super comfy hotel in the real heart of Vienna whether you re looking for history culture entertainment or shopping everything is just footsteps away Our Comfort Room was very large and quiet with a nice view to Neuer Markt Breakfast had a selection of various choices and was a perfect start for each day Overall good service and a very pleasant stay in Austria Trend Hotel Europa 
353952,Austria Trend Hotel Europa Wien, It was a bit clumsy getting to the executive floors with a flight of stairs to the elevator which was rather slow and very hot We had asked for a room with a tub which the desk clerk acknowledged but the room did not have one , Breakfast buffet was very complete with omelettes made to order Location was great for exploring the central city and pedestrian shopping area The room was good sized and comfortable 
353953,Austria Trend Hotel Europa Wien, Breakfast is pretty basic and no complimentary tea coffee in the room, Great location Rooms are much bigger than other similar hotels Staff are really nice and friendly 
353954,Austria Trend Hotel Europa Wien, Bed hard against one wall Access awkward but probably enough space to set up room differently , Easy to reach using public transport and right in the heart of Vienna Walking distance to Stefansplatz and in the midst of activity and entertainment day and night Our room looked out on the fountain and the space around it A delightful European setting 
353955,Austria Trend Hotel Europa Wien, Nothing It was just perfect , Breakfast Staff and location was awesome The staff was just too keen on making sure we enjoyed our stay and I would surely book this hotel again while in Vienna 
353956,Austria Trend Hotel Europa Wien,No Negative, The staff was more then friendly and helpful with every single request we had the hotel was OK but the location close to perfect for an urban holiday in the middle of the historic center surrounded by shops and restaurants
353957,Austria Trend Hotel Europa Wien,No Negative, Awesome location at the heart of old Vienna Few minutes of walk to all historical cafe and sites Large and comfortable room Friendly and attentive staff Highly recommended 
353958,Austria Trend Hotel Europa Wien, The air conditioning is a bit weak and not individually controlled The curtains let too much light in in the morning it needs blinds or thicker curtains ,No Positive
353959,Austria Trend Hotel Europa Wien, We asked for a room with a bathtub the clerk at check in mentioned that we had asked for one but when we got to the room it did not have a bathtub The half flight of stairs necessary to access the very slow and hot elevator to the top floor was a bit annoying But otherwise it was a great place to stay , The executive room on the top floor was quite comfortable after we figured out how to work the A C The buffet breakfast was excellent with omelettes made to order and a nice assortment of choices The hotel is situated in a great location next to the pedestrian shopping area leading to the Stephansdom and near the Hofburg and museums We made little use of the executive lounge but it was convenient 
353960,Austria Trend Hotel Europa Wien,No Negative, The room is specious very comfortable beds lots of storage space for suitcases and big closet The bathroom is a little small air conditioner is a little outdated and nosy but there is a window you can open for fresh air Overall very comfortable hotel with very nice staff and EXCELLENT location 
353961,Austria Trend Hotel Europa Wien,No Negative, Once we got our bearings our location was perfect We were there for 2 days and nights On our first night our bartender Daniel was amazing He took the time to really give us some amazing tips on how to see the city what to see what not to see Because of his extra time with us our full day in Vienna was jammed pack full of amazing sights We had an amazing time I will be back for sure 2 days is not enough to see this beautiful city 
353962,Austria Trend Hotel Europa Wien, The bathroom doesn t have a inside door so all around the floor gets wet They don t have free water bottles , The location is excellent Walking distance to downtown opera house and subway stations The room is clean enough We can open the window The room is not that big but cozy 
353963,Austria Trend Hotel Europa Wien,No Negative, Superb staff Nida was too good very very helpful Highly reccomend We had some changes last minute they accommodated us really well Big thankyou to Nida team Fantastic location Everything at walking distance
353964,Austria Trend Hotel Europa Wien, There were 3 A C units in the room but it seemed as though only 1 was working and it was not very effective The room was bearable temperature wise but not as cool as we would have liked , Perfect location Arrived in Vienna via train and then easily transferred to the public transit system From the Stephansplatz station it was an easy 5 minute walk down a pedestrian street to the hotel We had a great home base to easily get all over the city on our 3 days there Kids were on a pull out sofa in a separate area of the room not entirely closed off but it felt like 2 rooms The included hotel breakfast was fantastic Huge selection and the food was delicious 
353965,Austria Trend Hotel Europa Wien, The breakfast is expensive so we didn t take , It is located at the center of the city that you can walk to all the interesting spots There are supermarkets cafes and restaurants around the hotel 
353966,Austria Trend Hotel Europa Wien, The bathroom was very tiny and uncomfortable Poor location of towel hinges and absolutely no room to turn around , We like the room size we probably got an upgraded room and the views from the room 
353967,Austria Trend Hotel Europa Wien, Over price breakfast furniture old fashion, It was central location room ok coud do with new furniture up to date breakfarst little be too expensive
353968,Austria Trend Hotel Europa Wien, Communication was very poor A c wasn t working and the payment was too much compared with room service , Location was close to shops market Communication was very poor 
353969,Austria Trend Hotel Europa Wien, Air conditioning was not very efficient so the room was uncomfortable when the outside temperature was 32 Celsius , Staff very helpful and courteous excellent location 
353970,Austria Trend Hotel Europa Wien, The breakfast was a little bit high because we only have a cup of coffee and a roll in the morning , Large room with high ceilings 15 Great air conditioner you set the way you want Very clean well kept Friendly helpful staff Located right in the middle of everything 
353971,Austria Trend Hotel Europa Wien, Too many stairs to access the executive level elevator, Had a room on the executive level room was very large modern bathroom comfy bed and included a fantastic breakfast
353972,Austria Trend Hotel Europa Wien, Low light in room old TV in the folded sofa area shared toilet and bath for both parents and children, Tasty breakfast responsive elevators Lovely and friendly staff located in the heart of the historic pedestrian street
353973,Austria Trend Hotel Europa Wien, It was really hot in the west facing room around 90F We had deliberately reserved a place with AC since there was a mini May heat wave We complained and a man with a wrench came up and fiddled for a few minutes It didn t do much good to cool down the room The cooler ran all night but it never dropped below 74F It got very cold 50F the next day so it wasn t a big deal For the price I would expect AC that works efficiently , The breakfast was good and the cafe staff were fantastic
353974,Austria Trend Hotel Europa Wien,No Negative, The location of the hotel is awesome It s right in the center of Vienna I genuinely enjoyed this hotel with it s great staff and it s amazing breakfast The hotel room was convenient and in perfect condition Book this hotel for your next trip you will enjoy it 
