,Hotel_Name,Negative_Review,Positive_Review
445559,Austria Trend Hotel Park Royal Palace Vienna, Two items that could be improved 1 HVAC or Air conditioning system needs either maintenance or upgrade 2 parking is expensive , This is my second stay in this nice hotel Nice staff Near to park Adjacent to technology technical museum which is great if you like since engineering and history of human civilization development It is quite I would recommend it for others 
445560,Austria Trend Hotel Park Royal Palace Vienna, There was no complimentary water and a he receptionist at the night shift was slow in understanding English I had to buye my water from the restaurant because there was no complimentary water ,No Positive
445561,Austria Trend Hotel Park Royal Palace Vienna, Only thing I didn t like that water kept changing temperature in the shower, Staff was really friendly room was clean Location was great very quite 5 min away from Schonbrunn palace and 10 min from city centre with metro 
445562,Austria Trend Hotel Park Royal Palace Vienna, Centre of Vienna a little bit far away Parking 29E a day , Nice cozy and modern rooms Gorgeous breakfast worth the money 20E Easy parking Close to Schoenbrunn 
445563,Austria Trend Hotel Park Royal Palace Vienna, There was no kettle in the room you had to go to the bar to get hot water My room was very noisy it s right next to train station and it felt like I was in a war zone I couldn t have a bath as the bath plug would not close The hotel is in the middle of nowhere it has a park next door No nice restaurants or bars nearby , The room was very comfortable furnishing was first class
445564,Austria Trend Hotel Park Royal Palace Vienna, The hallways were somewhat opressive with the dark ceiling And the golden pattern in the lifts was unspeakable , Location and being surrounded by trees also the rooms were very quiet
445565,Austria Trend Hotel Park Royal Palace Vienna, This hotel does not believe in client satisfaction Upon check in the receptionist gave misleading information that caused me to pay more for parking and for a night against double booking when raised the issue with the management they believed me after two hours of negotiations out of my short trip time A night was refunded against the double booking less Booking com commission 20 ,No Positive
445566,Austria Trend Hotel Park Royal Palace Vienna, the staff in the brakfast service was aggressive and they always keep the window tables reserved for no one And keep us sequesed in the middle, The receiption staff was the most frindly and helpful in the hotel
445567,Austria Trend Hotel Park Royal Palace Vienna, The location wasn t so good We had to walk a lot just to find a coffee shop I think the nearest cafe was 20 minutes away at schonbrunn We had to take the breakfast even if we wanted to drink only a coffee It was good but 20 Euro per person is quite expensive They do not have a la carte menu in the morning and there is nothing nearby The staff was not very helpful I found them not being so friendly with some exceptions of course Last but not least when we got home we realised that the amount we had to pay for the booking was blocked twice by the pos reader so it was like practicly we paid twice , It was clean The breakfast was ok but in that area it was the only possible choice 
445568,Austria Trend Hotel Park Royal Palace Vienna, This a very good property but parking is absolutely unacceptable I was charged 24 5 euros which is 1 3 of the price of one day accommodation and the car stayed in the parking just 12 hours Hotel of this kind must have free parking or parking should not exceed 8 euros per day It would be cheaper if you go to a public parking,No Positive
445569,Austria Trend Hotel Park Royal Palace Vienna,No Negative, Location hotel were perfect for us although if you want to be in the main city it s about 5 metro stops Not a problem though as a fast effecient service runs
445570,Austria Trend Hotel Park Royal Palace Vienna, the location is a bit less convenient to come back late at night from the center but it is near the main attraction schonbrunn palace so it evens up, great room nice breakfast i recommend the waffle machine very close tram station
445571,Austria Trend Hotel Park Royal Palace Vienna,No Negative, IT IS A GOOD HOTEL NEAR THE calso of the vienne but too far away from the centre of the vienne it is why we just book one night there when we visite the calso thanks regards danielle
445572,Austria Trend Hotel Park Royal Palace Vienna,No Negative, The hotel is very modern extremely clean the rooms are nice large the bathroom is large as well The location was excellent very close to Schoenbrunn located near a park I would definitely go back again 
445573,Austria Trend Hotel Park Royal Palace Vienna, The breakfast from my point of view could be cheaper 19 eur per person In the end had to find a place to eat but in there are not a lot of places near the hotel Had to go to the city center , One of the best hotels that I have been to Its a very good combination of price quality The hotel is located near the Sch nbrunn Palace about 10 minute walk and a park A very luxurious and big room 
445574,Austria Trend Hotel Park Royal Palace Vienna, Quality of food feels more like main stream No taste of organic food little variety no hot chocolate , The view of the room and the feeling of staying there was excellent Great balcony terrace Trees all around and scent of flowers on the terrace 
445575,Austria Trend Hotel Park Royal Palace Vienna, Overall great experience I highly recommend and will go back Nevertheless the therapeutic massage was a great disappointment 1 hour late average massage the therapist asked higher price than what was agreed at the reception after finishing the treatment , Great hotel in the 4 star range Excellent restaurant for Austrian standards 
445576,Austria Trend Hotel Park Royal Palace Vienna,No Negative, The staff was very cordial and helpful Considering we didn t speak German they helped us out on in every way possible Specially Milos from the bar was ever smiling He helped us understand our train tickets too which had everything printed in German 
445577,Austria Trend Hotel Park Royal Palace Vienna, The whole eperience was great nothing to complain about , The whole experience of staying here was great The staff was frendly and knowlagable willing to help The room is airy well equiped a realy nice place to be Unfortunely we had to move on from here but would have loved to stay 
