,Hotel_Name,Negative_Review,Positive_Review
342869,Austria Trend Parkhotel Sch nbrunn Wien, The hotel is very large with many large groups so it can be a bit noisy although probably for this reason an excellent place to stay if traveling with lots of family At 19 euros the buffet breakfast was rather pricey but we appreciated the cafe with smaller less expensive options , The bed was very large and comfortable even though we were staying in the most basic room Would have loved to have had a coffee maker or hot water boiler in the room but very much appreciated the wine glasses and mini fridge 
342870,Austria Trend Parkhotel Sch nbrunn Wien, What I didn t like was of a personal preference I like a face cloth there were none The temperature could be a little cooler I prefer a cold room I also like a top sheet rather than a comforter I think you are a pet friendly hotel which is a problem for me as I am allergic to pets and sneezed the whole time I was in the room There is a no smoking policy for those who don t like the smell of cigarettes what about those of us who have health issues from pets I was hoping I could manage this as I was part of a group travelling for a family reunion but know from now on that I cannot put myself in this situation Again the hotel is lovely but this was why it didn t receive top marks from me , The gentleman at the desk through the night was so very helpful to us He is a blessing to your hotel The pillows are indeed very nice It is a clean and lovely hotel 
342871,Austria Trend Parkhotel Sch nbrunn Wien, Room was to noise traffic through the window was to loud And room was connected with another room only with doors and I was wake from 6 am because some asian family Never more , Breakfast was very good 
342872,Austria Trend Parkhotel Sch nbrunn Wien, The staff seemed to dissmiss us quickly wasn t very helpful with any of our questions , Beautiful hotel with exellent view Next to Sch nbrunn Palace and the zoo Relatively easy access to the city centre 
342873,Austria Trend Parkhotel Sch nbrunn Wien, Grumpy lady at the check in Think she needs a vacation Asked if we could have an extra bed in the room and she sighed and said the rooms were too small even if we could easily have fitted four extra beds in the room , Large rooms
342874,Austria Trend Parkhotel Sch nbrunn Wien, I had booked a comfort double room but on arrival the clerk at the desk gave us a smaller room on the 1st floor not a bad room all in all but with a very small bathroom not what I had booked I returned to the front desk and showed them photos of the room from my booking com account on my phone The new room I was given no extra charge of course was the one in the photo however the photos on the web site are masterfully taken In reality the room is spacious but if you pay attention to the details it s 3 stars at best All in all the rooms are quite OK but not as luxurious as the photos make you believe , Very close to the U bahn station great area Delicious breakfast coffee at the cafes nearby 
342875,Austria Trend Parkhotel Sch nbrunn Wien, For a 4 star hotel the parking is a disappointment since it is not included in the price What is more the hotel does not have its own parking spots Considering that it is located in the center of Vienna free street parking spots are very difficult to find The only option left is an underground parking near the hotel but it costs almost 30 EUR per day ,No Positive
342876,Austria Trend Parkhotel Sch nbrunn Wien, Ordered taxivan via hotel to AirPort for 6 persons and 6 suitcases A small taxi arrived Staf of hotel not helpfull and rude So we had to take two taxi s without any compensation or apologies , Big room Good facilities
342877,Austria Trend Parkhotel Sch nbrunn Wien, As I wrote during our reservation I would appreciate quite room with a bath Unfurtunately there was a broken shower water everywhere and one non isolated door to the hall other rooms have two , Very nice hotel next to Sch nbrunn Palace Park Breakfast was really good Subway stop bars restaurants within grasp 
342878,Austria Trend Parkhotel Sch nbrunn Wien, Was not greeted in a welcoming way it was as if we were an inconvenience One section looks modernised and new however if you were like us and on the other side of the hotel you would be quite disappointed , Good location if you wanted to go to the zoo Although you are a distance from the city centre there conveniently is a metro stop across the road 
