,Hotel_Name,Negative_Review,Positive_Review
330024,Avenida Palace, To be honest we loved this accommodation we traveled as a family of 4 mum dad 12 year old son and 18 year old daughter and we had to havre 2 suites which was abit of a shame , Amazing location clean tidy suites nice large bathrooms comfy beds Great breakfast Our son loved the roof top pool Would definately return to this hotel 
330025,Avenida Palace, The only negative comment was the matter of only 2 elevators in a hotel with many rooms We opted to walk down the 8 flights rather than wait for the slow elevators This isn t a big deal but could be if you were in a particular hurry , The ambiance of this rather grand looking place was very welcoming and the location for exploring Barcelona was excellent The options for restaurants and tapa bars near by were great The roof top pool and bar service were nice although we didn t use it except to enjoy the views of the city Our room had a good sized bathroom with double sinks almost unheard of in a hotel 
330026,Avenida Palace,No Negative, Very well located in diwntown Barcelona Nice hotel with very good restaurant Staff was very good and helped us with great ideas and info on what to do in Barcelona
330027,Avenida Palace, There was no coffee tea facility in the room which you can easily find in any other hotel Noisy corridors in the morning not only the residents the cleaning staff keep chatting loudly they did great job tidying up though and very quick , I didn t include breakfast with my booking but there was 50 discount offer for breakfast which was great value for money 
330028,Avenida Palace, The central facing rooms have no view at all and being on the first floor meant we had no natural sunlight AT ALL We woke up one morning and thought it was still the middle of the night Wouldn t want to stay more than a couple of nights felt a bit like a prison cell, The room was very clean We had one facing the central courtyard bit There were pros to this which were that it was very quiet at night no street noise at all However some cons see below The rest of the hotel good lovely rooftop bar and decent breakfast 
330029,Avenida Palace, Bar was not open Sunday evening also a mini shop on the hotel premises would be useful for toiletries etc Also was not allowed to drink your own water at the rooftop pool but bar prices were very high up there , Location rooftop pool had amazing views and plenty of places to sit nice bathroom spacious room Decoration of the hotel looked amazing very efficient cleaners changed towels every day good check in and out times helpful staff
330030,Avenida Palace, The pool and roof isn t really suitable for children under 18 or relaxing small no chaises no space to lie on a towel More like a rooftop sitting area and bar and music with a pool to take a dip in Also the main restaurant was closed for renovation so we didn t get a chance to try it , The adjoining rooms were useful for traveling with teenaged children The cleaning and front desk staff were excellent The breakfast was quite good though you can get an equally good lighter breakfast at many nearby restaurants The location of the hotel is safe s central excellent for walking Remember to get advance tickets for the most popular sites 
330031,Avenida Palace, This hotel is a joke The bathroom door broke and we were left without access to the bathroom for two nights Staff would not fix the issues The first night they put us in a room with twin beds when I specifically requested a double bed The bed had no quilts , Location
330032,Avenida Palace, Unfortunately being on the 9th floor on our return from our holiday the music from the pool area which was the next floor above was quite loud but stopped close to midnight The entrance from the hallway and into our room had an awful musty odour The bathroom facilities were modern and excellent None of the programmes in the TV guide matched the television , On arrival we were given a suite which was wonderful asked could we have it on our return unfortunately we were unable to have it The hotel foyer area was very stylish The food at breakfast was very nice and plenty of it The reception staff went out of their way to see to our needs and very friendly The door man fixed my walking stick for me very much appreciated The location for us was terrific A great experience 
330033,Avenida Palace, After a hot and long day site seeing went for an hour round the pool no sun beds or chairs to sit on a small point but would have been nice for hour, location location locatin ciudad condal taps bar on the same block as hotel a must
330034,Avenida Palace, There was a sound coming probably from the metro whenever passing , The hotel generally is a nice hotel and located in town centre with easy access to explore barcelona Rooms are nice clean and spacious and staff are very nice and helpful 
330035,Avenida Palace, The hotel is old needs some renovations Our room was loud we asked from the beginning for a silent one and the option they gave us was worse , Location
330036,Avenida Palace, The hotel took full payment for the room 40 days before and did not let me know or furnish a receipt , The rooftop pool and view were great The beds were comfortable 
