,Hotel_Name,Negative_Review,Positive_Review
254146,Avo Hotel, The main toilets downstairs were not nice bed was not as big as expected but was nice, I would like to say that the guy called lee was so helpful really nice person made me and my boyfriend feel so comfortable staying there
254147,Avo Hotel,No Negative, Friendly staff offered a free drink on arrival and as we were there too early to check in they put our bags in our room for us as we had to head straight out Breakfast was nice and again friendly staff in the morning 
254148,Avo Hotel, The constant police cars and ambulances every 10 minutes with their sirens on ruined our night away We had all the windows shut and the air con on and it still woke us up continually throughout the night and we were on the top floor Need better windows The toilet in the restaurant was disgusting Looked like it hadn t been cleaned in a long while Breakfast was cheap but not cheerful sadly The milk was off and they only had whole milk Most of the cereals were empty or nearly empty , The bed was comfortable and the air con was amazing in 30 heat Room had all the essentials and more 
254149,Avo Hotel, There was an excellent booklet in the room explaining everything One improvement with this would be a page explaining about breakfast and what was available , I would recommend the Avo Hotel to anyone wishing to stay in this part of Hackney the staff were very friendly and the hotel was spotless Although a very old building inside all fixtures and fittings are new and on trend The rooms are small because of the building s age but this didn t take away from our enjoyment We would certainly stay there again 
254150,Avo Hotel, I would have preferred more details with regards to parking not just discovering on arrival that there was no parking onsite but that we had to pay around 8 to purchase and drive down a particular street to find parking We did not mind doing all this but some forewarning would have saved us the worry when we arrived to find no parking After reading in the handbook that an early breakfast before 8am was sometimes available we booked breakfast only to discover this was not available and the receptionist did not want to refund us despite advising by 6pm night before We waited until a new member of staff came on duty and our money was refunded without question Our room was lovely but very very tiny as was the shower , Staff very helpful on arrival and they arranged purchase of our parking coupon The facilities were modern and clean with everything we needed plus a nice view from the window A cosy feel Although we did not eat there the aroma of the small restaurant was lovely 
254151,Avo Hotel, I would skip the breakfast and nip round the corner to Healthy Stuff , I used to live in the area so appreciate the mix of cultures and the vibrancy of the area Incredibly comfortable bed pillows Slept well woke refreshed Really nicely decorated room bathroom stylish felt luxurious Wonderful shower Lovely shower products Quiet at back of the building Very easy to travel to Very relaxed the whole process of booking in access into the building Felt well looked after Lovely lovely staff Will stay here again 
254152,Avo Hotel, I didn t go to Dalston for a pretty view but if that s what you re after you won t get it here , The hotel staff were incredibly welcoming and friendly The room was great location good for the purposes of my trip ie doing things in east London It s a family run operation and you could feel it 
254153,Avo Hotel, This was our second stay this month A smaller room meant for cramped accommodation compared with first stay , Helpful owners and staff Very willing to be of assistsnce Good location re transport 
254154,Avo Hotel, Our first of two stays Top floor adequate No lift so not for persons with disabilities 2nd stay much smaller room and all facilities felt cramped , Central ocation Our first of two stays we had adequate space on top floor on first stay Owner and staff very helpful 
254155,Avo Hotel, A bit noisy thin walls a few ants saying hello , It is a boutique hotel out of the way Ratio money comfort perfect considering that London s prices are out of control Not for everyone tight corners but Spartans will feel luxuriously treated Great WiFi great hosts fantastic bed in room 001 
254156,Avo Hotel, Room tight on space but all amenities present Bit of late night noise but generally quiet Maybe avoid work on flat roof right outside guest rooms until after breakfast service , Very comfy bed well equipped room friendly and helpful service at late check in and breakfast 
254157,Avo Hotel, The rooms could have been a bit larger the soundproofing could have been a bit better However I have paid more than double their rate and a friend was quoted SIX times their rate for a noisier similar sized room in a hotel 3 7 miles away , Location friendly staff
254158,Avo Hotel, One of the rooms was near some kind of depot that had sirens going off throughout the night and into the morning Soundproofing needed , Staff were really welcoming and rooms were comfortable and clean 
254159,Avo Hotel, Picked this because reviews said it was clean but it was dirty and not just surface but old dirt at that The shower was horrid with dirty sealant Also paid more for superior room and it was very small and looking out over the backs of houses, Location suited us
254160,Avo Hotel,No Negative, Avo hotel must be the best place to stay in the area if you re travelling Though it s a small hotel with 6 rooms run by a lovely family and staff you find everything in the room that usually 4 star hotel has neat clean comfortable and quiet The ceral breakfast is tasty too Highly recommended 
254161,Avo Hotel, Directions to get to park somewhere around the hotel should be on website as very awkward junction in front of hotel and easy to miss it , Lovely stay and looked after me brilliantly Very comfy 
254162,Avo Hotel, The fact it was above a restaurant and the rest of teh building was dingy State of the art decor didn t actually work properly tap mixer and digital clock on mirror , Bedroom decor location
254163,Avo Hotel, Its more pricey then sone hotels for a normal size double room We paid 109 for the room and we book with avo regularly, Its very confortable I like how we have robes and extra towels in the rooms 
254164,Avo Hotel, There was no breakfast although brochure in room said there was Radiator stayed top heat although we turned it off A king room but slightly cramped, The welcome The d cor was OK Suited our purpose very well
