,Hotel_Name,Negative_Review,Positive_Review
273131,Axel Hotel Barcelona Urban Spa Adults Only, Compared to other hotels I suspect you may find better value for money however you pay for the novelty of the hotel which does not go unnoticed , The Axel is known as gay friendly and it definitely was We had a good stay nice rooms and bathrooms and is walking distance from a host of restaurants and nightlife 
273132,Axel Hotel Barcelona Urban Spa Adults Only, the bed was kind of a rock the soap was wrapped in impossible to open packets and when they were finally opened were very small and did not foam up at all shampoo was similar , the food was expensive for the value and not well prepared the staff were friendly and helpful 
273133,Axel Hotel Barcelona Urban Spa Adults Only,No Negative, This is my second visit to the property and pleasantly surprised of the rooms nicely renovated Skybar lovely as always and common areas The property centrally located with easy walking distance to main attractions The staff is truly friendly and come you with a beautiful smile Certainly will be back soon 
273134,Axel Hotel Barcelona Urban Spa Adults Only, The interior rooms don t have a view and they also open up to the smoking courtyard which smells like cigarettes , The location was fantastic the staff was very accommodating The general manager Marc Sancho when he heard that I was not happy with my room he made sure that I didn t have to wait to get an exterior room with balcony overlooking the quiet side street it was lovely 
273135,Axel Hotel Barcelona Urban Spa Adults Only, , Returning for a multiple time and still satisfied Once again I got a room with a balcony overlooking the street It was fantastic Open the windows and feel the vibe of the neighborhood close them and total isolation The reception staff are doing a fantastic job Andre was once again the one to check me in and out thanks Andre John who desperately tried to find me a transport due to the taxi strike thanks for your sincere efforts Javier and of cource Alexandra who is exemplary The cleaning staff are doing a great job as well and a simple good morning to them is returned with a great smile Also many thanks to Marc the GM who is very friendly and accommodating and also a great professional The new restaurant Nikkei 103 is a great addition And the Sky bar yo enjoy the pool and sun during the day and great drinks and events at night The Wellness Club 33 is a must to visit for a massage or training or just using the spa Total bliss Thanks Sabrina for the great job and friendship This hotel is close to so many things like bars and restaurants Casa Batll Casa Mil also known as La Pedrera the great shopping street of Passeig de Gr cia also known for its modernism buildings Totally happy here 
273136,Axel Hotel Barcelona Urban Spa Adults Only, It is not very clear in the description of the hotel that the Axel hotel focuses on the gay community Customers should be notified much more clearly beforehand what type of hotel it is to prevent surprises ,No Positive
273137,Axel Hotel Barcelona Urban Spa Adults Only, The bed wasn t very comfortable a bit too firm but the sheets and pillows were great The bar was a little pricey as was the mini bar in the room , The bed wasn t the comfiest but the room itself was lovely and the rooftop pool and bar was amazing The suite was great and a huge terrace 
273138,Axel Hotel Barcelona Urban Spa Adults Only, There was a strong smell of sewage from the shower drain however this did not disappoint our stay House keeping can be a bit noisy while cleaning rooms next door often hearing them banging the Hoover against the wall skirting , Staff were always attentive to our needs Always greeted with a warm smile by them 
273139,Axel Hotel Barcelona Urban Spa Adults Only, Nothing, The Skybar every evening was great and relaxing The room was spacious and modern A lot of choice in the breakfast buffet The aircon in the room 
273140,Axel Hotel Barcelona Urban Spa Adults Only, n a, great location great facilities and ambieance super clean received world class service from Alexandra professional and friendly personally the best hotel ive ever stayed in Europe thank you for a wonderful stay will always be my 1st option regards David Horne
273141,Axel Hotel Barcelona Urban Spa Adults Only, Wi Fi was very slow as were the elevators The rooms had no tissues or luggage racks The counters in the bathrooms were non existent , Great location The pillows were good and the staff kept the rooms clean each day 
273142,Axel Hotel Barcelona Urban Spa Adults Only, Not to have been informed that it was an exclusive gay hotel, Big surprise was that it was exclusively gay and I had not noticed it when I booked I didn t like the surprise and my son with whom I was traveling even less Bookings has to make it clearer in the booking process Otherwise the hotel was fine 
