,Hotel_Name,Negative_Review,Positive_Review
434967,Ayre Hotel Rosell n, Every extra costs like late check out or a room with a view towards the Sagrada I ve found that the room is cold an that a c is so strong even in low settings , The location is just awesome Literally 100m to Sagrada Familia Also nearby is a metro station Sagrada Familia L2 purple line that takes you wherevere you need Ah and most of all the terrace with it s beautiful view worth every penny Room service is relatively cheep 
434968,Ayre Hotel Rosell n, Very low water pressure in the shower for a four star hotel Soundproofing can be improved we were on the 6th floor and still could hear the road traffic at night , Comfortable room Great breakfast with a view of the La Sagrada Familia The rooftop is a nice place to hang out Conveniently located 3 mins walk away from the La Sagrada Familia and metro station with restaurants and supermarkets nearby Nice neighborhood Friendly staff 
434969,Ayre Hotel Rosell n, you could not buy alcohol after 11 30pm so the rooftop terrace bar with such fantastic night time views was wasted would have been lovely to sit up there late with a glass of wine ridiculous for a city centre hotel in July , nice rooms beautiful rooftop terrace bar lovely helpful staff 
434970,Ayre Hotel Rosell n, Restaurants and bars with a view of Sagrada familia you can expect to pay more , Hotel was so central to restaurants bars local attractions metro plus Sagrada familia
434971,Ayre Hotel Rosell n, Maybe an airport ride offered when the taxis are on strike Maybe a shuttle service when this happens It happened to me The subway is very easy to use clean and cheap A print out of the metro to the airport the fares and how to buy the tickets although the receptionist was very kind and explaned to me gave me a map I was still very nervous about taking the subway I bought one extra ticket that I did not need but overall it was very easy to go to the airport indeed there is no need for a permanent shuttle For 4 50 the airport is almost at your doorstep from this hotel , My room had a view of Sagrada Familia The toiletries were top notch The staff was very friendly and helpful There was fresh cold water at the reception umbrellas when it rained There is a reasonably priced breakfast buffet and a bar with tapas drinksxand coffee I forgot to try the top roof terrace bit there is one with a wonderful view of Sagrada 
434972,Ayre Hotel Rosell n, The rooftop bar was closed the day we wanted to have a drink But the view looked amazing , Great location for Sagrada Familia but you can see that from the picture of the rooftop bar 
434973,Ayre Hotel Rosell n, Coffee available in room would have been nice , Bed was comfortable provided extra pillow when requested great location and close to Metro and shops Great coffee in Colombian Cafe next door 
434974,Ayre Hotel Rosell n,No Negative, Great front desk service especially the young lady from Morocco extremely pleasant and helpful wonderful view from our room excellent buffet breakfast very nice terrace with a stunning view good location high end hotel for a good value 
434975,Ayre Hotel Rosell n, We were very disappointed The rooms were very basic not clean and rundown didn t match with the pictures on your side we had to ask for a toilet brush It was far overpriced Roof terrace was a mess with broken umbrellas The bed was to hard also,No Positive
434976,Ayre Hotel Rosell n, Lack of coffee making facility in room , Very good choice at breakfast Good scrambled eggs Staff were excellent very positive helpful friendly and welcoming Spacious bathroom and good room cleaning service Roof top terrace very good never over crowded and views across Santagrada Familia excellent 
434977,Ayre Hotel Rosell n, The hotel could not accommodate our late check out request even when we offered to pay extra I have to stress though this is non consequential and the overall experience at this hotel was amazing , The customer service was absolutely excellent the staff at the front desk were beyond exceptional I would recommend the hotel to all my friends and family 
434978,Ayre Hotel Rosell n, Only minor gripe was that air con in two of our three rooms wasn t working and it was HOT, Great location staff exceptionally helpful and friendly breakfast was great and roof terrace gave amazing views of the city
434979,Ayre Hotel Rosell n, The drinks bar on the roof terrace could be open in the afternoon , The location one block from the Sagrada Seville Cathedral and overlooking it Roof terrace has amazing view day and night wonderful Staff are attentive but not intrusive and very helpful 
434980,Ayre Hotel Rosell n, No issues at all , Loved the courtesy of the staff at the front desk and in the bar restaurant Enjoyed the contemporary design of the hotel After an exhausting day ordered food in the restaurant at hotel was pleasantly surprised by the delicious tuna salad With extra olives onions Really top class View of Gaudi cathedral really amazing from our 6th floor room 
434981,Ayre Hotel Rosell n, bedroom could be bigger and more comfortable , Excelent breakfast including champagne saladas etc Location is amazing just few steps to Sagrada Familia and the hop on hop off bus 
434982,Ayre Hotel Rosell n, one observation only one member os staff on the Bar very pleasant even at very busy times most of the time and they where also covering room service and roof top drinks more staff where definitely needed on this area , We had a fantastic few days here the staff you could not fault well done all rooms clean and well presented food lovely Hotel in a fantastic location
434983,Ayre Hotel Rosell n, The room we booked was not available when we arrived so we were disappointed to be placed in a fairly dark room with no window for natural light It was also very noisy from around 7am that morning Luckily the staff moved us the next day albeit to a tiny room much smaller than the first with not much room for 2 people to live for 4 nights So not too happy that our intended room was unavailable Our shower also leaked which lead to a virtually flooded bathroom every morning not ideal We ate in the hotel restauraunt one evening as we were too tired to venture out and this was a huge mistske the service was slow and the food was cold and not cooked properly but there are plenty of nice restaurants in the vicinity to enjoy , Staff were really lovely and keen to help with anything The rooms were generally clean and comfortable Perfect location The rooftop bar was a particular highlight with gorgeous panoramic views over Barcelona great for relaxing after a long day walking exploring the city most attractions were accessible on foot from here which was a major bonus 
434984,Ayre Hotel Rosell n, Staff in bars and dining room were extremely slow in service hot food came cold took 25 minutes to deliver cold poached egg Staff in dining room didn t smile and were rude and abrupt Asked for rooms to be close together We were put on five different floors What is point in making special requests 1 person behind desk din t seem to care and didn t smile However had another who was excellent , roof top terrace
434985,Ayre Hotel Rosell n, The staff at the lobby bar were overwhelmed at times and some dishes coffee went cold before being delivered to you and they don t have microwave there they must travel back forth between floors what is a problem when there s just one staff and 7 customers But what is even more INEXCUSABLE is that they lock up the doors to the rooftop terrace and only open them at 10am So if you have an early check out and would like to see the view forget it We asked the reception guy to open the doors and he said he is alone at the desk and can t do it well obviously they are understaffed overworked Meanwhile the Rooftop Terrace with view not only on Sagrada Familia but whole Barcelona is THE REASON to choose this remote hotel location To what good if it only opens after 10am , Jon at the reception was very kind and very helpful and explained everything with much patience and even explained us about the city locations and drew on a map what is where to see so he left a great impression as did the view from the room that we paid extra for that view of course Exactly as expected Sagrada Familia from your bed 6th floor room The interior design was very pretty as advertised Had dinner at the Rooftop Terrace and it was extremely delicious Breakfast buffet was very delicious and generous A pity it isn t served at the Roof Terrace but at some random dining area downstairs Took it to the room The night before asked if it is possible to take breaks to the Rooftop Terrace and was told yes Upon arriving with a huge tray to the cumbersome door of the said rooftop it was locked 8am What a bad surprise in a hotel that otherwise was almost perfect 
434986,Ayre Hotel Rosell n,No Negative, We stayed at this property with our adult children The roof deck is amazing We spent as much time as possible in there and enjoyed delicious food and drinks The neighborhood is very safe with lots of restaurants We walked everywhere and took a cab on the way back I will definitely go back to eat more patatas bravas 
434987,Ayre Hotel Rosell n, Wifi could be a bit spotty, Amazing location and views to Sagrada Familia Great staff and breakfast was lovely too Make sure to order the hot breakfast from staff they ll cook it up for you fresh Very clean rooms were modern Rooftop was nice to relax in front of Gaudi s masterpiece
434988,Ayre Hotel Rosell n, We only stayed one night I would have loved to have stayed longer , The place is absolutely gorgeous The staff are lovely We had a problem with air conditioning and they sent someone immediately They gave us a new room just as nice as our original 
434989,Ayre Hotel Rosell n,No Negative, We love this hotel and always stay here on business trips every year Ideal location modern clean and friendly staff The rooftop terrace is ideal for relaxing after the end of long days 
434990,Ayre Hotel Rosell n, No tea or coffee making facilities in the room, The location was perfect and lots of restaurants and cafes to choose from The roof top bar was an excellent addition to this clean and modern hotel 
434991,Ayre Hotel Rosell n, Mattress was a bit hard but typical for Europe , Very friendly and helpful staff Early check in was no problem Very effective air conditioning fabulous view of Sagrada Familia Suite was spacious and great value for money 
434992,Ayre Hotel Rosell n, Bar and room service both closed at 11pm No tea and coffee facilities in the room Room suffered with traffic noise despite double glazing and being on the 7th floor , Staff were very friendly an helpful Place was clean and tidy Good facilities and plenty of choice at breakfast Great views of Sagrada Familia from the terrace 
434993,Ayre Hotel Rosell n, N A, This hotel is in the best location It is round the corner from the Metro station The view from the roof top terrace is amazing the rooms had everything you needed 
434994,Ayre Hotel Rosell n, The breakfast could be a little bit more diverse as there were not too many options from to choose like bread yogurt meat cheese The hotel has a limited option for dining There are things in the room were you can see easily that time past by and a little refurbishment would be needed , The property is very close to Sagrada Familia easy to access from the aeroport by public transportation and has supermarkets restaurants in the proximity The room was very clean quiet and with all the facilities needed Personal was very nice and helpful The terrace on the top floor of the hotel is nice to spend the evening with friends or family drinking or eating something 
434995,Ayre Hotel Rosell n, Disappointed with rooftop bar not open No other complaint , Breakfast was included in price It was delicious and plenty to eat x drink Location perfect overlooking Sagrada familia Rooftop amazing especially at night All staff kind and friendly Reception staff very helpful 
434996,Ayre Hotel Rosell n, Only drawback too much noise from the street , Everything Everyone in the front desk was wonderful especially Daniel Also managers Juan Stefie fabulous The breakfast stafff were outstanding 
434997,Ayre Hotel Rosell n, It felt understaffed at food and drink facilities the bar the rooftop and breakfast areas A few more servers would make a huge difference , Loved the location and the view from the room and the rooftop It was fun to stay at a modern hotel for a change as we had also enjoyed many historic hotels on the trip 
434998,Ayre Hotel Rosell n, There was no tea or coffee making facilities in the room This would have been nice but didn t detract from the experience , The location of the hotel is excellent for visiting the sagrada familia church It s right outside the building and many rooms look on to the site itself amazing views 
434999,Ayre Hotel Rosell n, Room 106 at the back should be let with a warning of noise only got to sleep at 0410 when the young trouble makers exited a local club at 2300 and were outside screaming and shouting until hours later , Great breakfast
435000,Ayre Hotel Rosell n, 1 not providing an iron and its board in the room in a 4 stars hotel 2 not provinding good facilities for boiling water in the breakfast 3 not providing hot drinks facilities in the room , The teaarace was wonderful and the bar staff very friendly 
435001,Ayre Hotel Rosell n, Bed was a little firm for my tastes , Staff were fantastic Location 1 block away from Sagrada Familiar was great Nice local area with several bars and restaurants 
435002,Ayre Hotel Rosell n, One rather very minor point It would have been great if there were slippers available , Staff is great The location is great Rooms are fine and regularly cleaned
435003,Ayre Hotel Rosell n, Room was too hot and there was no coffe making facilities in the room Paid a premium to view the cathedral which wasn t really worth the extra money as it was partially covered by other buildings and partially covered by scaffolding and tarpaulin , The room was basic but comfortable 
435004,Ayre Hotel Rosell n, Place is a bit pricy and a bit far from the night out places, Room is clean and modern Its 5 mins away from Sagrada Familia and you ll have a nice view of it from the roof top Staff are very nice and easy to talk to 
435005,Ayre Hotel Rosell n,No Negative, We had an amazing stay here for the Easter weekend The views from our room and from the roof terrace of the Sagrada Familia were incredible The staff were super friendly and helpful We also had breakfast here on our last day and the range that was available was great and completely worth the price 
435006,Ayre Hotel Rosell n,No Negative, Wonderful hotel friendly staff great location The roof top terrace which had views of Sagrada Famillia was just a beautiful place to relax at anytime of the day or night The buffet breakfast offered plenty of variety The additional option to order hot food from the kitchen for no extra cost was an added bonus The location of the hotel is super just a minute from Sagrada Famillia hop on hop off bus and the metro Gaudi s Avenue is less than 5 mins walk away There are plenty of good quality resutrants within a short distance of the hotel offering a range of different cusines too The hotel staff were very good at recommending good places to eat within a short distance of the hotel 
435007,Ayre Hotel Rosell n,No Negative, Staff were very young extremely helpful and keen to make our stay as good as possible The view is astounding that terrace is certainly special Breakfasts were good and good value A good location 
435008,Ayre Hotel Rosell n, Room at front were noisy from the traffic noise, Staff were the best of anywhere I have ever stayed Roof top terrace fantastic for a sundowner Spotlessly clean
435009,Ayre Hotel Rosell n,No Negative, Excellent location with spacious and convenient room with remarkable views towards the Sagrada Familia Very helpful and service minded staff during the whole stay especially Gon alo at Reception devoting time to advise and personally order for us a very good and reasonably priced taxi service for the airport that could accommodate a baby trolley 
435010,Ayre Hotel Rosell n, Very noisy cleaning started at 7h45 Impossible to close the window then it was really cold in the room Very expensive compared to other hotels same category very slow wifi , Location is great breakfast ok
435011,Ayre Hotel Rosell n, The room did not satisfy us because of it was an economic room they gave us a room which we couldn t see the outside The window was only openning to the closed hall of the hotel We couldn t see the sun For a short stay that could be ok But when you want to sleep and open that window for some air the voices of people talking and laughing at the lobby disturbs a lot Maybe we could ask to change our room however that was a 3 nights stay so we tolerated it , The location was very good and so close to metro station sagrada familia and a great sea food restaurant The personnel at the reception was very kind and helpful The hotel was new and clean You have everything you need at the bathroom We didn t take the breakfast at the hotel 
435012,Ayre Hotel Rosell n, Our room had no external view but that was not too disappointing we spent most of our time in the city , Great location modern well appointed hotel with friendly helpful staff 
435013,Ayre Hotel Rosell n,No Negative, The staff were so helpful and accommodating We requested 4 twin rooms and this was all organised with a smile and no hassle we ordered cava to have on rooftop to enjoy the beautiful view Will definitely stayou next time I am back in Barca
435014,Ayre Hotel Rosell n, The windows let in too much noise not good in a city centre and could have done with tea and coffee making facilities in the rooms , Only used the bar area not the restaurant but friendly staff and good coffee and cocktails a nice area to spend time at the end of the evening or first thing in the morning rooms comfy with good bathrooms and shower areas 
435015,Ayre Hotel Rosell n, slightly out of the way of La rambles which could be a good point if you want it less busy , fantastic hotel easy access to metro and bus links Staff are very helpful 
435016,Ayre Hotel Rosell n, We did not see a downside and will book this hotel again , Very attentive staff at breakfast and at the reception desk So close to all local facilities Perfect location for the Segrada de Familia 
435017,Ayre Hotel Rosell n, The WIFI wasn t great although the connection was fine the speed of it was terrible Even though my Booking com receipt said fully paid they still had to charge me the full amount when I left This was a surprise , The service at the front desk was phenomenal we had some questions about train metro and they did an awesome job 
