,Hotel_Name,Negative_Review,Positive_Review
221578,B Montmartre, We liked everything about this hotel The rooms were a little on the dark side More lighting Otherwise perfect, I spent four nights here with my sister daughter and a friend The hotel staff were super friendly and were always available The hotel was lovely We had a privilege room It had everything we needed Tea tray coffee maker bathrobes and slippers iron and ironing board A lovely bathroom with a great shower The room was spotless the bed super comfy There is a lovely tropical courtyard garden A real little haven to return to after a hectic day in the city It was my birthday during our stay and the hotel staff presented me with a cake and champagne at breakfast A lovely gesture The hotel was a three minute walk to the metro station at Place de Clichy There s lots of restaurants nearby so plenty to choose from We would certainly recommend this hotel and would stay here again I could go on and on but best see for yourselves This is a great little hotel with the best staff ever Look no further You won t be disappointed
221579,B Montmartre, Bar shuttiing at 10 00 no bath though shower was exellent design functionality , Food Breakfast exellent room for 3 a little small but comfortable Nice bar louge breakfast room outdoor space 
221580,B Montmartre, Coffee at breakfast on the first morning wasn t great so had tea every morning thereafter , On the whole staff super friendly and helpful Lovely room with large very comfortable bed Great central location close to metro and lots of restaurants 
221581,B Montmartre, Bed was a quite squeaky No music channel on TV that I could find , Hotel looks lovely with very attentive and friendly staff Room wasn t the biggest but facilities and comfort made up for it Bed was EVER SO comfortable and the bathroom was lovely Choice on TV was limited but we weren t in enough to worry Location was brilliant for the Metro with some lovely walkable restaurants and bars as well as visits to Moulin Rouge and Monmartre We had breakfast one morning and it was great Overall we ll DEFINITELY be using again if ever in the area Highly recommended 
221582,B Montmartre, On arrival room had a faulty toilet which was noisy I was told there were no spare rooms then suddenly there was a spare room and I was moved I had partially unpacked and was downstairs in the bar having a drink I was about to go out to dinner and the front desk told me they had moved my room again so there were spare rooms And they moved my belongings without asking me taking things from the wardrobe bathroom etc It was outrageous The manager was not in but dealt well with my complaint the next day I was moved to a much nicer room for the 3rd night and offered a bottle of wine , Complaint was handled well 
221583,B Montmartre, nothing at all, Everything was beyond expectations every member of staff were extremely lovely and attentive The breakfast was tasty with plenty of good choices the room was cosy Me and my fianc e had a perfect stay for our first trip to Paris Thanks B Montmartre
221584,B Montmartre, Room is a little on the tiny side but has everything one may need including bath robes and a little desk plus tea and coffee facilities No restaurant is present at the hotel It was not a problem for us but could be for some , The staff at this place is excellent The bed was very comfortable The owner must have dedicated a fair bit of time to get this hotel looking so beautiful The lounge downstairs is absolutely gorgeous 
221585,B Montmartre, There wasn t anything not to like, Could not have asked for a better stay Perfect room location and staff were fantastic Won t hesitate to stay there again and will be recommending it to friends 
221586,B Montmartre,No Negative, Staff are exceptional they really go that extra mile to ensure you are welcomed and help you with local knowledge They really made a difference to my stay
221587,B Montmartre, The regular rooms are too small We had to move to a bigger one witch was way better , The staff was extra nice and super efficient Loved the small garden in the inside court and the new building at the back 
