,Hotel_Name,Negative_Review,Positive_Review
365817,BEST WESTERN PLUS Amedia Wien,No Negative, Convenient location clean rooms sufficient breakfast buffet with good coffee Bus stop 150 meters from hotel line 74A Enough number of parking places so as hotel declares no need to book it in advance I would probably stay there again during my next visit to Vienna 
365818,BEST WESTERN PLUS Amedia Wien, Breakfast option was expensive but bakeries nearby , Easy access by public transportation from train station to hotel location and to tourist areas Grocery stores nearby 
365819,BEST WESTERN PLUS Amedia Wien, Noise from the street can be heard in the rooms on the lower floors , Clean and spacious room Comfortable and big bed Facilities Small SPA on the 6th floor Sauna and Steam Bath Near to groceries a bus and a tram station 
365820,BEST WESTERN PLUS Amedia Wien, There is no lock for the bathroom door a little bit lack of privacy , It was a nice stay in this hotel Although the hotel is not located near the Vienna s Ringstrasse it has a very easy access to the public transport nearby Metro U3 can take you to from city centre tram 18 can take you to from the Wien Hauptbahnhof and bus 77A can take you to from Stadion for coaches directly And there are lots of large supermarket near the hotel which is convenient for us though they usually close at 8pm 
365821,BEST WESTERN PLUS Amedia Wien, There were no slippers nor hair shampoo conditioner ear buds etc There were only soap and shower gel shampoo attached to the bathroom wall I have not experienced something like this at a four stars hotel , It was clean and quiet
365822,BEST WESTERN PLUS Amedia Wien, The Wellness area could be larger with space for changing clothes etc There s also currently no gymn , Having the Sauna on the top floor is awesome 
365823,BEST WESTERN PLUS Amedia Wien, In order to connect to Wi Fi you have to go to your room then back down again wait and after tireless efforts they connect it manually because you receive a SMS code if your phone is not able to receive this SMS forget about connecting it easily This would happen every time you leave the hotel Totally useless ,No Positive
365824,BEST WESTERN PLUS Amedia Wien, Even though the room and the bathroom were perfectly clean the windows and window sill were dusty and there was even a spider web in the top corner of the window frame , The hotel is situated in a nice location not far from one of Vienna s business districts Wien Mitte The room is quite spacious with combined bathroom toilet all the necesseties presented The bed is comfortable though consisting of 2 separate matresses placed on a double bed foundation Pillows and blankes are comfortable and soft Another positive thing the air conditioning continues working even without the key card meaning that one does not return to a hot room 
365825,BEST WESTERN PLUS Amedia Wien, Overall the stay was fine for after all we only needed the place for one night The ladies at the desk were pleasant and helpful when we checked in In the morning I asked a person at the front desk to please get us a taxi to the airport which he proceeded to do and it arrived in less than 10 minutes Great The airport is 15KM from the hotel and linked directly to it via the A4 highway and it took less than 15 minutes to get there Fine But he charged us 48 Euros WOW We took other taxis in Vienna and Budapest and Prague but not at these prices Now I can not blame Best Western for this but I would advise all BW Amedia guests DO NOT have the front desk call you taxi Better just go out and hail a cab any cab it will be way cheaper , we were only there for one night therefore it is difficult to comment here
365826,BEST WESTERN PLUS Amedia Wien,No Negative, Very nice and comfortable hotel Located close to the inner city walking distance Many supermarkets were located in the proximity of the hotel The breakfast was also very good and it had a rich variety of food 
