,Hotel_Name,Negative_Review,Positive_Review
222218,Baglioni Hotel London The Leading Hotels of the World, The extra service charges presumed on your final bill after your stay that go automatically onto the bill I HATE THAT if I wanted to tip I would add it to each bill but they already did this too anyway I am minted so it s not a problem however this is just a bit much and should change , Almost everything
222219,Baglioni Hotel London The Leading Hotels of the World, The dinner was fine but not memorable, Bedroom was stylish and comfortable A very pleasant place to be The bar terrace was a special place for a drink or meal 
222220,Baglioni Hotel London The Leading Hotels of the World, The room had low ceilings and the smell is terrible it s like you are sleeping in the perfume isle The flow of the room is horrible and the finishing is not worth the 5 stars , Staff and location
222221,Baglioni Hotel London The Leading Hotels of the World,No Negative, Instant upgrade as soon as we arrived my partner needed cigarettes and a staff member went to collect a packet for him instantly which is excellent service We also needed urgent laundry and the housekeeping team fulfilled our request very quickly Extremely happy 
222222,Baglioni Hotel London The Leading Hotels of the World, Poor room view Food was excellent in restaurant but surroundings setting could be better but assume that is down to lack of space The service throughout is excellent but in the restaurant the waiter was what I would describe as too keen He whipped plates away before one of us had finished eating which I was brought up to believe was bad manners etiquette and he was a bit pushy trying to get us to have a second main course , The Maserati Quattro Porte We booked it for the transfer from Kings Cross but then also took advantage of the complimentary service provided by the hotel Staff were all very friendly and the concierge was incredibly helpful when our concert was cancelled at arranging something else for us to do Food at the Italian restaurant was delicious 
222223,Baglioni Hotel London The Leading Hotels of the World, Nothing The hotel was amazing thank you for the first class hospitality , The standard of service was faultless from the check in through to the checkout It has to be one of the best hotels that I have ever had the pleasure in visiting Special thanks goes to the conceirges Tadas Vitkauskas and Phillip Morris Phil went out of his way to make me feel at home and both Tadas and Phil directed me to the local shops restaurants and amenities They also gave recommendations of places to eat and visit The breakfast was excellent and so were the staff I had an omelette made to my liking before my gym session and they made my breakfast according to my dietary requirements The gym and spa was first class with outstanding staff and facilities Many thanks to the trainer Erik Solang for an excellent personal training session pushing me to my limit but giving total support and encouragement the way a personal trainer should be I had a full body massage after the training session too which helped my muscles relax and recover As I was celebrating my birthday I also received free chocolates macarons and a top of the range bottle of Prosecco I will definitely visit again when I get the chance Thank you very much for an excellent stay 
222224,Baglioni Hotel London The Leading Hotels of the World, A continental Breakfast was very expensive at 26 per person, complementary prosecco in our room Arrived just before 3pm room should have been available from 2pm We sat in the bar and had a complementary cup of coffee whilst waiting 
222225,Baglioni Hotel London The Leading Hotels of the World, Didn t dislike anything about this hotel, Excellent hotel staff were so friendly nothing is was too much trouble beautiful rooms and great location
222226,Baglioni Hotel London The Leading Hotels of the World,No Negative, Fabulous complimentary use of the hotel Maserati within a 2km radius of the hotel excellent start to every day for us Terrace bar also excellent although small so get down early for a table if the sun is shining 
222227,Baglioni Hotel London The Leading Hotels of the World, Only thing missing was the ability to make a normal coffee in the room there is a very good espresso machine but that s too strong for us , Clean comfortable excellent location for Kensington and Albert Hall The room was very good in all aspects but the staff are the crowning glory Everyone spoke to us at all times and the reception door staff are first class probably one of the nicest hotel experiences we had in a long time Particular mention to Ricardo a very pleasant and professional receptionist 
