,Hotel_Name,Negative_Review,Positive_Review
54954,Bassano, You can hear people outside the room Stander rooms are small I recommend to take the next category , Great location friendly reception staff clean rooms
54955,Bassano, The worst thing after a long trip is to come to a hotel check in the room and find out that you have a room with no view I mean a view inside a narrow service void filled with pipes The receptionist reacted with a common answer that they are fully booked and have no other room available After insisting a bit the new answer was that they would change the room the next day One last try after 15 minutes with a little more threating attitute we were offered 2 options with floor to ceiling windows looking to the street So the question arises Why didn t they offer this room in the first place That I still dont know but I can assure you that I was not happy with the whole situation I also had to carry all the luggages by my self from the car to the room and from the old room to the new room which was not pleasent ,No Positive
54956,Bassano, Breakfast is a bit overpriced and taken in the basement which is a bit gloomy, Great small boutique hotel with friendly staff room nicely decorated and very comfortable large bathroom good value for money 
54957,Bassano, the family room in the top of the hotel has no view and very limited natural light during our second night the noise of constant water down the tubes was a bit disturbing, The staff was very friendly and helpful we booked in total 4 rooms from which 3 had a lot of natural light and a nice view of the street The bathrooms are nice and spacious 
54958,Bassano, There wasn t enough room in the toilet my grandson is very tall and he could just about close the door , There was a good variety of everything it was excellent 
54959,Bassano, I left early in the morning 630 and they didnt arrange a croissant or anything as the kictchen opens at 7 even iof people was ther for the check out ,No Positive
54960,Bassano, The WiFi was awful We needed to do some work while on holiday and using the WiFi was imposible Had to resort to tether through my phone at roaming charges Not happy I was on floor 3 Could only use Wifi just about very slow from the ground floor , The Hotel location is excellent There is even a little bakery next door where you can have nice crepes Bed was hard so great for my liking but the pillows too cushiony lumpy so my head was too bent Resorted to sleep with no pillow Have to say the cleaning was fantastic I felt I was in a new room every time I came to my room Reception was always very helpful Breakfast was nice 
54961,Bassano, No power points to charge electronics poor Wifi poor shower curtains didn t fit the windows slow elevator expensive breakfast , Stylish hotel in a good location and good value Staff were very helpful in dealing with the hotel s poor services and facilities 
54962,Bassano,No Negative, The bed was good size bathroom was spacious room was clean and nicely decor Staffs were extremely helpful and friendly Location was excellent 3 minutes walk to Champ Elysses Good value 
54963,Bassano, The hotel room was far too hot Couldn t control the temperature and was noisy too with fast cars driving by all through the night , Staff were very friendly and helpful lending me a European adapter when I didn t have one 
54964,Bassano, Curtain in the room let a little light in so didn t sleep a lot otherwise perfect , Great location very friendly staff didn t have breakfast at hotel so can t say The room was comfortable and clean Enjoyed staying 
