,Hotel_Name,Negative_Review,Positive_Review
17720,Belfast,No Negative, Everything at this hotel is very good metro is near a halal restaurant is opposite to the hotel but more quality at rooms is needed the big cabinets could be removed as they take a good place at the room and we didn t use them at all
17721,Belfast, Toilet paper Towels , Location very close to Arc de Triump perfect for shopping gallure close to everything shop restaurant Arc de triump Eiffel Tower champ elysees lovre museum Location perfect Room is okey and the hotel ok the staff very friendly accomodating The breakfast is too simple for me So i eat outside Location of the hotel perfect 
17722,Belfast, Internet speed was very poor Breakfast was very so so and no one at the breakfast place speaks or understands English , Amazing location easy to reach single rooms quite comfortable knowing that the hotel is inside an old building 
17723,Belfast, The price of the room is quite high , The rooms have a splendid but somewhat weary Louis 16th style Bathrooms are updated And the location is superb One of the best regions to stay in Paris 
17724,Belfast, The cleaning does not include filling up the mini bar or taking away used glasses Towels and sheets are always changed clean and nice but sometimes lacking both soap and toilet paper at one occasion they seem to be in some kind of a rush Kindness of staff in the reception area is super though , The Staff was excellent very nice and helpful 24 hours service at the reception area helped to arrange drycleaning or reserve a taxi answer questions and so forth Because we were getting married I asked for a room with a view so they upgraded us to a very nice room 3 of the days the weekend we where getting married with no extra charge 3
17725,Belfast, The hotel is worn out and facilities are not up to date For instance bronze keys are required to open the door and security locks from the inside are not available which makes me feel unsafe I simply failed to open the door and the hotel staff helped me to do so who is a friendly guy , Location is excellent
17726,Belfast,No Negative, I requested a high floor room with a balcony and I received it With a spectacular view to Eiffel tower and arc du triumph Bed was comfy bathroom is newly renovated everything was clean Breakfast was moderate included fresh croissant cafe du lait and yogurt also cornflakes cheese eggs milk juice and jam Wifi speed was good Staff were very nice Felt like home Location is perfect 5 mins walk to champs elysees street metro easily accessible restaurants nearby couldn t ask for more 
17727,Belfast, WiFi was not the secured type I couldn t use it for some sensitive inputs Because the building is old footstep noise from upper floor may bother some travelers , Location Very close to the bus stop Though it is an old building I liked the atmosphere of the room And the bathroom was renovated 
17728,Belfast, I booked via booking com and it was fully paid through my debit card But seems like they dont have any coordination in between I had to pay again to the hotel and then request for refund from booking com The room was very small , Location is the best
17729,Belfast, The elevator is a bit dubious but otherwise it s a quaint quirky and typically French , Fantastic location and super friendly staff on the front desk My room was only small but perfectly comfortable Breakfast was simple but perfect Local restaurants a great particularly the Caesar next door great pizza and pasta and l Arc down the hill try the home made rum 
17730,Belfast, The room was too small but I guess that is in most of Paris hotels, 2 minutes walking distance to arc de triumph Charles de Gaulle m tro station just downstairs the airport bus service 100 meters away the hotel stuff were very welcoming security after midnight a very good place to stay in heart of Paris
17731,Belfast, There was tea and coffee in the room but not enough to last two people a day and there was no milk but the reception were more than happy to provide a small pot of fresh milk , This hotel is perfectly situated near a metro station and also the air france bus stop is only 50 metres away The hotel rooms are small but it s Paris so I wasn t expecting a large room The bathrooms were spacious and shower etc worked great Check in was easy 
17732,Belfast,No Negative, We paid a little extra for a room with a view and it was worth it we could even see part of the Eiffel Tower Room was very comfortable and clean Great location with the metro close by Staff were also very helpful 
17733,Belfast,No Negative, The staff were so lovely and welcoming the hotel was in the bestest possible location will be returning everytime I m in Paris as the hotel was beautiful and the staff were wonderful thank you all so much
17734,Belfast, Our room was very small The fridge didn t work so we were unable to keep milk cold to make a cup of tea Reported it to reception but still hot Had lots of trouble with getting enough hot water Reported it also 2 staff tried to help but language barriers make dealing with staff difficult All in all we had a fridge that was hot and hot water that was cold , The location is very good Only short walk to restaurants and attractions Breakfast was good and staff in breakfast room very pleasant 
17735,Belfast, Small rooms , Excellent location staff was very sweet and helpful rooms are clean but small although typically for Paris For the price you can t ask for much more 
17736,Belfast, The room was kind ve small European style But i guess i shared it with 2 other girls Be prepared to be intimate with your friends in the small space , The hotel is in a great location pretty central in paris its right out of a metro line 1 A B 6 There are not amendities like gym or spa but it did the job Daily cleaning was good and helped make the room feel new and clean everyday
17737,Belfast, nothing to be changed, excelent location direct bus from to airports 100 meter 50 meter to Letoile metro in the heart of paris walking distance to convention center Extra cordial friendly staff Clean rooms corridors Ambiant atmosphere Rich tasty fresh fine breakfast in a roccoco dining room The croissones were finest stuff and also fresh whole fruits 
17738,Belfast, Need to add sound proof because of you can hear your neigbor from the room next to you , The staff very friendly and helpful We arrived early at the hotel after such a ling flight and they allowed us for early checked in since the room was ready too Easy access for everything restaurant and cafe plenty at this area metro and RER access just about 3 Meters from the hotel Arc de Triomphe just in front of you when you turn left after exiting the hotel door Really fantastic 
17739,Belfast, When we arrived there were building materials on the floor in the lobby It was a bit dusty and had to manoeuvre around to get to the lift The bedroom wallpaper was interesting , The terrace was excellent offering a view of the Arc de Triomph and Eiffel Tower Fantastically located for us The bathroom was excellent and the staff were very helpful
17740,Belfast,No Negative, Location of Hotel is ideal for sightseeing and seeing the city We stayed in a room with a balcony and view and had full view of the arc de triomphe and the eiffel tower at a distance beautiful sights when lit up at night from the comfort of our room Room was warm and comfortable and there was nothing I could complain about There is a main metro station practically right outside the door which allowed us to travel the whole city Staff were very friendly at the front desk and helped us alot with showing us on maps how to get places on the metro Staff at front desk also went out of their way to help me when I had trouble with tickets to disneyland They were very patient and did all they could to assist in the situation which worked out in the end Overall a very pleasant experience in the Belfast and would go back again to stay there 
17741,Belfast, room size too small the furniture a very old the elevator very small and you can hear the others from your room specially in the aisle , The location is very close to a main metro station and the main street in the city the stuff very nice
17742,Belfast, A couple of the rooms had very dim lights which made it hard to see The flood lights on the balconies distract from the amazing cries , The location of this hotel is perfect for seeing Paris There are also some great restaurants nearby which make things easy too The staff were very accommodating 
17743,Belfast, Staff not well cooperate especially at check in Cleaning is not good Rooms are small You can hear your neighbor room when he standing speaking go to toilet and what he do Old hotel need renewed, Location is good
17744,Belfast, The hotel room itself was terrible Nothing like the picture The bed was as tiny as the room Not comfortable at all It felt more like a suffocating box with a view on other boxes rather than a comfortable hotel with a view on the Arch of Triumph, The staff was pleasant enough
17745,Belfast, Rooms were small , The staff was very polite and very helpful Close to metro and arc de triumph very neat and clean rooms Hotel was in right location and easy access 
17746,Belfast, One night receptionist was very rude to us when we asked him few questions about airport transfer The rest of the staff were very helpful and nice , Location is great Right by the act de triomphe Convenient access to the metro and direct airport shuttle stop is right behind the corner Lots of restaurants all around and in a walking distance from everything Rooms are clean and nice And we had a view to act de triomphe which was fantastic 
17747,Belfast, There where no aircondition and we had to sleep with open windows which was quite noisy , Nice view from the french balcony and plenty of food for breakfast Plesent personell
17748,Belfast, Leaving the key to the room at the front desk Just not use to that the electricity went out once and there was a humming noise all night , The air conditioner worked well Pleasant staff Location was fantastic 
17749,Belfast,No Negative, Beautiful atmosphere excellent location quiet but close to attractions and transportation friendly staff We would stay there again if we ever return to Paris 
17750,Belfast, The elevator is small but you are able to get your luggage up to various floor , The Belfast Hotel is nice and comfortable with a 18 19th Century feel beautfully decorated room and lobby this hotel is on Carrot street with a 10 min or so walk to the Arch of Thriomph and a view of the Iffle Tower if you have a room overlooking the street in front of the hotel Breakfast is available for a extra charge 
17751,Belfast, There s little problem with the bathroom design Floor and other stuff get wet using the shower , Lovely room and helpful staff Great location near Metro and airport bus 
17752,Belfast, Nothing We loved every detail of the hotel , Love the old charm of the hotel A nostalgic beauty of true Parisienne Super friendly and helpful staff esp Gabriel He was kind enough to help us book our airport transfer with delight and help us whats the best Paris can offer We truly enjoyed our stay Bountiful breakfast in a salon We felt we were bought back to the golden age of glamour and sophistication Location is a plus 1 min away from Metro and 5mins walk to Champs lys es the shopping meca of Paris 
17753,Belfast, The bedroom space corridors and elevators are cramped so if you are accustomed to a spacious living area you might want to reconsider booking , The hotel staff was responsive 
17754,Belfast, The staff was not accommodating at all Ignored all our requests ,No Positive
17755,Belfast, Breakfast was a bit meagre , Location old world charm
17756,Belfast, Room size not comfortable, Location
17757,Belfast, Finishes of the room are deteriorating needs maintenance but still good , Perfect location walking distance to most the tourist attractions 
17758,Belfast, Facilities, Location
17759,Belfast, Small rooms Small bed, Location
17760,Belfast,No Negative, location is amazing the rooms are very small
17761,Belfast, nothing, Lovely old Parisian hotel with lots of caricature and great staff
17762,Belfast, The room was a little small but ok, Lovely staff and good breakfast Excellent location
17763,Belfast,No Negative, The hotel location is great 
