,Hotel_Name,Negative_Review,Positive_Review
484622,Best Western Atlantic Hotel,No Negative, Great breakfast very confortable room and the personal was very kind They storage our luggage for us in the day we had to make check out but we returned to Milan at night so when we return they permit us to use the property the bathroom take a free coffee until the time we have to take the train 
484623,Best Western Atlantic Hotel, It didn t bother me but there is a few stairs from the front door to reception , The staff were very helpful and gave us public transport information for everywhere we wanted to visit and also booked us taxis when we decided on the option The breakfast was lovely and the cleaning staff were great 
484624,Best Western Atlantic Hotel, One more reading lamp above the bed headboard would have been helpful for our stay, Very convenient location but still quiet aspect in room We loved the standard of the room the helpful and accomodating staff and the delightful breakfast room
484625,Best Western Atlantic Hotel, Nothing it was fabulous , Very close to the railway metro and airport buses The air conditioning was great exactly what we needed after melting outside Staff were exceptionally helpful and welcoming Lovely breakfast 
484626,Best Western Atlantic Hotel, Wifi was a little slow at times , Great location near central station Very comfy bed and large room Bathroom was spacious with jacuzzi Good quality bathroom products Wonderful breakfast staff and great selection of food 
484627,Best Western Atlantic Hotel, The shower screen in the bathroom could have been a bit longer to prevent water going onto the bathroom floor , Cleanliness friendliness of staff and location 
484628,Best Western Atlantic Hotel, Pillows were not very comfortable but everything else was great , Breakfast was surprising lt good I was only expecting bread and jam but there was a full spread 
484629,Best Western Atlantic Hotel,No Negative, Everything is amazing wise helpful and great Everything is thought out to the smallest details and very convenient 24 hours you can have tee and coffee for free We travel to Milan for 10 years and tried a lot of hotels and this one is the best The staff is absolutely amazing especially at the restaurant and put their soul in their work In addition there is a nice and cheap pizza restaurant very near to the hotel Thank you very much again 
484630,Best Western Atlantic Hotel, The breakfast quality was average but I m comparing and rating against other European accommodations that offered outstanding breakfast buffets in the same price range so many may think it is good It was better than most US breakfasts , The rooms were clean The bathroom was very spacious for a city hotel The rooms were quiet The location was walking distance from the train station The staff was fine and helpful and the porter service was great We left our bags at the hotel after checkout to continue exploring the city until our train came No issues 
484631,Best Western Atlantic Hotel, , The staff were very polite and helpful The room was compact but everything was well arranged We appreciated the free good Coffee in the lounge The breakfast room was very inviting and the food there was excellent 5 star hotel and close to station and buses 
484632,Best Western Atlantic Hotel,No Negative, The hotel was conveniently located near Central Station the staff were all very friendly and helpful and the rooms were clean and served our needs very well 
484633,Best Western Atlantic Hotel, I didn t like the small room with no decent space to open my luggages Staff were not as responsive as service staff should be , Location was near train station and car rentals 
484634,Best Western Atlantic Hotel, we have a problem with noises from other rooms especially at night time there were a constant dragging and banging sound from the ceiling and the walls the reception kindly moved us to a higher floor but the problem still persists this could have been a really nice stay for the fact that the room was newly decorated and clean will definitely look for hotels with soundproof tag next time ,No Positive
484635,Best Western Atlantic Hotel, Was far to the main shopping area over a 30 minute walk and not many resturants near by, The location of the hotel was good very close to the station It was quite a walk to the main shopping strip Amenities within the hotel are good computer and printer to use free of charge and the breakfast spread was plentiful
484636,Best Western Atlantic Hotel,No Negative, The hotel is a 5 minute walk from the Central Train station and close to Metro There was a very good restaurant in the same block we ate at twice The staff were all very friendly and helpful 
484637,Best Western Atlantic Hotel,No Negative, The staff was friendly pleasant and helpful breakfast was just perfect with the wide range of food I liked the location easy to find and close to the main train and metro stations room was clean and cozy but too small overall excellent place for 3 7 days stay 
484638,Best Western Atlantic Hotel, Nothing , Very clean and welcoming hotel in a great location next to the main rail station Staff were helpful eg helping to carry luggage Tea and coffee facilities provided unusual for Italy plus a mini bar 
484639,Best Western Atlantic Hotel,No Negative, the location was fabulous I could see it from the railway station This hotel was kind enough to carry our suitcases to the room D The service was kind and courteous i would recommend this hotel they provide umbrellas and charge adapter which was convenient 
484640,Best Western Atlantic Hotel, Wifi signal in our room was not so good The room wasn t so sound proof could hear loud talking from other room s , Comfortable nice rooms great breakfast helpful staff Great location closer to trains metro
484641,Best Western Atlantic Hotel,No Negative, Location is close to train station and subway Room is equipped with what you need during travel 2 small elevators are available so it is ok if you have big luggage Free wifi in room Breakfast is great Compared to its price this hotel is really worth the money 
484642,Best Western Atlantic Hotel,No Negative, Location was perfect for us as we drove in and it was near the car rental drop off and we trained out and it was close to the train station Wide selection for breakfast 
484643,Best Western Atlantic Hotel, It is an older hotel But well maintained overall , Friendly staff great location to the train station as we were traveling from Nice France Breakfast was EXCEPTIONAL for an included amenity Hotel s bellman was especially nice as well as the front desk Room was clean and comfy A great deal for the price paid and convenience Ate at Limone just a few blocks away and it was quite good too 
484644,Best Western Atlantic Hotel, No complimentary bottles of water in room The wall between guestrooms quite thin as you can here the voice comes from the room next to you , Good location just close to public transportation like trains and metro The room equipped with everything you may need Breakfast is good with many choices Staffs are helpful 
484645,Best Western Atlantic Hotel, Morning front desk women wasn t to friendly It was like we were bothering her with our questions , Clean room night front desk and bar tender really nice Computer use for printing boarding pass Close to train station 
484646,Best Western Atlantic Hotel, I feel that the breakfast room could use some improvement as it was too small but the food was good Fitness room was very poor and could be improved lots , Location is great staff were very helpful and professional I booked the junior suite so my room was super comfortable and had a jacuzzi in it Room service was good and breakfast was good 
484647,Best Western Atlantic Hotel, It would be great if the single bed for the 3rd person is not a sofa bed The shower area floor is slippery when wet so it might be dangerous to children and elderly , The buffet breakfast selection was great and the staff was very friendly and helpful The location of the hotel is superb as it is very near to the main central station and metro The lobby is cosy with nice sofa computer and coffee machine 
484648,Best Western Atlantic Hotel, The fact the room was to warm and the air conditioning was not on to early in the season , The breakfast had a good selection and the hot chocolate was amazing
484649,Best Western Atlantic Hotel, The room was small so as a room But is was ok, Everything was amazing nice staff We ve got bottle of champagne because of honey moon 2 minutes walk from central railway station 1 minute walk from metro Very recomended
484650,Best Western Atlantic Hotel, Everything was great more than what was expected , Beds were comfortable and the room was spotless no dusty linens Good complimentary coffee and tea throughout the day Great breakfast spread Very helpful staff 
484651,Best Western Atlantic Hotel, The rooms were too small I could only open 1 luggage bag at a time when there were 2 of us travelling together The pillows were thin as well , the location was fantastic Just a few minutes walk away from the Metro station as well as the Main Train Terminal The nearest metro station is just 4 short stops away from Duomo Milan 
484652,Best Western Atlantic Hotel, the hotel is ok nothing special great location if you need to go in and out Milan for work and you need to be close to the central station but it s not a great value for money Breakfast could improve also wifi not really stable, Location
484653,Best Western Atlantic Hotel, The air con didn t seem to work properly and our room was very stuffy We had to sleep with the window open which meant it was very noisy , Close to central train station and metro Plenty of great restaurants nearby The shower in the room
484654,Best Western Atlantic Hotel, Staff reiterated policies than solving the problem or addressing the concern I am a best western card holder but i was told that because i booked thru booking com they wont consider this booking for loyalty program The wifi connection in the room was erratic The water boiler was full of calc and not cleaned for 3 days of my stay There were papers cups in the toom instead of ceramic cups no so env friendly Despite the loyalty to best western brand i was charged 1 night fee as penslty for preponing my checkout for valid business reasons Anytime i wud recommend the next door hotel Berna to this hotel Theire customer centricity is amazing , Location
484655,Best Western Atlantic Hotel, Stuff tooo rude Breakfast is not good compare other hotels near by And every day same Is v costly for nothing Gym is jock Photos is not true at all The rooms is v small Not more than 3 stars, Location
484656,Best Western Atlantic Hotel, The staff should be more friendly I think they don t smile at all , The room was good and big enough for us 2persons and the location was perfect many restaurants around and just some steps away from the metro station and few meters more from the main train station which was a bit scary of some people around
484657,Best Western Atlantic Hotel, The hotel is a bit tired and the breakfast is very basic No acknowledgement by staff when entering breakfast area how would they know if its included breakfast , Its very close to the main train station Only 5 7 mins walk
484658,Best Western Atlantic Hotel, The room is so tiny that you can t even move or open your luggage It s way too hot in the room and there is no way to regulate the temperature No lightning at all in the room I had to use the flashlight of my phone to read a book Not very clean Way too expensive for what you get , Breakfast was good Close to central station 
