,Hotel_Name,Negative_Review,Positive_Review
121613,Best Western Nouvel Orl ans Montparnasse, Reception at arrival was very poor disappointing Lift very small even to lift a stroller No staff to help in luggage specially we had a 10 months baby , Metro station very close 
121614,Best Western Nouvel Orl ans Montparnasse, A clean towel was stained would have asked for a replacement had we stayed longer , Lovely large comfy bed Clean room apart from dodgy towel Out of town so easy to get to with car but with excellent shops restaurants bars close at hand Metro station a few steps away to get you into the hub The Car Parking felt safe and was very good once we worked it out It was great as an overnight stop but would seriously consider staying longer Good value for Paris
121615,Best Western Nouvel Orl ans Montparnasse,No Negative, I want to highlight the support received by the Front Desk responsible Alexandre and the BEST Babysitter EVER Charlotte We planned to be in Paris for the Coldplay show We originally were my wife my 12yo daugther and myself In the last minute we had to change a little bit our plans and bring to Paris also our 3yo boy I asked for a Babysitter service to take care of our boy during the afternoon of the show not an easy thing considering that he is always sticked around his mother and he only manage to speak his very particular Spanish Alexandre made the arrangements to have the Fabulous Charlotte in charge and the result was OUTSTANDING A very BIG THANKS Charlotte and Alexandre Without your assistance our plan to attend to this fantastic show in Paris wouldn t be possible I STRONGLY RECOMMEND THIS HOTEL FOR FAMILIES On a logistic aspect the metro station Mouton Duvernet is just crossing the street and you can get any place in the city from there 
121616,Best Western Nouvel Orl ans Montparnasse, Don t really like the toilet separate from the shower and wash basin but I suppose it is worth it for the extra space in the room Also the hotel insists on the keycard being handed to reception every time you leave which seems a bit old fashioned , Unexpectedly good sized room for the centre of Paris USB charger in the wall socket Fast free wifi 
121617,Best Western Nouvel Orl ans Montparnasse, Parking was in plaza close buy and no lift there Rooms were exceptionally small Toilet and shower were seperate in small room and were very small area in room AC cooling was not good and staff could not do much about it All A C split unit needed was cleaning of filter and gas reload , Next to underground metro 
121618,Best Western Nouvel Orl ans Montparnasse, The single room is not spacial especially the bathroom design and facility are incredible e g the sink is too small to be used , I have to say the hotel is not that recommendable except its good location 
121619,Best Western Nouvel Orl ans Montparnasse, Small room for four people the bed were a sofa bad and wasnt very good not enough place to put our luggage , The hotel is in front of a Subway station and it had a lot of good places to eat close to the hotel The staff was very polite and helpfull we had trouble with our flight been canceled and the recepcionist called the Airline Company trying to help us Even though the room was very small for four people it was very comfortable It had a coffee machine and a minibar inside the room great shower and clean bathroom 
121620,Best Western Nouvel Orl ans Montparnasse,No Negative, The location is great Metro access outside the hotel The lift is a bit crowded old but it s cool Overall we had a great time at the place 
121621,Best Western Nouvel Orl ans Montparnasse, The color scheme in the rooms is bold and may not be to everyones taste Rooms are a bit on the small side The single elevator is VERY small and very slow The pillows are not that comfortable a feather pillow option wold be nice , Extremely convenient location close to RER B direct to CDG Airport as well as OrlyBus to Orly at Denfert Rochereau 500metres away Easy access to the Metro and buses to take you to wherever you would like to go in Paris Eg bus 68 which stops in front of the hotel passes St Germain de Pres Musee d Orsay the Louvre the Opera and Galeries Lafayette Printemps department stores along its route Traffic along the street is relatively heavy but I have not been bothered on my 2 stays I ve stayed on the 3rd and 6th floor and with A C you do not need to keep the windows open Staff are helpful enough without being overwhelmingly so Breakfast is decent value but if you have the time to stroll around there are better options in the neighbourhood Rooms are well equipped and clean The beds are great Very good bathrooms if judging by Paris standard Very good selection of restaurants along Rue Daguerre which is a block and a half away Also L Ordonnance restaurant deserves a special mention also about 1 2 blocks away but in the opposite direction from Rue Daguerre 
121622,Best Western Nouvel Orl ans Montparnasse, Poor view from window an alley Carpets were dark and apparently a little dirty impossible to know for sure Room was a bit small for the price , Staff was very friendly and helpful Breakfast was fresh tasty and ample Very near Metro and other transportation Good access to food markets Locale is generally safe and welcoming 
121623,Best Western Nouvel Orl ans Montparnasse, The elevator I do realize it was an older hotel and space is tight and expensive in Paris I m grateful it was there but it was frustrating not being able to get the elevator quickly some of the time I think I was there 9 days so quite a long time , I did not take the breakfast so cannot evaluate that For the costs in Paris I think it was a very good deal I ve been in small elevators in Europe but this takes the prize I was one person and had a 21 inch suitcase and a carry on and I could not have fit another paperclip in the elevator And there is only ONE Several times in the morning I was on 6th floor which I believe was the highest I would walk down because it took too long to try to get elevator I figured out that the day I left I needed to allow plenty of extra time in case the elevator was booked by someone else I HAD to have the elevator then Once I came home in the evening I was reluctant to go out again because of how difficult the elevator situation was I know I ve dwelt a lot on this But overall I know how expensive hotel rooms are and for the most part this was a good experience The room was very tight in the way furniture was arranged and it was not easy to figure out how to use my laptop on the small desk The staff was very good and I m appreciative of their assistance since I did travel solo Hotel is RIGHT across the street from Metro I do wish I had figured out however how convenient the bus stop was It didn t involve all those stairs that the Metro did you could see things on the surface of the streets But that was my fault Great location clean reasonably priced for high cost Paris and appeared safe I did like the heated towel rack It was handy for rinsing out some clothing items and they dried quickly I did appreciate the mini bar so I could store water or soda bottles and fruit or yogurt I liked the safe
121624,Best Western Nouvel Orl ans Montparnasse, Double bed is in fact two single beds tightened together which may be a problem for a young couple This problem is common for small European hotels though Small bathroom not too small but still , Beautiful and cozy rooms Very friendly staff
121625,Best Western Nouvel Orl ans Montparnasse, Rooms are very small Car can be parked on the street but you have to pay between 8 am and 8 pm Problem the maximum length of a parking ticket for non residents is 2 hrs Better come without car , Refrigerator in the room Bed was really big and comfortable Windows are soundproof room was silent although it was on the road side Subway station just 20 meters from hotel entrance 
121626,Best Western Nouvel Orl ans Montparnasse, The wifi did NOT work properly most of the time probably too little bandwidth for all the customers Breakfast was basic and definitely NOT worth 13 Euros , There is a metro station of line 4 directly in front of the hotel this takes you into the heart of Paris within 15 minutes 
121627,Best Western Nouvel Orl ans Montparnasse,No Negative, It s an Amazing Hotel Had to book urgently there and we ended up staying the whole duration of the trip Amazing Hotel Nice People Excellent Location 
121628,Best Western Nouvel Orl ans Montparnasse, The hotel itself was dirty The carpets had dark stains all over and the cleaning staff throws things into the narrow hallways as did the construction workers leaving us tripping over vacuums and dirty laundry It s also rather dimly lit in the hallways , The place had nice decor and the desk mate Aleksander was very accommodating 
121629,Best Western Nouvel Orl ans Montparnasse, noise noise and noise once again We got a quiet room facing some dumpster better than facing the street and I mean it but extremely thin walls made us hear everything I mean absolutely everything couple upstairs having romantic moments or using toilet neighbours moving their luggage neighbours talking to each other people walking on corridors Also there was some shouting in the middle of the night included in the package deal that woke us up 2 nights out of 3 people were shouting from floor below us and we could hear them very well very poor facilities no bar no really waiting area no nothing staff they were not bad they just did not care We had the fastest check in out in the world and I do not mean it in a positive way We got zero information about hotel facilities if there are any breakfast etc we just got a room key and wifi password Another thing is how the receptionist lady checked if our room is ready she basically started yelling like crazy to somebody upstairs and after several shouts she got confirmation that the room is ready yay our room was cleaned although we left card saying we do not wish it to be cleaned, As I do not want to leave this part of my review blank for the first time since I joined booking com let me say that the receptionist gentleman was ok as he at least smiled
121630,Best Western Nouvel Orl ans Montparnasse, Some noise from other rooms not sure if soundproofing is 100 but didn t ruin trip , Great location comfortable beds and rooms nice bathrooms and easy to get to shops restaurants and attractions 
121631,Best Western Nouvel Orl ans Montparnasse, I was in my room when the cleaning lady wanted to come in She opened the door and wanted to enter and was not happy because i didn t let her i was just out from my shower , Perfect location Good breakfast Staff at the reception desk very friendly and helpful 
121632,Best Western Nouvel Orl ans Montparnasse, Like a lot of European hotels a 4 star is really more like a North American 3 star The lobby is tiny There s not really comfortable common area , Very friendly staff clean room quiet right across from subway station not as touristy as right bank
121633,Best Western Nouvel Orl ans Montparnasse, the layout of the room was a bit funny as there were 2 rooms but the desk almost touched the bed so the use of space was a bit strange, breakfast was good and was good value for the express one
121634,Best Western Nouvel Orl ans Montparnasse, Room is very very very small There is no place to left luggages If you put the luggages you cannot walk in the room When you open the door the door touch the bedstand Elevator Old and small Also you need the call elevator five minutes before getting out the room , Location In front of metro station and very close to OrlyBus Station Denfert Rochereau We could leave our luggages after check out Umbrella Coffee and tea in the room Airconditioner
121635,Best Western Nouvel Orl ans Montparnasse, The lift is the scariest thing on earth This definitely needs replacing or upgrading to somewhere else in the hotel I don t understand how they haven t changed it or had complaints about it before , The room is great I wish we had breakfast thrown in for the price Location isn t too bad 
121636,Best Western Nouvel Orl ans Montparnasse, the desk was too close to the bed and not very big which made it almost impossible to sit at the tv would not turn off from BBC which was fine we reported it to the receptionist when we went out and it was still on when we came back after 2 hours, good location and staff room had 2 sections as it was a triple with a tv in each and toilet in one and shower in the other two nice balconies with the one at the front overlooking the main road
121637,Best Western Nouvel Orl ans Montparnasse, Very thin walls if you re keen to have a really quiet place this is not your case you ll be hearing every neighbour s activity around your room This is the only disadvantage, Very close to metro station line 4 that goes to Notre Dame and to Les Halles few minutes to RER to CDG airport Nice breakfast nice rooms 
121638,Best Western Nouvel Orl ans Montparnasse, the hotel was too expensive for what it offered inconvenient elevator very small and slow if you have luggage this is ok for a cheap hotel but not for 340 E per night breakfast in the basement also without any daylight this is too expensive very dark room hard to work there for business because you need the lamps and the light of those was not bright and rather dark loud traffic even if the windows were closed you could hear the cars and the street was very much frequented with cars,No Positive
121639,Best Western Nouvel Orl ans Montparnasse,No Negative, The hotel is comfortable and clean the staff is friendly and nice There are a lot of restaurants and shops around but not noisy Will be back if we come to Paris again 
121640,Best Western Nouvel Orl ans Montparnasse, The elevator is quite small and old and we usually had to wait quite a while to get on it From reception to the room it looks quite old and dark inside but auto on lights on the halls light your way , The room and bathroom were very clean and very comfortable The room supplies were very nice The location of the hotel was OK and over the main street 
121641,Best Western Nouvel Orl ans Montparnasse, Not sure why this is classified as a 4 star The lobby and hallways look like a 2 star The Junior suite washroom were very small but still modern I bit tight for your suitcases and to walk around your bed , The rooms were clean and the internet was very good 
121642,Best Western Nouvel Orl ans Montparnasse, Bathroom floor is really cild in the winter, Nice location cool design in the rooms friendly staff shops and restaurants close metro 15 metres away 
