,Hotel_Name,Negative_Review,Positive_Review
319202,Best Western PLUS Epping Forest, Bed seemed small for a double Room a bit gloomy due to foliage outside Noisy at night not a good nights sleep , Easy check in Friendly staff Reasonably priced food and drink Good choice of breakfast Good location easy to get into Central London 
319203,Best Western PLUS Epping Forest, I found the hotel to be understaffed and the staff who were though where very young and in experianced every time i went to work and came back my door cartd never worked on thre occasions I went down to the bar for a refreshing beer but on the first occassion my lager was flat but I never aid anythin the second time I gave up waiting to be served and in the third occasion they had run out of Lager and bitter and it was still only around 8 30 at nite , the location as I was working just 4 miles away
319204,Best Western PLUS Epping Forest, The staff took less than 20 minutes to make the bed clean the bathroom and clean the bedroom Impossible The bed had a mattress protector which did not fit correctly therefore it was crinkled underneath the bottom sheet and could not be straightened so uncomfortable all night The lighting was terrible you could not see either in the bedroom or the bathroom so no chance to apply make up correctly We always book with booking com both in England and Spain and this is the first time we have been very disappointed and felt we had to lodge our complaint,No Positive
319205,Best Western PLUS Epping Forest, Restaurant wait of 45mins for a bowl of pasta Check in staff felt very rushed and dis interested poor room location near corridor doors Breakfast basic Overall not worth the money ,No Positive
319206,Best Western PLUS Epping Forest, Mattress was not comfortable I d also left on booking notes that I was allergic to down On arrival pillows were down replacements took over an hour to source , Great location close to N Circular ample parking and friendly staff Will stay again 
319207,Best Western PLUS Epping Forest, The checking and checkout counter staffs If you meet a bad one is may be ioslated case but if meet terrible staffs than can safely say is the culture of the hotel to treat customers badly My first bad encounter after years of using booking com During checkin the staff can t find any card key to generate my room key so we waited for him to hunt inside outside for spare plastic card finally another female staff took out from counter drawer a big bag of card keys The checkout counter staff attitude is soooooo bad I don t want to mention as I m still on holiday Not worth wasting time to remember bad thing, Nothing
319208,Best Western PLUS Epping Forest, Facilities in the room were not good There is no main light in the room just 2 bedside lamps and a desk lamp and a forest next to the window so there is no natural light at all very dark gloomy room and a small light above the door that offers little light to the room The shower dribbles out and the shower head cannot be moved from the bottom so would be great if you were 3 ft tall I am 5 5 and had to hold the shower head the whole time I was showering not very convenient at all It can also be perfect temperature one second then freezing scalding hot the next No shower guard so water just went on the floor tiles and was quite dangerous I slipped The bed was a very small double possibly even a 3 4 double and be prepared to feel springs in your mattress The room was very run down and not what I expected from a Best Western The location is not necesarily the hotels fault but being in zone 4 will cost you on the underground especially when you will have to get a taxi drive to the nearest station or walk for 40 mins wouldn t recommend if you re planning on using the tube public transport to get around Felt like it 100 wasn t worth what we paid , The staff were extremely helpful arrived too early for check in but helped us to leave our bags somewhere safe until we could Booked several taxis for us and were always polite 
319209,Best Western PLUS Epping Forest, I opted for late check out when I checked in the night before but for some reason this information had not been passed onto the morning team who constantly kept knocking on my door asking me to leave without knowing I had already paid for a latter check out they kept constantly reminding me of the time that I needed to check out with the late check out even though I knew this information already and after a while it got a bit annoying The rooms were far from clean and I would not recommend this place to anyone But good service from the late staff though you re probably better off at a travel lodge , Checked in quite late but the late staff were extremely polite and helpful I couldn t have asked for any more Excellent service 
319210,Best Western PLUS Epping Forest, POINT 1 Laundry service was very disappointing along with the nightshift reception staff who did not take care to ensure the laundry was dispatched properly I dropped of my laundry at 05 15am on Sat 08 July at reception I went back on the evening of Tues 11 July 4 days to question why my laundry had not been returned The laundry bag was found on the floor in the reception back office having not been sent out for cleaning I then re submitted my laundry at 05 20am on Wed 12 July The laundry was received on evening of Thur 13 July 48 hours but only through asking at the reception The service directory stated that laundry put into reception before 08 00am would be returned the same day This was a very disappointing service with respect to laundry which caused me some issues because of basically not getting my laundry back for 6 days POINT 2 The deep cleaning of the hotel was poor The condition staining and general appearance of the carpets on the stairs corridors and other public areas was very unclean and obviously not vacuum washed for a long time , The Restaurant Bar staff were very pleasant and helpful The food menu was reasonable and I would say the quality of food served was very good 
319211,Best Western PLUS Epping Forest, It was very noisy so I kept getting woken out of my sleep I kept hearing phones ring banging and people talking loudly Although the bed was comfortable it was quite small The car parking spaces were small The entrance to the hotel isn t very clear , The bed was very comfortable and there was air conditioning in the room which was great 
