,Hotel_Name,Negative_Review,Positive_Review
452658,Best Western Plus Hotel Blue Square, There was no fridge in the room however it s not problematic , The room was spacious with three comfortable huge beds The bathroom was very clean with multiple cosmetics included The tea cups and kettle provided in the room Location very close to the direct train to the city centre only 15 minutes very convinient Close to the two big stores with food and some restaurants 
452659,Best Western Plus Hotel Blue Square, Wasn t happy with location booking com stated 2 7 miles from centre when it was actually about 5 Although very near to tram bus stop direct into city centre we would of liked to have been closer Nothing in the area for tourists and a non alcohol area and hotel too which we did not realise The night bus from 1 5am was unreliable and difficult to use so we had to make sure we were back before 1am or pay 30 for a taxi Again we did not like this A shame because the hotel itself was good , Breakfast was excellent Air conditioning was brilliant and quiet Daily cleaning and towel replacements 
452660,Best Western Plus Hotel Blue Square, The hotel is far away from the city centre taking long time to reach the main attractions Communication between rooms not working After a fire alarm at 3 30 AM there was NO announcement that there was a false alarm in fact there was NO announcement at all which raises concerns about safety ,No Positive
452661,Best Western Plus Hotel Blue Square, The staff was amazing almost all the time There was one girl who was very unhelpful along with the guy running the restaurant They sent me back and forth between the two of them when I was just wanting to look at a menu In the end they pretty much just brushed me off and we re actually very rude about it Also the internet was terrible It constantly would drop and we would have to keep re logging in The room was very clean but the shower did not drain properly it was kind of gross honestly ,No Positive
452662,Best Western Plus Hotel Blue Square,No Negative, The room was quiet and well equipped with comfy beds The staff were very helpful and friendly giving excellent advice as we had never been to Amsterdam before Easy trams to the centre and a good supermarket with the tastiest fresh sugar doughnuts nearby 
452663,Best Western Plus Hotel Blue Square, Hotel in need of redecoration renovation very dated and worn Staff could be more friendly Room was generally clean but bath rail where towels were kept was very rusty lamp shades ripped curtain wouldn t close properly so too much daylight in the morning bedside lights didn t work woke up every morning with the upstairs toilet being flushed and showers being taken bad plumbing On our last morning room service knocked at 9 30 to see if we where still there I was having a lovely sleep until then For what we paid VERY overpriced and DEFINATELY NOT 4 star ,No Positive
452664,Best Western Plus Hotel Blue Square, My only slight dissatisfaction was the breakfast It was not expensive but it wasn t great either Perhaps it had been there for a while since we did not eat early but some of it didn t taste fresh at all , The room was great with a lovely view of the canal opposite It had all the things you would expect a hotel to provide shampoo conditioner soap and more I don t often find a hotel that provides you with a toothbrush and toothpaste Surprisingly the coffee in the room was great as well The staff were great and very helpful 
452665,Best Western Plus Hotel Blue Square,No Negative, hotel is excellent and staff are good and easy access about 15 mins from central amsterdam from tramp good will recommend our friends and officials for future 
452666,Best Western Plus Hotel Blue Square, The bathroom stank and the beds were not comfortable The rooms were all untidy and very old fashioned it s not worth 4 starts it should be a 0 star hotel Will never come back here , Nothing Worst hotel we ve been to 
452667,Best Western Plus Hotel Blue Square, Asked for smoking room to be told is none also couldn t upgrade after asking for one even though no one else in hotel had upgraded , Tram stop not far away I
