,Hotel_Name,Negative_Review,Positive_Review
374213,Best Western Premier Hotel Dante, Everything was great , The hotel was very clean and the staff went out their way to help Breakfast was excellent and I would use again and recommend this hotel Thank you
374214,Best Western Premier Hotel Dante, Hard beds Hard pillows which is unusual for best western premier except las vegas Drilling and hammering in flat next door for 3 days starting at 9am, Cleanliness Air con perfect Location ok Supermarket closeby
374215,Best Western Premier Hotel Dante, Building View from the window a patio covered with no fresh air Very claustrophobic Dark corridors and room Had to have lights on at any time, No croissant at all Por breakfast assortment
374216,Best Western Premier Hotel Dante,No Negative, We liked the quieter location It s not smack in the centre of the busy sections but walking distance The breakfast was amazing and staff all helpful Rooms were quite clean and spacious There were lots of places to eat within a short walk and the subway train station was not far 
374217,Best Western Premier Hotel Dante, Internet connection has been completely not sufficient to provide the possibility to work out the daily businness job A nice hotel with a good staff but for two days I have been cut off from my mail contacts An Hotel absolutely to avoid for bussinness journeys ,No Positive
374218,Best Western Premier Hotel Dante,No Negative, Hotel location was great for walking about Staff are fabulous friendly so helpful Room was designed for 3 people so was very roomy for the 2 of us Good Value I would recommend it to friends 
374219,Best Western Premier Hotel Dante, Nothing , Very convenient location within walking distance of many interesting sights Excellent breakfasts and very good dining in the lobby bar Very good service from all staff 
374220,Best Western Premier Hotel Dante, Nothing, The property was centrally located near all the major sites and restaurants The staff was extremely helpful spoke excellent English and knowledgeable We enjoyed staying there 
374221,Best Western Premier Hotel Dante, there wasn t anything we didn t like, the hotel was lovely the staff very helpful the only problem was there is no station as advertised so it was difficult to locate it we found by chance
374222,Best Western Premier Hotel Dante, Nothing, Friendly and helpful staff throughout the hotel spotless clean great breakfast that seemed endless good size rooms with comfy beds in a great location not too far away from The Ramblas but quiet enough to be just away from the busy streets Some great restaurants and bars really close by Lovely walk into the centre of town too Highly recommend 
374223,Best Western Premier Hotel Dante, The room is so noisy at the exit of lifts The value for money is not logical only Bed in small box with wifi for price of 5 stars hotel , Clean room
374224,Best Western Premier Hotel Dante, We didn t feel like we had good directions to the hotel , The room was comfortable The staff was friendly and helpful The front desk staff was very helpful with directions and recommending and booking tours 
