,Hotel_Name,Negative_Review,Positive_Review
61456,Best Western S vres Montparnasse, Small lift, Beautiful room although small had everything we needed and very comfortable The man at reception could not help us enough he made our stay perfect if only we could have stayed longer Thank you 
61457,Best Western S vres Montparnasse,No Negative, Excellent metro acccessible location Clean comfortable great value for price The staff was super friendly and the breakfast was excellent highly recommend 
61458,Best Western S vres Montparnasse, We reserve for 4 twin beds What we got were 2 twin beds and 2 cots with barely enough space to move around , The breakfast is good for the price they charge The croissant is tasty 
61459,Best Western S vres Montparnasse,No Negative, Hotel is a reasonable small 3 star hotel Standard rooms do have a japanese size but are clean and ok Second pillow is available Breakfast is fully OK incl bacon and eggs Not far from Metro station Japanese restaurant next to the hotel was brilliant with great food and a nice price The bar LE 150 in opposit to the hotel offers a cheap beer for only 3 50 where you have to pay 7 to 8 in the hot spots Not to much to see around However we started our walks directly from the hotel 
61460,Best Western S vres Montparnasse, Dark dingy rooms corridors breakfast smells spreading upstairs to 2nd floor Dining room disgusting breakfast prepared in side kitchen in full view of diners kitchen manned by 1 person kitchen units looked broken and not cleaned for years room safe broken a very low budget hotel that is totally different to the website description and not cheap either , Nothing
61461,Best Western S vres Montparnasse, The rooms are very small and the a c doesn t work so well in the rooms Other than that we were happy with the hotel , The hotel was clean and the rooms have been updated The staff were extremely friendly and helpful The metro station is very close which made access to the attractions so easy Would definitely stay here again 
61462,Best Western S vres Montparnasse, everything i like the place small but nice the breakfast even i m asian but i enjoyed very much, very nice when i was there everything was very comfortable for me
61463,Best Western S vres Montparnasse, The guy at the reception didn t even care to stand up from his chair to welcome us just handed us the key The reception itself is the simplest desk I ve seen in a Best Western hotel , Very close to Montparnasse train station few steps away from many restaurants especially many with Asian food Rooms are quite spacious for Paris standards and continental breakfast is of very good quality We liked the bathtub and the speaker on the bathroom that allowed you to listen the TV We were lucky to have a view to Les Invalides and a glimpse of the Eiffel tower 
61464,Best Western S vres Montparnasse, WIFI had to be reconnected each time you wanted to use the web seems unnecessary much better to have the log in remain in place for the duration of your stay , Good location away from the hustle bustle 
61465,Best Western S vres Montparnasse, That the breakfast wasn t included Otherwise I will give it a 10 , Well located accommodation close to the metro lines and walking distance to Jardin du Luxemburg Good restaurants nearby Quiet street Excellent costumer service 
61466,Best Western S vres Montparnasse, The size of room and corridors, The hotel is clean and well equiped The rooms are small like probably in many hotels in Paris but when we moved a bed to a wall it was much more space for 2 people living there The personel was very nice and helpful Tasty breakfast with a decent choice of products meals Hotel in a close distance to Montparnasse station and even closer to another metro station Close to a few restaurants and shops 
61467,Best Western S vres Montparnasse, The pending operation in my credit card Not a pre authorization but a non confirmed operation that leaves an open possibility for future charge and double count , Beds are comfortable
61468,Best Western S vres Montparnasse, The bed was not comfortable The hotel is located above the metro lines so you can feel the building trembling when trains are circulating I was finally attributed the room at the ground floor with the view on the street the same one I was offered when arriving early in the morning could not check in before 3 00 p m which I said I din t wan t because of the noise the room is at the entry of the hotel and surrounded by lavatories with windows on the street The breakfast is correct except the fried eggs which are awful , The staff is nice Well located next to Orly shuttle station It s a correct hotel for a quick one night stay or for really tiny budgets 
61469,Best Western S vres Montparnasse, Breakfast space quite small Only 4 5 tables , Very quick and efficient checkin and checkout Small room but with all possible facilities Very comfortable bed Quiet and good WiFi 
61470,Best Western S vres Montparnasse, The hotel is really small breakfast is average the rooms are very small, Everything is average receptionanist is very helpful they are really nice
61471,Best Western S vres Montparnasse, The design of the room meant it felt very cramped The shower also had a corner cut out of it which made it feel extra small Free tea coffee should have been provided, The location was excellent as we had to take the TGV from Gare Montparnasse the next day There are a lot of shops and restaurants in the area The room was fairly newly and attractively renovated was comfortable and had good wifi The hot water jug and mugs were great An easy and pleasant walk to Jardin du Luxembourg and the Montparnasse Cemetery both well worth a visit 
61472,Best Western S vres Montparnasse, The only thing I can complain it s about the distance between the hotel and Montparnasse station , The bed is very comfortable everything it s very clean and the bathroom was above of my expectations The guy works at front desk it was very nice and helpful 
61473,Best Western S vres Montparnasse, The shower screen inadequate causing mild flooding of bathroom floor , Easy to find good location central and close to public transport Not overly commercialised tourist district yet handily placed for all attractions and amenities 
