,Hotel_Name,Negative_Review,Positive_Review
140872,Blakemore Hyde Park, We were upgrade to a junior suite Not sure how small the bathroom is in a standard double room but I would have traded in the sofa for a larger bathroom , Staff were lovely location was good and food in the restaurant was excellent The breakfast service was extremely well organised 
140873,Blakemore Hyde Park, a little far out but then again it was very quiet and in a good area, great value for money very helpful friendly staff very clean comfortable rooms will definetly stay again and recommend to friends and family
140874,Blakemore Hyde Park, Breakfast is rather 2stars hotel The lady manager at the breakfast room was very loudy OK we are not deaf making clear the difference between continental and english breakfast Actually both are poor quality , Location
140875,Blakemore Hyde Park, Breakfast is little choice n small place Not easy to find seat during peak time Bed is too soft , Location is silent n quiet but only 10 min walk from underground Lot of shops on Main Street so easy to buy regular things
140876,Blakemore Hyde Park, the lift broke down in which my son got stuck in there for 15 minutes on the Monday evening around 9pm , enjoyed my stay would recommend to my family and friends 
140877,Blakemore Hyde Park, No Sky TV we had planned to watch the Lions match which started at 8 30 a m but were told this was not available and we went to a pub down the road , On arrival we upgraded to a Suite which was a nice touch Staff very helpful and pleasant 
140878,Blakemore Hyde Park, Our first room had a shower unit and the second a bath which I much preferred Will have to remember to specify this on future bookings , I was very impressed with the cleanliness of the hotel and when we had a problem with the sprinkler in our room we were moved without delay 
140879,Blakemore Hyde Park, Elevator too slow Addition of 2nd elevator would be ideal, The croissants were a great reason to wake up to Washroom very sleek Inviting ambience
140880,Blakemore Hyde Park,No Negative, me and the wife went to see Green Day We checked into the hotel about 11 o clock 10 30 And they graded a room So I can only recommend the place absolutely top drawer 
140881,Blakemore Hyde Park, One drawback of this hotel although not for us is that there is only one elevator serving all the guests We were on the first floor so weren t really bothered by this I suppose being a refurbished building it might have been a problem to put in another elevator , We were very satisfied with the Blakemore Hotel Our room an executive room was spacious and very comfortable The air conditioning was very welcome as it was rather hot in London when we were there The staff were very friendly and kind Breakfast was quite good although I didn t understand why they charged 5 50GB extra for the full breakfast The room was already pretty pricy so even if they slapped this price onto the room price we might not have felt it and had a much better feeling The location for us was really good as we wanted to be near a tube line Bayswater Station on the District Line which goes straight to Wimbledon Connections to other parts of the city were also convenient Queensway tube station 5 10 min from Hotel only 3 stops to Oxford street
140882,Blakemore Hyde Park, Breakfast wasn t the best i have had and a really silly system of when you have booked on line it is only continental breakfast you are entitled to but can pay extra for full buffet breakfast The staff are very keen to point out what you are not allowed to have if you are only continental I felt that they were watching us to make sure we didn t help ourselves to a sausage Twin room wasn t particularly big but it was ok for the 2 nights we were there , great location of Hyde Park 2 tube stations in walking distance
140883,Blakemore Hyde Park, The was the noisiest hotel I have ever stayed in The walls are paper thin You could here everything in the rooms next door opposite and above Could even here others going to the bathroom and on one night another couple across the hall Getting to and from hotel with traffic was a nightmare On 2 occasions the taxi driver refused to take us to the hotel due to congestion , Looked good in the pictures 
140884,Blakemore Hyde Park, Very rude female staff member who checked us in condescending staff ill working air conditioner in room made sleeping very uncomfortable bright light coming in through sides of water stained window shade at 5 15 in morning Room needs room darkening shade staff opened our windows while we were out and came back to room with heavy rain blowing into the room all over my sisters luggage and my make up , Location Good Free continental breakfast wonderful toiletries pretty lobby
140885,Blakemore Hyde Park,No Negative, Staff went out of way to meet our needs We were caught in a broken elevator and they communicated closely with us through the process Taxis were called on time Directions to sites provided AC a definite plus Bath tub as requested 
140886,Blakemore Hyde Park,No Negative, The staff were quite helpful We had to check out early and the front desk staff organized a taxi the night before as well as an early breakfast We were upgraded to a suite an unexpected treat Would stay here again 
140887,Blakemore Hyde Park, Room standard is fine Our room was oriented towards the street and was a bit noisy Nothing big but worth mentioning for those who are looking for quietness Both breakfast are disposed on the same table Nothing during the booking process mentioned that two different breakfast were possible to choose It feels really awkward to mix both breakfast and have hotel staff forbid customers to touch the dishes you are not entitled to like talking to children Breakfast was a general disappointment A nordic Scandic a 60 pounds night hotel has by far a better breakfast , Room of standard quality For Scandinavians the hotel is to compare with a Scandic when it comes to room standards 
140888,Blakemore Hyde Park, There was nothing to note in relation to a dislike , The facilities were clean and comfortable The staff were very pleasant and helpful Public transport was close by and also a laundromat The food at the hotel was of good quality and reasonably priced 
140889,Blakemore Hyde Park, Nothing really, The room was well sized and spotless If you re looking for high end this is not your place but if your looking for good value with friendly staff clean and large rooms this is your place it s a bit off the path for central London but within easy distance to South ken Sloan square Hyde park 
140890,Blakemore Hyde Park, Firstable the guy who receive us was way so rude and literally treat me as a hooker and I have no idea why But him was rude until try he last minute the we have been on the reception So bad impression The breakfast was nothing special and the woman who receive us on the breakfast area is quite rude in a way to say that you may pay for extra money for the whole breakfast and she asked me to get the money immediately just because my bill was already paid what makes me feel so uncomfortable early morning , T
140891,Blakemore Hyde Park, I would have thought for the price a complimentary bottle of water in the bedroom and a full English breakfast wasn t too much to expect and the breakfast area itself was rather cramped , Location was fantastic for Hyde Park summertime concert
140892,Blakemore Hyde Park, AC was not working in the room at mid night it seems that they close the ACs called reciption no one could help as it was late night I have also asked them to change the room they said we are fully booked and we cant do anything I called booking com and informed them the issue they directly called the hotel and sorted the issue out to find me a better room they also offered me other hotels nearby , Location and cleanliness
140893,Blakemore Hyde Park, Despite beautiful bathroom no toilet roll holder and had to ask housekeeping for a toilet roll Room 118 think it has been totally missed when refurbished as no signs of ever being one Hence why housekeeping could miss it , Clean modern facilities Good breakfast selection and very warm welcome by Nicolleta 
140894,Blakemore Hyde Park,No Negative, Great front desk team Helped to arrange for baggage storage Later adjusted rooms to have them nearly adjacent and offered to reconfigure them from twins to double if needed Even found a missing item we had left behind 
140895,Blakemore Hyde Park, The price But it is London it was quite a walk from British Summer Time in Hyde Park The event of which we came to London for The air conditioning did not work in the room, Overall smart comfy modern and clean room I would recommend Very attentive welcoming friendly staff 
140896,Blakemore Hyde Park, Dropped bags off at lunchtime and checked in late after an event in Hyde park When we went to our room the lighting did not work no reply from reception so had to go back down and wait Trip switch reset and all ok , Enjoyed relaxed lunch in hotel restaurant 
140897,Blakemore Hyde Park, Water Power of the shower was a bit weak Busy at breakfast so had to wait a bit , Location room was good as upgraded Clean bar good Value for money 
140898,Blakemore Hyde Park, The breakfast wasn t as good as others during our holiday , The most comfortable beds of our trip Lovely fluffy towels We received a free upgrade Perfect quiet room for the last night of our holiday 
