,Hotel_Name,Negative_Review,Positive_Review
377326,Boutiquehotel Das Tyrol,No Negative, Always greeted with a smile comfortable quiet room more than adaquate breakfast Excellent position to both the tourist destinations and local shopping
377327,Boutiquehotel Das Tyrol,No Negative, Great hotel We were last year and come back this year also for one night being in transit to Croatia Superb location cleanliness staff breakfast One of the best hotel we have been We recommend to everyone 
377328,Boutiquehotel Das Tyrol, Nothing , The courtesy of the staff Nice private SPA Great location walking distance from many attractions museums palace etc close to shopping fashion supermarkets many restaurants Staff gave great restaurants recommendations Reasonable price 
377329,Boutiquehotel Das Tyrol, Room a bit small Air conditioning very feeble Breakfast expensive at 20 Euro per person so we went elsewhere, Very helpful staff Comfortable room and bed Nice friendly atmosphere good location would return 
377330,Boutiquehotel Das Tyrol,No Negative, Gorgeous hotel in a great location The staff were friendly and very helpful with awesome recommendations of places to go The rooms were a good size and the amenities excellent The little extra details made this an awesome weekend away 
377331,Boutiquehotel Das Tyrol, Hotel needs a facelift We stayed there several years ago and it was quite nice then No carpeting on the stairwell may be in the process of replacing Breakfast was included last time but not this time so really wasn t good value for the money Bed was too soft ,No Positive
377332,Boutiquehotel Das Tyrol, The noise from outside the property at night meant it was difficult to get a good nights sleep especially bad on Friday and Saturday nights The breakfasts at 20Euro each was too expensive a very adequate breakfast was bought at a local bakery with tables for 5Euro each , The hotel location was very central and in easy walking distance of the main attractions The hotel was also close to a U Bahn station which was convenient 
377333,Boutiquehotel Das Tyrol, Nothing it was fine and hunky dory , A no fuss place clean bright and well fitted out All the staff were very friendly and helpful In a very good position for touring Vienna we would highly recommend this hotel 
377334,Boutiquehotel Das Tyrol,No Negative, We had a wonderful stay in Hotel das Tyrol mind you the entrance is not on the Mariahilferstrasse 15 but just before the corner in the small side street called Konigs Klostergasse The very high ratings for this hotel are very deserved indeed It really is a very nice hotel with wonderful art inside at every floor The double room was great with a view over the roofs at the back of the hotel on the 4th floor I guess all rooms are very nice but I would probably favour those at the back 15 25 35 45 55 or 65 Breakfast was very good and besides all kinds of things you can order a hot breakfast too It s location is very central close to the main musea the opera house and a bit further the Belvedere The staff are just exemplary they did their utmost in advising us were we might find some of the very nice porcelain art displayed all over the hotel We also took the opportunity to relax in the sauna steam room downstairs which we had to ourselves see the really beautiful and perfectly kept sea aquarium We will most certainly be back as two nights the most of three days is really to short to visit Vienna Thanks to all the wonderful staff 
377335,Boutiquehotel Das Tyrol, No complaints at all , Reallly friendly and helpful staff special mention to Norbert Super quiet room and very fluffy pillows We loved it Quirky Donald Duck paintings were an unexpected touch 
377336,Boutiquehotel Das Tyrol, Can t think of anything bad about this hotel , Nice boutique hotel right next to the Museum Quarter Every staff member we met was very friendly They took the extra steps to help us enjoy our time in Vienna be it providing local knowledge or restaurant bookings Excellent facilities and very quiet at night One of the highlights of the hotel is the small booklet with many restaurant recommendations We followed it during the 6 days stay and it never failed 
377337,Boutiquehotel Das Tyrol, Nothing, Excellent location close to museums shops restaurants Also close to public transport which helps you see all of Vienna Hotel is full of interesting art works was very well presented breakfast was really good too 
377338,Boutiquehotel Das Tyrol, The pillows were far too squishy and had trouble with the temperature of the room the duvets were so thick and made us feel so hot all night On check in we totally misheard the receptionist and thought breakfast was included was charged an absolute fortune at the end of the stay although some days we only came to the breakfast room for a glass of juice I think we had too higher expectations for the hotel from all the amazing reviews we read online it didn t quite blow us away and we found it to be totally fine but totally average , Hotel was spotless our bedroom and bathroom was incredibly clean Loved the little spa you could book all to yourselves Room amenities were good Hotel was in a very central location Very christmassy feel to the hotel over the holiday period 
