,Hotel_Name,Negative_Review,Positive_Review
355888,Canal House,No Negative, This property is one of the most exquisite boutique hotels we have stayed in There are so many lovely things the wonderful architecture and stylish yet comfortable furnishings the beautiful gardens and an amazing staff Everything was perfect The bed and pillows were so comfortable I am going to buy the pillows for my home The location was so romantic it is right on a lovely street on the canal and we could hear the horse drawn carriages going down the street ever so slightly we had the window open Just wonderful we will be coming back 
355889,Canal House, I cannot think of a thing , The staff makes this hotel They were great Location is excellent for vacation facilities are the best and the outdoor space is so relaxing Could not be better 
355890,Canal House, Would expect richer breakfast for a room of those rates , Excellent staff They were helpful with all of our queries Hotel is very clean and the bed was very comfortable 
355891,Canal House, Nothing, What a fabulous small boutique hotel with a lovely quiet courtyard garden to relax in and in a great location too The staff were so friendly and helpful All the rooms are wonderful with amazing attention to detail to make your stay as luxurious as possible we loved everything about it and hope to visit again 
355892,Canal House, Leaving , From the moment we checked in we knew we had chosen the right hotel Every single staff person made us feel welcome and the facilities were wonderful from the living room overlooking the canal to the lush and lovely garden to the comfortable and stylish room itself Breakfasts were among the best we ve enjoyed in Europe from fresh juices made to order coffees and pastries to generous assortments of cheese meats and granolas Strongly recommend 
355893,Canal House, Nothing, The Room courtyard other guest the staff location could not be better the staff soon learned or needs and our habits quickly Never been in a better location nor hotel ever 
355894,Canal House, The hotel is decorated mainly black inside which is great for the dining and leisure areas but much too dark in the bedroom and bathroom Couldn t see in the wardrobe very well and lighting for making up poor Also there was a hair dryer provided but no mirror near a plug socket to see what you are doing I find this often in hotels and cannot understand why that is especially given the room rates Continental breakfast was included which was fine but anything hot extra which again I think should all be included in the rate , Excellent location Beautiful building Close to main centre but not noisy Great staff and service 
355895,Canal House, Very late check in 3 PM With such a high price for a room it is shocking that guest can t check in to their room before 3 PM , Superb design
355896,Canal House, Only one thing On booking com the different room categories are described in detail I chose a category that said view over the canal or garden but this time I got a room with curtains that didn t open because there was a grey wall outside the window , This was my second stay The staff is really friendly and helpful The rooms are super comfortable and beautifully decorated and everything is clean and looks new There s a garden that must be heaven during summer Nice breakfast The stairs are really steep so wear sensible shoes The photos are from both visits 
355897,Canal House, The bar felt a little sterile with uncomfortable seats I would recommend walking a few doors down to The Toren hotel which has a much superior stylish setting and luxury sofas It was also hard to get the attention of staff in the bar as they do a dual role with the reception , Location is excellent Its not in the deep heart of Amsterdam but within minutes walking distance to the main square and attractions The rooms are stylish and well appointed and we particularly liked the shower 
355898,Canal House, Nothing, The hotel was seriously LUXE but not ostentatious the neighbourhood was amazing the staff courteous and polite The food was delicious the decor beautiful everything was perfect I have no complaints at all
355899,Canal House, it says breakfast included but every warm meal eggs avo toast etc was not the WiFi was wonky almost half the time, very central location but still quiet the garden is a gem cozy little place friendly staff 
355900,Canal House, The stairs to the upper floors are a bit steep and crazy , Owen really made a huge difference in our stay at Canal House He was so helpful with suggestions and directions and just an overall pleasant service attitude The breakfast that Michael had out each morning was also a great value and wonderful 
355901,Canal House, The interior is very dark tiles on the walls even in the bedroom area and therefore very masculine in its feel If you like that it s great For two women friends getting together a little more feminine softness would have been nicer The breakfast was very underwhelming and the Wifi in our room was not functioning well enough to rely on it For the price we paid for an exceptional room it did not feel exceptional or special enough , The location is lovely and above all the garden is spectacular 
355902,Canal House,No Negative, I first stayed in the Canal House at the end of the 1980 s It was one of the most genuine hotels in Amsterdam with the feel of staying in a grand house on one of the grandest canals The current owners have updated and expanded the hotel but they have retained that same feel and added a bit of individuality and luxury Very impressive 
355903,Canal House, There was absolutely nothing not to like , Excellent buffet breakfast A lovely garden in which to sit and relax The rooms were well appointed and the beds very comfortable The staff were superb and made us very welcome and genuinely pleased to help The hotel is sited on a beautiful stretch of the Keizersgracht and handy for trams restaurants and shops It would be my first choice for every visit to Amsterdam 
355904,Canal House, Grade of room on the website could mirror those on Booking com, Staff are extremely attentive and helpful They make great cocktails especially the Bramble Great central location beautifully decorated 
355905,Canal House, It was a little bit cold in the toilet , Great rooms with nice design very polite staff good location The breakfast is ok with a view towards a beautiful garden 
355906,Canal House,No Negative, The staff where really attentive and nice The room had a huge window that looked onto the gardens at the back of the hotel the view was lovely The restaurant area was also bright and airy with nice views onto the gardens 
355907,Canal House,No Negative, We had a very nice stay at the Canal house for two nights We booked the smallest room which was absolutely big enough for us very cosy and charming Our bathtub and sink were part of the room as you can see on many pictures For us this was a nice little detail which we enjoyed Maybe someone else would prefer more privacy though The stuff was very friendly and helpful und happy to fulfill any special request Altogether for our needs and expectations the canal house was a perfect choice 
355908,Canal House, The dark furniture and it was a bit difficult to figure out how the light system works in the room , Loved the breakfast and the back garden The bath tub and bath products were lovely 
