,Hotel_Name,Negative_Review,Positive_Review
486436,Colombia, There is no tea coffe machine in room Receptionists are a little rude They are not that much welcoming with smile I had to check out early in morninig to reach my train but could not getca packed brealfadt although it was inckuded in mu booking, Proximity of railway station
486437,Colombia, Air conditioning and wi fi were not functioning in my room with staff unwilling to do anything about it, Rooms are modern and clean gym is okay breakfast hall has an exit to the garden Great value for money 
486438,Colombia, Air conditioning and wi fi were not functioning properly in my room , Clean and modern rooms Gym with basic equipment and breakfast in the garden Great value for the money in the central station district 
486439,Colombia, My bedside lamp didn t work but I forget to tell them to get it fixed , The breakfast was great with many choices Location is close to train station but on a quiet street Very cute place and I would stay there again 
486440,Colombia, Nothing , Minutes walk from Central Station but in a very quiet street with hardly any traffic Great buffet breakfast at very reasonable rate Great caf restaurant near by 
486441,Colombia, The reception staff were not polite and welcoming I had a feeling I was there for them and not vice versa No smile on their faces not accommodating requests I did not feel welcomed , 5 mins to Central Station hotel located in a quiet street 30 mins walking to Duomo and other attractions Clean room and bathroom cleaned every day and towels changed Breakfast ok nice selection of food although a bit limited However you are offered a real Italian esspresso or capuchino included in the breakfast no extra charge Nice ladies working in the breakfast area 
486442,Colombia, Nothing The room is not very spacious but enough for two people , Within 5 mins walk to the central station so it s convenient to wherever you want to go metro to Milan Cathedral shuttle bus to airport and outlet etc The breakfast is GREAT The facilities are quiet nice too There is even a small garden on the back 
486443,Colombia, I found that there was almost no cold water pressure in both the basin and shower after flushing the toilet which took an inordinately long time to refill the cistern This caught me unawares the first morning when I had virtually only full hot water in the shower The second morning I waited until the toilet had refilled and all was okay , The staff were variable at checkin the desk manager could see I was struggling to get my suitcases up the front steps only about four from memory but it included holding a door open but he chose to ignore it When I finally made the desk I remarked that it was difficult but he also chose to ignore that remark Conversely another manager couldn t have been more helpful and was very pleasant Breakfast was good and there is a pleasant outside area where one can sit for breakfast or at other times There was easy access to the train station about 10 minutes walk 
486444,Colombia,No Negative, The location very close to the railway station and good to go walking to many of the main sites of the city and the ratio cost quality very convenient
486445,Colombia, Good location but over rated by booking com guests We had higher expectations on this hotel It felt like it had high standards in the 60 s Anyhow in the end we we re satisfied with our stay , Close to the central station where you find all the metro lines Close to the tram 1 and 33 that goes to Navigli and to the Duomo Nice gay bars in walking distance The garden was well needed because the AC in the room was not functioning very well we didn t tell the reception 
486446,Colombia, Can hear well what the neighbors are doing at any time of day n night All the noises do not help to sleep after the long work day It was very cold at night n in the morning to sleep no heating at all Stayed in May Asked fir additional blanket but it never appeared in my room would be nice to have a pot to be able to make a cup of tea for such cold nights in the room , Stayed for the second time due to the excellent location has got several spots for the meeting with the partners in the lobby 
