,Hotel_Name,Negative_Review,Positive_Review
204614,Commodore Hotel, Shower temperature Kept changing from freezing to scorching, Room was cute Staff very friendly 
204615,Commodore Hotel,No Negative, Great location for all activities
204616,Commodore Hotel,No Negative, location and staff good service comfortable clean 
204617,Commodore Hotel, The twin room we had was quite small and it was awkward to get past the bottom of the beds to get yo the bathroom ,No Positive
204618,Commodore Hotel,No Negative, Good location friendly staff 
204619,Commodore Hotel, Breakfast service was very slow Had to ask twice for our breakfasts , Nice big room and very comfortable bed 
204620,Commodore Hotel, Stair carpets threadbare Hallways a bit run down, Large room
204621,Commodore Hotel, No bar, Easy access to underground Good restaurants close by First class breakfast
204622,Commodore Hotel,No Negative, bed was comfortable
204623,Commodore Hotel, There was nothing to dislike We will definitely be staying here again , Excellent staff excellent location within a 5 minute walk to Hyde Park 
204624,Commodore Hotel, The place needs to be updated , The rooms were a nice size the bed was comfortable 
204625,Commodore Hotel,No Negative, Flexibility on check in and check out
204626,Commodore Hotel, My room was run down worn carpet needed decorating bathroom in bad condition , Reasonably good location about 15 minutes walk to Paddington station
204627,Commodore Hotel, The carpet in the room was not clean and needed replacing The bathroom was a little on the small side ,No Positive
204628,Commodore Hotel, Broken shower dirty and ript carpet,No Positive
204629,Commodore Hotel, The price of breakfast was quite high so we ate else where , The room was a good size and the bed very comfy
204630,Commodore Hotel, 50 deposit in case we used mini bar was silly bathroom was tiny no room to turn around, Staff where friendly hotel was clean
204631,Commodore Hotel,No Negative, On arrival we were upgraded from a standard room to a suite staff couldn be more helpful and friendly
204632,Commodore Hotel,No Negative, Great price friendly staff clean rooms powerful shower and excellent location 
204633,Commodore Hotel, Shower old worn and not fit for purpose Sofa badly stained, Size of the room and location good
204634,Commodore Hotel, No hotel bar, good location
204635,Commodore Hotel, Lifts were tiny Rooms were small But for the price it was great value , Convenient location Great value for money 
204636,Commodore Hotel, Nothing, Everything helpful friendly staff comfort very nice bed quality feel beautiful location
204637,Commodore Hotel, broken heating in bathroom and very poor quality breakfast Bacon burned not eatible,No Positive
204638,Commodore Hotel, n a, all round good exsperiance
204639,Commodore Hotel,No Negative, Really comfy bed friendly staff and perfect location Just what we needed 
204640,Commodore Hotel, some rooms are very small, excellent staff
204641,Commodore Hotel, Rooms etc need new carpets but bedding and bathroom very clean , The staff were excellent location great a very pleasant stay 
204642,Commodore Hotel,No Negative, Extremely helpful staff clean comfortable and perfect for what I needed 
204643,Commodore Hotel,No Negative, Location good for Hyde park Paddington and onward travel to most areas Quiet partially residential area 
204644,Commodore Hotel, the rooms a bit small, the staff is friendly and helpfull lcation is great 
204645,Commodore Hotel,No Negative, Location great staff excellent facilities in gym could do with exercise bike to offset running machine otherwise very good 
204646,Commodore Hotel,No Negative, Excellent area very peaceful and beautiful 
204647,Commodore Hotel, VERY DIRTY BATHROOM LIKE A PIGSTY sporco soprattutto il bagno camera indecente, niente NOTHING 
204648,Commodore Hotel, 4 stars is very far from actual avoid this hotel altogether worn down needs renovation ,No Positive
204649,Commodore Hotel, Rooms require update, Location
204650,Commodore Hotel, Hotel was a little worn and shabby Could do with a makeover , Location and not bad value 
204651,Commodore Hotel,No Negative, Great and quiet location hotel stuff very helpful 
204652,Commodore Hotel,No Negative, Great location fab price comfy bed nice staff
204653,Commodore Hotel, Noise from trains no iron in room the hotel could do with decorate ,No Positive
204654,Commodore Hotel, room way too small housekeeping service not done Wifi does not work in room, Location
204655,Commodore Hotel, Room was basic, Location
204656,Commodore Hotel, Too dark especially my wife trying to do her makeup, Location
204657,Commodore Hotel,No Negative, Lovely atmosphere
204658,Commodore Hotel, Room too small no restaurant bar not business hotel standard, Big bathroom 
204659,Commodore Hotel,No Negative, Beautiful area and perfect location for visiting London s sites Highly recommend We will stay here again 
204660,Commodore Hotel, Needs renovation planned and the distribution is a big chaotic, Location just in front of Hyde Park Grrreat lobby and furniture
204661,Commodore Hotel, Needs refurbished, The location
204662,Commodore Hotel, all things was bad, nothing
204663,Commodore Hotel, I do not need to explain anymore It was a depressing poor venue, No facilities whatsoever placed in a basement room Just a poor class b b
204664,Commodore Hotel, The room we stayed in was nothing like the pictures it was very old fashioned with a saggy wobbly 4 poster bed ,No Positive
204665,Commodore Hotel, no elevator, beautiful Victorian style room
204666,Commodore Hotel, The rooms are worn and run down The high price seemed to be based on location not amenities , It is close to Paddington Station and other attractions
204667,Commodore Hotel, The Basement rooms are a little noisy, it was a good standard of hotel near to Hyde Park
204668,Commodore Hotel, Too much broken stuff door lock broken kettle sink tap in a basement with claustrophobic corridors , Location
204669,Commodore Hotel, Needs some love and attention, Location
204670,Commodore Hotel,No Negative, Quiet convenient position 
204671,Commodore Hotel, The carpets looked very tired as did the bathroom , There was a small problem with the booking but it was resolved quickly and professionally
204672,Commodore Hotel, Slow and intermittent wifi Very tight bathroom, Friendly and helpful staff
204673,Commodore Hotel, Arrived 10 pm no food bar available Accommodation tired with peeling paint, Location Quiet room
204674,Commodore Hotel,No Negative, I was transferred to a sister hotel Very poor 
204675,Commodore Hotel,No Negative, We were given a lovely room room 11 Staff were friendly 
204676,Commodore Hotel, Everything One of the worst hotels I ve ever stayed in, Nothing it was a filthy hell hole 
204677,Commodore Hotel, Hotel basic amenities Understaffed , Location 
204678,Commodore Hotel, Room could have been larger, Within walking distance of underground etc 
204679,Commodore Hotel, BATHROOM A BIT TRIED AND WORN, GOOD NIGHTS SLEEP VERY QUIET FOR A CITY LOCATION
204680,Commodore Hotel,No Negative, Location was fantastic staff were so helpful and pleasant anytime we needed anything Couldn t have asked for more from the hotel
204681,Commodore Hotel, Nothing, Location
204682,Commodore Hotel, The room wasn t really clean for a 4 stars that could have been way better , Nice staff good location and really nice building
