,Hotel_Name,Negative_Review,Positive_Review
509019,Corinthia Hotel London, More cupboard space and hangers for clothes A glass of house wine extremely pricey at 18 pound , Beautiful Hotel Spa facilities excellent and inclusive in your hotel package Concierges very helpful 
509020,Corinthia Hotel London, I liked everything , I loved this hotel Staff were incredibly friendly and the hotel was absolutely amazing in every way The spa was the absolute best I ve ever seen 
509021,Corinthia Hotel London, Some staff were rude particularly in the spa But that was not a reflection on the spa staff only those individuals that you can evidently see have poor personal characteristics which is reflective of their disrespectful behaviour, Ambience was great plus I got a free room upgrade I was there for a spa weekend for my birthday with my friend and the staff made my stay very special 
509022,Corinthia Hotel London, Pillows too soft for our liking but no big deal and I m sure they would have sorted it if we d asked , Excellent facilities fantastic room very friendly and attentive staff Best hotel stay in London ever this is now my go to hotel from now on 
509023,Corinthia Hotel London, Hair in food Housekeeping came into room at 10pm for turndown when we were in bed then switched lights on to give us water after we had advised her we were sleeping Toilet wall in bathroom was sticky Light system in room not working,No Positive
509024,Corinthia Hotel London, We felt The Bassoon bar lacked atmosphere and the bloody Mary s were rubbish, Very good outside cigar smoking terrace one of the best in London terrific cigar humidor and collection too On the whole up there with the best hotels in London Great spa facilities 
509025,Corinthia Hotel London, We did wait a little long for the dessert but this was down to an accident in the kitchen where the dessert plate was dropped We were kept informed of this by our waiter Isaac who was excellent Accidents happen so this is not really an issue I would ordinarily like to put in the do not like section But it meant that we had a rather late dessert but we stayed for far longer at the table than we should have anyway we were having so much fun the staff was very patient with us even though they had to set up for breakfast in the morning , We visited the Corinthia again due to being very satisfied the first time round Once again the service was excellent and the attention to detail and the service with a smile attitude of staff was exemplary I was surprised that you could actually have a cigar in the patio area and I took advantage of this A fine Cuban cigar while seated on a comfy sofa next to a log fire super relaxing Thank you Bensa for the wonderful elderflower drink you prepared for my friend and I and for your service I also had dinner again with friends at the north Hall restaurant where we were again looked after by Giorgio Isaac and Alessio providing great service Asima gave a great recommendation for the wine the staff know their stuff for any wine buffs out there The Hake was super fresh and cooked to perfection the steak and ribeye was melt in the mouth and beautifully presented The desserts are very imaginative and delicious it s clear that a lot of thought and care was put in the menu and credit to the chefs for producing A class food it really is Michelin star worthy and I ve dined in Hotels with Michelin stars A big thank you to Giorgio for taking us on a tour of the lesser known private dining areas of the hotel which we may hire for a larger party in future Deya at the North Hall greeted us with a smile and made sure our meal with our friends was as enjoyable as possible Thank you Deya and to all at the Corinthia 
509026,Corinthia Hotel London,No Negative, Everything was absolutely perfect Spent one night after the marathon and it was a great place to relax Beds had lovely linen Breakfast was a delicious feast Spa was out of this world Worth every penny 
509027,Corinthia Hotel London, The Hotel itself was great some guests were rather loud in the patio area which acts like an amplifier because of the architecture of the Hotel The laughs and shouting could be heard right up to the seventh floor where we were I did not complain as it was Easter and people were on holiday but shouting between balconies was not acceptable especially in the era of mobile phones This is not the Hotel s fault though This is due to disrespectful and in many cases drunk people s fault Although this shouting did not last too long my friend played Mozart on the violin from the sixth floor balcony all the shouting stopped I reckon everyone thought it was coming from the heavens , The staff were attentive to all our needs and requests The duty managers Daniel and Jean Phillipe were very helpful and gave a lot of their time to make sure we had a comfortable and relaxing stay The maids were polite and always wearing a smile The staff at the North Hall restaurant were particularly welcoming they granted us the table we chose and were a joy to speak to and the service was excellent Thank you to the manager Balasz and a special thanks to Alexi Deya Coco Lilly and to all the waiters And to the chef too The food was excellent We did not try the other restaurant of the Hotel as it was closed for Easter but we will soon as we ll definitely be re visiting the Corinthia Jason Clemence Nicole at the front desk were all very helpful It s the people who make a Hotel and full marks to the staff at the Corinthia for making us feel very welcome No staff had name tags but I remember their names because they connected with us in such a welcoming way on a daily basis that we remembered their names now that s a sign of how comfortable and memorable our experience was Kristina thank you for making us feel so welcome in the patio area and for the blanket The spa is something my wife used so she d be best qualified to give an opinion Unfortunately she went during child hours so it was a bit noisy But the times are clearly displayed on arrival on your TV screen and in booklets so no excuse there I did meet Michelle from the spa and look forward to using the spa when we go back My wife and I had a haircut styled by Ricky and Alex who were both excellent and fun to be with We talked so much that before we knew it our hair was done Overall great credit must go to the staff of this Hotel we will be returning for sure and we will be staying in one of the penthouses for a real special occasion 
509028,Corinthia Hotel London, We did not get our newspapers delivered to the room in the mornings but we weren t really expecting the service anyway so we weren t too disturbed by it , The floral displays were beautiful The whole experience was the height of luxury it was expensive but worth the money The staff could not have been more friendly and helpful We went out for 90 minutes on the Saturday and set the light for the room to be made up and it was immaculate when we returned 
509029,Corinthia Hotel London, On Saturday left my room at 12 30 expecting room to be cleaned in my return Returned at 3 45 pm not clean but was done as soon as I complained the response was poor they didn t know why it was cleaned ,No Positive
