,Hotel_Name,Negative_Review,Positive_Review
273733,Cram,No Negative, Lovely hotel great value for money with attentive friendly staff It was around 27 euro in a taxi to and from the airport A leisurely stroll takes you to gothic quarter and las ramblas
273734,Cram, It was on a very busy road so we couldn t have the door open, Breakfast great Staff really friendly and helpful Helped that they spoke English as we do not speak Spanish Roof top terrace fabulous and a lovely view of the city there Lovely touch of a bottle of champagne as we were there to celebrate my husbands birthday 
273735,Cram, The room Horrible AC small dirty Manager never called me back after 4 days of trying No where to put your luggage Staff couldn t recommend anywhere to eat in the neighborhood Bathroom had too much mold , Rooftop deck
273736,Cram, No tea of coffee making facility and they would not provide a kettle so had to go and buy one for 15 euro s The pool area was a little tired and could do with some new furniture This hotel was a bit too far away from the beach and the main area s for us mostly due to the very hot weather , Modern hotel room nice little pool on the roof with a bar Good wifi and excellent air con
273737,Cram, We asked booking com to request adjacent rooms important On arrival that was not detailed on the Hotel register took some time to organise time was precious and finished four rooms apart We also requested quiet rooms one was next to the lift but it did not cause any noise , Nice Hotel very good air con Staff attentive Location was booked to suit our requirements Effectively one day in Barcelona to attend a Masters Graduation ceremony If we were holidaying in the Barcelona area we would book near or on the beach which is no criticism of Cram Hotel 
273738,Cram, Bad service at det rooftop bar The Bartender could not serve several drinks on the menu pina colada strawberry daiquiri and the aperol spritz did not taste good Did nt help that he was moody , Clean room great bathrobe and complementarities in the bathroom was missing conditioner though Nice bed and all in all very satisfied Nice location could have been closer to the city centrum about 10 minutes walk and It was real easy to get around by foot 
273739,Cram, Sometimes there are flies outside the entrance going into the hotel , I ve been to the Cram many times and the people and service is excellent This is truly one of the best hotels in Barcelona I highly recommend it 
273740,Cram, Wished there had been a complimentary breakfast It was very expensive , Great location Not as Touristy which was nice If you can walk it s a good location 
273741,Cram, A bit pricey although May break drove prices in whole city and rooms are not brand new but not desolated too External pool could be heated , Very nice bathroom with walk in shower
273742,Cram, Tried to order a sandwich one night was told it would be 40 minutes Sometimes you couldn t find anyone to serve a drink at the bar or you got told they would be with you in 10 minutes We thought the bottles of water were free in the room but at the end of our stay we got a bill for over 20 euros for 8 small bottles , Staff were friendly helpful room was clean comfortable 
273743,Cram, Pricey but good , No breakfast at the hotel Had met up with family who liked to walk before breakfast so we would return to one of the many excellent cafes that served breakfast in the vicinity I
273744,Cram, plastic sheets on mattress Beware the parking garage if you come by car the intercom to open it is on floor 2 and the door swings inwards and doesn t have a working sensor to detect cars we learned this the hard way , Staff were very friendly and helpful Modern clean room and hotel lobby Nice area of Barcelona to walk through not too touristy but many cafes and restaurants notably in direction of Casa Batlo 10 min walk from hotel 
273745,Cram, The upstairs terrace wasn t lit up and the bar wasn t open It was out of season march but we would have loved heat lamps for the cooler evenings and nights, Nothing was too much trouble for the staff All of which were very friendly and polite Hotel was amazing and very clean comfortable Breakfast was delicious and we looked forward to it every morning
273746,Cram,No Negative, Good central location near enough to a metro stop and the university of Barcelona Breakfast was ok but variety was limited The reception area and bar near the restaurant is cool and beautiful but while modern in layout the decor inside the rooms is a little frayed around the edges will need a make over in time Overall good value though
273747,Cram, Nothing could have been better , Professional fantastic staff Nothing was too much trouble I was un well during our stay and they were very accommodating thank you
