,Hotel_Name,Negative_Review,Positive_Review
326208,Crowne Plaza Amsterdam South, Nespresso machine would be nice and breakfast was a little bit expensive, Excelleny staff very friendly helpfull kind Hotel is really clean and relax It seems a little bit far from city centre but very close to metro tram and it takes just 5 10 minutes to reach city centre 
326209,Crowne Plaza Amsterdam South,No Negative, An outstanding property in all ways well connected to the city center close to the train station and tram line the room was of a good size and the beds were incredibly comfortable after a day walking around the city A very warm staff rounded out the experience
326210,Crowne Plaza Amsterdam South, Some help desk staff very bad they don t have customer service skills, I stay on suits room it s very nice and comfortable I recommend this hotel
326211,Crowne Plaza Amsterdam South, There was no toilet brush in our room Thats basically the only negative thing that comes to mind , A really great hotel The staff was so nice and helpful our room was spacious and clean and they fulfilled our wish for an upper level room We had a huge bathtub and super comfortable beds What we loved the most though were the sound proof walls Never got such good sleep in a hotel before I also really loved the location and environment A nice safe and atmospheric business district with a lot of water around and its only a 5 minute walk to the metro We would certainly stay here again 
326212,Crowne Plaza Amsterdam South, Nothing This is a superb facility , Absolutely wonderful Staff This is my 4th year staying here for a conference and I absolutely love it The Club level is a MUST as it gives you access to the private Club Room for breakfast Snacks and Happy Hour from 6 30am to 10pm There is always someone there Paola with a smile to assist you when needed They really make me feel special and welcome every time I visit This last time as I was checking in Stefan the bar tender came over to say Hi and asked if I would like him to make my favorite drink I was astounded he remembered And it was very good The Free WiFi is very good and fast enough for me to stream movies whenever I wanted to Location is spot on close enough for a leisurely 30 minute walk to the Rai or a 5 Uber if raining and within 5 minute walk of Amsterdam Zuid rail station to get to city center or anywhere you need 
326213,Crowne Plaza Amsterdam South, There is no parking but there is parking in the next building it costs 60 day, In good location away from city center crowds yet still easily access by tram or metro Rooms are large and clean and friendly staff
326214,Crowne Plaza Amsterdam South,No Negative, Very nice place good location in the business area 5 minutes walk from the the tram and train 15 minutes by tram to the city center Very friendly staff nice room and breakfast 
326215,Crowne Plaza Amsterdam South,No Negative, Great Hotel Very clean and the staff were very friendly Martha who worked in the front counter was a big help and her customer service was outstanding 
326216,Crowne Plaza Amsterdam South, The housekeeping staff did not provide toiletteries generously and some days didn t even care to replace used ones When we checked out we were told that some rooms had some picture frames which were damaged and some rooms had some nicks on wood We were handed over a 1000 Euro charge upon check out The Front office manager was kind enough to settle for half But I wasn t too happy with the development and overall experience only due to this , The Club Lounge was comfortable and well equipped and planned Room sizes were better than I normally find across Europe 
326217,Crowne Plaza Amsterdam South, Facilities were good but parking and breakfast extremely expensive even for the location Amsterdam Zuid Would advice to book without breakfast and grab some bite at railway station , Facilities were good with adjacent underground parking
326218,Crowne Plaza Amsterdam South, limited food options for room service but not a big issue, very friendly staff Claudia in particular lovely club lounge spacious junior suite delicious breakfast hotel located close to public transport and well connected
326219,Crowne Plaza Amsterdam South, Loved everything, Just returned home from a fabulous weekend with my daughter staying in Crowne Plaza Amsterdam south Close enough not to be in the huddle and bustle of things with excellent transport links made this an ideal location for us The hotel is situated in the business area of the city only a short walk from train and tram links Station Zuid The staff were extremely friendly and helpful nothing was too much trouble to them Our room on the top floor 1121 was immaculately clean and spacious with the little extras that Crowne plaza hotels provide Fantastic choices for breakfast enjoyed in the lovely canal side restaurant kept us going til late afternoon We enjoyed a cocktail each in the bar prepared by the very obliging barman in order to wind down after fitting in as much sight seeing as we were able We had prebooked our tickets for museums this is an absolute must unless you want to spend your precious time in MASSIVE queues Would definitely recommend this hotel and will return next time visiting Amsterdam
326220,Crowne Plaza Amsterdam South, I found the access and the indication to come by car very poor if you do not know the environment The price of the underground parking is very excessive and there is no reduction from the hotel I paid 60 for just leaving my car at night in the parking this is unacceptable , The room and the bar 
326221,Crowne Plaza Amsterdam South, The location but that s because we didn t realize how far we were from the city center , Our welcome staff was awesome in accommodating us The Bar staff was great The kitchen staff had patience with a bunch of foreigners that liked their meat cooked well 
326222,Crowne Plaza Amsterdam South, Breakfast was expensive at 19 euros per guest , Friendly and helpful staff Nice accommodation If you re planning to visit the centre the metro is only a 10 minute walk 
326223,Crowne Plaza Amsterdam South,No Negative, Very nice Hotel the staff very kindly We arrived in the morning and it was no problem to get the room Price for garage through the week 60 and at the weekend 15 Great breakfast 
326224,Crowne Plaza Amsterdam South, No dressing table mirror close to major other hotel construction no shops close by business area Expensive breakfast 24 euros pp, Close to train and tram station Very clean and tidy 15 mins from Amsterdam old town 
326225,Crowne Plaza Amsterdam South,No Negative, Great location about 2 min walk from Amserdam Zuid metro train station Quiet and relaxed area away from the city center but only 10 min with tram to get there Very friendly polite and service minded staff 
326226,Crowne Plaza Amsterdam South, As above, Disappointing hotel for the price Parking at 60euros a day did not help Food in the restaurant very mediocre and a poor selection Overall not a noteworthy hotel 
326227,Crowne Plaza Amsterdam South, Arrived late 11 p m absolutely nothing to eat bar was closing no snacks offered or even machines Front desk was very arrogant and dismissive young man No amenities such as water etc everything had a price For us it offered no advantage in business district not close enough to airport OR downtown a nowhere high price place , room was furnished well enough contmp corporate style bed comfortable 
326228,Crowne Plaza Amsterdam South, Caring Hospitable and courteous staff peaceful location Guided us well for going around No shopping centre or markets near by but easy to et to Amsterdam Centraal area by Tram no 5 or metro Not sure if we were allotted the same category of room we had booked for infact I did not care to check it , Location is good Tram No 5 and Metro station very nearby takes about 20 to 25 mins to o to Centraal Breakfast spread was good Would have preferred a room in a higher floor we are in 3rd floor for INR 14 000 the room could have been better 
326229,Crowne Plaza Amsterdam South, the shower The water from the shower head is extremely small no matter how I adjusted it, room is modern and quite new staff are friendly there are a shopping mall nearby quiet and safe neighbourhood
326230,Crowne Plaza Amsterdam South, More milk pots in the room would ve been good , The staff were friendly and polite The room was the perfect size for us 1102 top floor Very peaceful and quiet The bed was super comfortable and very big Lovely bathroom Lifts were very good Breakfast was great Lots there plenty of choice Luggage storage after checkout was very helpful 
326231,Crowne Plaza Amsterdam South, Price of breakfast was a bit steep but lots of options so wasn t an issue , Great hotel great city whole stay was excellent Will happily return again 
326232,Crowne Plaza Amsterdam South, Complimentary water was welcome Small point but would have expected two bottles one per guest in room , Firstly all the staff were friendly and very helpful Rooms are spacious Beds and pillows very comfortable Liked the sleep therapy oils nice touch Good location for both Schipol and Central Tram stop to Central is short walk 
326233,Crowne Plaza Amsterdam South, Breakfast quite pricey 24 euros per person so maybe include this in your booking About 3km from city centre but close to public transport and Ubers quite readily available , Arrived in April 2017 with my wife Very nice facilities and friendly staff It s modern with comfy beds so would rate it a high quality hotel Enjoyed the stay there 
