,Hotel_Name,Negative_Review,Positive_Review
279688,Crowne Plaza Barcelona Fira Center, Breakfast was terrible Cold plates led to cold bacon eggs and sausages More staff is needed I was fed up waiting for food trays to be replenished ,No Positive
279689,Crowne Plaza Barcelona Fira Center, Never thought that I would have to pay extra to use the pool My daughter was not able to use it One you have to pay extra to use the pool Second your payment to use the hotel pool is only for adult usage Breakfast not the most appealing and tasteful We were seated at the restaurant and while getting our food the same host seated another family at our table I had to move our drinks to another table and was extremely upset Infact my daughter was eating and this host sat this family at our table ,No Positive
279690,Crowne Plaza Barcelona Fira Center, Only one very slow coffee machine serving two cups at breakfast that either jammed on one side or ran out of water at least every morning and wasn t monitored closely enough , Our room was comfortable and quiet It was close to the Olympic Stadium for the concert our daughter was attending and an easy safe walking distance The A level lounge where we could have tapas and a glass of wine was most appreciated after a long and hot day of touring as were the very knowledgeable and helpful staff who manned it during our stay 
279691,Crowne Plaza Barcelona Fira Center, Might be slightly far off from the centre if that s what you re looking to explore , This hotel is located in Fira which might be considered to be slightly far off from the centre itself which is Las Ramblas I only stayed here for a night and loved exploring everything they had in the area The Magic Fountain was a 5 minute walk from the property and so were many sights you would love to walk around The Arenas mall was also just a 10 minute walk great to grab a bite to eat or to shop 
279692,Crowne Plaza Barcelona Fira Center, Long queue for checkin same for checkout as well had to wait for 10 15 minutes , Overall good facilities and well maintained Rooms were spacious with large television Breakfast spread was decent 
279693,Crowne Plaza Barcelona Fira Center, The outdoors pool was not available yet only pool in spa but children not admitted , The rooms are very comfortable and clean and the staff very polite and helpful It is located very close to tourist landmarks Placa Espanya Art museum Poble Espanyol Parc de Montjuic Easy commute to the rest of the city 
279694,Crowne Plaza Barcelona Fira Center, Making reservation for the hotel via Booking com was a complete mess We ended up paying extra 30 on arrival on top of already paid price Booking com staff very unhelpful disorganised and inexperienced in dealing with issues on guests arrivals ,No Positive
279695,Crowne Plaza Barcelona Fira Center, We stayed in a suite and altho comfortable the colours were rather sombre in the Catalan way It was more like a office suite albeit a comfortable one , The TVs were large and thank goodness they had the Eurosport channel so we could watch the televised ski racing Breakfast was excellent and the staff very helpful and friendly 
279696,Crowne Plaza Barcelona Fira Center, Some pillows were bit uncomfortable but overall nothing to compliant about , Location friendly staff interior design breakfast and room service dining 
279697,Crowne Plaza Barcelona Fira Center, Some pillows were bit uncomfortable but overall nothing to complaint about , Location friendly staff interior design breakfast and room service dining 
279698,Crowne Plaza Barcelona Fira Center, Pillows Few pillows are bit uncomfortable overall nothing to complaint about , Location friendly staff interior design Breakfast and room service dining 
279699,Crowne Plaza Barcelona Fira Center, The quality and choice of the food is not great the interpretation of italian pasta was below average , The room 611 was specifically chosen by the staff so that we can enjoy the NYE celebration from the room Excellent though limited view of the fountain and firework The bathroom is a delight to enjoy 
279700,Crowne Plaza Barcelona Fira Center, Location was big put off its quite far 15 mins walk one side from closest tram stop metro bus stop to center of the city Its very big let down if you do not intend to take car everywhere Very long walk with young kids to anywhere Breakfast though good but its always same which gets very boring , Hotel staff and over all comfort including room size
279701,Crowne Plaza Barcelona Fira Center, That we wait for the room until 3pm then when we get there the room that we got is ready for family so the luggage staff have to close it , Not so clean the room and so slow to check in
279702,Crowne Plaza Barcelona Fira Center, Pillows were hard as a rock The Spa don t waste your money The breakfast was good too but keep the salt and pepper shakers filled Also they start to clear the restaurant too soon before breakfast is officially over limiting food selection and places to sit It was also very distracting while we were trying to eat It made us feel like we were being rushed out , The rooms were very nice
279703,Crowne Plaza Barcelona Fira Center, The location was perfect for the conference I attended but not so convenient for shopping The taxis were not so expensive however , The executive lounge was great Fantastic breakfasts especially 
279704,Crowne Plaza Barcelona Fira Center, I asked for sparkling wine m strawberries and chocolates package on arrival as a surprise for my wife but it was not carried out Very dissatisfied Also the fact you are expected to pay for the use of the pool is an extra that should not be there I find on top of the price it s extortionate , The restaurant staff very friendly looked after us well Reception very good as well
279705,Crowne Plaza Barcelona Fira Center, I was double charged I had prepaid the room but when I got my credit card statement noticed I was charged again Trying to get a credit as we speak , Location was excellent People were very helpful and courteous 
279706,Crowne Plaza Barcelona Fira Center,No Negative, Very clean and beautiful property with great location near the incredible fountain of Barcelona Stayed in the club room and it was well worth it Breakfast was amazing 
279707,Crowne Plaza Barcelona Fira Center,No Negative, Perfect stay for my girlfriend and me Enjoyed every minute at Crowne plaza Spa room service breakfast late check out Very good value for the money 
279708,Crowne Plaza Barcelona Fira Center, The area is not very exciting Mainly a residential area which means it is low on tourists but also short of cafes restaurants Unless you are interested in Barcelona s efforts to get on the world stage it may not interest everyone , Comfortable bed Close to Mohtjuic Park which is where the MNAC gallery and Fondacio Joan Miro It is also close to both the site of the 1992 Olympic Games and the 1929 World s Fair The Park itself is very nice if hilly Very close to Sants railway station 
279709,Crowne Plaza Barcelona Fira Center, No swimming pool so strange for crown plaza group to be without swimming pool Break fast is the same every day lil boring , Very nice location staff are very helpful
279710,Crowne Plaza Barcelona Fira Center,No Negative, The staff were extra caring and polite especially with my brother who arrived before me but wasn t on the booking They located me and made him comfortable
279711,Crowne Plaza Barcelona Fira Center, I was extremely frustrated to encounter staff that spoke no English The housekeepers were all unable to respond to my needs because they couldn t speak English , The accomodations were good 
279712,Crowne Plaza Barcelona Fira Center, If you are not here for a convention at the Fira then the location has little to offer Restaurants in walking distance are mediocre at best I walked for 1 hour through the neighborhood and didn t find anything appealing I ended up at the hotel restaurant If you are not accustomed to the Spanish meal times here is the next surprise The hotel restaurant opens for dinner at 7 30 PM and for breakfast at 7 00 AM Both is not very convenient if you have an early start i e flying back to the US early morning Breakfast is outstanding though Front desk staff was very friendly but relatively slow Due to a rugby tournament I paid a hefty 500 per night , Its a very comfortable modern hotel The rooms are large very clean again modern The hotel is located in a quiet street very close to the Fira If you are here for a convention at the Fira it is a great location 
279713,Crowne Plaza Barcelona Fira Center, Room service was not good they did not provide us the bath and shower set on the second day we had to ask for it There was only one slipper in the room again we have to ask for another one , Room was good 
279714,Crowne Plaza Barcelona Fira Center, Well it is a bit off the beaten track but that was not really a problem , The comfort of the rooms with attention to detail baths have handrails Most European hotels have very unsafe baths but this is very safe Shower stall had antislip safety guard on floor Beautiful full length mirror in bedroom Coffee maker in room Really the list goes on Someone did a lot of listening to guests needs The bathroom is awesome Huge cupboards Breakfast was simply amazing Everything you could want and more Even Oriental dishes 
279715,Crowne Plaza Barcelona Fira Center, Room service Also the man in the bar was not friendly , Every thing was great Room service was so slow we had to leave before it arrived but they didn t charge us We would definitely come back 
279716,Crowne Plaza Barcelona Fira Center, nothing really cant think of a single thing I didn t like , very large comfortable bed the little touches like the lavender pillow spray by the bed and the complimentary coffee machine very big room breakfast was lush plenty of choice Bus stop outside hotel into la rambla about 15 mins journey Luxury hotel in a great location 
279717,Crowne Plaza Barcelona Fira Center,No Negative, Beautiful hotel great location for visiting the city and Olympic Stadium Great rooftop bars and restaurants on top of the Arenas Building just nearby on the roundabout go up in the glass lift for 1 360 views over the city are stunning Fantastic huge room with 2 large beds Beautifully decorated Very classy 
279718,Crowne Plaza Barcelona Fira Center, No American News Channel No CNN no Fox yet plenty of Russian TV news program and Arab News Channel , The staff was outstanding Very friendly and extremely helpful 
279719,Crowne Plaza Barcelona Fira Center,No Negative, Hotel in great location for Fira centre and Olympic stadiums We were there for Coldplay concert it took approx 20 walk to stadium Lovely tapas n Restuarant close by 10 min max walk to plaza espanya then metro to anywhere Would defiantly stay again Huge room tea and a George Clonney machine Just needed milk as well as coffee cream for tea Breakfast mixture of Asian continental and English very good quality Beds large and comfortable 
279720,Crowne Plaza Barcelona Fira Center, More tea and coffee in the rooms please We needed somewhere outside like a courtyard to smoke as we had to stand outside the entrance, Beds perfect Bathroom lovely Everything very clean 
279721,Crowne Plaza Barcelona Fira Center, I know It was my choice at the beginning to reserve a no cancel no change room I did not want a refund I just asked for a change of the dates of stay It was like talking to a wall No empathy ,No Positive
279722,Crowne Plaza Barcelona Fira Center,No Negative, The hotel is very clean and comfort I like this hotel and also Barcelona I m sure that I will come back to Barcelona and stay in Crown Plaza again 
279723,Crowne Plaza Barcelona Fira Center,No Negative, We took their 20 per night per person option to access their Executive Club lounge That was great value as it included breakfast otherwise 18 on its own and snacks and drinks for lunch and in the evening until 11pm including champagne Overall we really enjoyed our stay 
279724,Crowne Plaza Barcelona Fira Center,No Negative, The staff were amazing My girlfriend is Gluten Free and they made her special things to eat They helped with everything when we were there including bringing tootpaste up to the room when I was happy to collect The room was fab couldn t fault it The most comfortable bed I have slept in better than my bed I genuinely think this is the best hotel I have ever stayed in and its not too pricey The location is a 6 euros taxi journey to the centre of the city It s right next to the amazing fountain I would definitely stay again 
279725,Crowne Plaza Barcelona Fira Center, A four stars hotel should have some hairdryers available as the ones in the room are not suitable for long hair Too many children at breakfast definitely too loud , Nice stay rooms are big and have all comfort Hotel also as all you could need from gym to spa to business centre Close to metro station 
279726,Crowne Plaza Barcelona Fira Center, Not close from a metro station 10 mins walking , Big room with big beds and big bathroom Very very helpful and friendly staff Close from magic fountain 
279727,Crowne Plaza Barcelona Fira Center,No Negative, Huge rooms very friendly n helpfull staff Tadgio Noorie n Co Good Job Room service very quick Good Breakfast We were staying with infants no issues at all would definitely come back
279728,Crowne Plaza Barcelona Fira Center, The hotel has no attractive view and the window cannot be opened except 10 The elevator was having proplem durin my stay, The room size and big screen TV with youtube feature was awesome Taxies are waiting outside the hotel Hotel is close to the majic fountain
279729,Crowne Plaza Barcelona Fira Center, nothing to complain about , When I arrived past midnight I said that I could only eat gluten free breakfast and in the morning the staff was already informed and had prepared very nice rolls croissants and pain au chocolats Very professional 
279730,Crowne Plaza Barcelona Fira Center, Staff not very attentive Breakfast does not have variatey of selection , Location near famous muesum congress building Quite hotel We re Upgraded to next category Nice spa area 
279731,Crowne Plaza Barcelona Fira Center, Everything was ok I love to be there again The location 15 min walking distance to most nice place but there are hotel just close enough to there so it s up to you , I like their suite but unfortunately it s views to high school they make some noise
279732,Crowne Plaza Barcelona Fira Center, Nothing , Everything The staff was wonderful professional and helpful We were 2 friends sharing a room so two full size comfortable beds was excellent so difficult to find in Europe Large room a tub AND shower was amazing Hotel in a nice area about a 5 7min walk from Plaza Espanya area and trains to everywhere 3 min walk from the Hop On Off bus stop 
279733,Crowne Plaza Barcelona Fira Center, No negative points here, THe best hotel in spain I had booked so far with my visits history Real 5 star service with friendly staff We were surprised with uprading our room to suite for our honeymoon and complimentary sweets and drinks Unforgettable memories and I strongly recommend it for Barcelona stay 
279734,Crowne Plaza Barcelona Fira Center, Breakfast was the same each day no variety and not enough choice for vegetarians Certain things were available on request but we weren t aware of this need more transparency On the first occasion someone should talk us through everything eg how to use the toaster Also not happy with the separate breakfast and car parking charges should be included as a given for such a top brand hotel and the price that you charge Furthermore one of our rooms hadn t been cleaned before we entered , Great location staff were very helpful and friendly 
279735,Crowne Plaza Barcelona Fira Center, Restaurant was poor for the evening meal poor quality of food and poor service would not eat there again Breakfast however was very good , Great room lovely hotel staff very helpful
279736,Crowne Plaza Barcelona Fira Center, As we were two adults and one child we chose the option Two double beds in one room I know there is an option of King Size but frankly the double beds in the room were really really small as in narrow Also there could be a better selection or at least a better description of the selection on the Childrens Menu in the restaurant , Generally good hotel and location 
279737,Crowne Plaza Barcelona Fira Center, Nothing Even the rush hour during breakfast was well organised , Great location Nothing to complain Excellent service with bathrobes a varitey of pillows technical equipment and even a pillow perfume for a relaxing sleep What else do you need to enjoy a stay 
279738,Crowne Plaza Barcelona Fira Center, Room service was awful,No Positive
279739,Crowne Plaza Barcelona Fira Center, Was up late slept in missed breakfast Only served till a certain time Otherwise stay was great , Proximity to other things was nice 
279740,Crowne Plaza Barcelona Fira Center,No Negative, Shower pressure big clean rooms
279741,Crowne Plaza Barcelona Fira Center, Expensive sangria and beer at the bar, Huge rooms very clean and very good location close to the magic fountain 
279742,Crowne Plaza Barcelona Fira Center, there is nothing I did not like, The overall ambience was great 
279743,Crowne Plaza Barcelona Fira Center,No Negative, The room and bed were excellent The staff were friendly and went the extra distance to make our stay memorable 
