,Hotel_Name,Negative_Review,Positive_Review
482902,Crowne Plaza Milan City, I was very disappointed with one thing in particular I have requested a small extra as we were celebrating my partner s birthday It could have been anything i e a birthday card note chocolate bottle of wine anything would have made a big difference I have worked in tourism for several years and I have never come across a hotel that failed to provide even the smallest gesture Bed lamps not working Bed was squeaking Speaker in the bathroom not working I was charged twice on my stay One time from the Credit Card used to make the booking and another time when checking out as I opted to use another card to pay for my full stay It is not what one would expect in a competitive accommodation market like Milan Would not book again , Good views from the 8th floor Nice toiletries Great size for the bathroom
482903,Crowne Plaza Milan City, Room could have been a bit bigger and more brightly decorated , Staff were helpful and pleasant Right next to the Metro station Outside bar seating area was very nice 
482904,Crowne Plaza Milan City, Didn t like the area too much but we were just passing through and wanted accommodation near the central station and for this it was perfect , Staff were friendly it was very clean 
482905,Crowne Plaza Milan City, the reception staff are not friendly have not professionalism knowledge as hotel reception staff they couldn t provide us enough information during our staying in Milan thought I asked same things many times feel discrimination ,No Positive
482906,Crowne Plaza Milan City,No Negative, Location is excellent right next to metro station and Milan Central railway station is just one metro stop away 3 4 metro stops to other major city attractions Breakfast spread was very nice Staff at reception was very helpful and courteous I ll for sure stay there if I visit Milan again 
482907,Crowne Plaza Milan City,No Negative, We chose this property for our first night in Italy after a long overseas flight due to its close proximity to the Milan Central train station where we planned to take a train to Florence the next day Our room size was typical by European standards small but the king bed was very comfortable and the efficient modern room design provided more than enough space for our needs The bathroom was exceptionally clean modern and had a great shower We also appreciated the electric kettle and small minibar The breakfast offered an excellent buffet with a good selection of eggs fruit yoghurt ham cheese pastries and really good coffee We would stay here again 
482908,Crowne Plaza Milan City, The hotels restaurant for the evening meal, The front desk staff the location the layout of the room the extra touches left it was my birthday got a card gift 
482909,Crowne Plaza Milan City, Shower was useless plus extremely slippery bath shower First room key would not operate second was working but we were asked to re present our passports to front desk felt like we were scammed , Bar was friendly with excellent service
482910,Crowne Plaza Milan City,No Negative, Great location metro is a few feet away from the entrance to the hotel Rooms are very clean well decorated and the bed was very comfortable Would definitely stay here next time in Milan 
482911,Crowne Plaza Milan City,No Negative, The location is very good parking lot is at the backyard of the hotel building and it charges reasonable The room is small but is cozy and clean it s nice that slippers are provided and if you need tooth paste and tooth brush it is also provided There is metro entrace just in front of the hotel very convenient to access to the city center The frontdesk service is good 
482912,Crowne Plaza Milan City, Overall Crowne Plaza Milan City was a nice hotel and met my needs for a quick weekend getaway to Milan However there is a bar club nearby which has an outside patio which was quite loud on a Saturday night even with the windows closed you could still hear the noise Also the fitness center was very small and had limited options not a huge deal as the weather was nice outside but maybe not as suitable for a traveller looking to utilize the space a bit more , Great location literally steps from the subway system 
482913,Crowne Plaza Milan City, Nothing, Everything the room was very comfort and tidy comfortable bed just helped me to sleep deep after a long day the bathroom was clean and has bidet this is very emportent point for me to be available in any bathroom specialy in Europe as there is no water supply along with the WC usually the staff and the guest service very friendly and helpful the hotel is in one step distance from the metro station walking distance to the main train station close to most of the attractions in milan 
482914,Crowne Plaza Milan City,No Negative, A typical Crowne Plaza 4 star hotel located on the top of the station Sondrio on M3 subway which leads to Duomo and the shopping centers within 15 mins The service is really good and the crew are all friendly and supportive 
482915,Crowne Plaza Milan City, Overall a bit too dark Airco was not working sticky in the room 6 for a very small glas of vine is too much, Nice garden terrace very close to the next Metro station
482916,Crowne Plaza Milan City, The Air Conditioning of our room was not working After several complains they changed our room which had working AC They should not provide us that faulty room at the very first point as they already knew that the air conditioning of that room was crap They mentioned that they can see on their system that it is not working and the room temperature was 25 degree centigrade Or they should have changed the room after our first complain Other than that everything was fine , The sleep therapy was excellent Staff were friendly and welcoming Enough supply of toiletries Clean and tidy 
