,Hotel_Name,Negative_Review,Positive_Review
357196,De Vere Devonport House, Bathroom very tired and floor tiles need re sealing and just all a little grimy Windows need sorting in the room I was in, Good location free wifi friendly helpful staff
357197,De Vere Devonport House, The perception of the hotel on Booking com is one of a luxury fine dining hotel well thats how we perceived it from the pictures I should have got the hint when i reserved a table for dinner they said there was no need The hotel has a conference centre so is geared towards corperate guests My wife and i were vastly overdressed for dinner and looked out of place against the IBM delegates jeans and short sleeve shirt brigade , We loved the location in Greenwich could not be more centrally located Parking was good too Staff were very friendly and helpfull 
357198,De Vere Devonport House, Stairs tricky our nearest ones didnt go to the gtround floor it wasn t ckear until we got to the bottom , The location the view the friendly staff Good breakfast Great car park 
357199,De Vere Devonport House, The room was very hot the bathroom needed a good clean on the floor around the bath Everything in the room felt sticky the one chair was dirty For what we paid I would have expected better facilities Travel Lodges are the same standard but cheaper , Perfect location in Greenwich for everything Easy to walk to the shops restaurants museums the beautiful park We drove there was parking available The staff were very good we were able to check in very early 
357200,De Vere Devonport House, Parking is for a fee but good to have available Breakfast buffet at hotel is for a fee but places to eat are with walking distance so available choices , Excellent location 
357201,De Vere Devonport House, Poor check in process kept waiting for a long time and was in a hurry Not enough front office staff at a busy check in time This first impression reflects the overall feeling of the hotels efficiency, Location
357202,De Vere Devonport House, The room was very warm so air conditioning would have been a bonus although there was a table top fan provided in the room The sink which was located directly behind the door of the bathroom was inconvenient It would have been nice if bathrobes and slippers were provided , The location is excellent for sightseeing and public transport and the parking in the grounds a real bonus given how difficult it is to find parking in the area 
357203,De Vere Devonport House, Bar prices 2 drinks 19 Hair dryer has no get up and go, Quiet hotel friendly staff great location for O2 Easy walk from DLR Cutty Sark station to hotel Comfy rooms big towels tea coffee facilities in room fan in room very much needed Nice toiletaries 
357204,De Vere Devonport House, Booking com stated that if there was parking available on the property it would be free Parking was available but we were charged 10 per night , The room overlooked an inner courtyard which made it quiet and peaceful 
357205,De Vere Devonport House,No Negative, The location was perfect for us very close for our visit to the Royal Naval College for a concert Really near to the Thames and only about 5 minutes from the DLR station too Lots of places to go out and eat and the Thames is nearby too for a nice walk The hotel itself was a really outstanding building from the outside and the room was a decent size too and had everything we needed for our stay The staff were friendly and the breakfast was well stocked with plenty of variety and good service 
357206,De Vere Devonport House, No air conditioning It was very warm during stay only had a fan in the room The room was booked for a special occasion daughter s graduation but given a room looking out onto tops of buildings would have been nice if it had overlooked the beautiful gardens it was one of the reasons I booked the hotel Its location was ideal for Greenwich Uni as my elderly mum cannot walk very far , Beds were lovely very comfy Staff helpful 
357207,De Vere Devonport House, No air con Room very noisy with party outside and directly underneath Breakfast fairly poor standard and waiter attention poor, room reasonably furnished
