,Hotel_Name,Negative_Review,Positive_Review
420791,Dikker en Thijs Fenice Hotel, Lack of good size reception area room cost was expensive as was breakfast cost Most staff were pleasant and helpful but sadly a couple let the rest down , Location was convenient 
420792,Dikker en Thijs Fenice Hotel, Breakfast was underwhelming at 17 50 per person friends we travelled with saw a mouse in the breakfast room, Really good location room was cozy and overlooked the canal
420793,Dikker en Thijs Fenice Hotel,No Negative, the rooms were large with nice seating area and good facilities mini bar coffee machine iron etc Great view of the canal Lovely breakfast with delicious omelet and pancakes Very polite and helpful staff 
420794,Dikker en Thijs Fenice Hotel, Leaving the key with the front desk each time you step out though I can see the benefits does detract a bit from feeling independent I d prefer not having to check in with someone at the desk to get my key everytime I came in from a stroll , Very comfortable bed the comfort queen rooms were great I did not have a view but had great light in the room The location is perfect for walking historic amsterdam with nightlife and necesseties banks pharmacy coffee right at your front door A beautiful 10 minute walk up the canal gets you to the Anne Frank House 
420795,Dikker en Thijs Fenice Hotel, The room had a carpet so dirty fresh vomit on it would have had no effect In dire need on a gut job this skanky and filthy hotel capitalizes on its location but is horrible and absurdly overpriced , Only the location 
420796,Dikker en Thijs Fenice Hotel, Breakfast was expensive so we went to nearby cafes instead , We had a lovely big room and huge bathroom with a great view of the canal It was really well situated we could walk to all the sights including the Van Gogh Museum and Ann Frank s House within 20 minutes 
420797,Dikker en Thijs Fenice Hotel, Light on the ceiling A C unit was quite bright so we covered it with tape , Fantastic location basic but inviting comfortable room It s our go to property when in AMS 
420798,Dikker en Thijs Fenice Hotel, Unable to open windows Slight noise from street but not unacceptable , The room we had overlooked the shops and tramline great for people watching The room and bathroom were large with adequate storage There was a very well stocked minibar and also tea coffee making facilities Lots of plug sockets Breakfast was in lovely dining area and very plentiful with good choice Heating control in room was great Great location near to lots of attractions both walking and using tram Staff were very polite friendly and helpful Room was cleaned and tidied daily 
420799,Dikker en Thijs Fenice Hotel, If you want basic and clean there is nothing to dislike, Excellent location in a busy area but heard no noise due to double glazed windows perfect hotel for a weekend getaway
420800,Dikker en Thijs Fenice Hotel, At the beginning we got a room in the old building which is not recommended Always ask for the new building, Staff is amazing helpful and cooperative Room 304 superior canal view is unbelievable great with view to the canal and to the street Location is superb the leidsplain is 50 meters away and the tram station with the most important lines is just below the hotel
420801,Dikker en Thijs Fenice Hotel, Hard to find your room Get off on 2 go up a stair around the hall Up a steep flight of stairs and around the building carrying luggage, Friendly staff Wonderful meal
420802,Dikker en Thijs Fenice Hotel, Bathroom needs an upgrade including hairdryer for this price point , Staff breakfast size of room and location were terrific Very convenient to the beautiful sights of Amsterdam 
420803,Dikker en Thijs Fenice Hotel, Not much really, Great service from the front desk Comfortable room and nice bathroom Room was quiet at night Delicious breakfast downstairs where you can have the buffet or order off a menu 
