,Hotel_Name,Negative_Review,Positive_Review
175622,DoubleTree by Hilton Hotel London Marble Arch, Breakfast does not worth the price we paid Bed room was small bathroom was very small Bed room carpet was full of black patches need washing no cable television Last day we had a bit of problem with a blond girl at the b f room According to her we are not entitle to it afterward front desk apologize for the mistake , good room good bed good bathroom Every one was nice 
175623,DoubleTree by Hilton Hotel London Marble Arch, The room we got this time was really small Certainly not the size of a room for Hilton Standards , The staff and the location of the hotel are amazing 
175624,DoubleTree by Hilton Hotel London Marble Arch, Room small, 1 Location location location 2 Cleanliness 3 Very friendly and helpful staff 4 My Hilton Honours entitlement to in room wifi 5 Complimentary use of Handi smartphone Note above list is in random order 
175625,DoubleTree by Hilton Hotel London Marble Arch, Very small room and consumed need to renew it small lobby, Location was great near oxford street and the bus stop Most of the staff wa amazing helpful and friendly with dealing with my kids 
175626,DoubleTree by Hilton Hotel London Marble Arch, I drove my car from Liverpool to King s Cross Station and then took a taxi Arrived at the hotel late and tired The receptionist called Mikhela i dont remember her name exactly was unpleasant and curt Made me upset , The concierge man called Danny is a nice person He helped us and explained much about the area 
175627,DoubleTree by Hilton Hotel London Marble Arch, N A, We were going to an event at Hyde Park therefore location excellent It was hot weather and the air conditioning in the room was perfect and the comfortable beds led to a good nights sleep Hubby loved the mirror in Bathroom room that didn t steam up Husband hates hotels but has said next time we are in London we should stay here again praise indeed 
175628,DoubleTree by Hilton Hotel London Marble Arch, No moni fridge n no drinking water Room rate was too steep, Location is goiod but besides that there was no mini fridge in the room rather it was removed N no drinking water provided by house keeping not even on arrival N the wAter purchased by me was thrown away by house keeping in my absence
175629,DoubleTree by Hilton Hotel London Marble Arch, Selected the hotel based on its location and Hilton tag However was very disappointed with the room and facilities For 356 15 per night charged for the room with breakfast 1 The room was small 2 There was very little storage space 3 The decor was heavy dull and in dark tones 4 The writing desk and chair were worn out 5 Only 1 lift for which there is a wait 6 Passage from the lift to the room are very narrow 6 No complimentary drinking water offered 7 Water in the bathroom tap was hard and unpalatable 8 Front desk staff s attitude was far from welcoming Toaster in the breakfast section had broken down for 4 days and no one seemed in hurry to repair it Overall attitude was take it or leave it I would not choose this hotel again as many better options are available at a lower rates , Location is good but in a narrow and busy lane Handy phone was convenient Maintenance staff was helpful 
175630,DoubleTree by Hilton Hotel London Marble Arch, Bar area is a little dark and small Restaurant closes at ten and bar snacks at 10 30 which is to early Had attended BST in the park and quite a few people wanted food but most did not get back to hotel in time You think they might extend hours when there is a large event like BST Bar was open though The standard bedrooms are small but clean but perhaps to be expected in central London However perfect for a one nighter , Great location for Park Lane Oxford Street and Hyde Park areas Only a one night stay so did not really use facilities Nice period building with secure parking opposite 47 50 for twenty hours Only in London Best to take train or tube Marble Arch two minutes 
175631,DoubleTree by Hilton Hotel London Marble Arch, They ve given me smallest and roof top room windows are shut close and accused me smoking in the room and made me pay 185 considering evidence with photos of cigarettes outside room window BUT different cigarette than mine I swear i didnt smoke those cigaretts and showed them mine but kept humble attitude Had to pay to catch my flight after 40 minutes humbling by receptionists Very noisy housekeeping staff slamming doors from morning to evening housekeeping tried to access my room everyday very annoying , Location
