,Hotel_Name,Negative_Review,Positive_Review
348116,DoubleTree by Hilton London Chelsea, Parking wasn t the easiest We couldn t find it initially so temporarily parked up to speak with a receptionist luckily there were two of us i e one to speak to staff and the other to stay in the car otherwise it would have been more of a mission The staff member then called a guy who took our car brand and colour The man then let us through the barrier of a private road and led us to the secure car park It costs 20 per night so not the cheapest if you are driving As they only took cash I spent another 10 mins getting cash out Not a difficult process but I m used to easier i e underground parking , Amazing London location walking distance to Fulham Road and and it s eateries pubs etc Plus the area is not too busy Easy to drive to We came from Hampshire and pretty much missed all the London traffic on the way in Very comfy hotel we had 2 double beds in our room and quite a nice view from the room Welcome cookie upon arrival nice touch 
348117,DoubleTree by Hilton London Chelsea, Needed decaff ground coffee for breakfast Everything else was perfect , The breakfast staff were lovely and the check in staff too Excellent location near Kings Rd Comfy beds 
348118,DoubleTree by Hilton London Chelsea, 1 breakfast could ve been healthier 2 bedsheets were a bit unclean, 1 very friendly staff 2 there s a tesco nearby 3 free yummy cookies on check in 
348119,DoubleTree by Hilton London Chelsea, No water in room or even chargeable refreshments in fridge We booked a Queen room and as my wife is a amputee we were apparently upgraded to a disabled room with a double bed how is a bed shrink an upgrade ,No Positive
348120,DoubleTree by Hilton London Chelsea, Asked for room on high floor Wasn t given one I m a light sleeper and could hear the road noise even though windows kept out a lot of the sound Quite far away from tube and restaurants , Friendly staff Clean well maintained hotel 
348121,DoubleTree by Hilton London Chelsea, There was an unfortunate incident where our luggage was lost for a period of time This happened as a result of a member of staff moving it from the left luggage area to a bedroom without properly communicating that this had happened we were then checked into a different bedroom The staff who were left to deal with this issue were very pro active , Breakfasts were good we only had one dinner which was also good Staff were friendly and tried to be helpful 
348122,DoubleTree by Hilton London Chelsea, No washing facilities hotel was charging over the top prices to to wash a pair of socks Found the same issue at four hotels we stayed at during our European holiday, Walking distsnce only three restaurants to chose from
348123,DoubleTree by Hilton London Chelsea, Ordered room service when the pizza arrived it was more like a cake never seen anything like it I returned the pizza and the pasta was complimentary which I appreciated , Good location friendly staff 
348124,DoubleTree by Hilton London Chelsea, Very expensive for the size of room we received Room opposite the lifts we were woken up between 1 2am with people talking very loud on more than 2 occasions Cleaners tried to get into our room at 9am even tho checkout was at 12pm , Staff were friendly and plenty of complementary cookies 
348125,DoubleTree by Hilton London Chelsea, I would of liked a bigger bed As I have a bigger one at home That would be the only thing I did not like but it was a comfortable one , Rooms are nice with a comfortable bed Decent size with everything working 
348126,DoubleTree by Hilton London Chelsea, The street was a bit noisy I live in very quiet countryside and better sound proofing would have helped , The staff were very good indeed and the car parking nearby easy and secure The King bed was very comfortable and the option of a slim pillow was perfect 
348127,DoubleTree by Hilton London Chelsea, Unfortunately wanted dinner at hotel first night but something not working in kitchen but wouldn t have found lovely Italian about 30 minutes away, The location of hotel was so good
348128,DoubleTree by Hilton London Chelsea, There was a problem with my booking and I was not told until I arrived for my stay We should have been informed before we arrived that was not very good And there answer to put that right was free breakfast for one day of our stay ,No Positive
348129,DoubleTree by Hilton London Chelsea, It s a bit out of town but right beside an Overground station , The staff were all so nice and helpful Food was lovely Rooms were comfortable 
