,Hotel_Name,Negative_Review,Positive_Review
222332,DoubleTree by Hilton London Islington, Complimentary gifts e g deodorant tootepaste advertised in bathroom were out of stock when we asked at reception , Very comfortable room and bathroom facilities 
222333,DoubleTree by Hilton London Islington, nothing, Just right for a London stay comfortable clean good breakfast good room AC and wifi helpful pleasant staff handy location for Angel underground station
222334,DoubleTree by Hilton London Islington, Nothing everything was great , Lovely accommodating staff and lovely facilities within the rooms Breakfast was great in the morning with a wide selection to choose from 
222335,DoubleTree by Hilton London Islington, The room was a little warm and adjusting the thermostat didn t seem to help , They actually gave me wash cloths in the second day Lobby was very comfortable 
222336,DoubleTree by Hilton London Islington, N A we loved our stay , The customer service was superb There was a slight issue with our room not being ready at check in but this was quickly and professionally handled and rectified so as to not hinder our stay Very impressed 
222337,DoubleTree by Hilton London Islington, The restuarant was a little on the pricey side , The room was comfortable and very clean I am afraid that I am a man of very few words Otherwise my experience was pretty good 
222338,DoubleTree by Hilton London Islington, The room service is very late Traveled in the morning and come back at 4pm the room is still untidy the room service come after 5pm , Staff are nice room is pretty large location is nice 
222339,DoubleTree by Hilton London Islington, Did not like the Television going in the Public Lounge area downstairs It was intrusive and not necessary to have a television at all in this space , Staff were very helpful The Location is good and hotel comfortable
222340,DoubleTree by Hilton London Islington, The water pressure was not good in the shower , Nice reasonably priced bar Good bar food Very friendly staff The view from the room might not have been London s best but the room was very quiet 
222341,DoubleTree by Hilton London Islington,No Negative, Everything was just perfect we booked the executive room which included a free pass to the executive lounge that included cold and hot drinks cookies snacks and more The stuff was amazing so friendly and welcoming We will definitely book this hotel in our next visit to London 
222342,DoubleTree by Hilton London Islington, Parking The parking is not on site so you have to park about 5 minutes away at the other Hilton Make sure you park under the other Hilton we were told the wrong car park by the hotel staff and there is no concession with that one No complimentary bar snacks pet hate for this standard of hotel, Very nice and clean hotel with a nice bar area and breakfast Staff were helpful Small but very nice rooms If you are going to the Olympic Park or Stratford It is a 5 minute taxi ride to the overground at Highbury and Islington and then 20 mins from there very easy 
222343,DoubleTree by Hilton London Islington, While I had paid for a deluxe room I found that I was allotted a standard room When I pointed this out to them on the following day the room type was changed , For a small fee took access to the executive lounge which was very useful
222344,DoubleTree by Hilton London Islington, Slight queue at breakfast as you wait to be seated a breakfast menu on table would be nice so you could see the wide range of offer nicer porridge , Great staff and attention to detail warm cookie on arrival very nice touch Room was good size and the bed was very comfortable 
222345,DoubleTree by Hilton London Islington, We booked and paid for a deluxe room and on check in were told that there were non available so we were had to have a standard but the only difference were robes and slippers that she would get delivered to room We already had one set of robes and slippers in the room no extras were delivered Also I think it s wrong to have done this and still charged us the same price I will send an email direct to the hotel , Location excellent and all staff were very polite and friendly
222346,DoubleTree by Hilton London Islington, Marco pier whites restaurant was poor over cooked steak so ended up eating my steak after my partner had finished Not the hotels fault but my only negative from my stay , Love the cookie and the room was great
222347,DoubleTree by Hilton London Islington, For the price paid one would have expected breakfast to be included I had to pay for the adults breakfast but kids did eat free , Proximity to transport links rail and bus
222348,DoubleTree by Hilton London Islington, The bathroom could have been a little bigger, We loved the treat as we checked in and the bed was so comfy We were thankful for the aircon as well due to us being there on one of the hottest weekends
222349,DoubleTree by Hilton London Islington, There was no negatives for me regarding this hotel , Guest door card required for lifts felt secure Very comfy bed Very clean Nice TV selection Good complimentary tea and coffee handy kettle and fridge Incredibly quiet well soundproofed rooms Convenient location to the city area Clean bathroom with a nice selection of complimentary shampoos etc and soft towels A great experience unlike the Doubletree in Victoria which was gross 
