,Hotel_Name,Negative_Review,Positive_Review
87197,DoubleTree by Hilton London Victoria, Coffee and tea were stored in a cupboard which I discovered only on my second stay in the hotel, The staff was courteous and attentive Great location for entertainment l Short walk from the palace and other sights 
87198,DoubleTree by Hilton London Victoria,No Negative, Room facilities very good Staff wonderful Breakfast room a bit too small but good food and service Location near tube bus and taxi the best ever Good value for money 
87199,DoubleTree by Hilton London Victoria, Over priced for what we got need more staff had to wait at bar for 20 mins to be served bottle water shocking checkin and checkout staff didn t go out their way just did what they had to do room was okay but overpriced only 1 socket to charge phone etc and there was 3 of us in room I use this chain of hotels a lot but would not hurry back to this one needs some attention on friendlier staff or perhaps more staff , Not much 
87200,DoubleTree by Hilton London Victoria, The express check out form was not delivered to my room I had to check out at the counter A lady in glasses said to me that I had to pay 34 pounds for the dinner on my first night which I checked in very late about ten at night I never had this kind of experience before with the Hilton I said that was not possible and I didn t had any service on my first night She still insisted that I had to pay because she had the data in the computer that I ordered foods to my room I asked her the time of the order SHE IS VERY RUDE WITHOUT the answer but asked me back what time that I checked in This is a liitle thing that made me annoyed I asked for the signed bill which usually had to attached with the client s receipt or port folio when you stayed at the good governance hotel Her answer was no there was not if I want to see it I have to wait for she had to go downstairs and bra bra but if you are in hurry you have to pay this until our investigtion is finished which I can not tell you definitely how long it would take I just want you to consider and see how this is going on by asking the lady at the front desk But this is not polite and I found that the system is in bad shape for Hilton You should never ask the Hilton Honour clients to pay without showing their signed bills Thank you for your consideration Than Sura, The floor for Hilton Honour 
87201,DoubleTree by Hilton London Victoria,No Negative, Extremely easy to get to Victoria Station for underground travel Good central location within walking distance of many attractions Also close to Victoria Coach Station for bus tours 
87202,DoubleTree by Hilton London Victoria, Noisy Air condition Noisy Toilet Noisy Lifts even Iron not working Room telephone not working very slow response from staff for raised concerns , Only location
87203,DoubleTree by Hilton London Victoria, Room is too small not even have space to unpack suitcase Bathroom is also too small , Location is good Pretty quiet Staff is friendly and mostly helpful 
87204,DoubleTree by Hilton London Victoria, Early check in would have been nice , Comfortable room well appointed and serviced Excellent friendly staff especially at breakfast Convenient location next to Victoria Station and walking distance to various amenities 
87205,DoubleTree by Hilton London Victoria, The family room is actually a standard room with a small bed It can get quite crowded with 3 people and the suitcases , Convenient near Victoria station The Welcome cookies are delicious and really thoughtful Staff really helpful 
87206,DoubleTree by Hilton London Victoria, the air con was extremely noisy and not easy to control in the morning there was a pool of water on the dressing table top which was coming from the air con area the whole room felt damp the shower over the bath did not have enough power to reach the person without standing right up against the tap and the spring on the plug did not work, good location for my interview the next day and for victoria station although very noisy until trains stopped running quite difficult to find as there is a road closed and ended up walking in a massive circle 
87207,DoubleTree by Hilton London Victoria, I had booked a room for 3 people double bed plus an extra bed The room was not arranged as requested and only the double bed was made up We had to ask for the extra bed which was very uncomfortable ,No Positive
87208,DoubleTree by Hilton London Victoria, Some of the reception staff were a bit hard to understand with English being their 2nd language The concierge however was very helpful , The rooms had excellent storage for clothes etc The beds were comfortable and bathroom well equipped 
87209,DoubleTree by Hilton London Victoria, The shower head wouldn t stay up So it meant you had to hold it I really think that shower curtains should be a thing of the past They are mould and germ magnets , The greeting from front desk was very welcoming and rooms were comfortable breakfast was tasty and a good selection 
87210,DoubleTree by Hilton London Victoria,No Negative, Great location across the road from Victoria Station lovely staff good breakfast good sized and well equipped room We had a lovely stay there were a lot of trainee staff who were very enthusiastic about their job which was great to have all these keen happy people everywhere in the hotel Big thank you to Naomi for a seamless check in and check out 
87211,DoubleTree by Hilton London Victoria, I hope the price will be much better next time , the room is really comfortable compared with the other hotel in London But the price is a little more expensive and of course a good position deserve it 
87212,DoubleTree by Hilton London Victoria,No Negative, The hotel was conveniently located near Victoria Station and near one of the stops of Big Bus Breakfast was really good especially the staff at the restaurant Concierge was really helpful with our queries Overall location was perfect 
87213,DoubleTree by Hilton London Victoria, extremely bad wifi network and there is no refill for body wash tea etc The ice making machine was out of work but the staff still pointing visitors to there Comparatively it ia not good value for money , location is good very nice to the station Good for travellers with big luggage to get access to Gatwick airport 
87214,DoubleTree by Hilton London Victoria, London is a little pricey but you do get what you pay for Cheaper accommodations usually means less convenient modern and with fewer staff on site to answer questions and concerns , This hotel is in a GREAT location Public transportation restaurants bars and excursions are within easy walking distance The room was quite modern and the air conditioning worked very well The front desk and concierge staff were very helpful locating restaurants securing transportation and providing information on attractions 
87215,DoubleTree by Hilton London Victoria, Staff were not very helpfull or overly friendly Room 99 is the only room on the mezzanine level and you had to negotiate thru various groups of different people having meetings in the conference rooms We are the sort of people who really don t complain We cancelled our future booking in July 2017 at the DoubleTree Hotel at Time Square New York after staying at this hotel We let our money do our talking, The position of the hotel is excellent
87216,DoubleTree by Hilton London Victoria, Find a bit uncomfortable walking around the back street when dark A lot of homeless and drunks round the front of hotel , Bed very comfy and staff extremely polite
87217,DoubleTree by Hilton London Victoria, Due to a front facing room it was a little noisy one night, great location so close to the train tube station and also shops and restaurants good welcome and excellent breakfasts
87218,DoubleTree by Hilton London Victoria, Not a dislike rather a recommendation that around the shower in the handicap room that a notice advisory to put towels around peremiter to avoid slipping by any attendant for wheelchair bound users , Good food excellent staff and outstanding location I would recommend this hotel without hesitation Very good handicap room 
87219,DoubleTree by Hilton London Victoria, Toilet paper is kind of rough No foldable racks for suitcase use , Location is within walking distance to the coach station if you don t have big pieces of suitcase to lug Breakfast is great for that price 
87220,DoubleTree by Hilton London Victoria, we had no complaints , The property was across the street from the underground and close to many of the sights we were interested in so location was great The staff was extremely helpful Room was very clean breakfast was very good with good variety The warm chocolate chip cookies were to die for When we checked out we accidentally left our passports in the room and didn t realize it for 24 hours The Staff got them located for us and held them while we got back to London I can t say enough about how helpful their staff was 
87221,DoubleTree by Hilton London Victoria, My only criticism would be the price I thought it was on the high side for the type of hotel it is but that said I did not book too far in advance so therefore expect to pay more I ll give myself more notice next time , I liked the hotel because of it s location and convenience to Victoria station it could not have been better We did not really use any hotel facilities because we spent most of the time out not even the bar The room was clean functional and quite acceptable I would not hesitate to stay here again 
87222,DoubleTree by Hilton London Victoria, No complaints whatsoever we enjoyed our stay very much , Very friendly and welcoming staff always helpful The room was spacious very tidy and quiet Breakfast was tasty and had a very nice selection The hotel is 1 2 minutes walk from Victoria station Also there are several grocery stores nearby if needed 
87223,DoubleTree by Hilton London Victoria, Some of the fittings in the room were a bit shabby and needed work window was very poorly maintained , The location was perfect for Victoria Station and the Belmond luxury train trip we went on
87224,DoubleTree by Hilton London Victoria, The bed was a bit small 140cm i believe considering we slept in a Hilton Honors room Other than that everything was perfect, Fantastic location rich breakfast staff was kind and helpful
87225,DoubleTree by Hilton London Victoria, a c units sometimes at night the station area can attract unwanted guest , very close to victoria station and a couple of theatres cant hear the trains but a c units in the rooms can be noisey
87226,DoubleTree by Hilton London Victoria, We got upgraded to a bigger which is great but the extra sofa bed wasn t meant for sleeping luckily we had a king size bed and we all had to sleep in the bed together all 4 of us The housekeeping tried to bring an extra bed sheet to put on the sofa but still not fit to sleep due to the old spring sofa bed hopefully the extra bed will be changed Else for a family of 4 would be a bit of challenge to stay or share together , The location of the hotel was very accessible to both key locations such as Buckingham Palace Westminster Abbey Parks as well as the tube which just right across the road 
87227,DoubleTree by Hilton London Victoria, Small rooms and bathrooms , Great location Staff was friendly and helpful Breakfast was good traditional English We had the afternoon tea great experience Rates for meals discounted for hotel guests 
87228,DoubleTree by Hilton London Victoria, House Keeping very bad 1 2nd day Our Room was left behind with a Green cleaning towel on the round table and the Room cleaning access Card left Insert in the Box 2 Basin was stuck 3 Pillow case was not change daily , Front desk staff are very helpful and efficient 
87229,DoubleTree by Hilton London Victoria, Price was dear for a Double Tree Hotel could be because it was a very busy weekend for events in London , Breakfast was v good both for hot cold variety and quality Service very attentive Room facilities modern and clean 
87230,DoubleTree by Hilton London Victoria,No Negative, Easy access from Victoria station Confusing initially due to building work around station but once you knew exit to use only needed to exit station cross the road to hotel Staff very welcoming excellent breakfast the welcome cookies are delicious 
87231,DoubleTree by Hilton London Victoria, Price Very expensive for a short stay but no choice if you have to be near to the transport links , Convenience to transport links Good location for Buckingham palace and Chelsea areas 
87232,DoubleTree by Hilton London Victoria, The breakfast could have been hotter and the dining room was quite cramped Apart from that I was happy with my stay , I liked the comfort of my room The bathrooms and the furnishings looked new and were very clean which I appreciated The location was ideal for me as I arrived at Victoria Coach Station and wanted something nearby My family and I appreciated the fresh teas in the bar 
87233,DoubleTree by Hilton London Victoria, Most of the front desk were trainee only a few was experts new rooms on the top floor with toilets in different level is not convenient at all , Concierge person is very friendly and helpfull
87234,DoubleTree by Hilton London Victoria, They gave me a nice room on the 10th floor only thing is that to reach that floor I had to go to the 9th floor walk to the end of the hallway and then climb one floor by feet elevator was not working It wasn t really nice with the suitcase as I was just by myself , Nice welcome they offered me a delicious cookie at the check in the staff was really nice and the room clean 
87235,DoubleTree by Hilton London Victoria,No Negative, Catherine in guest relations at Doubletree Victoria was amazing She personally took care of replacing a broken mini fridge and finding an extension cord by arriving at our door with both In traveling for three weeks we found no other like her 
87236,DoubleTree by Hilton London Victoria, There was no toothpaste in the room although pretty much every other wash essential , firstly the greeting from the reception staff and the warm cookie were a great welcome The bed was a great size and the facilities were great Breakfast was fantastic and the hash browns were out of this world They also looked after my bags after checkout until I was leaving London 
87237,DoubleTree by Hilton London Victoria, There were small problems through our six day stay that should have been able to be resolve more readily card readers on our doors that didn t work for the first two days problems in the kitchen that kept them from offering a full menu for two days and no hot water throughout the hotel on our last morning I would have expected better care in the facilities for such a good hotel , Great location and staff and excellent and plentiful breakfasts It was a real good value for the price 
87238,DoubleTree by Hilton London Victoria, As expected in a twin room the mattresses were a bit hard I have a bad back and I asked to have a padding added It was immediately auctioned by front desk staff Thanks to them for the can do response and immediate action , The concierge staff were attentive super pleasant and very helpful and knowledgable 
87239,DoubleTree by Hilton London Victoria, I ordered the chicken tikka masala and it was an odd pepper and Chicken kebab with a sort of waterery sauce nether a Correct description in menu and was not a nice dish I Anyway Shape or form,No Positive
87240,DoubleTree by Hilton London Victoria, Unable to have a shower due to no hot water Had booked a family room with a double and a single and the single wasn t made up Wifi was poor and when asked about they did not inform us that you actually have to log on so wasted a lot of my mobile data trying to source info Concierge was nice a helpful but reception staff didn t reall seem that interested, Good beds
87241,DoubleTree by Hilton London Victoria,No Negative, Having known we were celebrating an anniversary The staff went out their way to make our stay special As we entered they have set out an anniversary platter with cake and chocolate dipped strawberries with a complimentary bottle of wine 
87242,DoubleTree by Hilton London Victoria, Bed was too hard And there was no hot water in the morning To be met with a sorry there s nothing we can do it s being worked on is very poor from such a large hotel Another room or shower would have been nice but not offered and not even a discount voucher to stay again Not acceptable there s to much choice around for just s sorry , Location to Victoria Station is great
87243,DoubleTree by Hilton London Victoria,No Negative, It was so easy to get to the hotel having flown into Gatwick and jumped on the Gatwick express The staff were very welcoming and helpful simple things like asking how our journey was where we were from and if we would like a London street map made it a very personal experience The room was lovely and clean the breakfast was beautiful and a huge selection We ate in the bar for a late lunch and it was delicious A wonderful hotel with wonderful staff 
87244,DoubleTree by Hilton London Victoria,No Negative, The staff was friendly room was clean and comfortable and was near a train station A couple of the tours met at Victoria Coach Station which is walking distance 
87245,DoubleTree by Hilton London Victoria, Did not feel the price was competitive , Staff friendly and efficient Rooms are a good size comfortable and I like that there is a fridge in the room Also the convenience to the railway station
87246,DoubleTree by Hilton London Victoria, Check in slow only one person on the desk KEY DOOR SYSTEM down more than 24 hours need conceirge to open room doors Rest closed on Sunday pm yet hotel full , Check in slow only one person on the desk KEY DOOR SYSTEM down more than 24 hours need conceirge to open room doors 
87247,DoubleTree by Hilton London Victoria, The beds were a little uncomfortable and you could hear everything going on out on the corridor , We are delighted to have received a complimentary room upgrade and bottle of champagne as we were celebrating a special occasion 
87248,DoubleTree by Hilton London Victoria, Nothing The stay was perfect, It was my partners birthday When we arrived we were greeted by lovely staff who just so happened to ask us about our stay where we mentioned it was her birthday Just as we were leaving a member of staff pulled me aside and asked me for my partners name I thought nothing of it We went out and explored London for a while by the time we came back we d discovered a lovely slice of cheesecake with Happy Birthday written onto the plate and a birthday card written for my partner signed by all the staff An amazing surprise and really put the cherry on the cheesecake so to speak on our stay 
87249,DoubleTree by Hilton London Victoria, The wifi didn t work in my room so I couldn t access the Internet The view out of my window was Victoria station not very interesting , The room was perfect and the bed was like heaven The staff were amazingly friendly nothing seemed inconvenient for them The location is brilliant due to transport Easy to find and the breakfast was spot on 
87250,DoubleTree by Hilton London Victoria, reception staff need to be trained more housekeeping services are annoying in the morning with lots of noise in the corridor , Unfortunately I had a bad experience I liked nothing 
87251,DoubleTree by Hilton London Victoria, My only suggestion for improvement would be making the wifi sign in totally hassle free You have to go through The Cloud which is great if you already have an account but took my jet lagged partner a little while to set up , Super comfy bed Warm cookies upon check in was a lovely touch The whole experience was easy and welcoming Gorgeous smelling free toiletries Great location for walking with suitcases from Victoria station 
87252,DoubleTree by Hilton London Victoria, To go to 10th floor you need a lift to 9th floor then again stairs to climb up But this is short term problem I guess , Superb room with helpful and gentle staff
87253,DoubleTree by Hilton London Victoria, The noisiest room I ve ever stayed in The room was overlooking the station and whilst we were expecting some train noise we didn t bargain on the incessant rumbling scraping noises from a waste recycling plant next to the railway sidings which seemed to be going all through the night When I complained the next morning the receptionist stated she had been told about this before but thought the plant should only be operational for one hour during the night I managed to get very little sleep because of the noise and this was despite the background noise of the air conditioning fan which we had on full blast to try and drown out the racket , The bed was comfy and the air conditioning worked well The hotel was very convenient for Victoria Station Underground
87254,DoubleTree by Hilton London Victoria, Housekeeping and cleanliness could have been better , Fantastic locatio directly across the street from Victoria Station Walkable distance to most major attractions in London The breakfast was a complete success offering many choices including eggs and omelets made to order 
87255,DoubleTree by Hilton London Victoria, For some bizarre reason there was no shower curtain fitted to the rail over the bath and as a result of which the shower was almost unusable , Convenience of location to London Victoria
87256,DoubleTree by Hilton London Victoria, The only reason this property didn t get a full 10 from me was that the gym was very basic , The staff in the Doubletree were absolutely fantastic Right from check in to check out they were fantastic The dinner in the evening was lovely as was breakfast next day The hotel is across the Road from Victoria Tube Station close to Regents Park and in the heart of everything Great hotel that I would highly recommend 
87257,DoubleTree by Hilton London Victoria, The room was 27 c despite having the air con on the coldest setting it wouldn t force it any lower than about 26 c Also the shower was very poor the water dribbled out I d expect much much better , Great location at Victoria a 15min walk to Regent St or a one stop tube ride to Green Park Room was an ok size not too small 
87258,DoubleTree by Hilton London Victoria, There was no toilet brush and we never got new toiler paper even tough we almost ran out of it after the first night , Staff especially at the reception was very nice Location was excellent
87259,DoubleTree by Hilton London Victoria, The bed was a little firm for my liking but maybe others would think it is perfect , It was a warm and comfortable room friendly staff Excellent location for seeing london 
87260,DoubleTree by Hilton London Victoria, I have stayed in Double Tree Hotels a few times and this one unfortunately let the side down a little The room was good but the floor was a little dirty and the shower and bathroom had the signs of a quick rinse rather than a thorough clean The breakfast was a little lack lustre and not much choice For the money you pay I would expect a little more attention to detail a bit more finesse and certainly a really clean room In addition the website informs you that on a Premier King Deluxe you will have a mini bar and a fridge No mini bar and the fridge was as warm as the room was ,No Positive
87261,DoubleTree by Hilton London Victoria, I paid by cash for my room on arrival and was Meade to feel like some lower class by the staff that was on the desk We was not able to order room service because we had no card but was able to go down and put a balance on to enable this fair enough , The Hotel was modern and comfortable
87262,DoubleTree by Hilton London Victoria, one of the lifts was out of order and didn t get repaired for the 2 days we stayed there, It was lovely to be welcomed with warm cookies and smiling staff Thanks for your kindness
87263,DoubleTree by Hilton London Victoria,No Negative, The staff was very helpful and the beds were comfortable The location was great Right across the street from the train station who could ask for anything better than that 
87264,DoubleTree by Hilton London Victoria, Room too warm didn t fully understand cooling air con till next morning My wife was really looking forward to a bath as our bathroom is out of action but no bath in room Breakfast was nothing special and breakfast staff were uninformatve as to what was available , Modern facility and extremely comfy bed
87265,DoubleTree by Hilton London Victoria, There was nothing that I didn t like , Great location the hotel is next to Victoria train station Customer service first class Very helpful reception staff especially Christina and Angelica Nothing was too much trouble Comfortable room Breakfast was goodz
87266,DoubleTree by Hilton London Victoria, The room for 3 of us was very cramped also facing the train station so from very early am the noise from outside was very loud considering i paid over 600 euro for 2 nights i expected a lot more from the room, The location was perfect
87267,DoubleTree by Hilton London Victoria, Staff gave an unapproachable unhappy vibe Lack of information presented to you on check in Breakfast only served until 10 Was in contact with the help desk multiple times in advance of booking who were helpful in providing me assurance of an early check in due to an event I was attending but when I arrived at the hotel the woman on reception was very blunt and said that no request had been notified and told me to come back at 2pm to check in I returned at around 12 45 to the help of a male receptionist who was very helpful and provided me with another room that was available , Small walk away from the city centres attractions 
87268,DoubleTree by Hilton London Victoria, There wasn t anything I didn t like only fault was room service took almost an hour to arrive, The room was very spacious comfy bed and great location
87269,DoubleTree by Hilton London Victoria, Cramped room, Asked for a family room it was just an ordinary double room with an extra bed in it not really worth the price we paid for it was just as well I was only staying 2 nights
87270,DoubleTree by Hilton London Victoria, Not necessarily a pain point however I felt that the rooms and service were very mediocre and nothing to write home about Fortunately the location was great and the room wasn t expensive we spent most of our time out and about in the city , Didn t get the opportunity to use all the facilities but from what I saw they were OK What I liked most about this hotel is the location 2 minutes walk from Victoria station literally therefore pretty central Ease of access to so many places including good places to eat and or bars For this reason I could stay again 
87271,DoubleTree by Hilton London Victoria, The breakfast was ok but the scrambled eggs were cold and there was no other option for eggs i e poached or fried , The room was lovely and clean plenty of hot water and the bed was soooo comfortable 
87272,DoubleTree by Hilton London Victoria, Pull out bed was uncomfortable Could feel the springs on the mattress against my bones No bath towels in room When I called reception they bought one towel when there were three of us in the room Security lock box was not fixed for the entire 4 day stay Had to carry my valuable around with me at all times Broken toilet Water keep flushing Had to push hard to stop it Reception failed to follow though on the morning call Caused me to be late for an event Very disappointed with this hotel , Very close to the main metro station
87273,DoubleTree by Hilton London Victoria, Didn t really provide much amenities but I could make a request , Best location to travel via public transportation such as train or bus Facilities are okay I would highly recommend this hotel for its location Loved it 
87274,DoubleTree by Hilton London Victoria, For the price of 150 a night I was expecting more not just a standard looking hotel the room was okay but it was more for half that price I would get the same Breakfast they were using ham and cheese from the day before because it was visible the drainess of it they should offer more options it is from the hilton group I was expecting more good moments, All hotel very nice was a good start with a welcome cookie and friendly stuff that print us tickets for teathre Room was great 
