,Hotel_Name,Negative_Review,Positive_Review
261077,DoubleTree by Hilton London West End, The room that I booked turned out to be horrible and I insisted on a transfer After some haggling I agreed to pay ten British pounds more for a better room The bed in that room was awful I couldn t believe I was going to complain again but I did the alternative was to pay the one night room cost and move to a better hotel The staff graciously moved me to a better room and told me they even added a pilot option so I would be more comfortable , It was a full breakfast and good value
261078,DoubleTree by Hilton London West End, A few cobwebs in the room , Friendly staff breakfast was lovely Location was brilliant with just a 15min walk into Covent Garden perfect location for a night at the theatre 
261079,DoubleTree by Hilton London West End, Very small wardrobe and little space in my first room for couple of days OK but for 2 weeks uncomfortable Fortunately I changed this room soon , I stayed at this hotel 14nights and I really appreciate comfortable king size bed quite corridor polite and very helpful staff receptionists especially Nina and young receptionist man from Italy sorry I do not remember his name tasty breakfast and friendly staff in the restaurant
261080,DoubleTree by Hilton London West End, Small bathrooms and small elevators A little bit too expensive for the size of the rooms and bathrooms but I guess that is London for you , The breakfast was excellent Rooms were cozy but a little small The bathrooms were the smallest I have ever seen 
261081,DoubleTree by Hilton London West End, Rooms need to be upgraded Old bathrooms Pillows were useless The 2 bedroom apartment has very steep stairs which is a safety issue for young children or elderly people The apartment roller shutters couldn t close so expect 4am sunlight right in your face , Location was good
261082,DoubleTree by Hilton London West End, The room was quite small and dark and smelled a little bit musty I think the hotel is a bit over priced for what it offers, The hotel is reasonably well placed close to Holborn tube station There are quite a few restaurants nearby The breakfast was good 
261083,DoubleTree by Hilton London West End, Hotel was good but just to comment some minor problems It was supposed to be double bed but we got two beds together Except connection between them very comfortable and big Shower bulkhead too small Water was spilled all the time , Good location If you like to walk it is 35 minutes walk from all of the main atractions in the center of London and 200 m from British Museum Furthermore 5 minutes walk to metro and bus We were in a deluxe room big and comfortable Delicious chocolate cookies 
261084,DoubleTree by Hilton London West End, Small room very low ceiling claustrophobic room view to a outdoor staircase no sky like being in a submarine but we were not even in the basement Very low value for a very high price most skimpy 4 stars hotel we ever visited ,No Positive
261085,DoubleTree by Hilton London West End,No Negative, Initial room was close to air conditions but staff found better one and changed without problems Spacious room with bath coffee equipement solid internet Close to Holborn tube station all in all good if one hase business in this part of city 
261086,DoubleTree by Hilton London West End, The room was tiny double bed pushed against one wall not enough room for two people to move around bathroom tiny very expensive for room size, Breakfast excellent location superb
