,Hotel_Name,Negative_Review,Positive_Review
185094,Elys es R gencia, the room was wide but location of bath room bad prices for room service higjt couldnt open the window night from flies and mosquito, the place is ideal near to city center the room was clean near to other restaurants
185095,Elys es R gencia,No Negative, Great location easy walking distance to metro taxi stand right outside Room was beautiful Amazing breakfast Very attentive and lovely staff always going out of their way to ensure everything is perfect for their guests Wonderful stay thank you
185096,Elys es R gencia, Apparently free coffee and Tea in bar area We were not aware and actually paid for a coffee , Excellent Location with easy walking to the Champs Elysees and the Eiffel Tower Spoiled for choice with the restaurants and bars within a 10 minute walk of the hotel Very comfortable bed with the quietest most consistent Air Conditioning I have experienced Normally I have to live without Air Con because it keeps the wife awake no such problem here Rooms very clean and towels changed daily Tea and coffee making facilities in room which is rare in some parts of France these days No pressure to use the hotel facilities 
185097,Elys es R gencia, The lack of a bar No one was ever there in the evenings Very slow and unreliable wifi , The location was great The women at the front desk was great She gave us a lot of great tips on getting around the city and provided nice suggestions on where to eat
185098,Elys es R gencia, Hotel couldn t arrange for early check in due to fully being booked issue Limited electrical sockets whereas all of f them used for lighting and TV, Location room was spacious and hygiene set in the bathroom all L occitane brand 
185099,Elys es R gencia, The hotel has a lot to do to meet parisian hotel standards It wasn t pleasant at all waking in the early morning every day because of the staff making too much noise and the fact that it was easy to hear everything that was going on the floor due their thin doors After 2 days in the hotel you just give up using the elevator and all the other guests too I don t know why but their elevator is extremely slow and one day it took 10 minutes to get to my floor The SPA is not operational when I went down to use the sauna it was turned off the staff couldnt help me until one recepcionist told me that I had to let them know 1 hour before so I told them I would like to use it in 1 hour after a while they told me it wasn t working Another issue was with the check out we had 3 rooms and wanted to stay until 18h or pay for another day to stay until later The hotel was almost fully booked and they told me that they would be able to provide 1 room until that time I asked them which one and they told me to choose between room 14 or 24 I chose 14 After a while he calls me and tells me that only 24 is available The whole hotel needs to be reshaped I ll never going back to this one and dont recomend it at all , nothing
185100,Elys es R gencia, Not customer centric room not ready even after checkin time luggage not sent to the room ended up losing time and arrived late to my meeting Very upsetting ,No Positive
185101,Elys es R gencia, Rooms are small Expensive, Location close to all tourist attractions Beautiful hotel from outside also Safe neighbourhood Lots of activities close by
185102,Elys es R gencia, The toilet was strange in my room it was split into two different rooms Made it a bit of a hassle to use the toilet then enter a different room to wash my hands, The location and the staff
185103,Elys es R gencia, choice of breakfast was not much Property opposite to hotel had high beam lights on all night Lack of seperate luggage room, Non smoking hotel staff was friendly mr ali at the reception during the day was especially helpful seperate bathroom and toilet wifi at hotel Close to Champs Elysee Walkable distance to Eiffel Tower Close to metro stations and Bus stops
185104,Elys es R gencia, The room was cleaned but supplies not replenished nor were the bathroom glasses cleaned and refreshed Not as easy to get to from Airport as once thought You could tell Breakfast was leftovers from the day before But lovely people in the dining room , Conveniently located to Metro stops Nice Amenities The Concierge very helpful with all types of information Room was in great condition Was within walking distance for good walkers to landmarks and bridges 
185105,Elys es R gencia, Everything , This hotel can NOT be rate as a 4 star hotel even by europien standarts IN MY OPINION For the money you get a small room very modest breakfast a cracking bed etc Stuff was ok but good will is not enough
185106,Elys es R gencia, No complaints , Super nice and helpful staff balcony room with windows open to small lanai with gorgeous trees outside to look at from my bed and total privacy We w as lked everywhere and it was a perfect location 
