,Hotel_Name,Negative_Review,Positive_Review
365663,Eurostars Embassy, Room is in need of repainting it looks good but still you can see the usage , A good fit for family trips I will for sure book again a room next time in Vienna 
365664,Eurostars Embassy,No Negative, I asked for a room with a view and they gave me one with a good view The room was very large the staff were really helpful I think it was the manager and an asian girl that were very professional had all the information that I needed and helped me with all my questions like how to get to the bus terminal helping me out when my backpack ripped 
365665,Eurostars Embassy,No Negative, Great croissants pillow menu and awesome rooms with lots of space and beautiful interior Love my stay here Best value for money Will definitely come back 
365666,Eurostars Embassy, The bed had some insects and we suffered from insect bite , The staff were all helpful and plesant We got a spacious triple bed accommodation with two rooms 
365667,Eurostars Embassy, Breakfast was not great compared to other Hotels I stayed in Vienna Coffee was horrible and variety not great , Good sized room nice bed nice chairs and comfortable 
365668,Eurostars Embassy, The cleanliness in the shower was not very good The carpet looked dirty and it was very loud from the street We were in a room on the second floor directly above the bus stop You cannot sleep at an open window The feeling was as though we were in a cheap hotel even though we have paid more than 150 euro pro night , The location is excellent and the connection to the center of Vienna is perfect The staff was very polite and helpful 
365669,Eurostars Embassy, Parking in underground garage entrance in garage is very difficult and too small for regular car and there is a very large possiblillity that you will damage your car Parking price is to expensive Restaurant is too small and during the breakfast you got the feeling that you have to hurry up with your breakfast so that other people can have a place to sit , Location Rooms are nice and clean 
365670,Eurostars Embassy, There was no single bed and two double were very uncomfortable , Clean and comfortable rooms friendly and helpful staff breakfast was not bad Very reasonable price for this level of hospitality 
365671,Eurostars Embassy, Nothing to mention, The hotel is on the main street close to underground U3 and also the bus station which takes you to the city center in 7 8 minutes The shopping area Wien Mitte is also close to the hotel 10 15 min walking distance and you can find quite some shops in there It is also the main transport center to the airport S Bahn 
365672,Eurostars Embassy, The room service are not doing all they can cleaning is not up to the A level we did not get our bathing items shower gel shampoo replenished for TWO days I had to go down late night to the reception to get them myself Must be a local thing due to striking individualism but they never bring you a second cup if you order the tea for two people , Very decent accommodation and value for money although the hotel is not very fresh and needs small reparations Breakfast is good and diversified Good transport links to the city centre 
365673,Eurostars Embassy, Breakfast was over priced and I didn t get the wake up call I requested on the morning I left for the airport, The room was clean and comfortable and walking distance to the subway 
365674,Eurostars Embassy, The parking is a bit difficult because the garage is too small for a normal car only smaller cars can enter This is facility capability so it can t be changed we undersand it however it is still a bit unconvenient leave your car on the street or walk to from another garage , We ve stayed only for a night but we will return It was perfect except the parking 
365675,Eurostars Embassy,No Negative, Very nice room clean fully ecquiped bathroom close to subway but also close for a nice 15 20 minutes walk downtown Found some nice restaurants less than 5 minutes away The breakfast although not very varied is tasty Very nice personnel just ask and they are glad to help They are not very fluent in english but they understand and they are able to explain eventually Had one day when wifi was down but they appologised for it 
