,Hotel_Name,Negative_Review,Positive_Review
300194,Eurostars Monumental, there was nothing we could complain , the Hotel is very clean and staff was very friendly they were booking the tickets for sagrada familia for us due to un availability in Internet Location very good only 5min walk to hop on hop off at sagrada familia awesome view from our room see attached Picture 
300195,Eurostars Monumental,No Negative, The location was great walking distance to some attractions and a few minutes walk to the nearest metro Staff were really helpful too Nice views from room 
300196,Eurostars Monumental, They could leave facilities to make coffee or tea in the room as these were absent , The room was comfortable and had a nice balcony which you could see the city on 
300197,Eurostars Monumental, Poor breakfast with no option for vegetarian The salad has old and with mold We have asked for a non smoking room however if you turn the ac off you can smell cigarette Lots of things to be improve to deserve a 4 stars For me the hotel is more like 2 stars There is a positive thing about the property the people who works there , The hotel room is clean and bed is very comfortable 
300198,Eurostars Monumental, There s not much choice nearby for food drinks You re looking at a 10 minute taxi or a 30 minute walk to Catalonia Sq the room they serve breakfast in is deathly silent Could do with some background music , Nice room if a little small but I guess that s the trade off for the large terrace Bed was very comfortable and the complimentary fruit platter was a nice touch 
300199,Eurostars Monumental, The room furniture was a little dated and scraped A bit cramped for three people and the beds were horribly hard and difficult to sleep in , Breakfast had an amazing Nespresso Machine A real plus Breakfast was good variety and lovely staff Our view was really nice and the window was well sized Close to metro but really only close to the Safrada Familia otherwise away from most attractions 
300200,Eurostars Monumental, There was a problem with my breakfast reservation I reserved it after the hotel so that might have been a problem to their system Before I went to the hotel I called to make sure it was added to my reservation I was told it is sorted it wasn t At check in i was told it is sorted it wasn t In the morning when i showed up for breakfast i was told that my name isn t on the list and i have no breakfast reservation Obviously it wasn t sorted But I have the feeling this is booking s mistake not the hotel s, Perfectly placed in the heart of Barcelona May look poor at first because the reception is somehow cornered and very dull but overall the hotel is clean comfortable and the corridors smelled nice which is important for me 
300201,Eurostars Monumental, The Eggs at breakfast were cold Even asking every day it didn t make any difference and they had no English Breakfast tea for 4 days in a row The quilt cover was ripped and frayed and there were no drawers to put clothes in , The staff were friendly but spoke little English Location was great The room was made up very well and very clean
300202,Eurostars Monumental, Very poor breakfast Definitely it does not worth the price , Great Location very close to the metro station The staff was very helpfull and kind always ready to assist you The room was specious and clean 
300203,Eurostars Monumental,No Negative, Fabulous location great view of the Sagrada Familia from our room Bed was very comfy and the shower was excellent Lovely buffet breakfast with good choice of food Staff were friendly and helpful 
300204,Eurostars Monumental, Multiple problems We received a call at 3AM in the morning while we were sleeping Wrong room ups No toilet papers when we came Very noisy rooms you can hear everything people talking in the rooms nearby cars from the boulevard elevator opening etc Do not came here it s a mistake Horrible ratio quality money , Nothing 
300205,Eurostars Monumental, Cleaning not really done or half done I had a room for smokers with no ashtray to be found in the whole hotel plus even a person who smokes does not appreciate sleeping in a room where they previously smoked Gavin these rooms with the smallest balcony would have made them smokers friendly in deed I booked mainly because they have the option of booking a transfer and I wasn t feeling adventurous in finding a taxi in the middle of the night but no one showed up to pick me up so much later I had to taxi eventually a taxi So for me that service is non existent in the array of services provided For the price paired there were plenty of other cheaper options ,No Positive
300206,Eurostars Monumental, Almost got charged again for the city tax on check out due to a mistake in the system Wouldn t spend money on the expensive breakfast there s plenty of cafes surrounding the area which are much cheaper and better quality , Beds were comfortable and overall finish was to a really high standard location is really good being on the higher floors means an amazing view of sagrada familia 
300207,Eurostars Monumental, The mattress was very firm Slept ok despite this though No tea coffee facilities in the room which may bother some but not an issue for us , Ideally situated next to a metro stop so easy to get around the city Good spread at breakfast Rooms are large and clean Got glazing so unable to hear traffic outside Has air con 
300208,Eurostars Monumental, Finding no air circulation possible after a 15 hour flight making it necessary to sleep with the window open on the intersection of two significant roads Monumental failure for amenities and comfort , The location 
300209,Eurostars Monumental,No Negative, very friendly helpful front desk staff always going the extra mile is assisting us where they could views from the 6th floor was lovely as La Sagrada in site and room clean comfy too with great views to the city vibes easy access to tourist attractions and local facilities safe environment great for families 
300210,Eurostars Monumental, room could have been a little bigger and would have been nice to have an in hotel restaurant but not really an issue as there are good restaurants a short walk away, Excellent breakfast room a little small but quite satisfactory convenient location very close to a Metro station
300211,Eurostars Monumental, Leaky sink drain in bathroom on the last day , Newly renovated hotel very nicely designed Lost a passport and staff went way beyond to help us Buffet breakfast had many offerings and was well prepared and nicely presented Location is steps from subway ad a very short walk to Sagada Familia three stops from La Rambla 
300212,Eurostars Monumental, There was no air con because as the receptionist explained it was Spring time and air con was too expensive to run However the temperatures were in the early 20C and it was muggy I only slept for a couple of hours each night because the room was like a sweat box Opening the window was as bad as it opened the room up to the traffic sounds from two of Barcelona s main dual carriageways traffic did not lessen during the night The bed was uncomfortable When one considers the point of a hotel is achieve a good nights sleep whilst travelling this was something of a disastrous stay from our perspective , The room was clean We did not avail of breakfast 
300213,Eurostars Monumental, Tea coffee making facilities would be good in the room , Good location close to metros and the Sagrada Familia Lovely staff Very helpful Good breakfast Clean room
300214,Eurostars Monumental, everything good but would have liked if there was a coffee shop or lunch menu we did go across the road, staff very friendly could not do enough for us gave us an umbrella as it was raining on our first day staff booked some tours for us room clean and comfortable and nice view from window good selection for breakfast and price very reasonable hotel near everything first few times kept getting lost and when staff marked it out on the map we did not get lost staff spoke good English will be back highly recommend this hotel
300215,Eurostars Monumental, There was no kettle in the room which meant that you were unable to make yourself a hot drink Also no iron and ironing board in the room although they did offer an ironing service but of course this is all extra money , The rooms albeit small were modern clean and nicely decorated 
300216,Eurostars Monumental, In the 1st night it was too hot in the room the A C wasn t working on cool air , The room had a really nice view of Sagrada Familia Clean room Good breakfast Professional front desk employees 
300217,Eurostars Monumental, Not really having a restaurant Or food available accessible so easily in the hotel , Huge bathtub 2 blocks from La Sagrada Familia Pizza place across the hotel And they set up a shuttle for me great place 
300218,Eurostars Monumental, The bathroom showers need updating and my AC didn t work in the room Continental breakfast was 12 and there are so many local restaurants to choose from this should be avoided , Great location close to Monumental Metro station and easy for transportation into Barcelona This hotel is ideally situated and a basic 4 city hotel 
300219,Eurostars Monumental, They do not turn on the air conditioning until the end of March If the room is hot you have to open a window and hear the sounds of heavy city traffic One day they forgot to make up the room we had to ask them to do so The breakfast room is in the basement with no windows However the buffet breakfast was decent but the same every day There is no restaurant and no bar to purchase a glass of wine or a mixed drink Call your own taxi to and from the airport if the hotel does it for you it will cost you much more We left early for the airport and seeing we had pre purchased breakfasts we asked for a breakfast pack It was a single cold cut sandwich without any condiment and an apple No water beverage or anything else That was really bad By the way they charge your credit card for your full stay immediately upon booking If you are unhappy and want to leave for any reason you will be stuck with paying the full amount of your stay Overall I would not rate the Barcelona Eurostars Monumental as a hotel worthy of its 4 Star rating It is expensive for what it is I would not stay there again Unfortunately it was not a positive experience , Location close to Sagrada Familia and Metro Station Staff were friendly and informative 
300220,Eurostars Monumental, A few more English channels apart from the news because when we got home from walking around all day it would have been nice to watch a film in English Also it was my birthday a little bottle of wine would have been nice and a few more chocolate s , Lovely room really comfy bed Paula Andrea and the guy at reception were really helpful 
300221,Eurostars Monumental,No Negative, the breakfast buffet was not impressing the scrambled eggs were old and had a crust on them When i asked for new eggs the waiter said that they take it out of a bottle and that they dont have a kitchen No wonder it has crust on it after being in a bottle and thereafter under a heating lamp Not my favourite choice for breakfast Other than that it was nice and what could be a expected for a 4star hotel 
